ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,126.50,126.55,125.55,126.00,0
2026-04-27T09:20:00+05:30,126.10,126.85,126.10,126.30,465908
2026-04-27T09:25:00+05:30,126.20,126.30,125.60,125.90,255655
2026-04-27T09:30:00+05:30,125.85,126.15,125.75,125.80,344614
2026-04-27T09:35:00+05:30,125.90,126.05,125.65,125.65,167239
2026-04-27T09:40:00+05:30,125.70,126.20,125.65,126.05,145825
2026-04-27T09:45:00+05:30,126.05,126.65,126.05,126.60,184864
2026-04-27T09:50:00+05:30,126.55,126.65,126.25,126.45,103013
2026-04-27T09:55:00+05:30,126.50,126.80,126.45,126.60,145472
2026-04-27T10:00:00+05:30,126.65,126.70,126.50,126.55,87258
2026-04-27T10:05:00+05:30,126.45,126.45,126.05,126.10,105626
2026-04-27T10:10:00+05:30,126.05,126.10,125.55,125.65,119557
2026-04-27T10:15:00+05:30,125.85,126.40,125.85,126.10,79652
2026-04-27T10:20:00+05:30,126.10,126.15,125.75,125.85,68104
2026-04-27T10:25:00+05:30,125.85,126.05,125.75,126.05,40579
2026-04-27T10:30:00+05:30,126.05,126.10,125.80,126.00,42886
2026-04-27T10:35:00+05:30,126.00,126.15,125.90,126.00,68371
2026-04-27T10:40:00+05:30,126.00,126.35,126.00,126.25,81625
2026-04-27T10:45:00+05:30,126.20,126.35,126.20,126.30,26448
2026-04-27T10:50:00+05:30,126.30,126.40,126.15,126.30,98267
2026-04-27T10:55:00+05:30,126.40,126.95,126.40,126.90,168096
2026-04-27T11:00:00+05:30,126.90,127.45,126.90,127.10,230379
2026-04-27T11:05:00+05:30,127.10,127.80,127.05,127.40,324407
2026-04-27T11:10:00+05:30,127.40,127.60,127.40,127.50,81133
2026-04-27T11:15:00+05:30,127.55,127.85,127.30,127.30,122644
2026-04-27T11:20:00+05:30,127.35,127.60,127.30,127.50,84700
2026-04-27T11:25:00+05:30,127.55,127.55,127.30,127.45,79701
2026-04-27T11:30:00+05:30,127.45,127.45,127.05,127.20,102379
2026-04-27T11:35:00+05:30,127.25,127.25,127.00,127.05,268792
2026-04-27T11:40:00+05:30,127.05,127.15,126.90,127.00,70259
2026-04-27T11:45:00+05:30,127.05,127.45,126.95,127.45,131510
2026-04-27T11:50:00+05:30,127.45,127.50,127.25,127.35,59950
2026-04-27T11:55:00+05:30,127.35,127.45,127.30,127.40,34732
2026-04-27T12:00:00+05:30,127.45,127.45,127.20,127.25,35745
2026-04-27T12:05:00+05:30,127.30,127.35,127.20,127.30,39951
2026-04-27T12:10:00+05:30,127.30,127.65,127.30,127.55,134808
2026-04-27T12:15:00+05:30,127.60,127.70,127.55,127.60,33911
2026-04-27T12:20:00+05:30,127.65,127.65,127.40,127.50,38765
2026-04-27T12:25:00+05:30,127.45,127.55,127.45,127.50,39644
2026-04-27T12:30:00+05:30,127.50,127.60,127.45,127.55,41971
2026-04-27T12:35:00+05:30,127.55,127.55,127.30,127.40,73646
2026-04-27T12:40:00+05:30,127.45,127.60,127.45,127.55,52031
2026-04-27T12:45:00+05:30,127.60,127.60,127.45,127.50,33303
2026-04-27T12:50:00+05:30,127.50,127.80,127.40,127.80,74976
2026-04-27T12:55:00+05:30,127.75,127.90,127.60,127.60,43783
2026-04-27T13:00:00+05:30,127.65,127.75,127.60,127.70,30890
2026-04-27T13:05:00+05:30,127.70,128.05,127.65,127.95,248088
2026-04-27T13:10:00+05:30,127.95,128.05,127.45,127.65,411478
2026-04-27T13:15:00+05:30,127.70,127.85,127.50,127.60,70803
2026-04-27T13:20:00+05:30,127.60,127.60,127.40,127.55,86978
2026-04-27T13:25:00+05:30,127.50,127.55,127.25,127.25,84465
2026-04-27T13:30:00+05:30,127.25,127.50,127.20,127.35,46572
2026-04-27T13:35:00+05:30,127.40,127.65,127.40,127.55,74087
2026-04-27T13:40:00+05:30,127.60,127.80,127.55,127.70,59127
2026-04-27T13:45:00+05:30,127.70,127.80,127.35,127.45,52417
2026-04-27T13:50:00+05:30,127.50,127.50,127.40,127.45,32904
2026-04-27T13:55:00+05:30,127.45,127.50,127.40,127.50,26246
2026-04-27T14:00:00+05:30,127.50,127.60,127.35,127.35,84930
2026-04-27T14:05:00+05:30,127.35,127.40,127.20,127.25,45821
2026-04-27T14:10:00+05:30,127.25,127.25,126.70,126.90,134050
2026-04-27T14:15:00+05:30,126.95,126.95,126.50,126.60,156059
2026-04-27T14:20:00+05:30,126.65,126.85,126.60,126.70,136007
2026-04-27T14:25:00+05:30,126.70,127.15,126.70,127.05,132159
2026-04-27T14:30:00+05:30,127.15,127.30,127.10,127.25,115842
2026-04-27T14:35:00+05:30,127.30,127.50,127.20,127.50,99242
2026-04-27T14:40:00+05:30,127.50,127.70,127.35,127.65,265102
2026-04-27T14:45:00+05:30,127.65,127.80,127.50,127.55,125929
2026-04-27T14:50:00+05:30,127.55,127.70,127.55,127.70,141334
2026-04-27T14:55:00+05:30,127.70,127.80,127.70,127.70,136591
2026-04-27T15:00:00+05:30,127.65,127.95,127.55,127.90,434567
2026-04-27T15:05:00+05:30,127.90,128.00,127.60,127.80,452945
2026-04-27T15:10:00+05:30,127.70,127.80,127.65,127.70,161632
2026-04-27T15:15:00+05:30,127.70,127.80,127.65,127.70,232121
2026-04-27T15:20:00+05:30,127.65,127.95,127.55,127.90,347277
2026-04-27T15:25:00+05:30,127.90,128.50,127.75,128.00,1237864
2026-04-28T09:15:00+05:30,127.85,128.75,127.70,128.65,0
2026-04-28T09:20:00+05:30,128.25,128.35,127.70,127.70,289319
2026-04-28T09:25:00+05:30,127.70,128.35,127.65,128.00,159701
2026-04-28T09:30:00+05:30,128.05,128.25,127.95,128.05,82833
2026-04-28T09:35:00+05:30,127.95,128.15,127.80,128.10,122461
2026-04-28T09:40:00+05:30,128.10,128.25,128.00,128.05,91578
2026-04-28T09:45:00+05:30,128.00,128.10,127.70,127.75,132703
2026-04-28T09:50:00+05:30,127.70,127.95,127.70,127.90,67194
2026-04-28T09:55:00+05:30,127.95,128.10,127.95,128.00,93884
2026-04-28T10:00:00+05:30,128.00,128.00,127.80,127.80,58962
2026-04-28T10:05:00+05:30,127.80,127.80,127.50,127.50,111736
2026-04-28T10:10:00+05:30,127.50,127.55,127.25,127.25,136777
2026-04-28T10:15:00+05:30,127.25,127.40,127.25,127.30,78947
2026-04-28T10:20:00+05:30,127.35,127.50,127.30,127.45,62495
2026-04-28T10:25:00+05:30,127.45,128.00,127.40,128.00,74358
2026-04-28T10:30:00+05:30,128.00,128.00,127.60,127.65,58867
2026-04-28T10:35:00+05:30,127.70,127.90,127.65,127.65,40240
2026-04-28T10:40:00+05:30,127.65,127.65,127.45,127.65,44527
2026-04-28T10:45:00+05:30,127.65,127.85,127.55,127.75,42826
2026-04-28T10:50:00+05:30,127.75,127.95,127.75,127.90,35566
2026-04-28T10:55:00+05:30,127.90,128.00,127.90,127.95,36541
2026-04-28T11:00:00+05:30,128.00,128.00,127.50,127.50,66292
2026-04-28T11:05:00+05:30,127.60,127.60,127.35,127.50,92222
2026-04-28T11:10:00+05:30,127.50,127.50,127.35,127.50,21489
2026-04-28T11:15:00+05:30,127.45,127.45,127.35,127.40,29733
2026-04-28T11:20:00+05:30,127.45,127.50,127.15,127.15,91236
2026-04-28T11:25:00+05:30,127.20,127.25,126.85,127.00,147901
2026-04-28T11:30:00+05:30,126.90,127.10,126.90,127.00,70253
2026-04-28T11:35:00+05:30,127.00,127.15,126.80,126.95,137975
2026-04-28T11:40:00+05:30,126.95,127.00,126.80,126.90,81288
2026-04-28T11:45:00+05:30,126.90,127.00,126.55,126.60,97630
2026-04-28T11:50:00+05:30,126.60,126.75,126.40,126.50,577029
2026-04-28T11:55:00+05:30,126.50,126.60,126.20,126.30,105355
2026-04-28T12:00:00+05:30,126.30,126.35,126.05,126.25,131030
2026-04-28T12:05:00+05:30,126.25,126.55,126.15,126.50,116448
2026-04-28T12:10:00+05:30,126.50,126.65,126.45,126.55,81014
2026-04-28T12:15:00+05:30,126.55,126.60,126.40,126.45,79313
2026-04-28T12:20:00+05:30,126.45,126.50,126.20,126.35,30784
2026-04-28T12:25:00+05:30,126.40,126.50,126.25,126.25,76222
2026-04-28T12:30:00+05:30,126.25,126.35,126.15,126.30,45432
2026-04-28T12:35:00+05:30,126.30,126.50,126.25,126.25,33065
2026-04-28T12:40:00+05:30,126.25,126.40,126.25,126.30,37089
2026-04-28T12:45:00+05:30,126.30,126.40,126.20,126.30,37539
2026-04-28T12:50:00+05:30,126.40,126.40,126.00,126.05,1035908
2026-04-28T12:55:00+05:30,126.00,126.05,125.90,126.00,63050
2026-04-28T13:00:00+05:30,126.00,126.10,125.90,126.00,66410
2026-04-28T13:05:00+05:30,126.00,126.10,125.90,126.10,31793
2026-04-28T13:10:00+05:30,126.10,126.15,126.00,126.05,99997
2026-04-28T13:15:00+05:30,126.00,126.35,126.00,126.25,858313
2026-04-28T13:20:00+05:30,126.20,126.45,126.15,126.25,259406
2026-04-28T13:25:00+05:30,126.25,126.35,126.10,126.10,65100
2026-04-28T13:30:00+05:30,126.00,126.10,125.80,126.00,132715
2026-04-28T13:35:00+05:30,126.00,126.00,125.80,125.85,208130
2026-04-28T13:40:00+05:30,125.85,126.00,125.80,125.95,50597
2026-04-28T13:45:00+05:30,125.95,125.95,125.85,125.90,25763
2026-04-28T13:50:00+05:30,125.90,126.00,125.85,126.00,43810
2026-04-28T13:55:00+05:30,126.00,126.00,125.70,125.85,169084
2026-04-28T14:00:00+05:30,125.85,125.95,125.75,125.75,55080
2026-04-28T14:05:00+05:30,125.75,125.95,125.70,125.95,37412
2026-04-28T14:10:00+05:30,125.95,126.00,125.85,125.85,32874
2026-04-28T14:15:00+05:30,125.85,125.90,125.60,125.70,95968
2026-04-28T14:20:00+05:30,125.75,125.75,125.60,125.75,117066
2026-04-28T14:25:00+05:30,125.75,125.75,125.60,125.70,70576
2026-04-28T14:30:00+05:30,125.65,126.05,125.65,125.90,1597391
2026-04-28T14:35:00+05:30,125.90,126.10,125.90,126.05,131774
2026-04-28T14:40:00+05:30,126.00,126.10,125.90,126.00,193354
2026-04-28T14:45:00+05:30,126.00,126.05,125.90,125.95,362767
2026-04-28T14:50:00+05:30,125.95,125.95,125.80,125.85,628254
2026-04-28T14:55:00+05:30,125.85,125.90,125.60,125.80,265749
2026-04-28T15:00:00+05:30,125.70,125.80,125.00,125.05,699650
2026-04-28T15:05:00+05:30,125.00,125.20,125.00,125.15,292583
2026-04-28T15:10:00+05:30,125.20,125.20,124.95,125.05,1085954
2026-04-28T15:15:00+05:30,125.05,125.35,124.95,125.30,816887
2026-04-28T15:20:00+05:30,125.35,125.40,125.15,125.30,742690
2026-04-28T15:25:00+05:30,125.35,126.00,125.20,125.20,786896
2026-04-29T09:15:00+05:30,125.75,127.00,125.45,125.70,0
2026-04-29T09:20:00+05:30,125.85,125.90,124.55,125.00,570774
2026-04-29T09:25:00+05:30,125.05,125.75,124.90,125.70,319620
2026-04-29T09:30:00+05:30,125.65,126.05,125.30,125.30,284189
2026-04-29T09:35:00+05:30,125.15,125.25,124.90,125.10,288016
2026-04-29T09:40:00+05:30,125.05,125.20,125.00,125.20,194902
2026-04-29T09:45:00+05:30,125.40,125.45,125.10,125.25,342431
