ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,2194.90,2212.40,2193.00,2207.30,0
2026-04-27T09:20:00+05:30,2207.60,2217.50,2206.20,2216.00,12561
2026-04-27T09:25:00+05:30,2218.30,2226.50,2218.30,2221.90,15964
2026-04-27T09:30:00+05:30,2223.30,2231.90,2218.90,2225.80,11679
2026-04-27T09:35:00+05:30,2224.30,2231.80,2220.90,2220.90,11496
2026-04-27T09:40:00+05:30,2223.00,2239.00,2222.90,2237.90,15647
2026-04-27T09:45:00+05:30,2238.00,2239.80,2232.20,2238.30,14569
2026-04-27T09:50:00+05:30,2236.80,2242.90,2234.10,2240.50,12554
2026-04-27T09:55:00+05:30,2241.10,2241.10,2231.10,2231.10,6439
2026-04-27T10:00:00+05:30,2231.60,2233.80,2225.40,2230.00,4827
2026-04-27T10:05:00+05:30,2226.80,2228.00,2225.10,2225.60,4142
2026-04-27T10:10:00+05:30,2225.70,2231.30,2225.70,2231.30,2767
2026-04-27T10:15:00+05:30,2233.30,2244.00,2233.30,2241.50,3825
2026-04-27T10:20:00+05:30,2242.10,2250.00,2242.10,2247.60,8087
2026-04-27T10:25:00+05:30,2248.20,2251.50,2247.10,2249.40,6411
2026-04-27T10:30:00+05:30,2250.30,2253.70,2250.30,2253.70,4037
2026-04-27T10:35:00+05:30,2253.80,2253.80,2246.10,2246.10,6590
2026-04-27T10:40:00+05:30,2246.80,2250.00,2246.00,2248.50,1118
2026-04-27T10:45:00+05:30,2249.30,2249.30,2242.20,2243.70,3232
2026-04-27T10:50:00+05:30,2245.00,2248.00,2244.00,2245.40,3097
2026-04-27T10:55:00+05:30,2246.10,2248.00,2243.70,2243.70,1454
2026-04-27T11:00:00+05:30,2243.80,2247.50,2242.70,2244.30,1621
2026-04-27T11:05:00+05:30,2244.40,2246.00,2239.30,2240.50,2142
2026-04-27T11:10:00+05:30,2242.00,2248.00,2241.00,2244.00,3428
2026-04-27T11:15:00+05:30,2244.90,2248.70,2242.00,2242.00,1404
2026-04-27T11:20:00+05:30,2243.50,2243.70,2236.60,2240.90,4690
2026-04-27T11:25:00+05:30,2240.10,2242.80,2238.30,2241.90,5079
2026-04-27T11:30:00+05:30,2241.00,2243.20,2239.80,2242.00,4338
2026-04-27T11:35:00+05:30,2242.10,2242.50,2235.20,2236.40,3117
2026-04-27T11:40:00+05:30,2236.20,2240.50,2235.30,2240.30,3282
2026-04-27T11:45:00+05:30,2239.90,2239.90,2235.80,2237.60,1297
2026-04-27T11:50:00+05:30,2236.60,2236.90,2233.70,2235.40,2711
2026-04-27T11:55:00+05:30,2236.00,2241.20,2235.30,2235.30,6973
2026-04-27T12:00:00+05:30,2234.80,2245.80,2234.80,2240.40,21041
2026-04-27T12:05:00+05:30,2240.70,2245.40,2238.50,2243.90,2779
2026-04-27T12:10:00+05:30,2244.00,2259.60,2244.00,2258.50,8133
2026-04-27T12:15:00+05:30,2257.10,2258.00,2251.60,2252.30,3714
2026-04-27T12:20:00+05:30,2253.00,2254.50,2249.80,2253.50,3756
2026-04-27T12:25:00+05:30,2253.30,2253.50,2246.10,2247.30,2013
2026-04-27T12:30:00+05:30,2247.00,2249.10,2246.00,2247.60,1132
2026-04-27T12:35:00+05:30,2248.20,2250.70,2247.60,2248.10,1020
2026-04-27T12:40:00+05:30,2248.50,2249.20,2246.80,2247.70,2971
2026-04-27T12:45:00+05:30,2247.90,2249.80,2246.30,2246.60,1260
2026-04-27T12:50:00+05:30,2247.00,2249.50,2244.10,2246.00,829
2026-04-27T12:55:00+05:30,2246.60,2248.70,2246.50,2247.60,793
2026-04-27T13:00:00+05:30,2247.70,2252.30,2247.70,2249.70,1690
2026-04-27T13:05:00+05:30,2248.80,2250.60,2246.60,2247.70,572
2026-04-27T13:10:00+05:30,2247.70,2249.90,2247.20,2249.90,492
2026-04-27T13:15:00+05:30,2250.00,2250.00,2246.30,2246.30,1224
2026-04-27T13:20:00+05:30,2245.30,2248.70,2245.00,2248.30,1069
2026-04-27T13:25:00+05:30,2248.30,2255.00,2247.40,2251.80,5447
2026-04-27T13:30:00+05:30,2250.60,2254.00,2245.00,2246.90,4129
2026-04-27T13:35:00+05:30,2247.00,2249.00,2245.50,2248.70,1068
2026-04-27T13:40:00+05:30,2247.80,2250.10,2247.40,2247.80,962
2026-04-27T13:45:00+05:30,2248.40,2254.70,2247.90,2251.20,7820
2026-04-27T13:50:00+05:30,2252.20,2253.00,2250.70,2252.90,2427
2026-04-27T13:55:00+05:30,2251.90,2260.00,2251.90,2260.00,4023
2026-04-27T14:00:00+05:30,2260.10,2268.20,2260.10,2261.30,7039
2026-04-27T14:05:00+05:30,2261.30,2263.70,2260.20,2262.20,1648
2026-04-27T14:10:00+05:30,2261.40,2268.00,2261.40,2264.80,2959
2026-04-27T14:15:00+05:30,2266.40,2269.40,2263.30,2266.60,10066
2026-04-27T14:20:00+05:30,2267.10,2267.40,2250.50,2259.50,17419
2026-04-27T14:25:00+05:30,2258.00,2261.80,2258.00,2260.50,510
2026-04-27T14:30:00+05:30,2262.30,2263.90,2257.40,2261.70,6531
2026-04-27T14:35:00+05:30,2262.30,2267.30,2260.90,2265.00,2894
2026-04-27T14:40:00+05:30,2264.90,2265.60,2263.00,2263.20,1508
2026-04-27T14:45:00+05:30,2264.20,2264.70,2259.60,2261.70,3093
2026-04-27T14:50:00+05:30,2261.50,2263.10,2260.80,2261.70,2712
2026-04-27T14:55:00+05:30,2261.30,2263.60,2260.70,2262.20,1994
2026-04-27T15:00:00+05:30,2262.20,2263.90,2260.70,2263.90,9719
2026-04-27T15:05:00+05:30,2263.90,2264.10,2262.80,2263.80,8053
2026-04-27T15:10:00+05:30,2263.80,2265.40,2263.10,2263.60,11163
2026-04-27T15:15:00+05:30,2264.50,2267.70,2263.10,2264.50,16638
2026-04-27T15:20:00+05:30,2264.00,2269.20,2263.90,2267.70,17870
2026-04-27T15:25:00+05:30,2265.10,2275.00,2262.40,2264.90,19637
2026-04-28T09:15:00+05:30,2265.20,2273.70,2257.20,2258.70,0
2026-04-28T09:20:00+05:30,2257.30,2261.60,2250.70,2253.80,4733
2026-04-28T09:25:00+05:30,2253.70,2264.80,2253.70,2263.00,4701
2026-04-28T09:30:00+05:30,2260.70,2261.60,2253.60,2254.20,2277
2026-04-28T09:35:00+05:30,2256.90,2264.90,2256.90,2262.40,2051
2026-04-28T09:40:00+05:30,2263.70,2268.20,2260.70,2268.20,1291
2026-04-28T09:45:00+05:30,2268.20,2270.10,2264.20,2264.20,3943
2026-04-28T09:50:00+05:30,2264.20,2270.00,2261.10,2268.80,3532
2026-04-28T09:55:00+05:30,2269.90,2273.30,2268.50,2273.30,1917
2026-04-28T10:00:00+05:30,2272.80,2285.30,2271.90,2281.70,9067
2026-04-28T10:05:00+05:30,2281.50,2287.00,2281.50,2287.00,1238
2026-04-28T10:10:00+05:30,2285.90,2288.00,2284.80,2287.00,1751
2026-04-28T10:15:00+05:30,2282.10,2285.70,2279.10,2280.20,3339
2026-04-28T10:20:00+05:30,2279.20,2284.20,2279.20,2284.00,2040
2026-04-28T10:25:00+05:30,2283.60,2284.60,2271.80,2272.10,2355
2026-04-28T10:30:00+05:30,2272.20,2273.50,2265.90,2267.80,2996
2026-04-28T10:35:00+05:30,2267.80,2268.10,2257.70,2259.90,5629
2026-04-28T10:40:00+05:30,2259.40,2262.20,2258.60,2261.00,681
2026-04-28T10:45:00+05:30,2260.00,2262.90,2259.90,2260.20,1710
2026-04-28T10:50:00+05:30,2260.00,2262.90,2258.70,2262.90,3319
2026-04-28T10:55:00+05:30,2261.00,2262.80,2259.20,2262.60,1614
2026-04-28T11:00:00+05:30,2262.70,2263.00,2259.10,2259.50,606
2026-04-28T11:05:00+05:30,2258.00,2260.90,2256.70,2259.10,1154
2026-04-28T11:10:00+05:30,2258.00,2260.10,2255.10,2256.60,767
2026-04-28T11:15:00+05:30,2256.50,2256.50,2252.80,2253.40,2910
2026-04-28T11:20:00+05:30,2254.50,2257.40,2253.70,2256.00,2003
2026-04-28T11:25:00+05:30,2256.20,2264.30,2254.60,2263.20,3863
2026-04-28T11:30:00+05:30,2264.00,2266.40,2262.00,2262.20,5928
2026-04-28T11:35:00+05:30,2262.60,2266.10,2262.00,2263.30,4092
2026-04-28T11:40:00+05:30,2263.00,2267.40,2262.00,2266.30,6174
2026-04-28T11:45:00+05:30,2267.20,2269.90,2265.00,2268.80,4315
2026-04-28T11:50:00+05:30,2268.90,2268.90,2258.90,2264.00,2345
2026-04-28T11:55:00+05:30,2264.40,2264.50,2261.30,2263.50,2064
2026-04-28T12:00:00+05:30,2262.30,2263.40,2258.60,2258.90,1225
2026-04-28T12:05:00+05:30,2259.80,2263.30,2258.10,2261.40,2122
2026-04-28T12:10:00+05:30,2262.50,2264.90,2260.70,2263.50,3320
2026-04-28T12:15:00+05:30,2262.80,2271.30,2262.70,2266.70,2908
2026-04-28T12:20:00+05:30,2268.10,2271.00,2267.10,2268.80,2165
2026-04-28T12:25:00+05:30,2269.70,2269.70,2265.20,2266.90,1260
2026-04-28T12:30:00+05:30,2266.90,2269.70,2265.70,2269.70,2241
2026-04-28T12:35:00+05:30,2269.20,2276.00,2269.20,2269.70,6584
2026-04-28T12:40:00+05:30,2270.30,2273.30,2269.10,2271.60,1258
2026-04-28T12:45:00+05:30,2272.70,2274.00,2270.40,2272.60,2386
2026-04-28T12:50:00+05:30,2273.50,2273.50,2271.00,2271.20,1474
2026-04-28T12:55:00+05:30,2271.20,2272.20,2268.60,2269.90,1522
