ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,132550.00,133440.00,132550.00,132605.00,0
2026-04-27T09:20:00+05:30,132655.00,133170.00,132650.00,133010.00,208
2026-04-27T09:25:00+05:30,132935.00,133200.00,132900.00,132925.00,115
2026-04-27T09:30:00+05:30,133005.00,133105.00,132900.00,133070.00,86
2026-04-27T09:35:00+05:30,132985.00,133150.00,132700.00,132700.00,109
2026-04-27T09:40:00+05:30,132810.00,132850.00,132300.00,132350.00,213
2026-04-27T09:45:00+05:30,132350.00,132545.00,132300.00,132545.00,122
2026-04-27T09:50:00+05:30,132630.00,132720.00,132270.00,132495.00,190
2026-04-27T09:55:00+05:30,132490.00,132500.00,132270.00,132285.00,102
2026-04-27T10:00:00+05:30,132400.00,132400.00,132155.00,132295.00,77
2026-04-27T10:05:00+05:30,132190.00,132200.00,131820.00,131940.00,242
2026-04-27T10:10:00+05:30,131985.00,132000.00,131850.00,131995.00,87
2026-04-27T10:15:00+05:30,131995.00,132065.00,131945.00,131980.00,58
2026-04-27T10:20:00+05:30,131980.00,131980.00,131870.00,131945.00,35
2026-04-27T10:25:00+05:30,131950.00,132020.00,131950.00,132020.00,33
2026-04-27T10:30:00+05:30,132065.00,132065.00,131930.00,132030.00,51
2026-04-27T10:35:00+05:30,132045.00,132055.00,131950.00,131950.00,27
2026-04-27T10:40:00+05:30,132000.00,132000.00,131955.00,132000.00,30
2026-04-27T10:45:00+05:30,132000.00,132005.00,131955.00,132000.00,21
2026-04-27T10:50:00+05:30,131985.00,132480.00,131985.00,132430.00,124
2026-04-27T10:55:00+05:30,132390.00,132390.00,132250.00,132300.00,36
2026-04-27T11:00:00+05:30,132295.00,132375.00,132285.00,132285.00,51
2026-04-27T11:05:00+05:30,132265.00,132265.00,132015.00,132015.00,46
2026-04-27T11:10:00+05:30,132100.00,132230.00,132100.00,132160.00,14
2026-04-27T11:15:00+05:30,132200.00,132300.00,132200.00,132215.00,31
2026-04-27T11:20:00+05:30,132200.00,132285.00,132165.00,132285.00,29
2026-04-27T11:25:00+05:30,132285.00,132355.00,132170.00,132200.00,110
2026-04-27T11:30:00+05:30,132150.00,132290.00,132100.00,132290.00,32
2026-04-27T11:35:00+05:30,132120.00,132235.00,132100.00,132225.00,26
2026-04-27T11:40:00+05:30,132110.00,132200.00,132075.00,132200.00,16
2026-04-27T11:45:00+05:30,132200.00,132200.00,131875.00,131995.00,82
2026-04-27T11:50:00+05:30,131995.00,132005.00,131995.00,132000.00,31
2026-04-27T11:55:00+05:30,132000.00,132025.00,131875.00,132025.00,88
2026-04-27T12:00:00+05:30,132100.00,132100.00,132005.00,132005.00,31
2026-04-27T12:05:00+05:30,132005.00,132160.00,132005.00,132120.00,20
2026-04-27T12:10:00+05:30,132120.00,132240.00,132115.00,132170.00,35
2026-04-27T12:15:00+05:30,132140.00,132140.00,132015.00,132015.00,15
2026-04-27T12:20:00+05:30,132125.00,132210.00,132125.00,132210.00,26
2026-04-27T12:25:00+05:30,132210.00,132295.00,132210.00,132295.00,38
2026-04-27T12:30:00+05:30,132300.00,132300.00,132100.00,132180.00,65
2026-04-27T12:35:00+05:30,132180.00,132200.00,132180.00,132200.00,29
2026-04-27T12:40:00+05:30,132200.00,132200.00,132100.00,132175.00,16
2026-04-27T12:45:00+05:30,132175.00,132200.00,132070.00,132110.00,49
2026-04-27T12:50:00+05:30,132175.00,132200.00,132065.00,132195.00,18
2026-04-27T12:55:00+05:30,132195.00,132195.00,132105.00,132185.00,29
2026-04-27T13:00:00+05:30,132185.00,132200.00,132150.00,132170.00,28
2026-04-27T13:05:00+05:30,132175.00,132200.00,132170.00,132200.00,22
2026-04-27T13:10:00+05:30,132200.00,132200.00,132170.00,132195.00,32
2026-04-27T13:15:00+05:30,132110.00,132200.00,132090.00,132195.00,27
2026-04-27T13:20:00+05:30,132195.00,132200.00,132190.00,132195.00,43
2026-04-27T13:25:00+05:30,132190.00,132200.00,132180.00,132180.00,28
2026-04-27T13:30:00+05:30,132200.00,132200.00,132180.00,132180.00,18
2026-04-27T13:35:00+05:30,132180.00,132200.00,132155.00,132200.00,67
2026-04-27T13:40:00+05:30,132200.00,132300.00,132200.00,132250.00,58
2026-04-27T13:45:00+05:30,132300.00,132300.00,132250.00,132250.00,61
2026-04-27T13:50:00+05:30,132250.00,132300.00,132210.00,132300.00,37
2026-04-27T13:55:00+05:30,132300.00,132325.00,132245.00,132300.00,60
2026-04-27T14:00:00+05:30,132300.00,132400.00,132300.00,132315.00,31
2026-04-27T14:05:00+05:30,132400.00,132400.00,132300.00,132330.00,23
2026-04-27T14:10:00+05:30,132330.00,132330.00,132250.00,132255.00,53
2026-04-27T14:15:00+05:30,132250.00,132300.00,132250.00,132300.00,32
2026-04-27T14:20:00+05:30,132280.00,132280.00,132050.00,132100.00,89
2026-04-27T14:25:00+05:30,132005.00,132130.00,132000.00,132025.00,60
2026-04-27T14:30:00+05:30,132090.00,132195.00,132020.00,132100.00,40
2026-04-27T14:35:00+05:30,132100.00,132200.00,132010.00,132125.00,45
2026-04-27T14:40:00+05:30,132045.00,132200.00,132045.00,132120.00,44
2026-04-27T14:45:00+05:30,132120.00,132145.00,132065.00,132120.00,48
2026-04-27T14:50:00+05:30,132100.00,132185.00,131980.00,131980.00,145
2026-04-27T14:55:00+05:30,131970.00,132070.00,131940.00,132045.00,43
2026-04-27T15:00:00+05:30,132045.00,132115.00,132000.00,132110.00,75
2026-04-27T15:05:00+05:30,132110.00,132365.00,132100.00,132300.00,388
2026-04-27T15:10:00+05:30,132280.00,132300.00,132175.00,132280.00,135
2026-04-27T15:15:00+05:30,132275.00,132275.00,131940.00,132055.00,265
2026-04-27T15:20:00+05:30,132015.00,132230.00,132005.00,132200.00,289
2026-04-27T15:25:00+05:30,132230.00,132990.00,132000.00,132990.00,312
2026-04-28T09:15:00+05:30,132345.00,132595.00,132075.00,132520.00,0
2026-04-28T09:20:00+05:30,132455.00,132645.00,132020.00,132065.00,267
2026-04-28T09:25:00+05:30,131960.00,132165.00,131900.00,131940.00,265
2026-04-28T09:30:00+05:30,131930.00,132005.00,131685.00,131705.00,242
2026-04-28T09:35:00+05:30,131700.00,131700.00,131210.00,131480.00,309
2026-04-28T09:40:00+05:30,131505.00,131820.00,131465.00,131700.00,153
2026-04-28T09:45:00+05:30,131730.00,131730.00,131320.00,131360.00,123
2026-04-28T09:50:00+05:30,131330.00,131360.00,131155.00,131180.00,165
2026-04-28T09:55:00+05:30,131185.00,131335.00,131180.00,131240.00,88
2026-04-28T10:00:00+05:30,131240.00,131335.00,131205.00,131325.00,90
2026-04-28T10:05:00+05:30,131335.00,131490.00,131310.00,131490.00,96
2026-04-28T10:10:00+05:30,131490.00,131585.00,131275.00,131275.00,129
2026-04-28T10:15:00+05:30,131360.00,131360.00,131180.00,131180.00,121
2026-04-28T10:20:00+05:30,131155.00,131405.00,131155.00,131365.00,58
2026-04-28T10:25:00+05:30,131400.00,131400.00,131255.00,131260.00,150
2026-04-28T10:30:00+05:30,131385.00,131395.00,131290.00,131390.00,32
2026-04-28T10:35:00+05:30,131310.00,131390.00,131305.00,131390.00,54
2026-04-28T10:40:00+05:30,131305.00,131375.00,131290.00,131290.00,183
2026-04-28T10:45:00+05:30,131255.00,131290.00,131200.00,131200.00,75
2026-04-28T10:50:00+05:30,131200.00,131220.00,131155.00,131220.00,63
2026-04-28T10:55:00+05:30,131165.00,131265.00,131155.00,131170.00,49
2026-04-28T11:00:00+05:30,131170.00,131300.00,131170.00,131300.00,64
2026-04-28T11:05:00+05:30,131240.00,131250.00,131170.00,131250.00,75
2026-04-28T11:10:00+05:30,131255.00,131255.00,131175.00,131240.00,42
2026-04-28T11:15:00+05:30,131175.00,131260.00,131175.00,131185.00,47
2026-04-28T11:20:00+05:30,131190.00,131220.00,131100.00,131175.00,137
2026-04-28T11:25:00+05:30,131100.00,131100.00,130900.00,130900.00,292
2026-04-28T11:30:00+05:30,130900.00,131005.00,130900.00,131005.00,63
2026-04-28T11:35:00+05:30,131000.00,131050.00,130960.00,130960.00,53
2026-04-28T11:40:00+05:30,131000.00,131000.00,130945.00,130960.00,54
2026-04-28T11:45:00+05:30,130990.00,131000.00,130905.00,130905.00,50
2026-04-28T11:50:00+05:30,130905.00,130950.00,130860.00,130860.00,40
2026-04-28T11:55:00+05:30,130850.00,130855.00,130600.00,130605.00,139
2026-04-28T12:00:00+05:30,130625.00,130650.00,130505.00,130510.00,63
2026-04-28T12:05:00+05:30,130570.00,130575.00,130500.00,130575.00,49
2026-04-28T12:10:00+05:30,130505.00,130575.00,130500.00,130510.00,47
2026-04-28T12:15:00+05:30,130570.00,130605.00,130510.00,130515.00,38
2026-04-28T12:20:00+05:30,130520.00,130585.00,130505.00,130505.00,30
2026-04-28T12:25:00+05:30,130505.00,130570.00,130430.00,130430.00,108
2026-04-28T12:30:00+05:30,130455.00,130500.00,130400.00,130400.00,64
2026-04-28T12:35:00+05:30,130425.00,130610.00,130405.00,130525.00,83
2026-04-28T12:40:00+05:30,130525.00,130540.00,130450.00,130500.00,30
2026-04-28T12:45:00+05:30,130500.00,130560.00,130430.00,130440.00,61
2026-04-28T12:50:00+05:30,130435.00,130525.00,130430.00,130445.00,61
2026-04-28T12:55:00+05:30,130450.00,130550.00,130440.00,130535.00,57
2026-04-28T13:00:00+05:30,130515.00,130590.00,130450.00,130510.00,49
2026-04-28T13:05:00+05:30,130585.00,130590.00,130510.00,130515.00,28
2026-04-28T13:10:00+05:30,130515.00,130575.00,130500.00,130500.00,49
2026-04-28T13:15:00+05:30,130500.00,130570.00,130465.00,130475.00,56
2026-04-28T13:20:00+05:30,130450.00,130545.00,130435.00,130435.00,32
2026-04-28T13:25:00+05:30,130430.00,130500.00,130410.00,130410.00,33
2026-04-28T13:30:00+05:30,130410.00,130450.00,130300.00,130300.00,115
2026-04-28T13:35:00+05:30,130300.00,130340.00,130200.00,130250.00,64
2026-04-28T13:40:00+05:30,130210.00,130400.00,130210.00,130390.00,64
2026-04-28T13:45:00+05:30,130250.00,130380.00,130250.00,130270.00,34
2026-04-28T13:50:00+05:30,130270.00,130315.00,130255.00,130315.00,40
2026-04-28T13:55:00+05:30,130260.00,130315.00,130255.00,130255.00,35
2026-04-28T14:00:00+05:30,130285.00,130315.00,130255.00,130315.00,49
2026-04-28T14:05:00+05:30,130260.00,130320.00,130250.00,130285.00,33
2026-04-28T14:10:00+05:30,130285.00,130305.00,130230.00,130230.00,51
2026-04-28T14:15:00+05:30,130230.00,130285.00,130225.00,130285.00,48
2026-04-28T14:20:00+05:30,130225.00,130285.00,130210.00,130220.00,65
2026-04-28T14:25:00+05:30,130220.00,130275.00,130150.00,130250.00,93
2026-04-28T14:30:00+05:30,130245.00,130365.00,130170.00,130275.00,56
2026-04-28T14:35:00+05:30,130270.00,130345.00,130200.00,130210.00,52
2026-04-28T14:40:00+05:30,130200.00,130280.00,130200.00,130280.00,56
2026-04-28T14:45:00+05:30,130225.00,130320.00,130170.00,130200.00,93
2026-04-28T14:50:00+05:30,130170.00,130355.00,130170.00,130335.00,120
2026-04-28T14:55:00+05:30,130220.00,130350.00,130200.00,130235.00,151
2026-04-28T15:00:00+05:30,130310.00,130310.00,130105.00,130230.00,233
2026-04-28T15:05:00+05:30,130260.00,130290.00,130205.00,130215.00,217
2026-04-28T15:10:00+05:30,130220.00,130250.00,130150.00,130180.00,204
2026-04-28T15:15:00+05:30,130185.00,130185.00,130005.00,130055.00,453
2026-04-28T15:20:00+05:30,130140.00,130140.00,130000.00,130010.00,310
2026-04-28T15:25:00+05:30,130000.00,130320.00,130000.00,130320.00,381
2026-04-29T09:15:00+05:30,131570.00,133655.00,131570.00,133600.00,0
2026-04-29T09:20:00+05:30,133600.00,133695.00,133190.00,133240.00,362
2026-04-29T09:25:00+05:30,133555.00,133700.00,133250.00,133260.00,321
2026-04-29T09:30:00+05:30,133260.00,133650.00,133030.00,133030.00,198
2026-04-29T09:35:00+05:30,132715.00,132800.00,132385.00,132600.00,304
2026-04-29T09:40:00+05:30,132540.00,133595.00,132535.00,133590.00,406
2026-04-29T09:45:00+05:30,133700.00,134100.00,133465.00,133470.00,477
2026-04-29T09:50:00+05:30,133570.00,133745.00,133330.00,133610.00,157
2026-04-29T09:55:00+05:30,133645.00,133645.00,133250.00,133410.00,106
2026-04-29T10:00:00+05:30,133410.00,133550.00,133250.00,133330.00,45
2026-04-29T10:05:00+05:30,133330.00,133335.00,133150.00,133195.00,78
2026-04-29T10:10:00+05:30,133195.00,133300.00,133100.00,133100.00,72
2026-04-29T10:15:00+05:30,133100.00,133220.00,133000.00,133015.00,90
2026-04-29T10:20:00+05:30,133060.00,133290.00,133010.00,133260.00,70
2026-04-29T10:25:00+05:30,133350.00,133375.00,133260.00,133345.00,51
2026-04-29T10:30:00+05:30,133200.00,133200.00,131880.00,132010.00,375
2026-04-29T10:35:00+05:30,132145.00,132145.00,131810.00,131990.00,185
2026-04-29T10:40:00+05:30,131990.00,132050.00,131800.00,131915.00,102
2026-04-29T10:45:00+05:30,131910.00,131930.00,131705.00,131930.00,149
2026-04-29T10:50:00+05:30,131840.00,131930.00,131745.00,131745.00,53
2026-04-29T10:55:00+05:30,131720.00,131720.00,130795.00,131160.00,368
2026-04-29T11:00:00+05:30,131220.00,131400.00,131025.00,131330.00,106
2026-04-29T11:05:00+05:30,131330.00,131545.00,131265.00,131545.00,64
2026-04-29T11:10:00+05:30,131465.00,131530.00,131400.00,131495.00,56
2026-04-29T11:15:00+05:30,131450.00,131545.00,131265.00,131365.00,61
2026-04-29T11:20:00+05:30,131385.00,131460.00,131310.00,131375.00,26
2026-04-29T11:25:00+05:30,131400.00,131930.00,131375.00,131400.00,166
2026-04-29T11:30:00+05:30,131430.00,131595.00,131430.00,131575.00,23
2026-04-29T11:35:00+05:30,131600.00,131640.00,131470.00,131470.00,30
2026-04-29T11:40:00+05:30,131505.00,131575.00,131450.00,131475.00,33
2026-04-29T11:45:00+05:30,131365.00,131365.00,131015.00,131015.00,213
2026-04-29T11:50:00+05:30,131010.00,131165.00,130900.00,131095.00,122
2026-04-29T11:55:00+05:30,131190.00,131270.00,131135.00,131170.00,14
2026-04-29T12:00:00+05:30,131260.00,131340.00,131150.00,131170.00,50
2026-04-29T12:05:00+05:30,131280.00,131300.00,131170.00,131250.00,69
2026-04-29T12:10:00+05:30,131300.00,131450.00,131140.00,131145.00,59
2026-04-29T12:15:00+05:30,131105.00,131310.00,131105.00,131250.00,18
2026-04-29T12:20:00+05:30,131275.00,131275.00,131200.00,131205.00,10
2026-04-29T12:25:00+05:30,131250.00,131300.00,131200.00,131240.00,36
2026-04-29T12:30:00+05:30,131195.00,131295.00,131095.00,131100.00,109
2026-04-29T12:35:00+05:30,131150.00,131150.00,130855.00,131000.00,133
2026-04-29T12:40:00+05:30,131000.00,131065.00,130905.00,130915.00,68
2026-04-29T12:45:00+05:30,130915.00,131010.00,130910.00,130950.00,40
2026-04-29T12:50:00+05:30,130945.00,131035.00,130900.00,130905.00,52
