ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,3500.10,3540.70,3500.10,3511.40,0
2026-04-27T09:20:00+05:30,3512.20,3539.80,3512.20,3527.10,6468
2026-04-27T09:25:00+05:30,3523.40,3529.50,3500.40,3504.30,5486
2026-04-27T09:30:00+05:30,3503.20,3510.00,3490.00,3490.40,7707
2026-04-27T09:35:00+05:30,3490.30,3490.70,3480.70,3483.30,3131
2026-04-27T09:40:00+05:30,3484.30,3494.90,3484.30,3487.50,4088
2026-04-27T09:45:00+05:30,3487.90,3496.90,3487.90,3492.00,2198
2026-04-27T09:50:00+05:30,3492.00,3506.90,3492.00,3505.60,7978
2026-04-27T09:55:00+05:30,3506.80,3511.70,3503.90,3504.10,4964
2026-04-27T10:00:00+05:30,3504.10,3508.60,3501.60,3501.60,3931
2026-04-27T10:05:00+05:30,3500.90,3503.70,3492.10,3500.10,10346
2026-04-27T10:10:00+05:30,3500.20,3503.50,3495.00,3496.00,3401
2026-04-27T10:15:00+05:30,3495.30,3500.00,3495.20,3498.10,1862
2026-04-27T10:20:00+05:30,3498.40,3500.60,3495.00,3495.00,2228
2026-04-27T10:25:00+05:30,3493.50,3498.40,3487.70,3498.40,3288
2026-04-27T10:30:00+05:30,3494.90,3496.40,3490.00,3490.00,1786
2026-04-27T10:35:00+05:30,3490.00,3498.10,3488.90,3493.80,1576
2026-04-27T10:40:00+05:30,3495.20,3500.70,3494.90,3499.20,1909
2026-04-27T10:45:00+05:30,3499.20,3499.20,3494.10,3495.90,2806
2026-04-27T10:50:00+05:30,3495.90,3500.00,3495.90,3499.40,1463
2026-04-27T10:55:00+05:30,3499.50,3508.90,3499.30,3500.40,6876
2026-04-27T11:00:00+05:30,3500.40,3502.10,3495.00,3498.10,3721
2026-04-27T11:05:00+05:30,3498.00,3500.50,3495.40,3495.90,3273
2026-04-27T11:10:00+05:30,3496.20,3502.70,3496.20,3500.30,3787
2026-04-27T11:15:00+05:30,3500.30,3503.90,3498.80,3501.40,4437
2026-04-27T11:20:00+05:30,3500.80,3502.30,3498.00,3500.30,2013
2026-04-27T11:25:00+05:30,3500.90,3504.10,3500.00,3500.40,2896
2026-04-27T11:30:00+05:30,3500.50,3507.00,3498.00,3505.60,3239
2026-04-27T11:35:00+05:30,3505.80,3509.00,3500.00,3503.30,3867
2026-04-27T11:40:00+05:30,3504.00,3506.60,3502.00,3506.00,2291
2026-04-27T11:45:00+05:30,3505.00,3506.50,3503.10,3505.60,1711
2026-04-27T11:50:00+05:30,3505.60,3506.30,3501.30,3502.30,1443
2026-04-27T11:55:00+05:30,3502.30,3508.80,3502.00,3502.50,5178
2026-04-27T12:00:00+05:30,3502.50,3502.90,3497.30,3498.10,1936
2026-04-27T12:05:00+05:30,3498.10,3501.70,3497.50,3497.90,2547
2026-04-27T12:10:00+05:30,3497.90,3501.70,3497.90,3501.40,655
2026-04-27T12:15:00+05:30,3501.40,3507.90,3500.70,3507.00,3135
2026-04-27T12:20:00+05:30,3505.70,3505.70,3500.70,3501.60,1452
2026-04-27T12:25:00+05:30,3501.70,3504.00,3497.90,3500.10,2323
2026-04-27T12:30:00+05:30,3500.00,3507.80,3496.80,3506.90,1638
2026-04-27T12:35:00+05:30,3506.90,3508.90,3506.50,3507.10,4877
2026-04-27T12:40:00+05:30,3506.90,3508.90,3506.90,3507.60,1710
2026-04-27T12:45:00+05:30,3507.30,3521.00,3506.90,3518.30,6641
2026-04-27T12:50:00+05:30,3519.50,3520.00,3511.90,3511.90,9535
2026-04-27T12:55:00+05:30,3512.70,3514.00,3509.20,3509.30,4030
2026-04-27T13:00:00+05:30,3510.50,3513.00,3507.90,3510.70,7417
2026-04-27T13:05:00+05:30,3511.10,3511.90,3505.00,3508.40,68651
2026-04-27T13:10:00+05:30,3508.40,3511.00,3507.70,3509.40,6968
2026-04-27T13:15:00+05:30,3509.50,3512.00,3505.20,3505.20,9946
2026-04-27T13:20:00+05:30,3504.70,3504.70,3497.10,3499.80,4804
2026-04-27T13:25:00+05:30,3498.70,3500.60,3497.00,3500.60,1316
2026-04-27T13:30:00+05:30,3500.50,3503.70,3499.10,3500.10,1878
2026-04-27T13:35:00+05:30,3500.10,3511.60,3499.40,3510.10,13603
2026-04-27T13:40:00+05:30,3510.40,3511.00,3507.10,3508.40,5620
2026-04-27T13:45:00+05:30,3508.30,3514.90,3506.90,3513.40,7259
2026-04-27T13:50:00+05:30,3513.50,3515.80,3509.10,3514.00,7790
2026-04-27T13:55:00+05:30,3514.00,3520.40,3510.50,3517.90,14720
2026-04-27T14:00:00+05:30,3517.20,3523.30,3509.60,3522.40,26949
2026-04-27T14:05:00+05:30,3522.40,3526.80,3520.90,3521.10,10634
2026-04-27T14:10:00+05:30,3522.50,3525.80,3521.30,3521.90,4885
2026-04-27T14:15:00+05:30,3521.30,3523.80,3519.90,3520.60,2548
2026-04-27T14:20:00+05:30,3520.60,3525.80,3518.00,3525.60,2673
2026-04-27T14:25:00+05:30,3524.60,3525.90,3523.90,3524.60,2964
2026-04-27T14:30:00+05:30,3524.60,3524.80,3520.20,3522.10,5121
2026-04-27T14:35:00+05:30,3521.20,3525.30,3520.80,3521.30,5654
2026-04-27T14:40:00+05:30,3521.10,3522.90,3512.50,3514.20,8797
2026-04-27T14:45:00+05:30,3513.90,3513.90,3508.00,3508.00,8060
2026-04-27T14:50:00+05:30,3508.00,3508.00,3497.90,3499.00,6155
2026-04-27T14:55:00+05:30,3498.20,3501.90,3498.20,3499.70,6789
2026-04-27T15:00:00+05:30,3501.50,3501.50,3496.10,3498.20,7376
2026-04-27T15:05:00+05:30,3498.20,3500.80,3496.60,3499.20,6070
2026-04-27T15:10:00+05:30,3500.50,3502.20,3498.10,3500.50,12835
2026-04-27T15:15:00+05:30,3498.40,3500.00,3487.70,3490.00,11962
2026-04-27T15:20:00+05:30,3487.10,3491.00,3484.40,3490.00,24104
2026-04-27T15:25:00+05:30,3485.80,3495.00,3484.70,3493.80,12882
2026-04-28T09:15:00+05:30,3495.00,3505.50,3486.30,3505.50,0
