ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,443.00,443.00,439.55,441.50,0
2026-04-27T09:20:00+05:30,441.85,444.05,441.50,441.75,277634
2026-04-27T09:25:00+05:30,441.60,442.70,440.90,441.60,238949
2026-04-27T09:30:00+05:30,441.60,442.70,441.60,441.85,153703
2026-04-27T09:35:00+05:30,442.20,443.35,442.20,442.90,172442
2026-04-27T09:40:00+05:30,442.90,443.50,441.90,443.35,115980
2026-04-27T09:45:00+05:30,443.50,444.95,443.50,444.80,263475
2026-04-27T09:50:00+05:30,444.65,445.05,443.95,444.25,190024
2026-04-27T09:55:00+05:30,444.25,444.95,443.80,444.95,65281
2026-04-27T10:00:00+05:30,445.00,445.00,443.15,443.15,88975
2026-04-27T10:05:00+05:30,443.15,443.70,443.15,443.70,36404
2026-04-27T10:10:00+05:30,443.60,443.95,442.85,442.90,83296
2026-04-27T10:15:00+05:30,443.20,443.85,442.45,442.95,74807
2026-04-27T10:20:00+05:30,442.70,442.85,442.20,442.25,61328
2026-04-27T10:25:00+05:30,442.25,442.40,441.55,442.35,86903
2026-04-27T10:30:00+05:30,442.35,442.40,441.40,441.65,48532
2026-04-27T10:35:00+05:30,441.60,441.90,441.00,441.90,103354
2026-04-27T10:40:00+05:30,441.80,441.90,441.15,441.40,56732
2026-04-27T10:45:00+05:30,441.45,441.70,441.10,441.70,44704
2026-04-27T10:50:00+05:30,441.70,441.90,441.30,441.55,45044
2026-04-27T10:55:00+05:30,441.40,441.45,440.85,440.85,46660
2026-04-27T11:00:00+05:30,440.85,441.25,440.35,440.95,67118
2026-04-27T11:05:00+05:30,440.95,441.45,440.90,441.30,40594
2026-04-27T11:10:00+05:30,441.35,442.05,441.30,442.05,61584
2026-04-27T11:15:00+05:30,441.85,442.30,441.65,441.65,56299
2026-04-27T11:20:00+05:30,441.60,442.00,441.35,441.65,18313
2026-04-27T11:25:00+05:30,441.70,442.00,441.50,441.60,14497
2026-04-27T11:30:00+05:30,441.55,441.90,441.30,441.45,19761
2026-04-27T11:35:00+05:30,441.45,441.45,440.25,440.60,36864
2026-04-27T11:40:00+05:30,440.80,441.30,440.50,441.05,28548
2026-04-27T11:45:00+05:30,441.15,441.35,441.00,441.35,16227
2026-04-27T11:50:00+05:30,441.30,441.50,440.95,441.10,38576
2026-04-27T11:55:00+05:30,441.10,441.35,441.10,441.35,11443
2026-04-27T12:00:00+05:30,441.25,441.25,440.65,440.80,25791
2026-04-27T12:05:00+05:30,440.80,441.30,440.80,441.30,19411
2026-04-27T12:10:00+05:30,441.25,441.65,441.20,441.40,21688
2026-04-27T12:15:00+05:30,441.40,441.80,441.40,441.75,17768
2026-04-27T12:20:00+05:30,441.65,441.90,441.40,441.90,26776
2026-04-27T12:25:00+05:30,441.85,441.90,441.45,441.50,18052
2026-04-27T12:30:00+05:30,441.45,441.75,441.20,441.65,19207
2026-04-27T12:35:00+05:30,441.65,441.70,440.80,441.00,40435
2026-04-27T12:40:00+05:30,440.90,441.45,440.70,441.35,21876
2026-04-27T12:45:00+05:30,441.35,441.50,441.20,441.35,8038
