ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,994.75,1007.30,994.75,1003.40,0
2026-04-27T09:20:00+05:30,1003.80,1007.20,1000.80,1005.35,24344
2026-04-27T09:25:00+05:30,1005.90,1008.80,1004.45,1006.00,29284
2026-04-27T09:30:00+05:30,1006.00,1007.75,1001.00,1001.85,38770
2026-04-27T09:35:00+05:30,1001.65,1006.95,1001.65,1003.35,20428
2026-04-27T09:40:00+05:30,1003.35,1007.10,1001.75,1005.60,14218
2026-04-27T09:45:00+05:30,1005.60,1014.15,1005.30,1010.50,89442
2026-04-27T09:50:00+05:30,1011.45,1017.00,1011.20,1016.30,47344
2026-04-27T09:55:00+05:30,1016.10,1019.00,1015.70,1017.00,37008
2026-04-27T10:00:00+05:30,1017.30,1017.30,1011.85,1011.85,14273
2026-04-27T10:05:00+05:30,1011.10,1012.20,1010.10,1010.25,10441
2026-04-27T10:10:00+05:30,1010.25,1013.45,1010.20,1012.70,9731
2026-04-27T10:15:00+05:30,1013.20,1015.15,1010.40,1010.45,43710
2026-04-27T10:20:00+05:30,1010.40,1015.15,1009.30,1014.40,39325
2026-04-27T10:25:00+05:30,1014.80,1015.75,1013.70,1015.35,15225
2026-04-27T10:30:00+05:30,1015.50,1016.85,1014.30,1016.65,12570
2026-04-27T10:35:00+05:30,1016.90,1020.35,1012.95,1019.85,106610
2026-04-27T10:40:00+05:30,1020.55,1022.90,1018.65,1019.10,19291
2026-04-27T10:45:00+05:30,1018.80,1019.55,1016.70,1018.30,14884
2026-04-27T10:50:00+05:30,1018.15,1018.60,1017.30,1017.75,7697
2026-04-27T10:55:00+05:30,1017.70,1017.80,1014.35,1014.65,13500
2026-04-27T11:00:00+05:30,1014.80,1014.80,1012.85,1014.30,8682
2026-04-27T11:05:00+05:30,1014.05,1014.75,1009.40,1010.40,17704
2026-04-27T11:10:00+05:30,1010.80,1013.25,1010.70,1012.25,24031
2026-04-27T11:15:00+05:30,1012.25,1012.35,1010.65,1010.95,7880
2026-04-27T11:20:00+05:30,1010.90,1010.90,1009.40,1009.70,6847
2026-04-27T11:25:00+05:30,1009.25,1009.65,1008.55,1008.85,5546
2026-04-27T11:30:00+05:30,1008.85,1009.00,1006.65,1006.95,9099
2026-04-27T11:35:00+05:30,1007.30,1007.30,1005.25,1006.80,10634
2026-04-27T11:40:00+05:30,1006.80,1009.30,1006.15,1008.30,6613
2026-04-27T11:45:00+05:30,1008.45,1008.45,1005.60,1006.95,6020
2026-04-27T11:50:00+05:30,1006.00,1006.35,1004.00,1005.55,12230
2026-04-27T11:55:00+05:30,1005.55,1006.25,1005.35,1005.90,5002
2026-04-27T12:00:00+05:30,1005.90,1005.90,1004.20,1005.45,5890
2026-04-27T12:05:00+05:30,1004.95,1007.00,1004.90,1005.20,4421
2026-04-27T12:10:00+05:30,1005.25,1010.30,1005.25,1010.20,23687
2026-04-27T12:15:00+05:30,1010.05,1010.05,1009.05,1009.75,6881
2026-04-27T12:20:00+05:30,1009.70,1010.30,1009.05,1009.95,4687
2026-04-27T12:25:00+05:30,1010.20,1010.45,1008.75,1008.75,9189
2026-04-27T12:30:00+05:30,1008.65,1009.55,1007.55,1008.25,5587
2026-04-27T12:35:00+05:30,1008.25,1008.95,1007.70,1007.90,4264
2026-04-27T12:40:00+05:30,1008.00,1010.00,1007.60,1009.00,5047
2026-04-27T12:45:00+05:30,1008.95,1009.05,1007.55,1007.85,4246
2026-04-27T12:50:00+05:30,1007.85,1007.85,1006.60,1006.75,4188
2026-04-27T12:55:00+05:30,1006.35,1006.90,1005.55,1005.75,6199
2026-04-27T13:00:00+05:30,1005.75,1006.60,1005.75,1006.10,5881
2026-04-27T13:05:00+05:30,1005.80,1007.20,1005.25,1007.15,4588
2026-04-27T13:10:00+05:30,1007.30,1007.30,1005.70,1006.50,5277
2026-04-27T13:15:00+05:30,1006.30,1006.90,1005.35,1005.85,7507
2026-04-27T13:20:00+05:30,1005.35,1007.00,1005.35,1006.60,5326
2026-04-27T13:25:00+05:30,1006.50,1006.90,1005.65,1005.90,7160
2026-04-27T13:30:00+05:30,1005.80,1005.95,1005.20,1005.95,5751
2026-04-27T13:35:00+05:30,1005.95,1006.90,1005.75,1005.95,4149
2026-04-27T13:40:00+05:30,1005.95,1008.70,1005.90,1007.30,5562
2026-04-27T13:45:00+05:30,1007.05,1007.55,1005.90,1006.25,4470
2026-04-27T13:50:00+05:30,1006.15,1006.15,1005.25,1005.80,5262
2026-04-27T13:55:00+05:30,1005.60,1006.70,1005.60,1006.65,6375
2026-04-27T14:00:00+05:30,1006.45,1006.80,1005.65,1005.65,8847
2026-04-27T14:05:00+05:30,1005.60,1006.30,1005.35,1006.30,3165
2026-04-27T14:10:00+05:30,1006.05,1006.65,1005.00,1005.50,7230
2026-04-27T14:15:00+05:30,1005.50,1005.80,1003.05,1003.85,10022
2026-04-27T14:20:00+05:30,1003.55,1004.70,1003.50,1004.45,5409
2026-04-27T14:25:00+05:30,1004.45,1004.60,1003.30,1003.55,7036
2026-04-27T14:30:00+05:30,1003.55,1003.80,1001.05,1001.50,9009
2026-04-27T14:35:00+05:30,1001.50,1003.85,1000.85,1003.85,13385
2026-04-27T14:40:00+05:30,1003.75,1003.75,1002.35,1002.90,7591
2026-04-27T14:45:00+05:30,1002.65,1003.15,1001.75,1002.80,12558
2026-04-27T14:50:00+05:30,1002.90,1003.05,1002.35,1002.75,7854
