ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,1425.10,1434.10,1425.10,1430.60,0
2026-04-27T09:20:00+05:30,1431.50,1434.70,1430.10,1432.90,45072
2026-04-27T09:25:00+05:30,1433.10,1437.60,1433.10,1437.00,83122
2026-04-27T09:30:00+05:30,1436.50,1436.80,1431.50,1431.80,40760
2026-04-27T09:35:00+05:30,1432.40,1436.20,1432.20,1435.30,30755
2026-04-27T09:40:00+05:30,1435.40,1436.20,1431.50,1432.40,24842
2026-04-27T09:45:00+05:30,1432.70,1434.00,1431.70,1433.30,18419
2026-04-27T09:50:00+05:30,1433.30,1434.70,1431.50,1432.40,19824
2026-04-27T09:55:00+05:30,1432.10,1432.90,1431.70,1432.90,15195
2026-04-27T10:00:00+05:30,1432.90,1433.90,1431.20,1431.20,15652
2026-04-27T10:05:00+05:30,1431.20,1432.30,1425.20,1427.20,34285
2026-04-27T10:10:00+05:30,1427.30,1429.70,1427.30,1427.60,14208
2026-04-27T10:15:00+05:30,1427.60,1430.00,1423.00,1423.40,29430
2026-04-27T10:20:00+05:30,1423.00,1423.40,1419.40,1421.00,23019
2026-04-27T10:25:00+05:30,1421.00,1421.00,1418.70,1419.70,18868
2026-04-27T10:30:00+05:30,1420.00,1421.60,1419.80,1421.60,14028
2026-04-27T10:35:00+05:30,1421.50,1422.40,1420.80,1422.40,15652
2026-04-27T10:40:00+05:30,1422.30,1424.50,1422.30,1424.10,11660
2026-04-27T10:45:00+05:30,1424.20,1424.70,1421.70,1424.70,17743
2026-04-27T10:50:00+05:30,1425.00,1426.80,1424.80,1425.40,20337
2026-04-27T10:55:00+05:30,1425.40,1426.40,1425.40,1426.20,4349
2026-04-27T11:00:00+05:30,1425.60,1425.80,1423.90,1425.80,13902
2026-04-27T11:05:00+05:30,1426.10,1429.50,1425.80,1428.50,19185
2026-04-27T11:10:00+05:30,1428.70,1429.40,1427.30,1427.60,20554
2026-04-27T11:15:00+05:30,1427.60,1430.00,1427.60,1428.60,14392
2026-04-27T11:20:00+05:30,1428.20,1429.00,1427.70,1428.60,6019
2026-04-27T11:25:00+05:30,1428.80,1428.80,1427.00,1427.10,12649
2026-04-27T11:30:00+05:30,1427.00,1427.40,1425.50,1425.60,11773
2026-04-27T11:35:00+05:30,1425.60,1425.70,1422.50,1424.40,24948
2026-04-27T11:40:00+05:30,1424.30,1426.20,1423.80,1425.50,11409
2026-04-27T11:45:00+05:30,1425.40,1426.90,1424.10,1426.80,13346
2026-04-27T11:50:00+05:30,1426.50,1426.60,1424.70,1426.30,10086
2026-04-27T11:55:00+05:30,1426.40,1426.90,1424.70,1425.50,11990
2026-04-27T12:00:00+05:30,1425.50,1426.90,1425.50,1426.80,9760
2026-04-27T12:05:00+05:30,1426.90,1428.00,1426.00,1426.20,14600
2026-04-27T12:10:00+05:30,1426.10,1427.90,1426.00,1426.60,11220
2026-04-27T12:15:00+05:30,1426.60,1428.00,1426.60,1427.10,9250
2026-04-27T12:20:00+05:30,1426.90,1426.90,1425.30,1426.10,15079
2026-04-27T12:25:00+05:30,1426.00,1427.40,1426.00,1426.60,10138
2026-04-27T12:30:00+05:30,1426.60,1426.80,1425.10,1426.50,14171
2026-04-27T12:35:00+05:30,1426.80,1427.90,1424.10,1425.30,13835
2026-04-27T12:40:00+05:30,1425.10,1426.70,1424.50,1426.70,12434
2026-04-27T12:45:00+05:30,1426.50,1426.90,1424.60,1424.60,11368
2026-04-27T12:50:00+05:30,1424.60,1426.40,1424.50,1425.80,11368
2026-04-27T12:55:00+05:30,1426.20,1426.20,1423.40,1423.40,18376
2026-04-27T13:00:00+05:30,1424.30,1426.80,1423.90,1424.90,13298
2026-04-27T13:05:00+05:30,1424.80,1424.80,1422.50,1423.50,13549
2026-04-27T13:10:00+05:30,1423.90,1424.50,1421.50,1424.40,15576
2026-04-27T13:15:00+05:30,1424.50,1425.50,1423.50,1424.50,14328
2026-04-27T13:20:00+05:30,1424.70,1424.70,1423.00,1423.50,14297
2026-04-27T13:25:00+05:30,1423.40,1424.20,1422.10,1422.50,19870
2026-04-27T13:30:00+05:30,1422.50,1422.90,1421.20,1422.00,11267
2026-04-27T13:35:00+05:30,1422.30,1424.30,1421.90,1423.60,14434
2026-04-27T13:40:00+05:30,1424.20,1424.40,1422.80,1423.20,12566
2026-04-27T13:45:00+05:30,1423.40,1424.80,1423.10,1423.30,13599
2026-04-27T13:50:00+05:30,1423.40,1425.00,1422.50,1425.00,11675
2026-04-27T13:55:00+05:30,1425.00,1427.00,1424.40,1425.90,15535
2026-04-27T14:00:00+05:30,1425.90,1426.00,1424.00,1425.40,14054
2026-04-27T14:05:00+05:30,1425.50,1425.70,1423.50,1424.20,14645
2026-04-27T14:10:00+05:30,1424.20,1424.90,1422.80,1423.10,16670
2026-04-27T14:15:00+05:30,1423.80,1423.90,1422.40,1423.10,16770
2026-04-27T14:20:00+05:30,1423.10,1424.30,1422.10,1424.00,14377
2026-04-27T14:25:00+05:30,1423.80,1425.00,1423.30,1423.60,15173
2026-04-27T14:30:00+05:30,1424.10,1424.50,1421.40,1421.50,20977
2026-04-27T14:35:00+05:30,1421.50,1424.00,1421.40,1423.40,18338
2026-04-27T14:40:00+05:30,1423.20,1424.10,1422.70,1423.80,16306
2026-04-27T14:45:00+05:30,1423.80,1424.00,1422.80,1423.10,11175
2026-04-27T14:50:00+05:30,1423.10,1423.10,1420.40,1420.90,41105
2026-04-27T14:55:00+05:30,1421.20,1421.20,1418.30,1419.30,31723
2026-04-27T15:00:00+05:30,1418.80,1421.60,1418.30,1419.90,79529
2026-04-27T15:05:00+05:30,1419.90,1420.00,1417.90,1418.50,37858
2026-04-27T15:10:00+05:30,1418.50,1419.10,1418.00,1418.60,50420
2026-04-27T15:15:00+05:30,1418.60,1418.80,1414.50,1414.70,60343
2026-04-27T15:20:00+05:30,1414.80,1415.00,1414.00,1414.00,58172
2026-04-27T15:25:00+05:30,1414.00,1417.30,1410.00,1417.30,34932
2026-04-28T09:15:00+05:30,1414.50,1426.70,1409.20,1426.60,0
2026-04-28T09:20:00+05:30,1426.80,1428.80,1421.40,1424.80,62799
