ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,81.05,81.50,80.95,81.40,0
2026-04-27T09:20:00+05:30,81.35,81.70,81.35,81.40,301098
2026-04-27T09:25:00+05:30,81.35,81.60,81.35,81.45,228565
2026-04-27T09:30:00+05:30,81.50,81.75,81.50,81.60,301022
2026-04-27T09:35:00+05:30,81.65,81.80,81.60,81.60,226317
2026-04-27T09:40:00+05:30,81.60,81.85,81.60,81.85,125515
2026-04-27T09:45:00+05:30,81.85,81.95,81.85,81.90,132035
2026-04-27T09:50:00+05:30,81.95,82.10,81.90,82.10,333506
2026-04-27T09:55:00+05:30,82.10,82.20,82.00,82.15,305850
2026-04-27T10:00:00+05:30,82.15,82.35,82.10,82.25,229423
2026-04-27T10:05:00+05:30,82.20,82.30,82.05,82.15,198974
2026-04-27T10:10:00+05:30,82.20,82.20,82.05,82.10,139730
2026-04-27T10:15:00+05:30,82.20,82.50,82.20,82.50,369899
2026-04-27T10:20:00+05:30,82.45,82.45,82.35,82.35,96801
2026-04-27T10:25:00+05:30,82.35,82.60,82.35,82.55,287268
2026-04-27T10:30:00+05:30,82.55,82.65,82.50,82.50,215664
2026-04-27T10:35:00+05:30,82.50,82.65,82.50,82.60,139484
2026-04-27T10:40:00+05:30,82.65,82.75,82.60,82.65,147056
2026-04-27T10:45:00+05:30,82.65,82.95,82.60,82.95,330383
2026-04-27T10:50:00+05:30,82.95,83.05,82.95,83.00,355102
2026-04-27T10:55:00+05:30,83.00,83.10,83.00,83.00,160963
2026-04-27T11:00:00+05:30,83.05,83.15,83.00,83.15,131228
2026-04-27T11:05:00+05:30,83.20,83.20,83.05,83.05,120926
2026-04-27T11:10:00+05:30,83.10,83.20,83.05,83.15,178911
2026-04-27T11:15:00+05:30,83.15,83.20,83.10,83.15,108554
2026-04-27T11:20:00+05:30,83.15,83.15,83.05,83.05,88454
2026-04-27T11:25:00+05:30,83.05,83.10,83.00,83.00,137928
2026-04-27T11:30:00+05:30,83.05,83.10,83.00,83.05,105710
2026-04-27T11:35:00+05:30,83.05,83.05,82.70,82.90,287098
2026-04-27T11:40:00+05:30,82.90,82.90,82.80,82.80,66796
2026-04-27T11:45:00+05:30,82.75,82.90,82.70,82.85,114801
2026-04-27T11:50:00+05:30,82.80,82.80,82.70,82.80,93751
