ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,90.05,90.35,89.90,90.05,0
2026-04-27T09:20:00+05:30,90.10,90.65,90.10,90.60,1395104
2026-04-27T09:25:00+05:30,90.55,90.55,90.30,90.55,894280
2026-04-27T09:30:00+05:30,90.55,90.95,90.55,90.80,1363727
2026-04-27T09:35:00+05:30,90.80,90.95,90.80,90.90,961847
2026-04-27T09:40:00+05:30,90.90,90.90,90.60,90.75,1043389
2026-04-27T09:45:00+05:30,90.85,91.00,90.80,90.90,770080
2026-04-27T09:50:00+05:30,90.90,91.00,90.85,90.90,742004
2026-04-27T09:55:00+05:30,90.90,90.90,90.55,90.70,1130111
2026-04-27T10:00:00+05:30,90.70,90.75,90.60,90.65,392969
2026-04-27T10:05:00+05:30,90.65,90.90,90.65,90.90,639775
2026-04-27T10:10:00+05:30,90.90,90.95,90.80,90.90,402528
2026-04-27T10:15:00+05:30,90.90,91.00,90.80,90.85,463057
2026-04-27T10:20:00+05:30,90.85,90.90,90.80,90.85,376287
2026-04-27T10:25:00+05:30,90.85,90.90,90.70,90.80,330478
2026-04-27T10:30:00+05:30,90.80,90.85,90.70,90.85,263097
2026-04-27T10:35:00+05:30,90.85,90.95,90.80,90.90,528580
2026-04-27T10:40:00+05:30,90.90,90.95,90.85,90.90,240514
2026-04-27T10:45:00+05:30,90.90,90.95,90.85,90.90,250688
2026-04-27T10:50:00+05:30,90.90,90.95,90.85,90.90,195071
2026-04-27T10:55:00+05:30,90.90,90.95,90.85,90.90,508259
2026-04-27T11:00:00+05:30,90.90,90.90,90.65,90.75,256467
2026-04-27T11:05:00+05:30,90.75,90.85,90.70,90.80,239499
2026-04-27T11:10:00+05:30,90.85,91.20,90.85,91.10,841680
2026-04-27T11:15:00+05:30,91.10,91.20,91.05,91.05,362703
2026-04-27T11:20:00+05:30,91.05,91.15,91.05,91.05,246889
2026-04-27T11:25:00+05:30,91.05,91.10,91.00,91.05,328638
2026-04-27T11:30:00+05:30,91.00,91.05,90.80,90.85,934517
2026-04-27T11:35:00+05:30,90.80,90.85,90.65,90.75,567841
2026-04-27T11:40:00+05:30,90.80,90.95,90.70,90.80,269863
2026-04-27T11:45:00+05:30,90.80,91.00,90.75,90.95,269399
2026-04-27T11:50:00+05:30,90.90,90.95,90.85,90.95,239946
2026-04-27T11:55:00+05:30,90.95,91.00,90.90,90.90,329004
2026-04-27T12:00:00+05:30,90.95,90.95,90.75,90.75,304531
2026-04-27T12:05:00+05:30,90.75,90.85,90.75,90.85,163050
2026-04-27T12:10:00+05:30,90.75,90.90,90.75,90.90,211955
2026-04-27T12:15:00+05:30,90.90,91.00,90.85,90.95,559353
2026-04-27T12:20:00+05:30,90.95,91.00,90.90,90.95,177610
2026-04-27T12:25:00+05:30,90.95,91.10,90.95,91.00,316264
2026-04-27T12:30:00+05:30,91.00,91.05,90.95,91.00,203621
2026-04-27T12:35:00+05:30,91.00,91.05,90.95,91.00,238244
2026-04-27T12:40:00+05:30,91.00,91.00,90.95,90.95,593207
2026-04-27T12:45:00+05:30,90.95,91.00,90.90,90.90,151003
2026-04-27T12:50:00+05:30,90.90,91.00,90.90,90.95,169214
2026-04-27T12:55:00+05:30,90.95,91.00,90.85,90.90,174095
2026-04-27T13:00:00+05:30,90.90,91.00,90.85,90.95,237746
2026-04-27T13:05:00+05:30,90.95,90.95,90.90,90.95,89153
2026-04-27T13:10:00+05:30,90.95,90.95,90.80,90.85,198986
2026-04-27T13:15:00+05:30,90.85,90.90,90.85,90.90,122586
2026-04-27T13:20:00+05:30,90.90,90.95,90.90,90.95,259489
2026-04-27T13:25:00+05:30,90.90,90.95,90.90,90.90,143649
2026-04-27T13:30:00+05:30,90.90,90.90,90.85,90.85,109184
2026-04-27T13:35:00+05:30,90.85,90.95,90.85,90.95,116551
2026-04-27T13:40:00+05:30,90.95,90.95,90.80,90.80,227163
2026-04-27T13:45:00+05:30,90.80,90.90,90.80,90.90,152554
2026-04-27T13:50:00+05:30,90.90,90.95,90.60,90.85,1095770
2026-04-27T13:55:00+05:30,90.85,90.90,90.55,90.60,1236438
2026-04-27T14:00:00+05:30,90.60,90.75,90.55,90.65,340495
2026-04-27T14:05:00+05:30,90.65,90.70,90.60,90.70,112795
2026-04-27T14:10:00+05:30,90.70,90.75,90.65,90.65,144155
2026-04-27T14:15:00+05:30,90.70,90.75,90.65,90.75,196464
2026-04-27T14:20:00+05:30,90.75,90.80,90.25,90.40,1647770
2026-04-27T14:25:00+05:30,90.40,90.45,90.35,90.40,315919
2026-04-27T14:30:00+05:30,90.40,90.50,90.35,90.40,221971
2026-04-27T14:35:00+05:30,90.40,90.50,90.35,90.45,347168
2026-04-27T14:40:00+05:30,90.45,90.50,90.40,90.45,544463
2026-04-27T14:45:00+05:30,90.45,90.50,90.40,90.45,255699
2026-04-27T14:50:00+05:30,90.45,90.50,90.35,90.45,431126
2026-04-27T14:55:00+05:30,90.50,90.55,90.45,90.45,287260
2026-04-27T15:00:00+05:30,90.45,90.65,90.40,90.65,536409
2026-04-27T15:05:00+05:30,90.65,90.65,90.50,90.50,405954
2026-04-27T15:10:00+05:30,90.50,90.50,90.40,90.40,503569
2026-04-27T15:15:00+05:30,90.40,90.40,90.30,90.40,826738
2026-04-27T15:20:00+05:30,90.40,90.45,90.30,90.45,805058
2026-04-27T15:25:00+05:30,90.45,90.50,90.30,90.40,1285476
2026-04-28T09:15:00+05:30,90.80,91.45,90.70,91.30,0
2026-04-28T09:20:00+05:30,91.25,91.80,91.25,91.50,1178087
2026-04-28T09:25:00+05:30,91.50,91.55,91.25,91.25,614381
2026-04-28T09:30:00+05:30,91.30,91.50,91.15,91.50,675438
2026-04-28T09:35:00+05:30,91.40,91.70,91.40,91.60,687731
2026-04-28T09:40:00+05:30,91.60,91.80,91.50,91.55,1109465
2026-04-28T09:45:00+05:30,91.55,91.70,91.40,91.65,592032
2026-04-28T09:50:00+05:30,91.60,91.70,91.55,91.55,573998
2026-04-28T09:55:00+05:30,91.50,91.60,91.50,91.55,333477
2026-04-28T10:00:00+05:30,91.60,91.65,91.35,91.50,504494
2026-04-28T10:05:00+05:30,91.40,91.65,91.40,91.50,269405
