ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,1693.10,1729.20,1693.10,1721.00,0
2026-04-27T09:20:00+05:30,1721.90,1733.10,1715.00,1719.40,30759
2026-04-27T09:25:00+05:30,1717.30,1723.70,1716.20,1721.80,14005
2026-04-27T09:30:00+05:30,1721.70,1729.20,1720.70,1722.30,16184
2026-04-27T09:35:00+05:30,1723.10,1730.20,1722.70,1726.70,11258
2026-04-27T09:40:00+05:30,1726.20,1730.00,1724.00,1728.20,18382
2026-04-27T09:45:00+05:30,1728.50,1730.00,1725.40,1726.50,14265
2026-04-27T09:50:00+05:30,1726.70,1729.20,1724.80,1729.20,17940
2026-04-27T09:55:00+05:30,1728.90,1731.10,1726.20,1728.80,8138
2026-04-27T10:00:00+05:30,1728.80,1729.40,1721.60,1722.40,4669
2026-04-27T10:05:00+05:30,1722.50,1725.50,1721.20,1721.90,1625
2026-04-27T10:10:00+05:30,1721.30,1723.30,1716.00,1717.80,2255
2026-04-27T10:15:00+05:30,1719.00,1723.50,1717.10,1720.50,6340
2026-04-27T10:20:00+05:30,1720.00,1721.00,1718.00,1721.00,1967
2026-04-27T10:25:00+05:30,1721.10,1721.60,1718.10,1719.60,2955
2026-04-27T10:30:00+05:30,1720.10,1721.60,1718.10,1721.50,2026
2026-04-27T10:35:00+05:30,1720.70,1721.60,1719.30,1720.40,1090
2026-04-27T10:40:00+05:30,1720.40,1721.90,1720.20,1720.60,1799
2026-04-27T10:45:00+05:30,1721.30,1723.40,1719.70,1721.30,6614
2026-04-27T10:50:00+05:30,1721.30,1722.20,1720.00,1722.20,2950
2026-04-27T10:55:00+05:30,1721.50,1726.40,1721.50,1721.70,4089
2026-04-27T11:00:00+05:30,1721.40,1723.00,1721.00,1721.80,2388
2026-04-27T11:05:00+05:30,1721.80,1729.20,1721.80,1724.00,3600
2026-04-27T11:10:00+05:30,1724.30,1727.60,1724.30,1727.50,1053
2026-04-27T11:15:00+05:30,1726.40,1729.20,1725.80,1726.20,1996
2026-04-27T11:20:00+05:30,1726.10,1727.20,1724.10,1725.70,1379
2026-04-27T11:25:00+05:30,1725.60,1726.10,1722.40,1723.00,2850
2026-04-27T11:30:00+05:30,1722.40,1722.90,1721.30,1721.40,1024
2026-04-27T11:35:00+05:30,1721.40,1721.50,1715.40,1719.00,3791
2026-04-27T11:40:00+05:30,1718.40,1720.10,1716.60,1720.10,586
2026-04-27T11:45:00+05:30,1719.30,1721.40,1716.80,1721.00,1938
2026-04-27T11:50:00+05:30,1721.00,1721.00,1718.00,1719.90,850
2026-04-27T11:55:00+05:30,1719.90,1722.70,1719.20,1721.70,1446
2026-04-27T12:00:00+05:30,1722.40,1722.70,1719.50,1721.10,1874
2026-04-27T12:05:00+05:30,1720.50,1722.40,1718.50,1718.60,1373
2026-04-27T12:10:00+05:30,1718.60,1719.90,1718.00,1718.90,1349
2026-04-27T12:15:00+05:30,1718.10,1719.50,1717.70,1718.70,768
2026-04-27T12:20:00+05:30,1718.30,1722.00,1717.40,1721.10,1757
2026-04-27T12:25:00+05:30,1720.90,1722.70,1720.60,1721.70,2634
2026-04-27T12:30:00+05:30,1721.00,1723.00,1720.70,1722.20,914
2026-04-27T12:35:00+05:30,1722.20,1723.00,1721.80,1721.90,15096
2026-04-27T12:40:00+05:30,1721.90,1722.90,1720.40,1722.70,724
2026-04-27T12:45:00+05:30,1722.80,1723.00,1721.80,1722.00,6009
2026-04-27T12:50:00+05:30,1722.00,1723.00,1721.40,1722.20,441
2026-04-27T12:55:00+05:30,1722.90,1725.90,1722.20,1724.30,49844
2026-04-27T13:00:00+05:30,1725.50,1728.00,1723.40,1724.70,6750
2026-04-27T13:05:00+05:30,1725.50,1728.00,1724.00,1726.20,15409
2026-04-27T13:10:00+05:30,1726.20,1726.20,1722.30,1725.70,11262
2026-04-27T13:15:00+05:30,1724.90,1727.00,1724.40,1724.90,12027
2026-04-27T13:20:00+05:30,1725.60,1726.20,1723.50,1724.30,6262
2026-04-27T13:25:00+05:30,1725.50,1727.00,1724.90,1726.00,18102
2026-04-27T13:30:00+05:30,1726.00,1727.40,1725.50,1725.80,39664
2026-04-27T13:35:00+05:30,1726.20,1727.50,1725.10,1726.20,49049
2026-04-27T13:40:00+05:30,1726.20,1727.10,1725.50,1725.60,9659
2026-04-27T13:45:00+05:30,1725.60,1727.20,1725.60,1726.60,28495
2026-04-27T13:50:00+05:30,1725.90,1727.10,1725.50,1726.00,981
2026-04-27T13:55:00+05:30,1726.00,1726.70,1725.60,1726.00,3579
2026-04-27T14:00:00+05:30,1726.20,1726.30,1724.70,1726.20,2902
2026-04-27T14:05:00+05:30,1726.20,1726.80,1726.00,1726.80,13907
2026-04-27T14:10:00+05:30,1726.10,1726.90,1724.10,1726.00,5932
2026-04-27T14:15:00+05:30,1726.70,1726.80,1724.00,1725.90,2039
2026-04-27T14:20:00+05:30,1725.70,1726.90,1724.50,1726.00,15448
2026-04-27T14:25:00+05:30,1726.20,1727.10,1724.50,1725.20,18712
2026-04-27T14:30:00+05:30,1725.80,1726.30,1722.20,1723.70,7652
2026-04-27T14:35:00+05:30,1724.50,1726.40,1723.00,1724.00,6241
2026-04-27T14:40:00+05:30,1724.00,1726.60,1722.40,1726.60,7558
2026-04-27T14:45:00+05:30,1725.70,1726.90,1725.20,1725.50,6497
2026-04-27T14:50:00+05:30,1725.10,1726.30,1724.60,1726.20,3556
2026-04-27T14:55:00+05:30,1726.20,1726.90,1724.10,1724.50,9444
2026-04-27T15:00:00+05:30,1724.60,1724.60,1721.50,1724.50,11869
2026-04-27T15:05:00+05:30,1724.70,1724.70,1720.30,1721.20,15688
2026-04-27T15:10:00+05:30,1721.30,1723.30,1719.80,1722.10,13894
2026-04-27T15:15:00+05:30,1722.60,1723.70,1720.00,1721.90,23840
2026-04-27T15:20:00+05:30,1720.20,1726.70,1720.00,1725.80,38305
2026-04-27T15:25:00+05:30,1725.70,1727.80,1724.30,1726.20,29608
2026-04-28T09:15:00+05:30,1724.90,1725.90,1718.90,1720.00,0
2026-04-28T09:20:00+05:30,1721.00,1721.50,1715.00,1717.00,5508
2026-04-28T09:25:00+05:30,1715.50,1722.90,1715.50,1718.40,7775
2026-04-28T09:30:00+05:30,1718.20,1718.80,1715.00,1716.10,6053
2026-04-28T09:35:00+05:30,1715.60,1719.70,1714.00,1716.90,3475
2026-04-28T09:40:00+05:30,1717.00,1718.20,1715.60,1717.10,1375
2026-04-28T09:45:00+05:30,1718.10,1720.80,1717.20,1719.30,2012
2026-04-28T09:50:00+05:30,1719.00,1723.50,1719.00,1723.50,4978
2026-04-28T09:55:00+05:30,1724.30,1725.70,1718.70,1719.50,6860
2026-04-28T10:00:00+05:30,1719.20,1724.50,1719.20,1724.50,2492
2026-04-28T10:05:00+05:30,1723.90,1725.20,1722.70,1722.90,1810
2026-04-28T10:10:00+05:30,1722.20,1724.50,1722.20,1723.50,727
2026-04-28T10:15:00+05:30,1722.80,1722.80,1719.70,1721.30,1395
2026-04-28T10:20:00+05:30,1721.30,1724.70,1720.70,1724.10,1601
2026-04-28T10:25:00+05:30,1723.40,1725.90,1723.30,1725.90,1007
2026-04-28T10:30:00+05:30,1725.00,1725.70,1723.10,1723.20,3449
2026-04-28T10:35:00+05:30,1723.20,1723.20,1717.00,1717.70,2056
2026-04-28T10:40:00+05:30,1717.30,1717.90,1716.20,1717.00,1781
2026-04-28T10:45:00+05:30,1717.00,1719.90,1717.00,1719.30,1559
2026-04-28T10:50:00+05:30,1718.90,1720.50,1718.80,1719.70,549
2026-04-28T10:55:00+05:30,1719.60,1722.90,1719.00,1720.00,2230
2026-04-28T11:00:00+05:30,1719.80,1722.50,1719.50,1722.50,897
2026-04-28T11:05:00+05:30,1722.10,1723.60,1721.40,1721.80,1977
2026-04-28T11:10:00+05:30,1721.80,1723.10,1720.90,1722.30,709
2026-04-28T11:15:00+05:30,1722.10,1725.40,1722.00,1724.20,568
2026-04-28T11:20:00+05:30,1724.00,1725.40,1723.10,1723.10,1996
2026-04-28T11:25:00+05:30,1722.40,1722.40,1719.90,1722.20,765
2026-04-28T11:30:00+05:30,1722.00,1724.00,1721.20,1724.00,885
2026-04-28T11:35:00+05:30,1722.70,1723.70,1720.60,1722.20,1195
2026-04-28T11:40:00+05:30,1722.20,1723.40,1718.00,1719.20,4766
2026-04-28T11:45:00+05:30,1718.50,1721.40,1718.50,1720.00,1291
2026-04-28T11:50:00+05:30,1720.00,1722.40,1718.50,1719.20,2557
2026-04-28T11:55:00+05:30,1719.20,1720.60,1718.40,1719.80,948
2026-04-28T12:00:00+05:30,1719.80,1720.20,1716.50,1720.00,2649
2026-04-28T12:05:00+05:30,1718.30,1718.80,1717.20,1717.20,1038
2026-04-28T12:10:00+05:30,1717.20,1718.10,1715.00,1715.00,2900
2026-04-28T12:15:00+05:30,1714.70,1716.80,1714.60,1715.20,2192
2026-04-28T12:20:00+05:30,1715.20,1715.60,1712.90,1714.20,4178
2026-04-28T12:25:00+05:30,1713.40,1720.70,1713.40,1720.70,7155
2026-04-28T12:30:00+05:30,1719.70,1721.40,1719.40,1720.00,2169
2026-04-28T12:35:00+05:30,1719.90,1725.10,1712.90,1714.90,18757
2026-04-28T12:40:00+05:30,1713.70,1716.30,1712.70,1714.40,6468
2026-04-28T12:45:00+05:30,1713.60,1716.10,1712.70,1713.00,3069
2026-04-28T12:50:00+05:30,1713.60,1714.00,1711.90,1711.90,2076
2026-04-28T12:55:00+05:30,1711.80,1713.20,1711.00,1711.00,3072
2026-04-28T13:00:00+05:30,1711.20,1712.80,1710.10,1710.30,2369
2026-04-28T13:05:00+05:30,1710.00,1711.10,1710.00,1710.00,1108
2026-04-28T13:10:00+05:30,1710.40,1711.90,1708.90,1710.10,2269
2026-04-28T13:15:00+05:30,1710.10,1711.10,1704.00,1707.80,3219
2026-04-28T13:20:00+05:30,1707.60,1712.00,1707.40,1710.50,2580
2026-04-28T13:25:00+05:30,1710.50,1714.30,1709.70,1710.00,3731
2026-04-28T13:30:00+05:30,1710.00,1711.40,1707.80,1708.50,5511
2026-04-28T13:35:00+05:30,1708.30,1711.20,1707.60,1710.30,13390
2026-04-28T13:40:00+05:30,1709.00,1717.20,1709.00,1713.40,11622
2026-04-28T13:45:00+05:30,1712.70,1713.80,1707.00,1708.40,15917
2026-04-28T13:50:00+05:30,1707.60,1710.00,1707.60,1709.70,31576
2026-04-28T13:55:00+05:30,1709.20,1710.50,1709.10,1710.10,48673
2026-04-28T14:00:00+05:30,1710.10,1712.90,1710.10,1711.50,3169
2026-04-28T14:05:00+05:30,1711.20,1713.30,1709.60,1711.40,1455
2026-04-28T14:10:00+05:30,1711.20,1712.10,1710.20,1711.20,3181
2026-04-28T14:15:00+05:30,1711.00,1714.00,1711.00,1712.20,2745
2026-04-28T14:20:00+05:30,1712.10,1713.40,1712.10,1712.50,6893
2026-04-28T14:25:00+05:30,1712.60,1712.60,1709.50,1710.70,7164
2026-04-28T14:30:00+05:30,1711.30,1717.70,1710.90,1716.40,10350
2026-04-28T14:35:00+05:30,1716.20,1720.40,1716.10,1720.00,2608
2026-04-28T14:40:00+05:30,1720.50,1723.80,1720.50,1723.50,3096
2026-04-28T14:45:00+05:30,1723.50,1726.00,1722.50,1724.80,4904
2026-04-28T14:50:00+05:30,1725.60,1725.60,1723.80,1724.20,2330
2026-04-28T14:55:00+05:30,1724.20,1725.00,1723.50,1724.60,2359
2026-04-28T15:00:00+05:30,1726.00,1726.00,1703.00,1708.50,38279
2026-04-28T15:05:00+05:30,1709.60,1709.60,1705.50,1706.70,4642
2026-04-28T15:10:00+05:30,1706.70,1712.00,1705.00,1712.00,14436
2026-04-28T15:15:00+05:30,1711.70,1714.10,1706.80,1712.00,30207
2026-04-28T15:20:00+05:30,1712.00,1712.00,1706.40,1709.20,9148
2026-04-28T15:25:00+05:30,1709.30,1719.40,1700.00,1710.30,13034
2026-04-29T09:15:00+05:30,1721.90,1721.90,1714.50,1718.60,0
2026-04-29T09:20:00+05:30,1721.10,1722.80,1708.70,1712.20,4351
2026-04-29T09:25:00+05:30,1712.00,1718.60,1711.00,1718.60,7398
2026-04-29T09:30:00+05:30,1718.30,1719.00,1713.60,1713.60,3946
2026-04-29T09:35:00+05:30,1713.90,1714.90,1700.30,1700.50,11437
2026-04-29T09:40:00+05:30,1700.40,1710.00,1700.00,1708.10,10001
2026-04-29T09:45:00+05:30,1707.00,1708.80,1706.20,1707.60,4699
2026-04-29T09:50:00+05:30,1708.00,1714.20,1707.10,1713.10,14873
2026-04-29T09:55:00+05:30,1712.00,1718.30,1711.20,1716.90,1791
2026-04-29T10:00:00+05:30,1718.00,1727.10,1718.00,1725.40,9925
2026-04-29T10:05:00+05:30,1725.00,1727.10,1721.00,1721.30,3846
2026-04-29T10:10:00+05:30,1721.50,1722.30,1720.60,1721.10,2053
2026-04-29T10:15:00+05:30,1722.10,1726.50,1722.00,1726.00,4023
2026-04-29T10:20:00+05:30,1726.50,1727.50,1725.30,1725.70,1965
2026-04-29T10:25:00+05:30,1726.00,1726.10,1724.10,1724.30,2025
2026-04-29T10:30:00+05:30,1724.50,1725.70,1723.00,1723.30,2630
2026-04-29T10:35:00+05:30,1724.10,1724.10,1720.00,1722.70,1766
2026-04-29T10:40:00+05:30,1722.00,1726.20,1722.00,1723.50,2692
2026-04-29T10:45:00+05:30,1724.00,1724.70,1719.10,1721.60,4491
2026-04-29T10:50:00+05:30,1721.20,1721.20,1719.00,1719.00,1504
2026-04-29T10:55:00+05:30,1718.30,1719.90,1717.80,1718.40,2248
2026-04-29T11:00:00+05:30,1718.40,1720.40,1717.70,1717.70,6061
2026-04-29T11:05:00+05:30,1717.60,1719.80,1717.60,1719.50,1999
2026-04-29T11:10:00+05:30,1718.30,1718.30,1717.00,1717.40,1178
2026-04-29T11:15:00+05:30,1717.10,1722.70,1717.10,1722.70,17478
2026-04-29T11:20:00+05:30,1721.70,1723.40,1721.20,1723.30,723
2026-04-29T11:25:00+05:30,1723.50,1724.80,1718.80,1718.80,2530
2026-04-29T11:30:00+05:30,1719.00,1721.90,1718.20,1718.80,2924
2026-04-29T11:35:00+05:30,1718.50,1721.30,1717.10,1720.00,3198
2026-04-29T11:40:00+05:30,1720.10,1722.80,1720.10,1720.40,1182
2026-04-29T11:45:00+05:30,1720.10,1720.60,1719.50,1719.50,539
2026-04-29T11:50:00+05:30,1719.50,1720.00,1718.50,1718.80,999
2026-04-29T11:55:00+05:30,1718.50,1720.40,1718.30,1720.00,1279
2026-04-29T12:00:00+05:30,1719.10,1719.90,1718.50,1718.60,832
2026-04-29T12:05:00+05:30,1718.50,1722.80,1718.10,1721.20,1832
2026-04-29T12:10:00+05:30,1721.20,1723.40,1720.40,1723.10,1392
2026-04-29T12:15:00+05:30,1724.00,1726.90,1724.00,1724.40,4849
2026-04-29T12:20:00+05:30,1724.30,1729.20,1724.30,1729.10,7048
2026-04-29T12:25:00+05:30,1729.30,1729.60,1725.40,1725.40,5319
2026-04-29T12:30:00+05:30,1726.70,1726.70,1725.00,1725.90,3550
2026-04-29T12:35:00+05:30,1725.10,1725.10,1720.30,1721.00,8298
2026-04-29T12:40:00+05:30,1720.50,1727.60,1719.80,1726.90,9074
2026-04-29T12:45:00+05:30,1726.80,1729.60,1726.00,1727.40,28653
2026-04-29T12:50:00+05:30,1727.70,1729.90,1723.00,1723.20,16093
2026-04-29T12:55:00+05:30,1723.10,1724.60,1722.30,1722.30,3580
2026-04-29T13:00:00+05:30,1722.20,1722.50,1719.30,1720.10,3898
2026-04-29T13:05:00+05:30,1720.00,1720.60,1719.00,1719.00,757
2026-04-29T13:10:00+05:30,1719.00,1721.30,1718.80,1719.10,3140
2026-04-29T13:15:00+05:30,1718.90,1720.00,1718.40,1718.40,3404
2026-04-29T13:20:00+05:30,1718.10,1720.00,1717.20,1719.20,2240
2026-04-29T13:25:00+05:30,1717.50,1718.80,1715.70,1718.80,2575
2026-04-29T13:30:00+05:30,1718.80,1720.00,1717.10,1718.70,3632
2026-04-29T13:35:00+05:30,1718.00,1718.80,1714.20,1714.20,1391
2026-04-29T13:40:00+05:30,1714.30,1715.30,1711.50,1712.00,1900
2026-04-29T13:45:00+05:30,1712.30,1713.40,1710.30,1712.00,3195
2026-04-29T13:50:00+05:30,1712.10,1714.70,1711.70,1711.70,3523
2026-04-29T13:55:00+05:30,1711.00,1712.50,1710.20,1710.30,3587
2026-04-29T14:00:00+05:30,1710.50,1712.10,1707.10,1707.40,5132
2026-04-29T14:05:00+05:30,1708.40,1709.10,1706.00,1706.20,10580
2026-04-29T14:10:00+05:30,1706.50,1708.50,1705.00,1707.10,5429
2026-04-29T14:15:00+05:30,1705.80,1708.80,1704.00,1705.10,3733
2026-04-29T14:20:00+05:30,1705.70,1706.60,1702.10,1706.60,2986
2026-04-29T14:25:00+05:30,1706.00,1709.30,1706.00,1707.90,4972
2026-04-29T14:30:00+05:30,1706.00,1707.00,1705.20,1706.50,3637
2026-04-29T14:35:00+05:30,1706.60,1706.70,1705.00,1706.70,2398
2026-04-29T14:40:00+05:30,1705.30,1708.30,1705.00,1706.90,2809
2026-04-29T14:45:00+05:30,1706.90,1707.40,1705.00,1705.80,3745
2026-04-29T14:50:00+05:30,1705.10,1706.30,1703.50,1703.90,6583
2026-04-29T14:55:00+05:30,1704.00,1704.50,1697.00,1699.80,5830
2026-04-29T15:00:00+05:30,1698.70,1705.90,1697.50,1703.50,8721
2026-04-29T15:05:00+05:30,1702.50,1705.00,1701.70,1704.30,7331
2026-04-29T15:10:00+05:30,1703.30,1703.70,1699.50,1701.80,3799
2026-04-29T15:15:00+05:30,1701.80,1702.80,1695.00,1696.40,11040
2026-04-29T15:20:00+05:30,1697.60,1697.70,1693.80,1695.80,9129
2026-04-29T15:25:00+05:30,1697.20,1703.90,1696.10,1703.00,8036
2026-04-30T09:15:00+05:30,1689.70,1689.70,1671.50,1671.50,0
2026-04-30T09:20:00+05:30,1673.40,1676.60,1671.40,1676.20,5840
2026-04-30T09:25:00+05:30,1675.80,1676.20,1667.00,1669.90,9693
2026-04-30T09:30:00+05:30,1668.60,1673.60,1665.60,1672.00,8695
2026-04-30T09:35:00+05:30,1672.50,1673.70,1669.30,1671.40,5099
2026-04-30T09:40:00+05:30,1669.00,1676.40,1669.00,1675.80,5630
2026-04-30T09:45:00+05:30,1676.00,1676.00,1673.10,1674.70,6077
2026-04-30T09:50:00+05:30,1675.00,1679.80,1674.90,1677.00,9013
2026-04-30T09:55:00+05:30,1675.80,1676.10,1670.70,1673.40,3534
2026-04-30T10:00:00+05:30,1673.20,1675.50,1670.70,1671.30,3685
2026-04-30T10:05:00+05:30,1670.70,1673.70,1667.00,1667.00,28706
2026-04-30T10:10:00+05:30,1666.00,1672.30,1661.50,1672.00,26892
2026-04-30T10:15:00+05:30,1671.30,1672.00,1664.20,1665.90,24304
2026-04-30T10:20:00+05:30,1665.20,1667.20,1664.00,1664.40,6118
2026-04-30T10:25:00+05:30,1664.40,1665.10,1659.10,1661.70,4069
2026-04-30T10:30:00+05:30,1660.30,1663.30,1659.00,1660.00,3405
2026-04-30T10:35:00+05:30,1660.10,1662.90,1660.10,1662.60,1521
2026-04-30T10:40:00+05:30,1663.00,1666.10,1662.20,1666.00,1510
2026-04-30T10:45:00+05:30,1665.00,1665.00,1662.40,1663.60,1175
2026-04-30T10:50:00+05:30,1663.60,1665.20,1662.50,1663.00,4054
2026-04-30T10:55:00+05:30,1663.40,1665.30,1663.20,1663.70,1566
2026-04-30T11:00:00+05:30,1664.50,1664.60,1663.50,1663.90,1392
2026-04-30T11:05:00+05:30,1664.20,1665.20,1663.50,1665.00,1468
2026-04-30T11:10:00+05:30,1664.60,1664.70,1663.50,1663.50,1435
2026-04-30T11:15:00+05:30,1663.50,1667.70,1663.50,1665.60,4361
2026-04-30T11:20:00+05:30,1665.10,1665.70,1661.90,1663.30,4543
2026-04-30T11:25:00+05:30,1664.30,1665.00,1662.30,1662.80,1433
2026-04-30T11:30:00+05:30,1663.00,1664.80,1662.60,1664.80,1453
2026-04-30T11:35:00+05:30,1664.30,1664.90,1663.50,1664.90,452
2026-04-30T11:40:00+05:30,1664.90,1666.20,1661.90,1662.10,1163
2026-04-30T11:45:00+05:30,1662.30,1666.90,1662.30,1665.60,1742
2026-04-30T11:50:00+05:30,1663.80,1664.60,1661.90,1662.30,1160
2026-04-30T11:55:00+05:30,1662.40,1665.40,1662.20,1663.20,1306
2026-04-30T12:00:00+05:30,1663.00,1664.60,1662.00,1663.20,1524
2026-04-30T12:05:00+05:30,1663.30,1664.90,1662.70,1663.50,1518
2026-04-30T12:10:00+05:30,1662.90,1664.30,1662.50,1663.00,1480
2026-04-30T12:15:00+05:30,1663.50,1663.90,1662.40,1662.50,941
2026-04-30T12:20:00+05:30,1662.30,1665.90,1662.10,1665.00,976
2026-04-30T12:25:00+05:30,1664.70,1666.30,1664.50,1664.50,2402
2026-04-30T12:30:00+05:30,1664.20,1665.00,1662.10,1663.50,1483
2026-04-30T12:35:00+05:30,1663.60,1664.40,1662.40,1663.50,1055
2026-04-30T12:40:00+05:30,1662.60,1665.00,1662.40,1662.50,1034
2026-04-30T12:45:00+05:30,1664.80,1666.80,1664.80,1665.90,3367
2026-04-30T12:50:00+05:30,1665.40,1666.00,1665.00,1665.00,1737
2026-04-30T12:55:00+05:30,1666.00,1671.30,1665.80,1670.50,16417
2026-04-30T13:00:00+05:30,1670.00,1670.50,1666.20,1667.10,1407
2026-04-30T13:05:00+05:30,1666.90,1668.40,1665.20,1666.30,1713
2026-04-30T13:10:00+05:30,1666.30,1669.50,1665.40,1668.80,3122
2026-04-30T13:15:00+05:30,1669.00,1670.30,1666.40,1667.10,2581
2026-04-30T13:20:00+05:30,1666.50,1668.40,1666.00,1667.00,3747
2026-04-30T13:25:00+05:30,1667.70,1668.40,1666.30,1667.20,2789
2026-04-30T13:30:00+05:30,1666.70,1667.40,1665.20,1666.20,1678
2026-04-30T13:35:00+05:30,1665.40,1668.00,1665.00,1665.00,2298
2026-04-30T13:40:00+05:30,1665.00,1671.60,1665.00,1669.00,2714
2026-04-30T13:45:00+05:30,1669.60,1673.50,1668.50,1669.00,2562
2026-04-30T13:50:00+05:30,1669.40,1670.40,1667.00,1668.50,1992
2026-04-30T13:55:00+05:30,1668.20,1671.00,1668.20,1671.00,1518
2026-04-30T14:00:00+05:30,1671.00,1671.20,1667.50,1669.40,4136
2026-04-30T14:05:00+05:30,1669.40,1669.40,1663.00,1664.60,11066
2026-04-30T14:10:00+05:30,1664.00,1666.90,1664.00,1666.30,16994
2026-04-30T14:15:00+05:30,1666.30,1669.30,1664.60,1664.60,12531
2026-04-30T14:20:00+05:30,1666.00,1668.40,1664.80,1667.90,4089
2026-04-30T14:25:00+05:30,1668.20,1670.00,1666.40,1668.60,2296
2026-04-30T14:30:00+05:30,1668.30,1674.80,1668.30,1674.70,7680
2026-04-30T14:35:00+05:30,1673.70,1675.80,1672.50,1675.10,7355
2026-04-30T14:40:00+05:30,1674.20,1676.20,1670.50,1674.60,6695
2026-04-30T14:45:00+05:30,1675.70,1675.70,1669.90,1670.60,3969
2026-04-30T14:50:00+05:30,1669.50,1674.90,1668.60,1674.90,4727
2026-04-30T14:55:00+05:30,1674.90,1678.20,1674.20,1677.80,9916
2026-04-30T15:00:00+05:30,1677.80,1677.80,1670.80,1674.00,20747
2026-04-30T15:05:00+05:30,1674.00,1674.00,1669.00,1669.40,14561
2026-04-30T15:10:00+05:30,1669.80,1670.30,1668.70,1670.00,14920
2026-04-30T15:15:00+05:30,1669.80,1670.40,1668.50,1668.50,16913
2026-04-30T15:20:00+05:30,1668.40,1672.20,1666.40,1672.20,26406
2026-04-30T15:25:00+05:30,1671.90,1673.80,1667.50,1668.80,26635
2026-05-04T09:15:00+05:30,1669.60,1690.00,1669.60,1679.70,0
2026-05-04T09:20:00+05:30,1679.10,1686.60,1678.40,1678.70,7401
2026-05-04T09:25:00+05:30,1678.80,1681.90,1678.80,1680.50,2007
2026-05-04T09:30:00+05:30,1682.00,1687.10,1680.60,1680.80,5835
2026-05-04T09:35:00+05:30,1681.60,1686.00,1681.60,1683.40,4433
2026-05-04T09:40:00+05:30,1684.80,1689.50,1683.40,1684.60,7282
2026-05-04T09:45:00+05:30,1684.20,1686.10,1679.60,1682.10,5882
2026-05-04T09:50:00+05:30,1682.20,1684.70,1681.80,1684.00,1401
2026-05-04T09:55:00+05:30,1683.20,1687.50,1683.20,1686.40,1276
2026-05-04T10:00:00+05:30,1686.40,1686.50,1683.20,1683.40,4173
2026-05-04T10:05:00+05:30,1684.60,1686.20,1683.90,1684.40,1061
2026-05-04T10:10:00+05:30,1686.00,1687.30,1684.60,1684.60,4852
2026-05-04T10:15:00+05:30,1684.50,1686.60,1682.70,1683.70,719
2026-05-04T10:20:00+05:30,1684.50,1687.00,1684.50,1685.80,1426
2026-05-04T10:25:00+05:30,1684.80,1689.80,1684.80,1688.80,1628
2026-05-04T10:30:00+05:30,1690.00,1695.00,1688.80,1693.80,4647
2026-05-04T10:35:00+05:30,1693.90,1695.80,1691.90,1695.00,1934
2026-05-04T10:40:00+05:30,1694.10,1695.80,1694.10,1694.80,1327
2026-05-04T10:45:00+05:30,1695.80,1700.10,1695.80,1699.30,6161
2026-05-04T10:50:00+05:30,1699.30,1700.00,1698.00,1698.00,2479
2026-05-04T10:55:00+05:30,1698.00,1699.10,1694.20,1695.00,2614
2026-05-04T11:00:00+05:30,1694.60,1703.00,1694.60,1698.50,5767
2026-05-04T11:05:00+05:30,1698.30,1700.80,1697.40,1698.00,3031
2026-05-04T11:10:00+05:30,1698.20,1700.90,1698.00,1698.70,2268
2026-05-04T11:15:00+05:30,1699.60,1705.00,1698.90,1702.20,3467
2026-05-04T11:20:00+05:30,1703.00,1704.40,1702.10,1703.30,2222
2026-05-04T11:25:00+05:30,1703.40,1706.10,1702.00,1705.00,6748
2026-05-04T11:30:00+05:30,1705.80,1708.90,1702.50,1702.50,6814
2026-05-04T11:35:00+05:30,1703.30,1704.40,1700.50,1701.50,5927
2026-05-04T11:40:00+05:30,1701.30,1701.80,1698.60,1698.80,4221
2026-05-04T11:45:00+05:30,1698.70,1702.40,1698.60,1702.40,1699
2026-05-04T11:50:00+05:30,1703.10,1704.30,1701.90,1702.10,5631
2026-05-04T11:55:00+05:30,1702.10,1702.10,1699.80,1700.00,1020
2026-05-04T12:00:00+05:30,1699.80,1701.30,1699.80,1700.60,558
2026-05-04T12:05:00+05:30,1700.80,1701.90,1700.00,1700.00,871
2026-05-04T12:10:00+05:30,1700.40,1700.70,1695.00,1695.00,2331
2026-05-04T12:15:00+05:30,1695.00,1699.90,1692.50,1699.90,1959
2026-05-04T12:20:00+05:30,1700.10,1702.00,1698.70,1702.00,3469
2026-05-04T12:25:00+05:30,1700.70,1703.00,1696.10,1696.10,3171
2026-05-04T12:30:00+05:30,1696.20,1701.10,1695.70,1700.90,2450
2026-05-04T12:35:00+05:30,1700.00,1702.90,1695.00,1698.80,4116
2026-05-04T12:40:00+05:30,1699.60,1702.80,1696.20,1697.10,3437
