ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,286.00,286.50,284.95,285.75,0
2026-04-27T09:20:00+05:30,286.00,286.70,286.00,286.15,123062
2026-04-27T09:25:00+05:30,286.30,286.45,285.85,285.90,66066
2026-04-27T09:30:00+05:30,286.00,286.10,285.35,285.55,129149
2026-04-27T09:35:00+05:30,285.55,285.75,285.25,285.40,53190
2026-04-27T09:40:00+05:30,285.40,285.50,285.15,285.20,73169
2026-04-27T09:45:00+05:30,285.35,286.05,285.35,285.90,81996
2026-04-27T09:50:00+05:30,285.95,286.00,285.15,285.25,218675
2026-04-27T09:55:00+05:30,285.15,285.35,284.90,285.05,103261
2026-04-27T10:00:00+05:30,285.10,285.20,284.55,284.80,126074
2026-04-27T10:05:00+05:30,284.65,284.85,284.25,284.35,164920
2026-04-27T10:10:00+05:30,284.45,285.20,284.30,285.20,88118
2026-04-27T10:15:00+05:30,285.20,285.30,284.70,284.85,143510
2026-04-27T10:20:00+05:30,284.85,285.05,284.60,285.00,87901
2026-04-27T10:25:00+05:30,285.15,285.40,284.80,285.40,142865
2026-04-27T10:30:00+05:30,285.35,285.35,284.95,285.10,51091
2026-04-27T10:35:00+05:30,284.95,285.10,284.90,285.00,36017
2026-04-27T10:40:00+05:30,284.90,285.20,284.90,285.05,50221
2026-04-27T10:45:00+05:30,285.05,285.25,285.00,285.20,38388
2026-04-27T10:50:00+05:30,285.25,285.25,285.05,285.20,43704
2026-04-27T10:55:00+05:30,285.25,285.25,285.05,285.20,26517
2026-04-27T11:00:00+05:30,285.20,285.35,285.00,285.30,140223
2026-04-27T11:05:00+05:30,285.30,285.35,285.15,285.25,38955
2026-04-27T11:10:00+05:30,285.20,285.45,285.15,285.45,26332
2026-04-27T11:15:00+05:30,285.40,285.55,285.35,285.35,44654
2026-04-27T11:20:00+05:30,285.50,285.65,285.35,285.55,179137
2026-04-27T11:25:00+05:30,285.45,285.55,285.15,285.25,34901
2026-04-27T11:30:00+05:30,285.15,285.30,285.00,285.00,40467
2026-04-27T11:35:00+05:30,284.95,285.00,284.65,284.80,80476
2026-04-27T11:40:00+05:30,284.90,285.10,284.80,285.00,37828
2026-04-27T11:45:00+05:30,285.00,285.20,285.00,285.15,96371
2026-04-27T11:50:00+05:30,285.05,285.15,284.80,284.90,36905
2026-04-27T11:55:00+05:30,284.85,285.05,284.75,284.90,22251
