ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,37760.00,37910.00,37635.00,37845.00,0
2026-04-27T09:20:00+05:30,37845.00,38000.00,37775.00,37925.00,1539
2026-04-27T09:25:00+05:30,37920.00,38185.00,37905.00,38090.00,1063
2026-04-27T09:30:00+05:30,38090.00,38130.00,37950.00,38070.00,525
2026-04-27T09:35:00+05:30,38010.00,38100.00,37730.00,37800.00,459
2026-04-27T09:40:00+05:30,37820.00,37930.00,37800.00,37870.00,229
2026-04-27T09:45:00+05:30,37870.00,37980.00,37870.00,37960.00,157
2026-04-27T09:50:00+05:30,37945.00,37970.00,37885.00,37890.00,68
2026-04-27T09:55:00+05:30,37885.00,37945.00,37860.00,37885.00,316
2026-04-27T10:00:00+05:30,37880.00,37925.00,37850.00,37890.00,169
2026-04-27T10:05:00+05:30,37880.00,37930.00,37775.00,37775.00,190
2026-04-27T10:10:00+05:30,37775.00,37775.00,37660.00,37675.00,244
2026-04-27T10:15:00+05:30,37685.00,37775.00,37685.00,37710.00,257
2026-04-27T10:20:00+05:30,37700.00,37700.00,37625.00,37640.00,303
2026-04-27T10:25:00+05:30,37640.00,37655.00,37600.00,37640.00,78
2026-04-27T10:30:00+05:30,37645.00,37645.00,37610.00,37620.00,87
2026-04-27T10:35:00+05:30,37535.00,37535.00,37455.00,37465.00,402
2026-04-27T10:40:00+05:30,37470.00,37615.00,37470.00,37545.00,529
2026-04-27T10:45:00+05:30,37505.00,37690.00,37495.00,37660.00,313
2026-04-27T10:50:00+05:30,37670.00,37685.00,37650.00,37665.00,113
2026-04-27T10:55:00+05:30,37665.00,37690.00,37645.00,37655.00,168
2026-04-27T11:00:00+05:30,37615.00,37660.00,37560.00,37560.00,76
2026-04-27T11:05:00+05:30,37560.00,37585.00,37540.00,37540.00,80
2026-04-27T11:10:00+05:30,37570.00,37600.00,37545.00,37575.00,57
2026-04-27T11:15:00+05:30,37570.00,37605.00,37555.00,37585.00,71
2026-04-27T11:20:00+05:30,37560.00,37560.00,37505.00,37505.00,94
2026-04-27T11:25:00+05:30,37520.00,37520.00,37420.00,37435.00,114
2026-04-27T11:30:00+05:30,37435.00,37500.00,37420.00,37455.00,98
2026-04-27T11:35:00+05:30,37450.00,37495.00,37325.00,37375.00,341
2026-04-27T11:40:00+05:30,37400.00,37400.00,37370.00,37380.00,28
2026-04-27T11:45:00+05:30,37380.00,37465.00,37370.00,37445.00,65
2026-04-27T11:50:00+05:30,37440.00,37440.00,37375.00,37410.00,51
2026-04-27T11:55:00+05:30,37460.00,37530.00,37435.00,37530.00,241
2026-04-27T12:00:00+05:30,37530.00,37530.00,37450.00,37475.00,91
2026-04-27T12:05:00+05:30,37500.00,37530.00,37460.00,37510.00,50
2026-04-27T12:10:00+05:30,37525.00,37550.00,37515.00,37530.00,49
2026-04-27T12:15:00+05:30,37530.00,37720.00,37530.00,37705.00,581
2026-04-27T12:20:00+05:30,37700.00,37740.00,37670.00,37740.00,167
2026-04-27T12:25:00+05:30,37745.00,37770.00,37710.00,37750.00,130
2026-04-27T12:30:00+05:30,37770.00,37795.00,37730.00,37755.00,100
2026-04-27T12:35:00+05:30,37775.00,37815.00,37755.00,37780.00,84
2026-04-27T12:40:00+05:30,37765.00,37830.00,37765.00,37785.00,160
2026-04-27T12:45:00+05:30,37785.00,37840.00,37770.00,37840.00,277
2026-04-27T12:50:00+05:30,37845.00,37850.00,37755.00,37790.00,141
2026-04-27T12:55:00+05:30,37780.00,37820.00,37755.00,37765.00,63
2026-04-27T13:00:00+05:30,37790.00,37790.00,37750.00,37755.00,111
2026-04-27T13:05:00+05:30,37755.00,37770.00,37750.00,37770.00,42
2026-04-27T13:10:00+05:30,37750.00,37770.00,37750.00,37770.00,37
2026-04-27T13:15:00+05:30,37750.00,37805.00,37750.00,37760.00,65
2026-04-27T13:20:00+05:30,37750.00,37775.00,37745.00,37745.00,126
2026-04-27T13:25:00+05:30,37765.00,37780.00,37750.00,37755.00,23
2026-04-27T13:30:00+05:30,37750.00,37780.00,37750.00,37750.00,47
2026-04-27T13:35:00+05:30,37750.00,37780.00,37740.00,37760.00,53
2026-04-27T13:40:00+05:30,37770.00,37770.00,37740.00,37750.00,99
2026-04-27T13:45:00+05:30,37750.00,37790.00,37750.00,37770.00,93
2026-04-27T13:50:00+05:30,37750.00,37765.00,37730.00,37750.00,204
2026-04-27T13:55:00+05:30,37750.00,37775.00,37750.00,37750.00,26
2026-04-27T14:00:00+05:30,37750.00,37780.00,37750.00,37775.00,56
2026-04-27T14:05:00+05:30,37755.00,37770.00,37640.00,37685.00,165
2026-04-27T14:10:00+05:30,37680.00,37750.00,37680.00,37685.00,219
2026-04-27T14:15:00+05:30,37680.00,37735.00,37680.00,37710.00,207
2026-04-27T14:20:00+05:30,37715.00,37740.00,37655.00,37695.00,256
2026-04-27T14:25:00+05:30,37695.00,37715.00,37660.00,37715.00,209
2026-04-27T14:30:00+05:30,37725.00,37735.00,37585.00,37665.00,720
2026-04-27T14:35:00+05:30,37665.00,37730.00,37650.00,37690.00,318
2026-04-27T14:40:00+05:30,37690.00,37730.00,37645.00,37685.00,224
2026-04-27T14:45:00+05:30,37665.00,37755.00,37660.00,37735.00,292
2026-04-27T14:50:00+05:30,37740.00,37780.00,37720.00,37740.00,277
2026-04-27T14:55:00+05:30,37730.00,37795.00,37730.00,37775.00,237
2026-04-27T15:00:00+05:30,37755.00,37765.00,37650.00,37750.00,359
2026-04-27T15:05:00+05:30,37755.00,37785.00,37685.00,37770.00,343
2026-04-27T15:10:00+05:30,37745.00,37765.00,37625.00,37705.00,508
2026-04-27T15:15:00+05:30,37675.00,37715.00,37660.00,37680.00,376
2026-04-27T15:20:00+05:30,37705.00,37715.00,37600.00,37680.00,331
2026-04-27T15:25:00+05:30,37685.00,37800.00,37600.00,37600.00,266
2026-04-28T09:15:00+05:30,37770.00,37770.00,37575.00,37595.00,0
2026-04-28T09:20:00+05:30,37575.00,37620.00,37540.00,37590.00,206
2026-04-28T09:25:00+05:30,37580.00,37690.00,37580.00,37595.00,207
2026-04-28T09:30:00+05:30,37600.00,37635.00,37555.00,37555.00,60
2026-04-28T09:35:00+05:30,37550.00,37565.00,37455.00,37530.00,320
2026-04-28T09:40:00+05:30,37540.00,37700.00,37515.00,37690.00,494
2026-04-28T09:45:00+05:30,37690.00,37705.00,37635.00,37640.00,245
2026-04-28T09:50:00+05:30,37655.00,37670.00,37625.00,37655.00,190
2026-04-28T09:55:00+05:30,37640.00,37675.00,37625.00,37630.00,98
2026-04-28T10:00:00+05:30,37635.00,37660.00,37615.00,37630.00,260
2026-04-28T10:05:00+05:30,37650.00,37695.00,37635.00,37695.00,281
2026-04-28T10:10:00+05:30,37690.00,37700.00,37660.00,37700.00,170
2026-04-28T10:15:00+05:30,37710.00,37770.00,37695.00,37765.00,229
2026-04-28T10:20:00+05:30,37765.00,37785.00,37755.00,37755.00,167
2026-04-28T10:25:00+05:30,37770.00,37770.00,37700.00,37720.00,157
2026-04-28T10:30:00+05:30,37710.00,37710.00,37645.00,37695.00,123
2026-04-28T10:35:00+05:30,37695.00,37700.00,37650.00,37670.00,60
2026-04-28T10:40:00+05:30,37640.00,37640.00,37525.00,37535.00,144
2026-04-28T10:45:00+05:30,37555.00,37595.00,37535.00,37555.00,118
2026-04-28T10:50:00+05:30,37570.00,37620.00,37550.00,37580.00,188
2026-04-28T10:55:00+05:30,37590.00,37590.00,37540.00,37565.00,125
2026-04-28T11:00:00+05:30,37540.00,37570.00,37515.00,37525.00,116
2026-04-28T11:05:00+05:30,37545.00,37550.00,37465.00,37465.00,327
2026-04-28T11:10:00+05:30,37490.00,37490.00,37440.00,37480.00,96
2026-04-28T11:15:00+05:30,37485.00,37500.00,37445.00,37470.00,130
2026-04-28T11:20:00+05:30,37470.00,37520.00,37465.00,37485.00,96
2026-04-28T11:25:00+05:30,37450.00,37460.00,37420.00,37420.00,120
2026-04-28T11:30:00+05:30,37435.00,37490.00,37405.00,37470.00,139
2026-04-28T11:35:00+05:30,37465.00,37500.00,37450.00,37485.00,120
2026-04-28T11:40:00+05:30,37480.00,37490.00,37445.00,37470.00,76
2026-04-28T11:45:00+05:30,37495.00,37525.00,37480.00,37520.00,139
2026-04-28T11:50:00+05:30,37520.00,37550.00,37460.00,37465.00,116
2026-04-28T11:55:00+05:30,37465.00,37500.00,37450.00,37480.00,72
2026-04-28T12:00:00+05:30,37470.00,37470.00,37400.00,37430.00,102
2026-04-28T12:05:00+05:30,37420.00,37475.00,37400.00,37410.00,199
2026-04-28T12:10:00+05:30,37410.00,37470.00,37405.00,37435.00,169
2026-04-28T12:15:00+05:30,37455.00,37455.00,37370.00,37370.00,324
2026-04-28T12:20:00+05:30,37355.00,37375.00,37300.00,37330.00,359
2026-04-28T12:25:00+05:30,37335.00,37335.00,37255.00,37255.00,181
2026-04-28T12:30:00+05:30,37280.00,37280.00,37230.00,37255.00,116
2026-04-28T12:35:00+05:30,37250.00,37270.00,37205.00,37210.00,146
2026-04-28T12:40:00+05:30,37230.00,37250.00,37210.00,37225.00,163
2026-04-28T12:45:00+05:30,37235.00,37255.00,37220.00,37230.00,94
2026-04-28T12:50:00+05:30,37235.00,37275.00,37225.00,37250.00,121
2026-04-28T12:55:00+05:30,37250.00,37335.00,37250.00,37280.00,246
2026-04-28T13:00:00+05:30,37305.00,37330.00,37275.00,37330.00,116
2026-04-28T13:05:00+05:30,37320.00,37355.00,37275.00,37340.00,149
2026-04-28T13:10:00+05:30,37360.00,37360.00,37290.00,37290.00,145
2026-04-28T13:15:00+05:30,37335.00,37335.00,37295.00,37305.00,153
2026-04-28T13:20:00+05:30,37305.00,37325.00,37260.00,37290.00,210
2026-04-28T13:25:00+05:30,37290.00,37310.00,37250.00,37250.00,122
2026-04-28T13:30:00+05:30,37260.00,37275.00,37230.00,37250.00,118
2026-04-28T13:35:00+05:30,37220.00,37250.00,37220.00,37230.00,32
2026-04-28T13:40:00+05:30,37255.00,37510.00,37255.00,37425.00,1739
2026-04-28T13:45:00+05:30,37420.00,37450.00,37300.00,37310.00,196
2026-04-28T13:50:00+05:30,37315.00,37415.00,37310.00,37400.00,76
2026-04-28T13:55:00+05:30,37400.00,37405.00,37340.00,37345.00,122
2026-04-28T14:00:00+05:30,37370.00,37370.00,37320.00,37320.00,62
2026-04-28T14:05:00+05:30,37330.00,37335.00,37280.00,37310.00,96
2026-04-28T14:10:00+05:30,37310.00,37480.00,37285.00,37480.00,254
2026-04-28T14:15:00+05:30,37480.00,37570.00,37460.00,37520.00,644
2026-04-28T14:20:00+05:30,37535.00,37550.00,37500.00,37505.00,149
2026-04-28T14:25:00+05:30,37505.00,37525.00,37455.00,37515.00,282
2026-04-28T14:30:00+05:30,37530.00,37585.00,37525.00,37525.00,341
2026-04-28T14:35:00+05:30,37520.00,37620.00,37520.00,37575.00,413
2026-04-28T14:40:00+05:30,37580.00,37620.00,37510.00,37560.00,341
2026-04-28T14:45:00+05:30,37555.00,37575.00,37525.00,37535.00,210
2026-04-28T14:50:00+05:30,37535.00,37585.00,37535.00,37560.00,405
2026-04-28T14:55:00+05:30,37560.00,37650.00,37550.00,37650.00,493
2026-04-28T15:00:00+05:30,37735.00,37735.00,37445.00,37450.00,1621
2026-04-28T15:05:00+05:30,37490.00,37555.00,37430.00,37445.00,1153
2026-04-28T15:10:00+05:30,37465.00,37505.00,37425.00,37450.00,1242
2026-04-28T15:15:00+05:30,37455.00,37500.00,37450.00,37500.00,1388
2026-04-28T15:20:00+05:30,37485.00,37500.00,37450.00,37460.00,854
2026-04-28T15:25:00+05:30,37500.00,37505.00,37410.00,37505.00,1095
2026-04-29T09:15:00+05:30,37715.00,37715.00,37435.00,37455.00,0
2026-04-29T09:20:00+05:30,37475.00,37475.00,37350.00,37415.00,577
2026-04-29T09:25:00+05:30,37430.00,37565.00,37380.00,37565.00,397
2026-04-29T09:30:00+05:30,37590.00,37590.00,37490.00,37500.00,299
2026-04-29T09:35:00+05:30,37490.00,37535.00,37450.00,37450.00,215
2026-04-29T09:40:00+05:30,37470.00,37485.00,37430.00,37435.00,347
2026-04-29T09:45:00+05:30,37430.00,37505.00,37420.00,37505.00,135
2026-04-29T09:50:00+05:30,37495.00,37515.00,37495.00,37515.00,64
2026-04-29T09:55:00+05:30,37490.00,37490.00,37465.00,37485.00,48
2026-04-29T10:00:00+05:30,37475.00,37540.00,37465.00,37535.00,364
2026-04-29T10:05:00+05:30,37530.00,37540.00,37515.00,37515.00,80
2026-04-29T10:10:00+05:30,37500.00,37515.00,37500.00,37515.00,8
2026-04-29T10:15:00+05:30,37480.00,37485.00,37435.00,37435.00,247
2026-04-29T10:20:00+05:30,37435.00,37470.00,37385.00,37390.00,306
2026-04-29T10:25:00+05:30,37385.00,37405.00,37385.00,37395.00,23
2026-04-29T10:30:00+05:30,37395.00,37405.00,37330.00,37330.00,222
2026-04-29T10:35:00+05:30,37335.00,37345.00,37315.00,37330.00,240
2026-04-29T10:40:00+05:30,37325.00,37340.00,37315.00,37315.00,157
2026-04-29T10:45:00+05:30,37305.00,37330.00,37260.00,37270.00,142
2026-04-29T10:50:00+05:30,37275.00,37285.00,37250.00,37250.00,153
2026-04-29T10:55:00+05:30,37240.00,37270.00,37230.00,37270.00,98
2026-04-29T11:00:00+05:30,37265.00,37280.00,37235.00,37235.00,96
2026-04-29T11:05:00+05:30,37245.00,37275.00,37225.00,37250.00,185
2026-04-29T11:10:00+05:30,37250.00,37255.00,37230.00,37240.00,75
2026-04-29T11:15:00+05:30,37245.00,37245.00,37230.00,37230.00,102
2026-04-29T11:20:00+05:30,37230.00,37260.00,37230.00,37250.00,92
2026-04-29T11:25:00+05:30,37305.00,37305.00,37260.00,37270.00,262
2026-04-29T11:30:00+05:30,37270.00,37295.00,37255.00,37285.00,97
2026-04-29T11:35:00+05:30,37285.00,37295.00,37280.00,37280.00,62
2026-04-29T11:40:00+05:30,37295.00,37295.00,37265.00,37265.00,50
2026-04-29T11:45:00+05:30,37270.00,37290.00,37260.00,37260.00,120
2026-04-29T11:50:00+05:30,37285.00,37285.00,37240.00,37250.00,103
2026-04-29T11:55:00+05:30,37250.00,37325.00,37250.00,37300.00,155
2026-04-29T12:00:00+05:30,37300.00,37305.00,37285.00,37305.00,128
2026-04-29T12:05:00+05:30,37305.00,37310.00,37230.00,37245.00,170
2026-04-29T12:10:00+05:30,37250.00,37265.00,37230.00,37230.00,111
2026-04-29T12:15:00+05:30,37230.00,37235.00,37220.00,37230.00,80
2026-04-29T12:20:00+05:30,37240.00,37255.00,37230.00,37235.00,90
2026-04-29T12:25:00+05:30,37230.00,37245.00,37220.00,37220.00,75
2026-04-29T12:30:00+05:30,37220.00,37295.00,37215.00,37295.00,273
2026-04-29T12:35:00+05:30,37265.00,37280.00,37245.00,37245.00,143
2026-04-29T12:40:00+05:30,37245.00,37245.00,37235.00,37235.00,21
2026-04-29T12:45:00+05:30,37235.00,37270.00,37220.00,37220.00,150
2026-04-29T12:50:00+05:30,37240.00,37265.00,37225.00,37250.00,112
2026-04-29T12:55:00+05:30,37250.00,37260.00,37240.00,37240.00,43
2026-04-29T13:00:00+05:30,37240.00,37255.00,37210.00,37255.00,299
2026-04-29T13:05:00+05:30,37250.00,37270.00,37150.00,37150.00,644
2026-04-29T13:10:00+05:30,37140.00,37140.00,37080.00,37085.00,343
2026-04-29T13:15:00+05:30,37080.00,37085.00,37040.00,37085.00,114
2026-04-29T13:20:00+05:30,37080.00,37095.00,37055.00,37080.00,178
2026-04-29T13:25:00+05:30,37055.00,37145.00,37055.00,37135.00,304
2026-04-29T13:30:00+05:30,37115.00,37115.00,37025.00,37040.00,145
2026-04-29T13:35:00+05:30,37040.00,37040.00,36935.00,36935.00,295
2026-04-29T13:40:00+05:30,36935.00,36935.00,36900.00,36910.00,265
2026-04-29T13:45:00+05:30,36910.00,36915.00,36825.00,36830.00,268
2026-04-29T13:50:00+05:30,36835.00,36915.00,36835.00,36895.00,413
2026-04-29T13:55:00+05:30,36895.00,36940.00,36885.00,36915.00,131
2026-04-29T14:00:00+05:30,36900.00,36930.00,36895.00,36915.00,214
2026-04-29T14:05:00+05:30,36905.00,36955.00,36895.00,36930.00,239
2026-04-29T14:10:00+05:30,36940.00,36965.00,36915.00,36945.00,155
2026-04-29T14:15:00+05:30,36945.00,36965.00,36900.00,36900.00,210
2026-04-29T14:20:00+05:30,36910.00,36920.00,36860.00,36860.00,271
2026-04-29T14:25:00+05:30,36860.00,36865.00,36725.00,36860.00,509
2026-04-29T14:30:00+05:30,36830.00,36910.00,36780.00,36890.00,225
2026-04-29T14:35:00+05:30,36885.00,36910.00,36835.00,36900.00,199
2026-04-29T14:40:00+05:30,36875.00,36885.00,36850.00,36855.00,119
2026-04-29T14:45:00+05:30,36850.00,36865.00,36800.00,36805.00,137
2026-04-29T14:50:00+05:30,36805.00,36815.00,36735.00,36735.00,104
2026-04-29T14:55:00+05:30,36725.00,36780.00,36720.00,36750.00,592
2026-04-29T15:00:00+05:30,36735.00,36895.00,36735.00,36880.00,653
2026-04-29T15:05:00+05:30,36885.00,36940.00,36875.00,36930.00,637
2026-04-29T15:10:00+05:30,36905.00,36915.00,36880.00,36905.00,423
2026-04-29T15:15:00+05:30,36905.00,36910.00,36805.00,36805.00,924
2026-04-29T15:20:00+05:30,36830.00,36830.00,36765.00,36770.00,826
2026-04-29T15:25:00+05:30,36770.00,36910.00,36710.00,36910.00,829
