ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,4761.50,4810.40,4761.50,4793.80,0
2026-04-27T09:20:00+05:30,4791.40,4810.50,4788.00,4798.60,16469
2026-04-27T09:25:00+05:30,4799.90,4818.50,4778.20,4800.10,19677
2026-04-27T09:30:00+05:30,4797.90,4816.50,4788.50,4805.60,12708
2026-04-27T09:35:00+05:30,4803.90,4810.00,4792.20,4800.50,8980
2026-04-27T09:40:00+05:30,4802.60,4825.00,4802.60,4823.50,12655
2026-04-27T09:45:00+05:30,4823.30,4844.50,4823.30,4829.10,16898
2026-04-27T09:50:00+05:30,4830.00,4845.00,4818.60,4839.00,12550
2026-04-27T09:55:00+05:30,4835.80,4841.00,4825.70,4830.00,8645
2026-04-27T10:00:00+05:30,4830.00,4830.00,4810.10,4811.10,13088
2026-04-27T10:05:00+05:30,4811.10,4818.50,4801.50,4801.50,11482
2026-04-27T10:10:00+05:30,4801.60,4816.60,4801.30,4814.10,8802
2026-04-27T10:15:00+05:30,4814.40,4823.40,4810.00,4813.20,10069
2026-04-27T10:20:00+05:30,4813.70,4816.40,4800.00,4808.90,12581
2026-04-27T10:25:00+05:30,4808.90,4815.00,4805.00,4808.60,6478
2026-04-27T10:30:00+05:30,4808.60,4814.70,4801.40,4811.90,8509
2026-04-27T10:35:00+05:30,4813.40,4813.40,4801.60,4805.00,5877
2026-04-27T10:40:00+05:30,4804.90,4807.40,4791.10,4798.00,14687
2026-04-27T10:45:00+05:30,4798.80,4808.00,4790.40,4798.40,10843
2026-04-27T10:50:00+05:30,4799.80,4801.50,4790.00,4790.00,8662
2026-04-27T10:55:00+05:30,4790.90,4796.90,4784.60,4788.60,9209
2026-04-27T11:00:00+05:30,4787.70,4792.00,4782.10,4782.70,7036
2026-04-27T11:05:00+05:30,4783.40,4789.70,4773.20,4778.60,8235
2026-04-27T11:10:00+05:30,4780.20,4792.90,4778.70,4785.00,6076
2026-04-27T11:15:00+05:30,4785.00,4790.00,4780.00,4780.60,5133
2026-04-27T11:20:00+05:30,4780.10,4787.40,4776.60,4777.00,8334
2026-04-27T11:25:00+05:30,4775.60,4778.10,4767.30,4769.30,10278
2026-04-27T11:30:00+05:30,4769.80,4775.80,4766.40,4774.20,9538
2026-04-27T11:35:00+05:30,4773.90,4778.70,4771.00,4772.40,7820
2026-04-27T11:40:00+05:30,4772.30,4783.90,4771.60,4783.90,6969
2026-04-27T11:45:00+05:30,4783.40,4784.40,4775.10,4781.20,4465
2026-04-27T11:50:00+05:30,4780.00,4780.60,4772.00,4777.90,5061
2026-04-27T11:55:00+05:30,4780.20,4792.50,4780.20,4791.60,6200
2026-04-27T12:00:00+05:30,4791.70,4792.20,4785.00,4788.30,5315
2026-04-27T12:05:00+05:30,4788.30,4791.70,4785.00,4789.20,5783
2026-04-27T12:10:00+05:30,4789.20,4799.00,4788.00,4795.90,6379
2026-04-27T12:15:00+05:30,4795.40,4800.20,4794.50,4796.40,4266
2026-04-27T12:20:00+05:30,4795.90,4801.00,4790.90,4796.40,6408
2026-04-27T12:25:00+05:30,4796.30,4796.30,4782.10,4786.90,7106
2026-04-27T12:30:00+05:30,4785.80,4792.90,4782.50,4789.30,5304
2026-04-27T12:35:00+05:30,4789.30,4801.10,4786.60,4797.70,10379
2026-04-27T12:40:00+05:30,4797.60,4799.70,4790.00,4794.60,5250
2026-04-27T12:45:00+05:30,4794.30,4798.10,4785.00,4786.60,6243
2026-04-27T12:50:00+05:30,4786.60,4798.00,4782.10,4797.30,9915
2026-04-27T12:55:00+05:30,4797.20,4804.50,4794.70,4801.50,9300
2026-04-27T13:00:00+05:30,4801.20,4810.00,4795.50,4798.60,10488
2026-04-27T13:05:00+05:30,4797.00,4801.50,4792.00,4799.60,5795
2026-04-27T13:10:00+05:30,4801.50,4803.80,4796.90,4799.30,5203
2026-04-27T13:15:00+05:30,4799.30,4800.70,4791.20,4794.20,6990
2026-04-27T13:20:00+05:30,4794.10,4800.80,4790.10,4798.20,5452
2026-04-27T13:25:00+05:30,4797.80,4801.80,4797.50,4797.60,6276
2026-04-27T13:30:00+05:30,4797.60,4807.90,4796.90,4799.40,17930
2026-04-27T13:35:00+05:30,4799.40,4805.90,4797.40,4802.20,16454
2026-04-27T13:40:00+05:30,4800.70,4809.50,4799.40,4801.30,28301
2026-04-27T13:45:00+05:30,4801.50,4809.20,4800.00,4800.40,8838
2026-04-27T13:50:00+05:30,4799.90,4804.70,4797.70,4802.10,7558
2026-04-27T13:55:00+05:30,4803.30,4817.90,4801.60,4813.50,11984
2026-04-27T14:00:00+05:30,4813.50,4815.00,4809.10,4810.10,8706
2026-04-27T14:05:00+05:30,4811.10,4819.80,4807.00,4815.20,12473
2026-04-27T14:10:00+05:30,4815.20,4824.50,4813.50,4817.50,16806
2026-04-27T14:15:00+05:30,4818.00,4824.90,4818.00,4819.70,10276
2026-04-27T14:20:00+05:30,4819.90,4822.50,4810.00,4810.00,11307
2026-04-27T14:25:00+05:30,4810.00,4820.40,4810.00,4818.20,9620
2026-04-27T14:30:00+05:30,4817.60,4820.00,4813.20,4817.40,19291
2026-04-27T14:35:00+05:30,4818.80,4829.90,4817.80,4822.80,9320
2026-04-27T14:40:00+05:30,4822.80,4824.70,4813.80,4814.00,5863
2026-04-27T14:45:00+05:30,4815.20,4816.20,4805.00,4810.50,9175
2026-04-27T14:50:00+05:30,4810.50,4812.30,4805.30,4806.90,7742
2026-04-27T14:55:00+05:30,4807.50,4811.40,4805.40,4806.10,4936
2026-04-27T15:00:00+05:30,4805.50,4806.70,4800.00,4805.60,14315
2026-04-27T15:05:00+05:30,4805.70,4809.00,4797.00,4797.00,14721
2026-04-27T15:10:00+05:30,4797.00,4822.50,4797.00,4820.00,47090
2026-04-27T15:15:00+05:30,4820.40,4829.20,4815.70,4823.10,26491
2026-04-27T15:20:00+05:30,4823.10,4830.00,4822.90,4828.00,20198
2026-04-27T15:25:00+05:30,4825.50,4845.00,4817.50,4817.50,18951
2026-04-28T09:15:00+05:30,4830.00,4851.50,4792.70,4822.00,0
2026-04-28T09:20:00+05:30,4820.00,4820.00,4797.00,4804.50,14500
2026-04-28T09:25:00+05:30,4805.20,4835.00,4805.00,4832.40,9637
2026-04-28T09:30:00+05:30,4832.40,4833.00,4787.50,4787.50,12493
2026-04-28T09:35:00+05:30,4789.50,4796.90,4783.70,4789.60,14419
2026-04-28T09:40:00+05:30,4789.00,4794.50,4782.30,4792.40,5820
2026-04-28T09:45:00+05:30,4794.90,4795.00,4764.10,4765.00,15574
2026-04-28T09:50:00+05:30,4764.20,4774.60,4762.00,4773.30,13793
2026-04-28T09:55:00+05:30,4774.00,4779.00,4770.00,4776.00,5419
2026-04-28T10:00:00+05:30,4776.00,4791.40,4772.40,4781.00,7472
2026-04-28T10:05:00+05:30,4781.10,4792.00,4781.10,4784.60,6891
2026-04-28T10:10:00+05:30,4783.50,4785.20,4772.20,4772.20,6917
2026-04-28T10:15:00+05:30,4772.20,4780.00,4768.00,4778.00,8361
2026-04-28T10:20:00+05:30,4777.40,4787.60,4777.40,4784.10,5931
2026-04-28T10:25:00+05:30,4784.00,4785.60,4775.30,4778.20,3392
2026-04-28T10:30:00+05:30,4777.10,4777.10,4755.40,4757.60,9123
2026-04-28T10:35:00+05:30,4756.30,4762.00,4753.00,4755.70,6686
2026-04-28T10:40:00+05:30,4755.00,4759.90,4749.60,4753.00,9962
2026-04-28T10:45:00+05:30,4753.00,4760.50,4752.00,4758.30,3701
2026-04-28T10:50:00+05:30,4756.90,4764.00,4753.20,4761.90,2436
2026-04-28T10:55:00+05:30,4764.40,4764.40,4755.00,4756.00,3785
2026-04-28T11:00:00+05:30,4756.00,4758.60,4753.00,4755.20,4280
2026-04-28T11:05:00+05:30,4756.20,4758.70,4746.00,4747.20,7214
2026-04-28T11:10:00+05:30,4747.20,4759.90,4745.80,4758.50,4168
2026-04-28T11:15:00+05:30,4758.20,4761.20,4749.70,4759.30,7846
2026-04-28T11:20:00+05:30,4761.20,4764.80,4757.60,4758.30,3501
2026-04-28T11:25:00+05:30,4758.20,4758.90,4748.40,4751.60,7540
2026-04-28T11:30:00+05:30,4751.40,4760.00,4748.40,4759.10,6190
2026-04-28T11:35:00+05:30,4759.20,4768.50,4758.70,4766.10,5354
2026-04-28T11:40:00+05:30,4766.00,4791.90,4761.80,4788.50,17123
2026-04-28T11:45:00+05:30,4788.50,4790.50,4779.20,4786.00,7281
2026-04-28T11:50:00+05:30,4785.50,4792.80,4780.30,4790.00,15406
2026-04-28T11:55:00+05:30,4791.00,4795.80,4790.00,4790.50,8781
2026-04-28T12:00:00+05:30,4791.50,4795.70,4789.30,4791.40,17801
2026-04-28T12:05:00+05:30,4791.00,4796.80,4791.00,4795.20,13075
2026-04-28T12:10:00+05:30,4795.00,4805.00,4795.00,4801.00,13886
2026-04-28T12:15:00+05:30,4801.00,4805.80,4800.00,4805.00,6240
2026-04-28T12:20:00+05:30,4805.00,4808.90,4801.10,4807.70,13938
2026-04-28T12:25:00+05:30,4807.20,4809.20,4803.10,4803.40,10850
2026-04-28T12:30:00+05:30,4803.00,4805.20,4799.60,4801.50,12885
2026-04-28T12:35:00+05:30,4801.50,4802.30,4790.00,4790.00,8544
2026-04-28T12:40:00+05:30,4789.60,4796.10,4781.00,4793.40,34587
2026-04-28T12:45:00+05:30,4793.40,4795.80,4792.50,4792.80,5077
2026-04-28T12:50:00+05:30,4793.40,4794.00,4788.20,4793.00,5204
2026-04-28T12:55:00+05:30,4792.50,4794.20,4790.00,4791.20,3921
2026-04-28T13:00:00+05:30,4791.20,4792.50,4780.00,4791.50,16834
2026-04-28T13:05:00+05:30,4791.40,4803.00,4790.00,4802.00,10680
2026-04-28T13:10:00+05:30,4801.20,4810.00,4799.70,4803.00,15422
2026-04-28T13:15:00+05:30,4803.00,4809.80,4800.00,4801.00,7393
2026-04-28T13:20:00+05:30,4801.00,4803.00,4796.30,4796.30,15797
2026-04-28T13:25:00+05:30,4795.50,4803.40,4795.00,4800.00,10742
2026-04-28T13:30:00+05:30,4800.50,4804.90,4800.00,4801.10,2585
2026-04-28T13:35:00+05:30,4801.50,4804.00,4800.00,4801.80,4133
2026-04-28T13:40:00+05:30,4801.00,4821.80,4801.00,4812.00,10980
2026-04-28T13:45:00+05:30,4811.80,4813.30,4805.60,4808.00,3206
2026-04-28T13:50:00+05:30,4808.00,4812.80,4806.80,4808.40,4001
2026-04-28T13:55:00+05:30,4808.50,4815.00,4806.90,4809.20,5517
2026-04-28T14:00:00+05:30,4807.00,4809.30,4801.30,4801.30,4392
2026-04-28T14:05:00+05:30,4801.30,4804.90,4800.00,4803.00,10448
