ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,273.65,275.80,273.65,275.00,0
2026-04-27T09:20:00+05:30,274.90,275.95,274.40,274.40,49896
2026-04-27T09:25:00+05:30,274.30,274.45,273.45,273.75,21631
2026-04-27T09:30:00+05:30,273.95,274.60,273.10,273.20,17599
2026-04-27T09:35:00+05:30,273.35,273.65,272.95,273.40,24909
2026-04-27T09:40:00+05:30,273.65,274.45,273.35,273.90,14205
2026-04-27T09:45:00+05:30,273.75,274.65,273.75,274.45,13280
2026-04-27T09:50:00+05:30,274.55,275.40,274.55,275.30,13580
2026-04-27T09:55:00+05:30,275.30,275.80,275.05,275.50,19395
2026-04-27T10:00:00+05:30,275.60,275.70,275.00,275.00,8595
2026-04-27T10:05:00+05:30,275.00,275.45,274.60,274.85,31766
2026-04-27T10:10:00+05:30,275.00,275.05,274.35,274.40,15603
2026-04-27T10:15:00+05:30,274.65,275.75,274.65,275.70,22157
2026-04-27T10:20:00+05:30,275.85,277.05,275.80,276.85,135278
2026-04-27T10:25:00+05:30,276.85,277.10,276.50,277.05,274047
2026-04-27T10:30:00+05:30,277.05,277.35,276.90,277.35,21256
2026-04-27T10:35:00+05:30,277.40,277.55,277.30,277.55,13301
2026-04-27T10:40:00+05:30,277.55,277.65,277.40,277.45,17885
2026-04-27T10:45:00+05:30,277.60,278.10,277.45,278.00,35750
2026-04-27T10:50:00+05:30,278.00,278.35,278.00,278.30,55100
2026-04-27T10:55:00+05:30,278.25,278.30,277.65,277.65,69255
2026-04-27T11:00:00+05:30,277.80,278.15,277.70,278.10,110014
2026-04-27T11:05:00+05:30,277.95,279.20,277.95,279.00,95807
2026-04-27T11:10:00+05:30,278.85,279.05,278.50,279.00,90720
2026-04-27T11:15:00+05:30,279.00,279.10,278.45,278.45,35874
2026-04-27T11:20:00+05:30,278.40,279.75,278.40,279.40,36498
2026-04-27T11:25:00+05:30,279.55,279.65,279.15,279.25,27867
2026-04-27T11:30:00+05:30,279.35,280.25,279.30,279.85,84694
2026-04-27T11:35:00+05:30,280.00,280.10,279.70,280.00,152539
2026-04-27T11:40:00+05:30,280.00,280.15,279.45,280.00,148858
2026-04-27T11:45:00+05:30,280.05,280.35,279.20,280.05,153920
2026-04-27T11:50:00+05:30,279.95,280.15,279.30,279.30,99140
2026-04-27T11:55:00+05:30,279.25,279.55,279.00,279.30,24179
2026-04-27T12:00:00+05:30,279.00,279.10,278.45,278.75,31931
2026-04-27T12:05:00+05:30,278.75,278.95,278.30,278.50,20189
2026-04-27T12:10:00+05:30,278.65,278.95,278.55,278.60,15091
2026-04-27T12:15:00+05:30,278.90,278.90,278.50,278.60,13459
2026-04-27T12:20:00+05:30,278.50,278.70,278.05,278.60,14607
2026-04-27T12:25:00+05:30,278.55,280.25,278.55,279.95,62154
2026-04-27T12:30:00+05:30,280.15,280.80,280.00,280.70,16088
2026-04-27T12:35:00+05:30,280.85,281.20,280.55,280.60,18051
