ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,472.15,476.80,472.15,475.50,0
2026-04-27T09:20:00+05:30,475.60,477.85,475.40,475.90,178374
2026-04-27T09:25:00+05:30,475.60,477.00,475.40,476.00,83641
2026-04-27T09:30:00+05:30,476.30,478.30,476.30,477.25,166461
2026-04-27T09:35:00+05:30,477.05,478.25,475.60,475.80,109818
2026-04-27T09:40:00+05:30,475.70,476.30,474.50,475.15,73660
2026-04-27T09:45:00+05:30,475.20,476.10,474.60,475.75,71832
2026-04-27T09:50:00+05:30,476.00,476.90,475.80,476.90,57792
2026-04-27T09:55:00+05:30,476.70,477.00,475.60,475.75,48690
2026-04-27T10:00:00+05:30,475.75,477.10,475.50,475.90,107676
2026-04-27T10:05:00+05:30,475.80,475.95,474.65,475.00,179997
2026-04-27T10:10:00+05:30,475.00,475.15,474.40,474.60,90559
2026-04-27T10:15:00+05:30,474.60,476.30,474.60,476.25,112516
2026-04-27T10:20:00+05:30,476.25,476.40,475.50,476.00,84799
2026-04-27T10:25:00+05:30,476.05,476.05,474.70,475.15,87407
2026-04-27T10:30:00+05:30,475.45,475.65,475.00,475.60,42059
2026-04-27T10:35:00+05:30,475.70,476.00,475.50,475.70,46842
2026-04-27T10:40:00+05:30,475.50,475.95,475.20,475.50,50001
2026-04-27T10:45:00+05:30,475.40,476.00,475.20,475.80,46743
2026-04-27T10:50:00+05:30,475.95,476.00,475.30,475.90,48224
2026-04-27T10:55:00+05:30,475.90,476.85,475.80,476.60,145274
2026-04-27T11:00:00+05:30,476.70,477.20,476.50,477.00,75234
2026-04-27T11:05:00+05:30,476.90,477.75,476.80,476.95,83547
2026-04-27T11:10:00+05:30,476.95,477.30,476.80,477.05,73087
2026-04-27T11:15:00+05:30,477.20,478.00,477.20,477.90,92901
2026-04-27T11:20:00+05:30,478.00,478.00,477.00,477.20,44924
2026-04-27T11:25:00+05:30,477.20,477.35,476.50,476.65,44762
2026-04-27T11:30:00+05:30,476.80,477.00,476.30,476.35,33509
2026-04-27T11:35:00+05:30,476.30,476.80,474.90,476.15,153753
2026-04-27T11:40:00+05:30,475.85,476.20,475.30,475.85,110464
2026-04-27T11:45:00+05:30,475.65,476.00,475.05,475.95,36824
2026-04-27T11:50:00+05:30,475.95,476.30,475.40,475.50,55066
2026-04-27T11:55:00+05:30,475.45,475.50,475.10,475.50,33932
2026-04-27T12:00:00+05:30,475.50,475.50,473.85,474.35,70840
2026-04-27T12:05:00+05:30,474.50,474.90,474.00,474.40,61913
2026-04-27T12:10:00+05:30,474.35,474.90,474.25,474.25,62206
2026-04-27T12:15:00+05:30,474.20,475.00,473.85,474.55,55623
2026-04-27T12:20:00+05:30,474.40,474.40,473.55,474.40,52701
2026-04-27T12:25:00+05:30,474.35,474.60,473.75,473.90,66894
2026-04-27T12:30:00+05:30,474.45,475.00,473.75,475.00,72373
2026-04-27T12:35:00+05:30,474.90,475.45,474.80,474.80,96979
2026-04-27T12:40:00+05:30,474.80,475.25,474.40,474.85,74797
2026-04-27T12:45:00+05:30,474.75,475.00,474.55,474.75,40442
2026-04-27T12:50:00+05:30,474.75,475.05,473.80,473.90,61013
2026-04-27T12:55:00+05:30,473.95,473.95,473.05,473.85,63630
2026-04-27T13:00:00+05:30,474.20,474.20,473.35,473.40,41749
2026-04-27T13:05:00+05:30,473.65,474.30,473.45,473.70,33055
2026-04-27T13:10:00+05:30,473.90,474.15,473.20,473.60,44756
2026-04-27T13:15:00+05:30,473.40,473.80,473.40,473.40,33365
2026-04-27T13:20:00+05:30,473.55,473.70,473.25,473.45,35695
2026-04-27T13:25:00+05:30,473.35,474.50,473.15,474.35,61884
2026-04-27T13:30:00+05:30,474.20,474.90,474.00,474.80,41653
2026-04-27T13:35:00+05:30,474.85,475.00,473.85,474.00,66572
2026-04-27T13:40:00+05:30,474.05,474.50,474.00,474.00,46450
2026-04-27T13:45:00+05:30,474.05,474.40,474.00,474.00,34256
2026-04-27T13:50:00+05:30,474.05,474.10,473.80,473.95,28116
2026-04-27T13:55:00+05:30,473.95,474.00,473.10,473.20,49059
2026-04-27T14:00:00+05:30,473.20,473.90,473.15,473.35,43301
2026-04-27T14:05:00+05:30,473.30,473.70,472.75,472.95,40478
2026-04-27T14:10:00+05:30,473.00,473.30,472.70,473.10,95396
2026-04-27T14:15:00+05:30,473.05,473.60,472.65,473.55,113525
2026-04-27T14:20:00+05:30,473.55,473.55,472.80,472.80,35149
2026-04-27T14:25:00+05:30,472.85,472.90,472.55,472.70,35614
2026-04-27T14:30:00+05:30,472.85,473.75,472.60,473.25,42245
2026-04-27T14:35:00+05:30,473.35,474.50,473.25,474.45,57602
2026-04-27T14:40:00+05:30,474.40,474.50,474.05,474.20,44841
2026-04-27T14:45:00+05:30,474.15,474.40,473.95,474.15,49257
2026-04-27T14:50:00+05:30,474.15,475.15,474.05,474.10,176727
2026-04-27T14:55:00+05:30,474.15,475.00,474.05,475.00,123020
2026-04-27T15:00:00+05:30,475.05,475.50,475.00,475.50,353570
2026-04-27T15:05:00+05:30,475.55,475.55,475.25,475.50,76836
2026-04-27T15:10:00+05:30,475.50,475.75,475.40,475.45,111462
2026-04-27T15:15:00+05:30,475.40,475.65,475.15,475.35,90202
2026-04-27T15:20:00+05:30,475.35,475.45,474.15,474.20,121957
2026-04-27T15:25:00+05:30,474.20,474.90,472.80,474.90,172706
2026-04-28T09:15:00+05:30,471.70,476.70,470.95,473.55,0
2026-04-28T09:20:00+05:30,473.85,475.00,472.25,472.60,238543
2026-04-28T09:25:00+05:30,472.90,475.75,472.80,475.70,276339
2026-04-28T09:30:00+05:30,475.70,482.00,475.00,479.00,722367
2026-04-28T09:35:00+05:30,478.70,482.25,477.10,480.65,414222
2026-04-28T09:40:00+05:30,480.55,481.50,479.00,479.10,226858
2026-04-28T09:45:00+05:30,479.45,480.90,479.25,479.25,168866
2026-04-28T09:50:00+05:30,479.25,479.75,478.25,478.75,88459
2026-04-28T09:55:00+05:30,478.85,478.90,477.05,478.60,87893
2026-04-28T10:00:00+05:30,479.05,479.90,478.40,478.95,117433
2026-04-28T10:05:00+05:30,478.90,479.85,478.20,479.40,70437
2026-04-28T10:10:00+05:30,479.35,480.95,479.30,480.55,425966
2026-04-28T10:15:00+05:30,480.60,480.80,479.45,479.45,133889
2026-04-28T10:20:00+05:30,479.60,479.95,479.05,479.50,130268
2026-04-28T10:25:00+05:30,479.45,479.80,479.00,479.20,110374
2026-04-28T10:30:00+05:30,479.30,479.60,478.50,479.30,87271
2026-04-28T10:35:00+05:30,479.40,479.40,477.75,478.30,98737
2026-04-28T10:40:00+05:30,478.40,478.65,477.85,478.25,54074
2026-04-28T10:45:00+05:30,478.50,479.05,478.45,478.90,66353
2026-04-28T10:50:00+05:30,478.75,478.95,478.35,478.40,41386
2026-04-28T10:55:00+05:30,478.35,479.00,478.35,478.95,45951
2026-04-28T11:00:00+05:30,479.00,479.00,478.40,478.60,41090
2026-04-28T11:05:00+05:30,478.60,478.60,477.90,478.35,62134
2026-04-28T11:10:00+05:30,478.40,478.65,477.90,478.20,42721
2026-04-28T11:15:00+05:30,478.00,478.85,477.95,478.45,80657
2026-04-28T11:20:00+05:30,478.40,479.00,478.40,478.75,57478
2026-04-28T11:25:00+05:30,478.75,478.75,476.40,477.25,179596
2026-04-28T11:30:00+05:30,477.25,477.70,476.80,477.65,89494
2026-04-28T11:35:00+05:30,477.60,477.80,476.80,477.80,156039
2026-04-28T11:40:00+05:30,477.75,478.20,477.40,478.20,55659
2026-04-28T11:45:00+05:30,478.40,479.00,478.20,479.00,58303
2026-04-28T11:50:00+05:30,478.85,479.80,478.80,479.70,68033
