ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,3080.60,3115.00,3080.60,3109.30,0
2026-04-27T09:20:00+05:30,3107.00,3115.00,3101.20,3106.90,6425
2026-04-27T09:25:00+05:30,3105.00,3109.20,3090.00,3101.40,4947
2026-04-27T09:30:00+05:30,3105.10,3114.00,3099.40,3107.60,5654
2026-04-27T09:35:00+05:30,3105.80,3112.90,3097.90,3109.60,2491
2026-04-27T09:40:00+05:30,3110.00,3117.00,3106.90,3114.10,4552
2026-04-27T09:45:00+05:30,3113.40,3116.00,3098.20,3098.90,3643
2026-04-27T09:50:00+05:30,3099.00,3102.90,3094.90,3096.90,2160
2026-04-27T09:55:00+05:30,3097.20,3109.50,3097.20,3103.00,4139
2026-04-27T10:00:00+05:30,3103.00,3106.50,3096.00,3097.80,1073
2026-04-27T10:05:00+05:30,3096.10,3097.70,3090.00,3091.80,3488
2026-04-27T10:10:00+05:30,3092.00,3095.80,3090.30,3092.60,2180
2026-04-27T10:15:00+05:30,3091.30,3099.70,3091.30,3098.10,915
2026-04-27T10:20:00+05:30,3099.80,3105.00,3098.10,3103.00,1922
2026-04-27T10:25:00+05:30,3104.60,3106.00,3097.60,3105.00,1897
2026-04-27T10:30:00+05:30,3106.30,3109.70,3099.30,3099.90,1979
2026-04-27T10:35:00+05:30,3100.00,3109.70,3097.80,3103.80,1828
2026-04-27T10:40:00+05:30,3103.80,3122.00,3103.50,3116.40,6954
2026-04-27T10:45:00+05:30,3116.50,3119.90,3108.90,3108.90,1993
2026-04-27T10:50:00+05:30,3108.40,3110.70,3104.70,3107.30,683
2026-04-27T10:55:00+05:30,3105.20,3107.90,3103.20,3107.40,1428
2026-04-27T11:00:00+05:30,3104.40,3110.20,3101.10,3103.20,1859
2026-04-27T11:05:00+05:30,3101.80,3105.10,3096.40,3097.60,3692
2026-04-27T11:10:00+05:30,3098.60,3104.60,3097.90,3100.50,1885
2026-04-27T11:15:00+05:30,3099.10,3102.30,3096.10,3097.80,1050
2026-04-27T11:20:00+05:30,3097.00,3097.00,3094.00,3095.70,770
2026-04-27T11:25:00+05:30,3095.70,3098.10,3094.80,3097.10,1494
2026-04-27T11:30:00+05:30,3096.90,3098.50,3090.30,3091.50,1581
2026-04-27T11:35:00+05:30,3090.90,3092.30,3081.90,3084.80,2686
2026-04-27T11:40:00+05:30,3083.80,3090.90,3083.00,3090.10,956
2026-04-27T11:45:00+05:30,3089.10,3094.60,3087.20,3090.60,3997
2026-04-27T11:50:00+05:30,3089.90,3091.50,3086.00,3091.40,1831
2026-04-27T11:55:00+05:30,3090.20,3092.00,3089.60,3090.20,337
2026-04-27T12:00:00+05:30,3090.10,3091.30,3082.80,3083.60,1005
2026-04-27T12:05:00+05:30,3083.60,3089.00,3083.60,3085.00,511
2026-04-27T12:10:00+05:30,3085.50,3089.10,3084.00,3089.10,884
2026-04-27T12:15:00+05:30,3086.10,3089.60,3084.30,3084.50,519
2026-04-27T12:20:00+05:30,3084.40,3087.30,3084.00,3085.20,736
2026-04-27T12:25:00+05:30,3085.70,3086.90,3085.00,3086.00,421
2026-04-27T12:30:00+05:30,3085.00,3086.30,3084.00,3086.20,296
2026-04-27T12:35:00+05:30,3085.00,3089.90,3085.00,3088.00,1217
2026-04-27T12:40:00+05:30,3088.00,3096.60,3086.80,3094.90,1406
2026-04-27T12:45:00+05:30,3094.20,3094.20,3090.80,3090.80,440
2026-04-27T12:50:00+05:30,3093.90,3095.20,3091.50,3094.10,1452
2026-04-27T12:55:00+05:30,3093.60,3096.60,3090.00,3093.10,1310
2026-04-27T13:00:00+05:30,3091.70,3093.80,3090.30,3092.10,750
2026-04-27T13:05:00+05:30,3092.60,3093.60,3091.70,3093.00,300
2026-04-27T13:10:00+05:30,3094.00,3098.10,3094.00,3097.70,621
2026-04-27T13:15:00+05:30,3096.10,3103.00,3096.10,3098.70,1279
2026-04-27T13:20:00+05:30,3099.20,3099.50,3096.10,3098.20,778
2026-04-27T13:25:00+05:30,3096.60,3099.70,3095.00,3096.90,434
2026-04-27T13:30:00+05:30,3096.90,3098.30,3095.00,3098.20,237
2026-04-27T13:35:00+05:30,3097.70,3099.80,3093.50,3099.80,470
2026-04-27T13:40:00+05:30,3099.50,3100.90,3098.60,3099.00,681
2026-04-27T13:45:00+05:30,3099.50,3099.50,3094.00,3096.30,1016
2026-04-27T13:50:00+05:30,3095.50,3097.60,3092.50,3097.00,587
2026-04-27T13:55:00+05:30,3097.00,3098.70,3096.00,3097.00,305
2026-04-27T14:00:00+05:30,3097.50,3101.20,3095.00,3100.60,1269
2026-04-27T14:05:00+05:30,3101.10,3103.00,3096.30,3096.30,812
2026-04-27T14:10:00+05:30,3096.20,3102.00,3091.50,3093.80,2687
2026-04-27T14:15:00+05:30,3093.90,3095.60,3086.50,3087.10,1608
2026-04-27T14:20:00+05:30,3087.60,3088.80,3085.60,3087.30,494
2026-04-27T14:25:00+05:30,3086.30,3087.00,3084.00,3085.80,843
2026-04-27T14:30:00+05:30,3085.80,3086.10,3077.20,3078.20,3572
2026-04-27T14:35:00+05:30,3076.60,3081.60,3076.60,3079.40,525
2026-04-27T14:40:00+05:30,3077.90,3080.00,3076.70,3080.00,1186
2026-04-27T14:45:00+05:30,3080.00,3080.90,3076.20,3080.90,918
2026-04-27T14:50:00+05:30,3079.70,3086.90,3079.20,3086.50,2367
2026-04-27T14:55:00+05:30,3086.40,3093.80,3086.40,3091.20,2317
2026-04-27T15:00:00+05:30,3088.10,3095.10,3086.20,3089.20,5634
2026-04-27T15:05:00+05:30,3089.30,3089.90,3083.00,3085.00,2444
2026-04-27T15:10:00+05:30,3085.00,3085.80,3079.00,3080.30,5786
2026-04-27T15:15:00+05:30,3080.80,3084.40,3075.10,3081.30,9683
2026-04-27T15:20:00+05:30,3082.70,3084.60,3077.40,3080.80,11405
2026-04-27T15:25:00+05:30,3081.40,3098.10,3081.40,3083.60,9800
2026-04-28T09:15:00+05:30,3079.10,3099.70,3072.70,3088.70,0
2026-04-28T09:20:00+05:30,3088.20,3088.80,3075.70,3075.70,2599
2026-04-28T09:25:00+05:30,3077.10,3083.30,3075.90,3075.90,837
2026-04-28T09:30:00+05:30,3075.60,3078.60,3070.00,3070.00,3089
2026-04-28T09:35:00+05:30,3070.00,3070.50,3065.00,3066.60,2321
2026-04-28T09:40:00+05:30,3066.70,3081.70,3066.70,3080.70,10508
2026-04-28T09:45:00+05:30,3081.10,3085.70,3081.10,3083.10,1095
2026-04-28T09:50:00+05:30,3082.60,3085.60,3081.10,3082.50,1046
2026-04-28T09:55:00+05:30,3082.70,3083.00,3080.00,3081.80,718
2026-04-28T10:00:00+05:30,3081.00,3087.70,3081.00,3085.00,1113
2026-04-28T10:05:00+05:30,3085.00,3108.20,3084.00,3108.20,4834
2026-04-28T10:10:00+05:30,3108.20,3140.00,3108.20,3136.30,21824
2026-04-28T10:15:00+05:30,3136.30,3151.80,3136.30,3140.00,30512
2026-04-28T10:20:00+05:30,3138.10,3140.50,3131.10,3140.50,8247
2026-04-28T10:25:00+05:30,3140.50,3144.60,3137.40,3142.10,3521
2026-04-28T10:30:00+05:30,3144.00,3145.90,3139.00,3139.00,5367
2026-04-28T10:35:00+05:30,3139.00,3140.60,3132.50,3133.10,14586
2026-04-28T10:40:00+05:30,3133.10,3139.50,3132.00,3136.90,4155
2026-04-28T10:45:00+05:30,3136.90,3140.10,3127.00,3129.90,6332
2026-04-28T10:50:00+05:30,3129.90,3131.20,3127.30,3127.30,2599
2026-04-28T10:55:00+05:30,3127.30,3133.00,3124.00,3126.30,5501
2026-04-28T11:00:00+05:30,3126.30,3128.00,3105.10,3107.30,28780
2026-04-28T11:05:00+05:30,3108.40,3119.70,3108.40,3119.70,4932
2026-04-28T11:10:00+05:30,3119.40,3120.90,3112.00,3114.20,4718
2026-04-28T11:15:00+05:30,3116.00,3117.70,3108.50,3115.70,6520
2026-04-28T11:20:00+05:30,3120.40,3127.20,3120.40,3122.00,5000
2026-04-28T11:25:00+05:30,3122.20,3124.90,3119.60,3124.10,2932
2026-04-28T11:30:00+05:30,3123.00,3124.50,3119.80,3123.60,2139
2026-04-28T11:35:00+05:30,3122.00,3124.30,3112.40,3115.00,5398
2026-04-28T11:40:00+05:30,3115.00,3122.80,3114.40,3121.00,3445
2026-04-28T11:45:00+05:30,3120.00,3124.60,3120.00,3123.10,1818
2026-04-28T11:50:00+05:30,3123.00,3125.00,3118.50,3120.50,3079
2026-04-28T11:55:00+05:30,3119.30,3120.90,3112.70,3118.90,2715
2026-04-28T12:00:00+05:30,3118.30,3124.50,3117.10,3118.70,2001
2026-04-28T12:05:00+05:30,3117.60,3118.30,3111.10,3114.50,1309
2026-04-28T12:10:00+05:30,3113.20,3116.00,3110.20,3110.30,1431
2026-04-28T12:15:00+05:30,3110.30,3115.70,3108.20,3109.00,3233
2026-04-28T12:20:00+05:30,3109.00,3115.30,3105.10,3105.70,2751
2026-04-28T12:25:00+05:30,3107.50,3109.00,3102.80,3104.80,2993
2026-04-28T12:30:00+05:30,3103.00,3107.70,3102.00,3105.60,2447
2026-04-28T12:35:00+05:30,3106.00,3110.00,3103.60,3105.00,1211
2026-04-28T12:40:00+05:30,3105.00,3106.20,3100.00,3103.90,1342
2026-04-28T12:45:00+05:30,3104.60,3112.60,3103.80,3110.40,1416
