ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,113.50,114.30,113.50,114.10,0
2026-04-27T09:20:00+05:30,114.10,114.50,114.05,114.20,552560
2026-04-27T09:25:00+05:30,114.15,114.15,113.80,113.85,251310
2026-04-27T09:30:00+05:30,113.90,113.95,113.65,113.65,196864
2026-04-27T09:35:00+05:30,113.70,113.85,113.60,113.70,315293
2026-04-27T09:40:00+05:30,113.70,113.75,113.60,113.70,153523
2026-04-27T09:45:00+05:30,113.75,113.95,113.70,113.95,150393
2026-04-27T09:50:00+05:30,113.95,114.25,113.90,114.25,263154
2026-04-27T09:55:00+05:30,114.20,114.25,114.00,114.10,179433
2026-04-27T10:00:00+05:30,114.10,114.10,113.95,113.95,111907
2026-04-27T10:05:00+05:30,113.95,114.10,113.85,113.85,151553
2026-04-27T10:10:00+05:30,113.90,114.00,113.80,113.85,84320
2026-04-27T10:15:00+05:30,113.85,114.00,113.80,113.90,208502
2026-04-27T10:20:00+05:30,113.90,113.90,113.70,113.75,76401
2026-04-27T10:25:00+05:30,113.75,113.90,113.70,113.90,140312
2026-04-27T10:30:00+05:30,113.90,113.90,113.60,113.70,61235
2026-04-27T10:35:00+05:30,113.70,113.80,113.65,113.75,95657
2026-04-27T10:40:00+05:30,113.80,113.80,113.65,113.65,71331
2026-04-27T10:45:00+05:30,113.65,113.80,113.55,113.80,135392
2026-04-27T10:50:00+05:30,113.80,113.85,113.75,113.85,62781
2026-04-27T10:55:00+05:30,113.85,113.85,113.70,113.75,24959
2026-04-27T11:00:00+05:30,113.80,113.80,113.65,113.80,45975
2026-04-27T11:05:00+05:30,113.80,113.80,113.65,113.65,83801
2026-04-27T11:10:00+05:30,113.65,113.75,113.60,113.75,41226
2026-04-27T11:15:00+05:30,113.70,113.90,113.70,113.80,79708
2026-04-27T11:20:00+05:30,113.90,113.90,113.60,113.60,40610
2026-04-27T11:25:00+05:30,113.60,113.70,113.60,113.65,67127
2026-04-27T11:30:00+05:30,113.65,113.75,113.60,113.65,40510
2026-04-27T11:35:00+05:30,113.60,113.60,113.45,113.50,198530
