ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,8088.00,8134.50,8075.50,8082.50,0
2026-04-27T09:20:00+05:30,8085.00,8123.00,8074.50,8074.50,9026
2026-04-27T09:25:00+05:30,8077.00,8085.50,8064.50,8072.50,5445
2026-04-27T09:30:00+05:30,8081.00,8089.00,8064.00,8072.50,8269
2026-04-27T09:35:00+05:30,8073.50,8097.00,8070.50,8070.50,2581
2026-04-27T09:40:00+05:30,8076.00,8089.50,8073.00,8081.50,1812
2026-04-27T09:45:00+05:30,8081.50,8111.00,8081.00,8111.00,2272
2026-04-27T09:50:00+05:30,8109.00,8128.50,8108.00,8128.50,6926
2026-04-27T09:55:00+05:30,8129.00,8145.00,8129.00,8138.00,7355
2026-04-27T10:00:00+05:30,8140.00,8140.00,8110.00,8110.00,4069
2026-04-27T10:05:00+05:30,8109.00,8133.00,8099.50,8103.00,5896
2026-04-27T10:10:00+05:30,8104.50,8106.00,8059.50,8062.00,5470
2026-04-27T10:15:00+05:30,8061.00,8085.00,8061.00,8085.00,2505
2026-04-27T10:20:00+05:30,8085.00,8085.00,8073.00,8080.00,1280
2026-04-27T10:25:00+05:30,8080.00,8093.00,8074.00,8080.00,2763
2026-04-27T10:30:00+05:30,8084.50,8084.50,8069.50,8075.00,2091
2026-04-27T10:35:00+05:30,8074.50,8076.00,8066.00,8070.00,836
2026-04-27T10:40:00+05:30,8073.00,8085.00,8073.00,8077.00,1032
2026-04-27T10:45:00+05:30,8076.00,8099.50,8076.00,8098.00,1466
2026-04-27T10:50:00+05:30,8099.00,8099.50,8085.00,8085.00,1018
2026-04-27T10:55:00+05:30,8085.00,8089.50,8070.50,8075.00,2129
2026-04-27T11:00:00+05:30,8075.00,8075.00,8050.00,8050.00,4032
2026-04-27T11:05:00+05:30,8050.00,8062.50,8050.00,8055.00,1082
2026-04-27T11:10:00+05:30,8055.50,8075.00,8055.50,8075.00,1050
2026-04-27T11:15:00+05:30,8075.00,8085.50,8070.50,8072.50,1890
2026-04-27T11:20:00+05:30,8070.50,8075.00,8063.50,8068.50,1069
2026-04-27T11:25:00+05:30,8066.00,8070.00,8060.00,8062.00,731
2026-04-27T11:30:00+05:30,8060.00,8070.00,8057.50,8063.00,1001
2026-04-27T11:35:00+05:30,8059.50,8072.00,8055.00,8062.00,1422
2026-04-27T11:40:00+05:30,8065.50,8078.50,8063.00,8077.00,1843
2026-04-27T11:45:00+05:30,8076.00,8090.50,8075.50,8089.00,3190
2026-04-27T11:50:00+05:30,8090.50,8096.50,8079.00,8081.50,1236
2026-04-27T11:55:00+05:30,8078.00,8080.00,8067.00,8080.00,1167
2026-04-27T12:00:00+05:30,8079.50,8079.50,8066.50,8069.00,1042
2026-04-27T12:05:00+05:30,8072.50,8074.50,8065.00,8067.50,1240
2026-04-27T12:10:00+05:30,8067.00,8079.00,8065.00,8073.50,908
2026-04-27T12:15:00+05:30,8073.00,8082.00,8071.50,8082.00,496
2026-04-27T12:20:00+05:30,8079.00,8079.50,8068.00,8069.50,798
2026-04-27T12:25:00+05:30,8070.50,8075.50,8066.00,8068.50,633
2026-04-27T12:30:00+05:30,8069.50,8073.50,8066.00,8069.50,647
2026-04-27T12:35:00+05:30,8073.00,8074.00,8066.00,8071.00,620
2026-04-27T12:40:00+05:30,8073.50,8093.50,8073.50,8090.50,1946
2026-04-27T12:45:00+05:30,8087.00,8093.00,8084.00,8091.00,985
2026-04-27T12:50:00+05:30,8090.00,8092.50,8083.50,8084.50,1092
2026-04-27T12:55:00+05:30,8087.00,8093.00,8084.00,8093.00,968
2026-04-27T13:00:00+05:30,8093.00,8096.00,8088.00,8094.50,1635
2026-04-27T13:05:00+05:30,8094.50,8096.00,8091.00,8095.50,846
2026-04-27T13:10:00+05:30,8096.50,8097.00,8092.50,8093.00,1117
2026-04-27T13:15:00+05:30,8091.50,8108.00,8091.50,8100.00,2055
2026-04-27T13:20:00+05:30,8102.00,8102.00,8085.50,8088.00,1714
2026-04-27T13:25:00+05:30,8090.50,8096.00,8088.50,8092.50,1061
2026-04-27T13:30:00+05:30,8092.50,8094.50,8090.00,8090.00,806
2026-04-27T13:35:00+05:30,8090.50,8105.00,8090.50,8099.00,1454
2026-04-27T13:40:00+05:30,8099.00,8120.00,8099.00,8120.00,3554
2026-04-27T13:45:00+05:30,8120.00,8136.00,8118.00,8128.00,4251
2026-04-27T13:50:00+05:30,8127.00,8134.00,8124.00,8131.00,2635
2026-04-27T13:55:00+05:30,8131.00,8131.00,8123.00,8123.00,2502
2026-04-27T14:00:00+05:30,8123.00,8126.00,8102.00,8103.00,5100
2026-04-27T14:05:00+05:30,8103.00,8115.00,8102.00,8109.50,4415
2026-04-27T14:10:00+05:30,8111.00,8111.00,8104.00,8109.50,2139
2026-04-27T14:15:00+05:30,8110.00,8110.50,8106.50,8106.50,1326
2026-04-27T14:20:00+05:30,8109.50,8117.50,8103.00,8113.00,1058
2026-04-27T14:25:00+05:30,8115.00,8115.00,8106.50,8112.00,1261
2026-04-27T14:30:00+05:30,8110.00,8114.00,8021.00,8068.50,40636
2026-04-27T14:35:00+05:30,8063.50,8100.00,8063.50,8094.50,8514
2026-04-27T14:40:00+05:30,8091.50,8107.00,8088.50,8103.00,2010
2026-04-27T14:45:00+05:30,8103.50,8115.00,8095.50,8111.50,4631
2026-04-27T14:50:00+05:30,8114.00,8114.00,8105.50,8111.00,3720
2026-04-27T14:55:00+05:30,8111.50,8114.50,8100.00,8103.50,4758
2026-04-27T15:00:00+05:30,8100.50,8100.50,8068.00,8068.00,9159
2026-04-27T15:05:00+05:30,8065.50,8065.50,8055.50,8057.50,9578
2026-04-27T15:10:00+05:30,8059.50,8069.50,8055.00,8062.50,13776
2026-04-27T15:15:00+05:30,8068.00,8072.00,8060.00,8060.00,10793
2026-04-27T15:20:00+05:30,8068.00,8069.00,8056.00,8060.00,12291
2026-04-27T15:25:00+05:30,8065.00,8070.00,8053.00,8058.50,10720
2026-04-28T09:15:00+05:30,8053.00,8143.50,8053.00,8139.50,0
2026-04-28T09:20:00+05:30,8139.50,8169.00,8132.50,8138.00,9210
2026-04-28T09:25:00+05:30,8142.00,8184.50,8140.00,8141.50,11251
2026-04-28T09:30:00+05:30,8141.50,8159.00,8141.50,8147.00,2936
2026-04-28T09:35:00+05:30,8147.00,8172.00,8136.00,8161.00,5887
2026-04-28T09:40:00+05:30,8160.50,8165.00,8142.00,8160.50,4907
2026-04-28T09:45:00+05:30,8164.00,8175.00,8155.00,8157.00,7449
2026-04-28T09:50:00+05:30,8156.50,8164.50,8152.00,8161.00,1959
2026-04-28T09:55:00+05:30,8159.00,8163.50,8157.50,8163.50,2835
2026-04-28T10:00:00+05:30,8162.50,8170.00,8157.50,8158.50,3009
2026-04-28T10:05:00+05:30,8158.50,8158.50,8144.50,8150.50,6033
2026-04-28T10:10:00+05:30,8149.00,8150.00,8142.00,8142.00,2583
2026-04-28T10:15:00+05:30,8142.00,8150.00,8141.00,8144.00,2496
2026-04-28T10:20:00+05:30,8142.00,8155.00,8141.00,8155.00,1995
2026-04-28T10:25:00+05:30,8155.00,8156.50,8142.50,8142.50,5239
2026-04-28T10:30:00+05:30,8143.00,8148.00,8139.00,8140.00,2931
2026-04-28T10:35:00+05:30,8138.00,8172.50,8138.00,8168.00,10358
2026-04-28T10:40:00+05:30,8162.00,8162.00,8154.50,8162.00,2743
2026-04-28T10:45:00+05:30,8161.50,8168.50,8158.00,8158.50,2289
2026-04-28T10:50:00+05:30,8158.50,8164.00,8153.00,8158.50,1427
2026-04-28T10:55:00+05:30,8158.50,8179.50,8158.00,8174.50,4440
2026-04-28T11:00:00+05:30,8175.00,8176.50,8163.50,8163.50,3684
2026-04-28T11:05:00+05:30,8163.50,8180.00,8156.50,8168.00,7917
2026-04-28T11:10:00+05:30,8168.00,8168.50,8155.00,8165.50,2031
2026-04-28T11:15:00+05:30,8165.00,8166.00,8158.00,8160.00,1380
2026-04-28T11:20:00+05:30,8160.00,8166.00,8159.00,8164.00,745
2026-04-28T11:25:00+05:30,8164.00,8166.00,8148.00,8156.50,2935
2026-04-28T11:30:00+05:30,8158.00,8172.50,8152.00,8166.50,2936
2026-04-28T11:35:00+05:30,8169.50,8178.00,8166.50,8176.00,1834
2026-04-28T11:40:00+05:30,8175.00,8185.00,8168.00,8185.00,4373
2026-04-28T11:45:00+05:30,8184.50,8187.50,8173.50,8183.50,2889
2026-04-28T11:50:00+05:30,8179.00,8182.50,8174.00,8177.50,1841
2026-04-28T11:55:00+05:30,8182.50,8185.00,8175.50,8175.50,2141
2026-04-28T12:00:00+05:30,8177.00,8177.50,8170.50,8175.50,3155
2026-04-28T12:05:00+05:30,8176.50,8176.50,8163.00,8165.00,3393
2026-04-28T12:10:00+05:30,8165.00,8171.50,8154.00,8158.50,4776
2026-04-28T12:15:00+05:30,8158.50,8161.00,8142.00,8145.50,4321
2026-04-28T12:20:00+05:30,8142.00,8150.50,8120.00,8142.00,10039
2026-04-28T12:25:00+05:30,8142.00,8158.50,8141.50,8148.50,3699
2026-04-28T12:30:00+05:30,8147.50,8157.50,8146.50,8153.50,1081
2026-04-28T12:35:00+05:30,8154.50,8168.50,8153.50,8162.00,1944
2026-04-28T12:40:00+05:30,8162.00,8174.00,8162.00,8174.00,2955
2026-04-28T12:45:00+05:30,8175.00,8182.50,8175.00,8181.00,4776
2026-04-28T12:50:00+05:30,8180.50,8183.00,8176.00,8178.50,4076
2026-04-28T12:55:00+05:30,8179.50,8182.50,8178.00,8182.00,1359
2026-04-28T13:00:00+05:30,8181.00,8184.00,8173.50,8175.50,4570
