ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,317.90,320.15,317.75,318.50,0
2026-04-27T09:20:00+05:30,318.45,318.95,318.15,318.65,124928
2026-04-27T09:25:00+05:30,318.60,318.85,318.15,318.40,119407
2026-04-27T09:30:00+05:30,318.55,318.80,317.70,317.70,132092
2026-04-27T09:35:00+05:30,317.60,317.80,317.20,317.40,97543
2026-04-27T09:40:00+05:30,317.40,317.55,317.00,317.50,178835
2026-04-27T09:45:00+05:30,317.60,318.10,317.40,317.95,100266
2026-04-27T09:50:00+05:30,318.00,318.50,318.00,318.35,86638
2026-04-27T09:55:00+05:30,318.50,318.80,318.10,318.60,57500
2026-04-27T10:00:00+05:30,318.80,319.50,318.60,318.70,213564
2026-04-27T10:05:00+05:30,318.60,319.10,318.60,318.70,49295
2026-04-27T10:10:00+05:30,318.75,318.80,318.25,318.65,49456
2026-04-27T10:15:00+05:30,318.70,319.80,318.70,319.80,79686
2026-04-27T10:20:00+05:30,319.85,319.85,319.30,319.60,82347
2026-04-27T10:25:00+05:30,319.60,319.75,319.15,319.40,80971
2026-04-27T10:30:00+05:30,319.45,319.55,319.05,319.30,82766
2026-04-27T10:35:00+05:30,319.35,320.20,319.35,319.80,118727
2026-04-27T10:40:00+05:30,319.80,319.90,319.30,319.30,47081
2026-04-27T10:45:00+05:30,319.35,320.20,319.25,320.00,65914
2026-04-27T10:50:00+05:30,320.00,320.25,319.65,320.25,46458
2026-04-27T10:55:00+05:30,320.25,322.10,320.25,322.10,359150
2026-04-27T11:00:00+05:30,322.15,323.00,321.35,322.00,386680
2026-04-27T11:05:00+05:30,322.00,322.65,321.25,321.25,394625
2026-04-27T11:10:00+05:30,321.95,323.20,321.75,323.10,674085
2026-04-27T11:15:00+05:30,323.10,324.75,322.95,324.40,451546
2026-04-27T11:20:00+05:30,324.40,324.70,323.45,323.90,452073
2026-04-27T11:25:00+05:30,323.80,323.80,322.80,323.05,178157
2026-04-27T11:30:00+05:30,322.95,323.35,322.70,322.80,105109
2026-04-27T11:35:00+05:30,322.85,322.85,321.65,322.00,223716
2026-04-27T11:40:00+05:30,322.00,322.20,321.70,322.15,84271
2026-04-27T11:45:00+05:30,322.10,322.55,321.75,322.55,64606
2026-04-27T11:50:00+05:30,322.40,322.50,321.45,321.85,103628
2026-04-27T11:55:00+05:30,321.70,321.90,321.30,321.55,67073
2026-04-27T12:00:00+05:30,321.55,321.60,321.25,321.55,156092
2026-04-27T12:05:00+05:30,321.50,321.90,320.80,321.00,91288
2026-04-27T12:10:00+05:30,320.95,321.00,320.40,320.50,66801
2026-04-27T12:15:00+05:30,320.50,320.85,320.35,320.75,52474
2026-04-27T12:20:00+05:30,320.70,321.35,320.55,321.05,69812
2026-04-27T12:25:00+05:30,321.25,321.40,321.00,321.25,71632
2026-04-27T12:30:00+05:30,321.25,321.65,321.25,321.50,51927
2026-04-27T12:35:00+05:30,321.50,321.60,321.15,321.30,38743
2026-04-27T12:40:00+05:30,321.30,321.35,320.80,321.10,69793
2026-04-27T12:45:00+05:30,321.10,321.25,320.85,321.15,35214
2026-04-27T12:50:00+05:30,321.25,321.25,320.80,321.20,43207
2026-04-27T12:55:00+05:30,321.15,321.30,321.05,321.25,44612
2026-04-27T13:00:00+05:30,321.05,321.25,320.70,320.75,55910
2026-04-27T13:05:00+05:30,320.75,320.85,320.50,320.60,60468
2026-04-27T13:10:00+05:30,320.55,321.00,320.35,320.95,72350
2026-04-27T13:15:00+05:30,320.95,321.30,320.95,321.15,55838
2026-04-27T13:20:00+05:30,321.25,321.45,321.05,321.45,47914
2026-04-27T13:25:00+05:30,321.45,321.50,321.20,321.30,43344
2026-04-27T13:30:00+05:30,321.30,321.40,321.15,321.30,34410
2026-04-27T13:35:00+05:30,321.30,321.50,321.20,321.30,45445
2026-04-27T13:40:00+05:30,321.30,321.60,320.95,321.00,50963
2026-04-27T13:45:00+05:30,321.00,321.30,320.80,320.90,59734
2026-04-27T13:50:00+05:30,320.95,320.95,320.60,320.80,44731
2026-04-27T13:55:00+05:30,320.95,321.25,320.85,321.20,74259
2026-04-27T14:00:00+05:30,321.30,321.50,321.15,321.25,41503
2026-04-27T14:05:00+05:30,321.30,321.35,321.00,321.30,99561
2026-04-27T14:10:00+05:30,321.25,321.45,321.05,321.25,68872
2026-04-27T14:15:00+05:30,321.35,321.50,321.25,321.50,37934
