ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,376.85,379.70,376.85,378.95,0
2026-04-27T09:20:00+05:30,379.15,380.60,379.15,379.95,217627
2026-04-27T09:25:00+05:30,379.95,381.95,379.80,380.95,187487
2026-04-27T09:30:00+05:30,381.55,381.60,380.05,380.55,95560
2026-04-27T09:35:00+05:30,380.40,380.85,379.95,380.30,133281
2026-04-27T09:40:00+05:30,380.30,380.30,379.10,379.80,68383
2026-04-27T09:45:00+05:30,379.50,379.65,378.90,379.35,87201
2026-04-27T09:50:00+05:30,379.35,380.25,379.35,380.25,57068
2026-04-27T09:55:00+05:30,380.35,380.45,379.50,379.60,54887
2026-04-27T10:00:00+05:30,379.75,381.00,379.70,380.40,85321
2026-04-27T10:05:00+05:30,380.15,380.35,379.45,379.50,55440
2026-04-27T10:10:00+05:30,379.70,379.80,378.80,378.80,47885
2026-04-27T10:15:00+05:30,378.85,380.25,378.85,380.10,64928
2026-04-27T10:20:00+05:30,380.10,380.20,379.45,379.45,40073
2026-04-27T10:25:00+05:30,379.45,379.45,378.70,379.05,45997
2026-04-27T10:30:00+05:30,379.05,379.25,378.75,379.25,29359
2026-04-27T10:35:00+05:30,379.10,379.55,379.00,379.30,38954
2026-04-27T10:40:00+05:30,379.40,379.65,379.25,379.45,17565
2026-04-27T10:45:00+05:30,379.50,380.00,379.10,379.20,58979
2026-04-27T10:50:00+05:30,379.25,379.90,379.00,379.65,55533
2026-04-27T10:55:00+05:30,379.75,380.20,379.60,379.80,71281
2026-04-27T11:00:00+05:30,379.65,380.00,379.50,379.65,30334
2026-04-27T11:05:00+05:30,379.65,379.80,379.40,379.45,32787
2026-04-27T11:10:00+05:30,379.35,379.60,379.00,379.10,31465
2026-04-27T11:15:00+05:30,379.00,379.65,379.00,379.35,33791
2026-04-27T11:20:00+05:30,379.50,379.50,378.90,379.40,54265
2026-04-27T11:25:00+05:30,379.40,379.85,378.75,378.90,35933
2026-04-27T11:30:00+05:30,378.90,379.00,378.75,378.75,27132
2026-04-27T11:35:00+05:30,378.75,378.75,377.45,377.80,95096
2026-04-27T11:40:00+05:30,378.00,378.20,377.70,377.70,25401
2026-04-27T11:45:00+05:30,377.80,379.20,377.60,379.20,88180
2026-04-27T11:50:00+05:30,379.05,379.25,378.60,379.10,47888
2026-04-27T11:55:00+05:30,378.95,379.15,378.65,378.70,18390
2026-04-27T12:00:00+05:30,378.75,378.75,377.10,377.75,86600
2026-04-27T12:05:00+05:30,377.75,378.00,377.40,377.80,109846
2026-04-27T12:10:00+05:30,377.90,378.35,377.90,378.00,32117
2026-04-27T12:15:00+05:30,377.95,378.45,377.70,378.40,54817
2026-04-27T12:20:00+05:30,378.30,378.30,377.25,377.75,41644
2026-04-27T12:25:00+05:30,377.75,377.90,377.50,377.50,23206
2026-04-27T12:30:00+05:30,377.70,378.00,377.50,378.00,19090
2026-04-27T12:35:00+05:30,378.00,378.50,378.00,378.00,44386
2026-04-27T12:40:00+05:30,378.00,378.15,377.75,378.00,14810
