ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,1312.30,1330.90,1311.10,1328.50,0
2026-04-27T09:20:00+05:30,1328.70,1330.00,1323.00,1323.00,480141
2026-04-27T09:25:00+05:30,1323.20,1327.70,1322.60,1326.70,426896
2026-04-27T09:30:00+05:30,1326.70,1327.70,1325.00,1325.90,340410
2026-04-27T09:35:00+05:30,1325.40,1327.70,1324.30,1324.90,313903
2026-04-27T09:40:00+05:30,1324.90,1325.90,1324.20,1324.70,252507
2026-04-27T09:45:00+05:30,1325.40,1330.70,1325.40,1330.10,533532
2026-04-27T09:50:00+05:30,1330.10,1337.30,1330.00,1336.90,448135
2026-04-27T09:55:00+05:30,1336.80,1342.70,1336.00,1342.40,610348
2026-04-27T10:00:00+05:30,1342.80,1344.80,1340.50,1340.50,323116
2026-04-27T10:05:00+05:30,1340.50,1341.90,1338.40,1339.50,297559
2026-04-27T10:10:00+05:30,1339.50,1340.70,1338.70,1339.30,161263
2026-04-27T10:15:00+05:30,1339.00,1341.50,1339.00,1339.90,192918
2026-04-27T10:20:00+05:30,1339.60,1339.70,1337.90,1338.00,113227
2026-04-27T10:25:00+05:30,1338.20,1338.70,1336.30,1336.90,140960
2026-04-27T10:30:00+05:30,1337.10,1337.10,1332.90,1333.80,204213
2026-04-27T10:35:00+05:30,1333.60,1336.80,1333.40,1334.40,233598
2026-04-27T10:40:00+05:30,1334.40,1336.40,1334.00,1335.80,199181
2026-04-27T10:45:00+05:30,1335.80,1336.20,1334.40,1336.10,270027
2026-04-27T10:50:00+05:30,1335.80,1338.20,1335.60,1338.10,440711
2026-04-27T10:55:00+05:30,1337.90,1340.60,1336.90,1337.30,655317
2026-04-27T11:00:00+05:30,1337.10,1337.60,1335.40,1336.50,143076
2026-04-27T11:05:00+05:30,1336.20,1337.70,1335.00,1336.00,176753
2026-04-27T11:10:00+05:30,1336.00,1337.10,1335.00,1336.70,105546
2026-04-27T11:15:00+05:30,1336.80,1339.30,1336.50,1339.10,179300
2026-04-27T11:20:00+05:30,1339.10,1339.20,1337.40,1337.90,130544
2026-04-27T11:25:00+05:30,1337.80,1337.90,1336.40,1337.10,110541
2026-04-27T11:30:00+05:30,1337.00,1337.40,1335.00,1335.90,154040
2026-04-27T11:35:00+05:30,1335.90,1336.60,1334.00,1335.00,227524
2026-04-27T11:40:00+05:30,1335.00,1336.10,1334.80,1335.10,191629
2026-04-27T11:45:00+05:30,1335.20,1337.40,1333.50,1337.00,172025
2026-04-27T11:50:00+05:30,1337.30,1338.10,1337.00,1337.90,149587
2026-04-27T11:55:00+05:30,1337.90,1340.50,1337.80,1340.10,207374
2026-04-27T12:00:00+05:30,1340.10,1340.20,1338.20,1339.90,235629
2026-04-27T12:05:00+05:30,1339.90,1341.50,1339.00,1341.30,247097
2026-04-27T12:10:00+05:30,1341.50,1342.00,1340.90,1341.10,140451
2026-04-27T12:15:00+05:30,1341.60,1341.60,1340.60,1341.00,129248
2026-04-27T12:20:00+05:30,1340.90,1341.10,1340.20,1340.90,127618
2026-04-27T12:25:00+05:30,1340.70,1345.50,1340.60,1343.70,328179
2026-04-27T12:30:00+05:30,1343.70,1345.00,1343.10,1345.00,162983
2026-04-27T12:35:00+05:30,1345.00,1350.60,1344.90,1349.00,429558
2026-04-27T12:40:00+05:30,1349.00,1351.00,1348.80,1349.70,192651
2026-04-27T12:45:00+05:30,1349.60,1349.90,1348.30,1348.80,151203
2026-04-27T12:50:00+05:30,1348.80,1349.20,1346.40,1346.80,148576
2026-04-27T12:55:00+05:30,1347.00,1347.70,1346.50,1347.40,126122
2026-04-27T13:00:00+05:30,1347.40,1348.40,1346.30,1346.80,174311
2026-04-27T13:05:00+05:30,1346.30,1346.70,1345.10,1346.30,200282
2026-04-27T13:10:00+05:30,1346.20,1347.70,1345.90,1347.50,177493
2026-04-27T13:15:00+05:30,1347.60,1348.90,1347.10,1348.00,149690
2026-04-27T13:20:00+05:30,1347.80,1350.60,1347.80,1349.80,281911
2026-04-27T13:25:00+05:30,1349.50,1350.90,1349.10,1350.00,114336
2026-04-27T13:30:00+05:30,1350.00,1350.50,1348.70,1350.20,112246
2026-04-27T13:35:00+05:30,1350.20,1350.80,1349.80,1350.40,81473
2026-04-27T13:40:00+05:30,1350.50,1354.00,1350.40,1354.00,193800
2026-04-27T13:45:00+05:30,1354.20,1354.20,1351.90,1353.30,190162
2026-04-27T13:50:00+05:30,1353.20,1356.40,1352.50,1356.00,305396
2026-04-27T13:55:00+05:30,1356.00,1357.20,1355.10,1356.00,367656
2026-04-27T14:00:00+05:30,1355.90,1357.50,1354.60,1357.30,244289
2026-04-27T14:05:00+05:30,1357.30,1358.20,1355.80,1355.80,233664
2026-04-27T14:10:00+05:30,1356.00,1356.20,1354.20,1356.00,257252
2026-04-27T14:15:00+05:30,1355.80,1355.80,1354.00,1354.20,238659
2026-04-27T14:20:00+05:30,1354.20,1356.50,1354.00,1356.10,240255
2026-04-27T14:25:00+05:30,1355.70,1356.80,1354.30,1356.60,371742
2026-04-27T14:30:00+05:30,1356.70,1356.80,1354.00,1356.00,275340
2026-04-27T14:35:00+05:30,1356.00,1357.00,1354.20,1356.00,362165
2026-04-27T14:40:00+05:30,1355.40,1360.70,1355.10,1360.40,619789
2026-04-27T14:45:00+05:30,1360.40,1360.50,1358.20,1360.40,695863
2026-04-27T14:50:00+05:30,1360.30,1365.90,1359.10,1365.90,625516
2026-04-27T14:55:00+05:30,1365.60,1368.00,1365.00,1365.30,519236
2026-04-27T15:00:00+05:30,1365.10,1365.70,1363.50,1365.70,1095457
2026-04-27T15:05:00+05:30,1365.70,1365.70,1364.00,1364.50,691481
2026-04-27T15:10:00+05:30,1364.80,1365.70,1364.10,1365.10,596648
2026-04-27T15:15:00+05:30,1365.10,1366.30,1364.60,1365.40,715061
2026-04-27T15:20:00+05:30,1365.80,1368.20,1365.80,1365.80,733636
2026-04-27T15:25:00+05:30,1366.20,1371.50,1365.00,1370.50,745951
2026-04-28T09:15:00+05:30,1358.90,1367.40,1357.10,1365.10,0
2026-04-28T09:20:00+05:30,1365.10,1367.60,1358.80,1360.10,707743
2026-04-28T09:25:00+05:30,1360.00,1366.30,1359.80,1363.80,513824
2026-04-28T09:30:00+05:30,1363.80,1364.40,1361.70,1363.40,293128
2026-04-28T09:35:00+05:30,1363.60,1364.80,1362.10,1364.60,270306
2026-04-28T09:40:00+05:30,1364.50,1367.70,1364.50,1367.40,421667
2026-04-28T09:45:00+05:30,1367.30,1367.50,1361.80,1364.80,405767
2026-04-28T09:50:00+05:30,1364.80,1366.00,1363.50,1366.00,412896
2026-04-28T09:55:00+05:30,1366.00,1368.70,1366.00,1368.40,239917
2026-04-28T10:00:00+05:30,1368.30,1369.70,1365.50,1365.60,2631015
2026-04-28T10:05:00+05:30,1365.60,1365.80,1362.60,1363.90,479536
2026-04-28T10:10:00+05:30,1363.90,1364.00,1362.50,1362.90,265220
2026-04-28T10:15:00+05:30,1362.60,1368.10,1362.30,1367.30,347072
2026-04-28T10:20:00+05:30,1367.00,1374.60,1366.90,1374.00,453927
2026-04-28T10:25:00+05:30,1373.50,1379.50,1373.50,1375.00,928618
2026-04-28T10:30:00+05:30,1375.00,1376.80,1374.90,1375.10,163987
2026-04-28T10:35:00+05:30,1375.20,1376.90,1373.60,1376.60,372410
2026-04-28T10:40:00+05:30,1376.40,1376.40,1374.90,1375.90,122367
2026-04-28T10:45:00+05:30,1375.90,1378.10,1375.50,1378.00,172891
2026-04-28T10:50:00+05:30,1378.20,1380.30,1378.10,1380.00,300974
2026-04-28T10:55:00+05:30,1380.00,1383.40,1379.50,1382.60,384599
2026-04-28T11:00:00+05:30,1383.10,1384.20,1381.50,1383.90,511913
2026-04-28T11:05:00+05:30,1383.90,1387.50,1383.50,1387.10,450074
2026-04-28T11:10:00+05:30,1387.10,1387.70,1384.40,1386.50,171903
2026-04-28T11:15:00+05:30,1386.60,1386.60,1383.10,1383.20,150641
2026-04-28T11:20:00+05:30,1383.30,1383.40,1380.80,1381.20,164920
2026-04-28T11:25:00+05:30,1381.20,1381.30,1374.20,1374.70,245310
2026-04-28T11:30:00+05:30,1374.60,1375.70,1372.70,1374.50,336731
2026-04-28T11:35:00+05:30,1374.50,1380.80,1373.90,1379.40,651374
2026-04-28T11:40:00+05:30,1379.50,1381.50,1378.30,1381.10,351786
2026-04-28T11:45:00+05:30,1381.20,1383.30,1379.80,1382.60,401959
2026-04-28T11:50:00+05:30,1383.00,1383.00,1379.00,1379.80,216021
2026-04-28T11:55:00+05:30,1379.20,1382.10,1379.00,1379.00,337264
2026-04-28T12:00:00+05:30,1379.20,1379.90,1378.10,1379.10,239160
2026-04-28T12:05:00+05:30,1379.60,1382.30,1378.60,1382.10,280946
2026-04-28T12:10:00+05:30,1382.10,1383.80,1382.00,1383.30,172223
2026-04-28T12:15:00+05:30,1383.20,1383.30,1381.60,1382.20,201336
2026-04-28T12:20:00+05:30,1382.20,1382.20,1379.00,1379.10,261318
2026-04-28T12:25:00+05:30,1379.10,1379.90,1377.10,1377.20,197597
2026-04-28T12:30:00+05:30,1377.00,1377.30,1374.20,1375.40,269398
2026-04-28T12:35:00+05:30,1375.40,1377.00,1375.10,1375.80,239216
2026-04-28T12:40:00+05:30,1376.10,1380.20,1375.80,1380.00,336074
2026-04-28T12:45:00+05:30,1380.00,1380.80,1377.80,1379.60,376149
2026-04-28T12:50:00+05:30,1379.90,1380.80,1379.40,1380.00,233113
2026-04-28T12:55:00+05:30,1380.10,1380.60,1379.40,1380.00,159076
2026-04-28T13:00:00+05:30,1380.10,1380.10,1375.80,1377.00,1175090
2026-04-28T13:05:00+05:30,1377.10,1379.30,1376.50,1378.50,501353
2026-04-28T13:10:00+05:30,1378.60,1379.40,1378.10,1379.10,175927
2026-04-28T13:15:00+05:30,1379.10,1381.80,1379.00,1381.50,155219
2026-04-28T13:20:00+05:30,1381.90,1382.80,1380.30,1382.40,166680
2026-04-28T13:25:00+05:30,1382.70,1383.90,1381.50,1381.90,162153
2026-04-28T13:30:00+05:30,1382.00,1382.10,1379.10,1380.00,344393
2026-04-28T13:35:00+05:30,1380.10,1381.80,1378.60,1381.70,656946
2026-04-28T13:40:00+05:30,1381.80,1386.50,1381.50,1385.50,530318
2026-04-28T13:45:00+05:30,1385.50,1385.50,1380.50,1380.70,327256
2026-04-28T13:50:00+05:30,1380.50,1382.90,1380.00,1382.50,257795
2026-04-28T13:55:00+05:30,1382.50,1383.90,1382.00,1383.10,246526
2026-04-28T14:00:00+05:30,1383.10,1384.50,1382.70,1383.90,196267
2026-04-28T14:05:00+05:30,1383.80,1384.20,1382.70,1384.00,377801
2026-04-28T14:10:00+05:30,1384.00,1384.00,1380.30,1380.60,568651
2026-04-28T14:15:00+05:30,1380.30,1383.20,1379.60,1382.10,529939
2026-04-28T14:20:00+05:30,1382.20,1385.10,1381.50,1384.90,728238
2026-04-28T14:25:00+05:30,1384.90,1385.50,1383.50,1384.90,409477
2026-04-28T14:30:00+05:30,1384.90,1390.30,1384.90,1387.00,1763773
2026-04-28T14:35:00+05:30,1387.30,1390.20,1387.30,1389.90,587460
2026-04-28T14:40:00+05:30,1389.70,1390.40,1389.10,1390.00,578783
2026-04-28T14:45:00+05:30,1390.10,1392.30,1390.00,1392.10,777070
2026-04-28T14:50:00+05:30,1392.10,1393.70,1391.60,1393.30,733214
2026-04-28T14:55:00+05:30,1393.20,1393.70,1390.00,1391.00,1322554
2026-04-28T15:00:00+05:30,1391.00,1392.30,1388.00,1389.10,2689067
2026-04-28T15:05:00+05:30,1389.30,1390.20,1386.30,1387.30,2049662
2026-04-28T15:10:00+05:30,1387.20,1387.50,1386.30,1387.00,1321585
2026-04-28T15:15:00+05:30,1387.00,1388.00,1386.00,1387.30,871020
2026-04-28T15:20:00+05:30,1387.80,1390.20,1387.20,1388.30,1078199
2026-04-28T15:25:00+05:30,1388.50,1394.00,1388.20,1394.00,1518632
2026-04-29T09:15:00+05:30,1392.00,1406.90,1392.00,1404.90,0
2026-04-29T09:20:00+05:30,1405.20,1409.50,1402.10,1404.00,400678
2026-04-29T09:25:00+05:30,1404.20,1404.30,1398.10,1400.90,699908
2026-04-29T09:30:00+05:30,1401.00,1405.70,1400.90,1403.70,298182
2026-04-29T09:35:00+05:30,1404.00,1405.80,1402.50,1404.40,570195
2026-04-29T09:40:00+05:30,1404.70,1406.80,1403.90,1405.00,211303
2026-04-29T09:45:00+05:30,1405.00,1405.40,1403.40,1404.50,198571
2026-04-29T09:50:00+05:30,1404.60,1406.50,1404.20,1405.00,144008
2026-04-29T09:55:00+05:30,1404.70,1406.70,1404.70,1405.90,104336
2026-04-29T10:00:00+05:30,1405.90,1408.00,1405.60,1407.70,795513
2026-04-29T10:05:00+05:30,1407.50,1410.40,1407.00,1410.30,414293
2026-04-29T10:10:00+05:30,1409.30,1412.20,1409.20,1411.60,335000
2026-04-29T10:15:00+05:30,1411.70,1413.50,1410.40,1413.00,207840
2026-04-29T10:20:00+05:30,1413.20,1425.30,1413.00,1425.20,843312
2026-04-29T10:25:00+05:30,1425.20,1427.60,1423.70,1424.90,911308
2026-04-29T10:30:00+05:30,1425.00,1427.40,1422.50,1425.60,383138
2026-04-29T10:35:00+05:30,1425.70,1426.30,1420.40,1420.90,224344
2026-04-29T10:40:00+05:30,1421.20,1421.40,1420.00,1420.30,208284
