ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,305.05,308.90,305.05,308.50,0
2026-04-27T09:20:00+05:30,308.65,309.50,307.75,307.75,281904
2026-04-27T09:25:00+05:30,307.85,308.30,307.20,307.90,176312
2026-04-27T09:30:00+05:30,307.90,309.25,307.55,308.35,236843
2026-04-27T09:35:00+05:30,308.30,309.25,308.00,308.00,192213
2026-04-27T09:40:00+05:30,308.15,308.40,307.60,308.25,97084
2026-04-27T09:45:00+05:30,308.10,308.70,308.05,308.40,48613
2026-04-27T09:50:00+05:30,308.45,309.55,308.35,309.50,323847
2026-04-27T09:55:00+05:30,309.45,309.45,308.75,309.00,70610
2026-04-27T10:00:00+05:30,308.80,309.00,307.65,307.70,150415
2026-04-27T10:05:00+05:30,307.65,308.45,307.40,307.65,101232
2026-04-27T10:10:00+05:30,307.50,307.70,307.05,307.05,96560
2026-04-27T10:15:00+05:30,307.00,308.25,307.00,307.95,45988
2026-04-27T10:20:00+05:30,307.90,308.00,307.65,307.80,19551
2026-04-27T10:25:00+05:30,307.75,307.85,307.05,307.25,46453
2026-04-27T10:30:00+05:30,307.35,307.85,306.80,307.35,64886
2026-04-27T10:35:00+05:30,307.35,307.65,307.10,307.25,29416
2026-04-27T10:40:00+05:30,307.25,308.00,307.20,308.00,46203
2026-04-27T10:45:00+05:30,307.90,308.70,307.50,308.55,63976
2026-04-27T10:50:00+05:30,308.55,308.60,308.30,308.50,47447
2026-04-27T10:55:00+05:30,308.50,309.20,308.50,309.15,132979
2026-04-27T11:00:00+05:30,309.15,309.15,308.40,308.85,48474
2026-04-27T11:05:00+05:30,308.85,309.00,308.40,308.60,29375
2026-04-27T11:10:00+05:30,308.50,308.90,308.50,308.65,24552
2026-04-27T11:15:00+05:30,308.65,308.75,308.15,308.25,39324
2026-04-27T11:20:00+05:30,308.25,308.30,307.80,307.90,47313
2026-04-27T11:25:00+05:30,307.85,307.90,307.55,307.80,29224
2026-04-27T11:30:00+05:30,307.85,307.90,307.40,307.50,26513
2026-04-27T11:35:00+05:30,307.45,307.50,306.50,306.90,93118
2026-04-27T11:40:00+05:30,306.90,307.30,306.60,307.15,30780
2026-04-27T11:45:00+05:30,307.25,308.00,307.00,307.75,40219
2026-04-27T11:50:00+05:30,307.95,308.00,307.35,307.80,30778
2026-04-27T11:55:00+05:30,307.95,308.20,307.80,308.00,20592
2026-04-27T12:00:00+05:30,308.00,308.15,307.50,307.55,16293
2026-04-27T12:05:00+05:30,307.55,308.00,307.30,307.45,17584
2026-04-27T12:10:00+05:30,307.45,308.00,307.40,307.50,15812
2026-04-27T12:15:00+05:30,307.40,307.50,307.05,307.35,18673
2026-04-27T12:20:00+05:30,307.20,307.30,306.75,307.10,44900
2026-04-27T12:25:00+05:30,307.10,307.20,306.65,306.95,39600
2026-04-27T12:30:00+05:30,307.00,307.95,306.80,307.75,57521
2026-04-27T12:35:00+05:30,307.90,308.40,307.75,308.20,78568
2026-04-27T12:40:00+05:30,308.10,308.25,307.75,308.15,32409
2026-04-27T12:45:00+05:30,308.15,308.20,307.65,307.70,18617
2026-04-27T12:50:00+05:30,307.75,307.75,307.30,307.55,39056
2026-04-27T12:55:00+05:30,307.65,308.00,307.50,307.70,25389
2026-04-27T13:00:00+05:30,307.65,308.50,307.60,308.50,58821
2026-04-27T13:05:00+05:30,308.35,309.15,308.10,309.10,122456
2026-04-27T13:10:00+05:30,309.15,309.60,309.05,309.25,198450
2026-04-27T13:15:00+05:30,309.25,309.40,309.00,309.00,52580
2026-04-27T13:20:00+05:30,308.90,310.00,308.50,309.85,251419
2026-04-27T13:25:00+05:30,309.80,310.20,309.65,309.90,244004
