ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,179.65,181.10,179.65,181.00,0
2026-04-27T09:20:00+05:30,180.90,182.70,180.90,182.45,1834436
2026-04-27T09:25:00+05:30,182.40,183.15,182.25,183.15,1314394
2026-04-27T09:30:00+05:30,183.60,183.70,183.10,183.55,1408131
2026-04-27T09:35:00+05:30,183.55,183.75,183.10,183.10,1051406
2026-04-27T09:40:00+05:30,183.10,183.70,182.50,183.40,1260836
2026-04-27T09:45:00+05:30,183.50,184.30,183.40,184.15,1993459
2026-04-27T09:50:00+05:30,184.05,184.50,184.00,184.20,1770660
2026-04-27T09:55:00+05:30,184.20,184.70,184.15,184.45,1004816
2026-04-27T10:00:00+05:30,184.50,184.55,184.25,184.45,1344760
2026-04-27T10:05:00+05:30,184.50,184.55,184.30,184.50,617152
2026-04-27T10:10:00+05:30,184.50,184.50,184.00,184.10,438582
2026-04-27T10:15:00+05:30,184.05,184.60,184.05,184.30,552149
2026-04-27T10:20:00+05:30,184.30,184.60,184.30,184.50,702112
2026-04-27T10:25:00+05:30,184.50,184.55,184.25,184.25,763965
2026-04-27T10:30:00+05:30,184.30,184.55,184.20,184.35,575456
2026-04-27T10:35:00+05:30,184.40,184.40,184.10,184.15,276427
2026-04-27T10:40:00+05:30,184.15,184.55,184.15,184.45,459096
2026-04-27T10:45:00+05:30,184.50,184.55,184.30,184.45,318187
2026-04-27T10:50:00+05:30,184.45,184.65,184.30,184.50,769232
2026-04-27T10:55:00+05:30,184.50,184.55,184.15,184.30,199150
2026-04-27T11:00:00+05:30,184.30,184.40,183.85,183.85,451352
2026-04-27T11:05:00+05:30,184.00,184.65,183.45,184.50,1754468
2026-04-27T11:10:00+05:30,184.50,184.60,184.35,184.40,392674
2026-04-27T11:15:00+05:30,184.40,184.60,184.30,184.30,204598
2026-04-27T11:20:00+05:30,184.30,184.50,184.20,184.40,269821
2026-04-27T11:25:00+05:30,184.40,184.40,184.25,184.30,119231
2026-04-27T11:30:00+05:30,184.35,184.45,183.85,184.00,681852
2026-04-27T11:35:00+05:30,183.90,184.00,183.65,183.70,542421
2026-04-27T11:40:00+05:30,183.70,184.00,183.70,183.85,295467
2026-04-27T11:45:00+05:30,183.90,184.15,183.90,184.10,1058448
2026-04-27T11:50:00+05:30,184.10,184.15,184.00,184.00,111196
2026-04-27T11:55:00+05:30,184.05,184.10,183.90,184.05,152665
2026-04-27T12:00:00+05:30,184.05,184.05,182.85,183.10,622918
2026-04-27T12:05:00+05:30,183.05,183.20,182.55,182.75,342530
2026-04-27T12:10:00+05:30,182.75,183.10,182.75,182.90,118088
2026-04-27T12:15:00+05:30,182.90,183.15,182.90,183.10,141019
2026-04-27T12:20:00+05:30,183.10,183.10,182.90,182.95,264484
2026-04-27T12:25:00+05:30,183.00,183.45,183.00,183.20,217975
2026-04-27T12:30:00+05:30,183.25,183.35,183.10,183.10,102470
2026-04-27T12:35:00+05:30,183.15,183.45,183.10,183.20,203340
2026-04-27T12:40:00+05:30,183.15,183.25,182.80,182.95,290467
2026-04-27T12:45:00+05:30,183.00,183.90,182.95,183.80,731296
2026-04-27T12:50:00+05:30,183.80,184.00,183.70,184.00,340289
2026-04-27T12:55:00+05:30,184.00,184.10,183.80,184.05,189832
2026-04-27T13:00:00+05:30,184.05,184.25,183.90,184.20,196487
2026-04-27T13:05:00+05:30,184.20,184.25,184.00,184.25,218493
2026-04-27T13:10:00+05:30,184.25,184.25,184.05,184.10,212842
2026-04-27T13:15:00+05:30,184.10,184.35,184.10,184.25,224027
2026-04-27T13:20:00+05:30,184.25,184.45,183.90,184.00,287595
2026-04-27T13:25:00+05:30,183.90,184.05,183.80,184.00,265087
2026-04-27T13:30:00+05:30,184.00,184.30,183.90,184.30,459402
2026-04-27T13:35:00+05:30,184.20,184.40,184.05,184.25,691784
2026-04-27T13:40:00+05:30,184.20,184.65,184.20,184.55,410183
