ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,1769.10,1779.70,1759.30,1776.30,0
2026-04-27T09:20:00+05:30,1776.50,1790.80,1776.50,1790.80,118497
2026-04-27T09:25:00+05:30,1790.70,1798.80,1786.70,1798.60,73308
2026-04-27T09:30:00+05:30,1798.30,1800.00,1788.10,1788.90,39163
2026-04-27T09:35:00+05:30,1788.00,1790.80,1787.10,1787.50,17679
2026-04-27T09:40:00+05:30,1787.50,1789.80,1782.40,1784.90,17627
2026-04-27T09:45:00+05:30,1784.20,1787.50,1783.60,1787.50,15601
2026-04-27T09:50:00+05:30,1787.10,1789.00,1784.00,1785.80,19862
2026-04-27T09:55:00+05:30,1789.90,1794.00,1788.70,1792.50,18138
2026-04-27T10:00:00+05:30,1792.40,1797.10,1791.10,1793.50,21636
2026-04-27T10:05:00+05:30,1792.90,1793.40,1790.60,1792.40,96120
2026-04-27T10:10:00+05:30,1791.90,1796.80,1790.70,1795.30,11691
2026-04-27T10:15:00+05:30,1795.90,1800.50,1794.90,1800.50,25016
2026-04-27T10:20:00+05:30,1800.10,1805.70,1800.10,1805.60,28812
2026-04-27T10:25:00+05:30,1805.60,1806.70,1803.50,1806.70,14719
2026-04-27T10:30:00+05:30,1806.30,1806.30,1801.00,1803.80,23068
2026-04-27T10:35:00+05:30,1803.80,1804.60,1801.00,1803.70,12439
2026-04-27T10:40:00+05:30,1803.90,1805.90,1802.90,1805.00,9379
2026-04-27T10:45:00+05:30,1804.30,1808.90,1803.20,1806.10,20550
2026-04-27T10:50:00+05:30,1806.60,1809.10,1806.10,1807.00,27201
2026-04-27T10:55:00+05:30,1806.40,1806.90,1804.20,1806.10,14700
2026-04-27T11:00:00+05:30,1805.60,1806.00,1802.00,1804.20,20622
2026-04-27T11:05:00+05:30,1804.00,1805.70,1803.00,1803.50,13637
2026-04-27T11:10:00+05:30,1804.20,1809.10,1803.90,1808.90,27813
2026-04-27T11:15:00+05:30,1809.00,1809.50,1804.60,1806.80,13456
2026-04-27T11:20:00+05:30,1806.50,1807.50,1804.20,1805.70,14482
2026-04-27T11:25:00+05:30,1805.70,1806.20,1805.00,1805.50,5976
2026-04-27T11:30:00+05:30,1805.40,1806.30,1801.00,1801.10,22235
2026-04-27T11:35:00+05:30,1801.10,1801.80,1800.00,1800.80,19276
2026-04-27T11:40:00+05:30,1801.10,1804.40,1801.10,1802.60,9909
2026-04-27T11:45:00+05:30,1802.40,1803.90,1802.00,1803.00,10088
2026-04-27T11:50:00+05:30,1803.00,1804.50,1802.50,1804.00,9505
2026-04-27T11:55:00+05:30,1803.90,1806.00,1803.70,1805.20,9278
2026-04-27T12:00:00+05:30,1805.10,1806.70,1804.10,1806.00,9983
2026-04-27T12:05:00+05:30,1806.00,1807.00,1803.90,1804.60,10308
2026-04-27T12:10:00+05:30,1804.60,1805.80,1804.20,1805.00,7024
2026-04-27T12:15:00+05:30,1805.10,1806.50,1803.60,1806.50,43282
2026-04-27T12:20:00+05:30,1806.50,1806.80,1804.00,1805.70,12330
2026-04-27T12:25:00+05:30,1805.70,1806.20,1804.60,1805.70,11107
2026-04-27T12:30:00+05:30,1805.40,1807.30,1804.70,1807.30,10485
2026-04-27T12:35:00+05:30,1807.00,1807.80,1805.10,1805.80,11369
2026-04-27T12:40:00+05:30,1805.80,1807.50,1805.10,1807.00,8960
2026-04-27T12:45:00+05:30,1807.00,1807.70,1806.00,1807.10,8002
2026-04-27T12:50:00+05:30,1806.90,1809.00,1806.70,1807.30,22387
2026-04-27T12:55:00+05:30,1807.20,1808.50,1806.00,1806.90,17517
2026-04-27T13:00:00+05:30,1806.90,1808.00,1806.60,1806.90,7679
2026-04-27T13:05:00+05:30,1806.80,1806.80,1804.10,1805.00,16541
2026-04-27T13:10:00+05:30,1805.70,1807.50,1805.10,1806.90,7647
2026-04-27T13:15:00+05:30,1806.70,1809.00,1805.70,1806.10,18036
2026-04-27T13:20:00+05:30,1806.00,1807.00,1805.10,1806.30,8047
2026-04-27T13:25:00+05:30,1806.30,1807.40,1805.60,1806.80,10442
2026-04-27T13:30:00+05:30,1806.80,1810.60,1806.80,1810.00,19558
2026-04-27T13:35:00+05:30,1810.00,1816.20,1810.00,1813.90,33028
2026-04-27T13:40:00+05:30,1813.90,1814.70,1809.10,1809.50,21122
2026-04-27T13:45:00+05:30,1809.50,1811.20,1808.30,1808.30,15023
2026-04-27T13:50:00+05:30,1808.90,1812.10,1808.00,1812.10,14303
2026-04-27T13:55:00+05:30,1812.20,1816.20,1812.20,1815.30,29057
2026-04-27T14:00:00+05:30,1815.10,1815.80,1813.40,1815.40,20938
2026-04-27T14:05:00+05:30,1815.00,1816.70,1811.80,1811.80,15449
2026-04-27T14:10:00+05:30,1811.70,1814.50,1811.50,1813.70,22877
2026-04-27T14:15:00+05:30,1813.10,1815.00,1810.80,1812.00,48935
2026-04-27T14:20:00+05:30,1812.00,1812.90,1811.10,1811.60,13706
2026-04-27T14:25:00+05:30,1811.10,1814.60,1811.00,1813.50,14236
2026-04-27T14:30:00+05:30,1813.60,1814.20,1806.20,1809.40,42568
2026-04-27T14:35:00+05:30,1809.70,1812.20,1809.70,1811.50,16100
2026-04-27T14:40:00+05:30,1811.50,1812.20,1809.20,1811.40,20797
2026-04-27T14:45:00+05:30,1811.40,1812.00,1810.30,1811.30,25327
2026-04-27T14:50:00+05:30,1811.30,1811.90,1809.70,1810.20,35989
2026-04-27T14:55:00+05:30,1810.20,1811.30,1809.90,1810.90,23550
2026-04-27T15:00:00+05:30,1810.90,1816.50,1810.50,1816.10,42786
2026-04-27T15:05:00+05:30,1816.50,1818.00,1814.90,1816.90,36887
2026-04-27T15:10:00+05:30,1816.60,1818.50,1815.20,1815.60,48781
2026-04-27T15:15:00+05:30,1815.70,1816.40,1812.40,1813.00,65083
2026-04-27T15:20:00+05:30,1813.00,1817.60,1812.00,1815.50,64326
2026-04-27T15:25:00+05:30,1815.50,1817.00,1810.00,1815.40,72706
2026-04-28T09:15:00+05:30,1814.30,1814.30,1798.80,1810.50,0
2026-04-28T09:20:00+05:30,1810.50,1813.70,1810.50,1813.40,27341
2026-04-28T09:25:00+05:30,1813.30,1818.20,1813.30,1817.10,24655
2026-04-28T09:30:00+05:30,1817.10,1817.10,1809.00,1809.40,26452
2026-04-28T09:35:00+05:30,1808.60,1811.00,1806.30,1806.70,16688
2026-04-28T09:40:00+05:30,1807.50,1812.10,1806.70,1810.50,24008
2026-04-28T09:45:00+05:30,1810.50,1813.00,1809.50,1809.70,15269
2026-04-28T09:50:00+05:30,1809.70,1813.60,1809.50,1813.40,13330
2026-04-28T09:55:00+05:30,1812.70,1815.90,1812.70,1815.50,15230
2026-04-28T10:00:00+05:30,1815.50,1818.10,1815.10,1817.20,13651
2026-04-28T10:05:00+05:30,1817.30,1821.00,1816.10,1819.00,19638
2026-04-28T10:10:00+05:30,1819.00,1819.00,1816.20,1816.40,6212
2026-04-28T10:15:00+05:30,1816.40,1817.30,1815.40,1816.80,5023
2026-04-28T10:20:00+05:30,1816.50,1820.80,1816.50,1819.80,9729
2026-04-28T10:25:00+05:30,1819.70,1819.90,1817.50,1818.30,6883
2026-04-28T10:30:00+05:30,1818.40,1818.70,1816.00,1816.80,8250
2026-04-28T10:35:00+05:30,1816.80,1818.50,1816.00,1818.50,15429
2026-04-28T10:40:00+05:30,1818.60,1818.60,1817.20,1818.50,5716
2026-04-28T10:45:00+05:30,1818.50,1821.20,1818.10,1820.60,12890
2026-04-28T10:50:00+05:30,1820.60,1822.90,1819.50,1820.20,13846
2026-04-28T10:55:00+05:30,1820.10,1821.20,1819.50,1820.80,10497
2026-04-28T11:00:00+05:30,1820.70,1820.80,1819.40,1820.30,5432
2026-04-28T11:05:00+05:30,1820.20,1821.90,1819.50,1821.90,6591
2026-04-28T11:10:00+05:30,1821.70,1823.40,1820.80,1822.10,9853
2026-04-28T11:15:00+05:30,1822.10,1822.60,1820.50,1821.60,4049
2026-04-28T11:20:00+05:30,1821.60,1823.50,1821.60,1823.10,8462
2026-04-28T11:25:00+05:30,1822.70,1823.70,1820.00,1821.00,20141
2026-04-28T11:30:00+05:30,1821.00,1821.00,1818.00,1819.70,24472
2026-04-28T11:35:00+05:30,1819.70,1821.50,1818.60,1820.80,7870
2026-04-28T11:40:00+05:30,1820.20,1820.80,1816.60,1818.00,15315
2026-04-28T11:45:00+05:30,1818.00,1818.90,1816.50,1817.00,19552
2026-04-28T11:50:00+05:30,1817.00,1817.10,1815.50,1816.40,21362
2026-04-28T11:55:00+05:30,1816.70,1817.10,1813.00,1816.40,49781
2026-04-28T12:00:00+05:30,1816.30,1816.50,1815.00,1815.20,26349
2026-04-28T12:05:00+05:30,1816.00,1816.40,1814.90,1815.90,21261
2026-04-28T12:10:00+05:30,1815.10,1817.80,1815.00,1817.80,14099
2026-04-28T12:15:00+05:30,1817.80,1819.90,1817.10,1817.30,15518
2026-04-28T12:20:00+05:30,1817.30,1818.40,1815.30,1817.10,22990
