ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,78.00,78.95,78.00,78.45,0
2026-04-27T09:20:00+05:30,78.65,79.25,78.60,78.80,249482
2026-04-27T09:25:00+05:30,78.80,78.85,78.50,78.60,141162
2026-04-27T09:30:00+05:30,78.70,79.20,78.65,79.00,200792
2026-04-27T09:35:00+05:30,79.00,79.25,78.85,78.85,131713
2026-04-27T09:40:00+05:30,78.85,79.20,78.80,79.20,111347
2026-04-27T09:45:00+05:30,79.20,79.45,79.15,79.45,116701
2026-04-27T09:50:00+05:30,79.30,79.70,79.30,79.65,190626
2026-04-27T09:55:00+05:30,79.70,79.70,79.40,79.60,66676
2026-04-27T10:00:00+05:30,79.60,79.85,79.50,79.65,94709
2026-04-27T10:05:00+05:30,79.60,79.85,79.55,79.65,59441
2026-04-27T10:10:00+05:30,79.65,79.65,79.50,79.55,69668
2026-04-27T10:15:00+05:30,79.60,80.10,79.55,80.10,289293
2026-04-27T10:20:00+05:30,80.05,80.15,80.05,80.05,102757
2026-04-27T10:25:00+05:30,80.10,80.15,79.80,79.90,87843
2026-04-27T10:30:00+05:30,79.90,80.35,79.90,80.20,210906
2026-04-27T10:35:00+05:30,80.20,80.45,80.10,80.45,213430
2026-04-27T10:40:00+05:30,80.45,80.50,80.30,80.45,118315
2026-04-27T10:45:00+05:30,80.45,81.20,80.40,81.15,899160
2026-04-27T10:50:00+05:30,81.15,81.20,80.80,80.85,301357
2026-04-27T10:55:00+05:30,80.85,80.95,80.75,80.85,70970
2026-04-27T11:00:00+05:30,80.85,81.00,80.75,80.95,94176
2026-04-27T11:05:00+05:30,80.90,80.95,80.70,80.70,77619
2026-04-27T11:10:00+05:30,80.75,80.95,80.75,80.85,116617
2026-04-27T11:15:00+05:30,80.80,80.85,80.75,80.80,45977
2026-04-27T11:20:00+05:30,80.75,80.90,80.65,80.90,59202
2026-04-27T11:25:00+05:30,80.90,80.95,80.75,80.75,100010
2026-04-27T11:30:00+05:30,80.75,80.75,80.55,80.60,60337
2026-04-27T11:35:00+05:30,80.55,80.60,80.30,80.45,119647
2026-04-27T11:40:00+05:30,80.50,80.55,80.35,80.40,97259
2026-04-27T11:45:00+05:30,80.40,80.50,80.35,80.50,21619
2026-04-27T11:50:00+05:30,80.50,80.50,80.35,80.45,27582
2026-04-27T11:55:00+05:30,80.45,80.50,80.45,80.50,19767
2026-04-27T12:00:00+05:30,80.50,80.50,80.35,80.35,40056
2026-04-27T12:05:00+05:30,80.40,80.40,80.25,80.25,66351
2026-04-27T12:10:00+05:30,80.25,80.40,80.25,80.40,27342
2026-04-27T12:15:00+05:30,80.35,80.50,80.30,80.50,44021
2026-04-27T12:20:00+05:30,80.45,80.45,80.25,80.30,50858
2026-04-27T12:25:00+05:30,80.30,80.40,80.30,80.40,3679
2026-04-27T12:30:00+05:30,80.35,80.60,80.35,80.50,64731
2026-04-27T12:35:00+05:30,80.55,80.60,80.50,80.60,19209
2026-04-27T12:40:00+05:30,80.55,80.60,80.45,80.45,77845
2026-04-27T12:45:00+05:30,80.50,80.50,80.40,80.50,17944
2026-04-27T12:50:00+05:30,80.50,80.50,80.40,80.40,21875
2026-04-27T12:55:00+05:30,80.45,80.45,80.40,80.40,49546
2026-04-27T13:00:00+05:30,80.40,80.50,80.40,80.45,12812
2026-04-27T13:05:00+05:30,80.45,80.55,80.45,80.50,19323
2026-04-27T13:10:00+05:30,80.50,80.70,80.50,80.70,63066
2026-04-27T13:15:00+05:30,80.70,80.75,80.60,80.65,38068
2026-04-27T13:20:00+05:30,80.65,80.70,80.55,80.60,31352
2026-04-27T13:25:00+05:30,80.60,80.80,80.55,80.80,187581
2026-04-27T13:30:00+05:30,80.85,81.00,80.70,80.75,165597
2026-04-27T13:35:00+05:30,80.70,80.80,80.60,80.70,47850
2026-04-27T13:40:00+05:30,80.70,80.75,80.55,80.60,40455
2026-04-27T13:45:00+05:30,80.60,80.65,80.50,80.50,42449
2026-04-27T13:50:00+05:30,80.45,80.50,80.40,80.45,20801
2026-04-27T13:55:00+05:30,80.45,80.50,80.40,80.45,12012
2026-04-27T14:00:00+05:30,80.50,80.50,80.40,80.45,20098
2026-04-27T14:05:00+05:30,80.45,80.50,80.40,80.45,24671
2026-04-27T14:10:00+05:30,80.45,80.50,80.40,80.50,81563
2026-04-27T14:15:00+05:30,80.45,80.50,80.35,80.40,32734
2026-04-27T14:20:00+05:30,80.35,80.40,80.25,80.35,87453
2026-04-27T14:25:00+05:30,80.35,80.40,80.30,80.35,30980
2026-04-27T14:30:00+05:30,80.35,80.35,80.25,80.30,38929
2026-04-27T14:35:00+05:30,80.25,80.30,80.20,80.25,30069
2026-04-27T14:40:00+05:30,80.25,80.40,80.20,80.40,75828
2026-04-27T14:45:00+05:30,80.40,80.40,80.30,80.40,20122
2026-04-27T14:50:00+05:30,80.35,80.65,80.35,80.65,107211
2026-04-27T14:55:00+05:30,80.60,80.65,80.45,80.55,53360
2026-04-27T15:00:00+05:30,80.55,80.55,80.30,80.30,120047
2026-04-27T15:05:00+05:30,80.30,80.35,80.20,80.30,74054
2026-04-27T15:10:00+05:30,80.30,80.40,80.25,80.35,94505
2026-04-27T15:15:00+05:30,80.40,80.45,80.30,80.45,136816
2026-04-27T15:20:00+05:30,80.45,80.55,80.40,80.50,184319
2026-04-27T15:25:00+05:30,80.45,80.60,80.35,80.60,166454
2026-04-28T09:15:00+05:30,80.45,81.30,80.20,81.15,0
2026-04-28T09:20:00+05:30,81.15,81.30,80.65,80.70,244805
2026-04-28T09:25:00+05:30,80.75,81.00,80.70,80.85,87979
2026-04-28T09:30:00+05:30,80.85,81.05,80.70,81.00,121292
2026-04-28T09:35:00+05:30,80.95,81.45,80.95,81.30,264684
2026-04-28T09:40:00+05:30,81.25,81.40,81.25,81.35,135296
2026-04-28T09:45:00+05:30,81.35,82.25,81.35,81.75,822521
2026-04-28T09:50:00+05:30,81.60,81.80,81.50,81.60,410968
2026-04-28T09:55:00+05:30,81.60,81.70,81.35,81.55,120080
2026-04-28T10:00:00+05:30,81.60,81.60,81.35,81.45,56675
2026-04-28T10:05:00+05:30,81.45,81.45,81.00,81.05,234002
2026-04-28T10:10:00+05:30,81.00,81.15,80.95,81.05,53045
2026-04-28T10:15:00+05:30,81.05,81.10,80.90,81.00,71431
2026-04-28T10:20:00+05:30,81.00,81.00,80.85,80.90,49815
2026-04-28T10:25:00+05:30,80.95,81.00,80.75,80.85,92158
2026-04-28T10:30:00+05:30,80.90,80.90,80.70,80.85,56965
2026-04-28T10:35:00+05:30,80.85,80.90,80.70,80.80,58316
2026-04-28T10:40:00+05:30,80.70,80.80,80.70,80.75,45701
2026-04-28T10:45:00+05:30,80.70,80.95,80.70,80.95,87290
2026-04-28T10:50:00+05:30,80.90,80.95,80.90,80.95,10474
2026-04-28T10:55:00+05:30,80.90,81.00,80.90,80.95,21519
2026-04-28T11:00:00+05:30,80.95,81.05,80.95,81.00,29692
2026-04-28T11:05:00+05:30,80.95,81.05,80.75,80.90,44203
2026-04-28T11:10:00+05:30,80.85,80.95,80.80,80.90,22675
2026-04-28T11:15:00+05:30,80.90,80.95,80.80,80.90,30761
2026-04-28T11:20:00+05:30,80.90,81.00,80.75,80.80,29972
2026-04-28T11:25:00+05:30,80.85,80.85,80.40,80.45,154819
