ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,2516.80,2523.60,2506.00,2515.30,0
2026-04-27T09:20:00+05:30,2517.60,2524.20,2517.60,2519.00,7150
2026-04-27T09:25:00+05:30,2518.30,2519.10,2506.80,2511.10,4414
2026-04-27T09:30:00+05:30,2513.10,2515.90,2508.70,2508.70,3787
2026-04-27T09:35:00+05:30,2509.90,2516.90,2509.10,2512.10,4592
2026-04-27T09:40:00+05:30,2513.00,2525.00,2513.00,2523.90,3676
2026-04-27T09:45:00+05:30,2525.00,2531.70,2523.70,2531.00,6673
2026-04-27T09:50:00+05:30,2531.00,2533.00,2527.50,2532.40,3947
2026-04-27T09:55:00+05:30,2533.00,2536.00,2531.20,2536.00,4788
2026-04-27T10:00:00+05:30,2535.40,2535.40,2529.00,2529.00,2982
2026-04-27T10:05:00+05:30,2528.50,2529.00,2522.20,2526.00,1923
2026-04-27T10:10:00+05:30,2525.80,2525.80,2519.00,2522.40,3660
2026-04-27T10:15:00+05:30,2522.60,2535.50,2522.60,2535.50,13537
2026-04-27T10:20:00+05:30,2535.40,2538.50,2531.70,2538.00,14874
2026-04-27T10:25:00+05:30,2538.00,2548.90,2535.60,2547.50,24734
2026-04-27T10:30:00+05:30,2547.60,2549.00,2541.10,2545.40,6540
2026-04-27T10:35:00+05:30,2545.00,2547.00,2537.80,2537.80,5286
2026-04-27T10:40:00+05:30,2538.80,2539.60,2536.60,2537.50,3291
2026-04-27T10:45:00+05:30,2537.50,2537.50,2523.10,2524.30,14878
2026-04-27T10:50:00+05:30,2524.50,2528.70,2524.00,2528.70,3249
2026-04-27T10:55:00+05:30,2529.00,2529.80,2526.50,2528.20,1931
2026-04-27T11:00:00+05:30,2528.20,2528.50,2525.30,2526.20,1792
2026-04-27T11:05:00+05:30,2526.30,2526.30,2516.80,2520.00,15992
2026-04-27T11:10:00+05:30,2520.10,2520.40,2517.00,2518.10,4495
2026-04-27T11:15:00+05:30,2518.40,2518.70,2514.90,2516.50,3313
2026-04-27T11:20:00+05:30,2516.20,2517.80,2505.90,2507.10,8512
2026-04-27T11:25:00+05:30,2506.90,2511.30,2505.30,2509.30,3141
2026-04-27T11:30:00+05:30,2509.60,2509.70,2505.70,2505.70,1744
2026-04-27T11:35:00+05:30,2505.60,2505.90,2500.40,2502.90,3167
2026-04-27T11:40:00+05:30,2502.10,2506.80,2502.10,2506.80,1182
2026-04-27T11:45:00+05:30,2506.80,2507.00,2498.30,2504.30,4541
2026-04-27T11:50:00+05:30,2504.30,2507.60,2500.50,2507.00,3653
2026-04-27T11:55:00+05:30,2507.70,2509.60,2506.70,2509.00,1407
2026-04-27T12:00:00+05:30,2509.40,2514.20,2508.10,2514.20,4987
2026-04-27T12:05:00+05:30,2514.10,2514.70,2511.30,2512.20,2761
2026-04-27T12:10:00+05:30,2513.40,2515.00,2510.60,2514.30,841
2026-04-27T12:15:00+05:30,2514.10,2519.60,2513.00,2518.30,3961
2026-04-27T12:20:00+05:30,2517.40,2518.40,2516.30,2517.90,1082
2026-04-27T12:25:00+05:30,2517.00,2521.50,2517.00,2520.00,2540
2026-04-27T12:30:00+05:30,2520.20,2521.00,2518.70,2518.70,1820
2026-04-27T12:35:00+05:30,2518.70,2519.90,2515.00,2516.00,2050
2026-04-27T12:40:00+05:30,2516.00,2516.90,2512.00,2515.80,1220
2026-04-27T12:45:00+05:30,2515.80,2517.60,2513.70,2517.60,1777
2026-04-27T12:50:00+05:30,2517.90,2521.20,2516.80,2517.10,1826
2026-04-27T12:55:00+05:30,2517.10,2522.70,2515.70,2520.90,2298
2026-04-27T13:00:00+05:30,2520.80,2520.80,2515.00,2515.00,1896
2026-04-27T13:05:00+05:30,2516.30,2519.80,2514.30,2518.70,922
2026-04-27T13:10:00+05:30,2519.60,2520.30,2515.20,2518.10,2343
2026-04-27T13:15:00+05:30,2518.40,2520.80,2516.50,2517.80,1600
2026-04-27T13:20:00+05:30,2517.80,2518.20,2515.50,2517.70,1417
2026-04-27T13:25:00+05:30,2517.70,2517.90,2515.90,2517.70,987
2026-04-27T13:30:00+05:30,2517.80,2517.80,2513.80,2515.20,2806
2026-04-27T13:35:00+05:30,2515.50,2520.00,2513.80,2518.00,3387
2026-04-27T13:40:00+05:30,2518.00,2519.70,2516.10,2517.50,1336
2026-04-27T13:45:00+05:30,2517.50,2518.00,2513.00,2513.00,1951
2026-04-27T13:50:00+05:30,2514.40,2517.10,2512.60,2516.30,4284
