ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,1621.90,1698.40,1621.90,1691.10,0
2026-04-27T09:20:00+05:30,1690.90,1707.90,1690.90,1697.40,582943
2026-04-27T09:25:00+05:30,1696.60,1704.40,1677.10,1678.70,603770
2026-04-27T09:30:00+05:30,1678.50,1689.00,1674.60,1689.00,808458
2026-04-27T09:35:00+05:30,1688.90,1709.50,1687.80,1702.00,1579360
2026-04-27T09:40:00+05:30,1701.20,1728.70,1701.20,1727.70,1790459
2026-04-27T09:45:00+05:30,1728.00,1742.00,1727.30,1734.10,1391390
2026-04-27T09:50:00+05:30,1731.60,1738.20,1727.10,1735.70,578899
2026-04-27T09:55:00+05:30,1735.80,1740.30,1732.10,1734.80,343734
2026-04-27T10:00:00+05:30,1734.70,1745.00,1732.70,1740.30,415450
2026-04-27T10:05:00+05:30,1740.30,1740.80,1736.60,1738.60,199029
2026-04-27T10:10:00+05:30,1738.80,1741.00,1733.70,1737.50,244825
2026-04-27T10:15:00+05:30,1737.20,1744.00,1737.20,1744.00,314300
2026-04-27T10:20:00+05:30,1744.40,1752.00,1743.30,1749.50,500246
2026-04-27T10:25:00+05:30,1750.00,1766.70,1749.50,1764.30,630096
2026-04-27T10:30:00+05:30,1765.50,1766.70,1747.00,1747.50,577541
2026-04-27T10:35:00+05:30,1747.50,1748.00,1739.50,1745.10,477411
2026-04-27T10:40:00+05:30,1744.50,1745.30,1739.10,1741.00,409622
2026-04-27T10:45:00+05:30,1740.40,1742.90,1738.50,1741.00,291027
2026-04-27T10:50:00+05:30,1740.70,1747.30,1734.10,1741.60,443142
2026-04-27T10:55:00+05:30,1741.00,1743.80,1737.00,1738.80,127164
2026-04-27T11:00:00+05:30,1738.40,1740.00,1734.20,1734.20,245519
2026-04-27T11:05:00+05:30,1734.30,1734.80,1729.00,1730.00,522402
2026-04-27T11:10:00+05:30,1730.20,1730.80,1722.10,1722.40,544939
2026-04-27T11:15:00+05:30,1723.60,1727.00,1722.10,1726.80,241787
2026-04-27T11:20:00+05:30,1726.10,1730.60,1726.00,1729.90,404764
2026-04-27T11:25:00+05:30,1729.90,1730.60,1729.50,1730.00,145509
2026-04-27T11:30:00+05:30,1730.10,1730.20,1725.50,1727.80,153090
2026-04-27T11:35:00+05:30,1727.70,1730.60,1727.70,1730.20,259011
2026-04-27T11:40:00+05:30,1730.10,1730.60,1729.20,1729.40,303984
2026-04-27T11:45:00+05:30,1729.40,1731.10,1729.40,1730.60,174620
2026-04-27T11:50:00+05:30,1730.40,1731.40,1729.90,1730.50,248002
2026-04-27T11:55:00+05:30,1731.00,1739.30,1728.20,1733.80,670188
2026-04-27T12:00:00+05:30,1733.40,1736.30,1733.40,1736.00,179719
2026-04-27T12:05:00+05:30,1735.50,1736.00,1732.80,1732.80,104196
2026-04-27T12:10:00+05:30,1732.40,1734.50,1730.10,1733.10,107948
2026-04-27T12:15:00+05:30,1733.00,1737.20,1732.90,1735.50,422726
2026-04-27T12:20:00+05:30,1735.60,1737.20,1734.80,1735.70,376480
2026-04-27T12:25:00+05:30,1735.70,1735.80,1732.70,1734.80,123487
2026-04-27T12:30:00+05:30,1734.50,1735.10,1731.80,1733.70,91293
2026-04-27T12:35:00+05:30,1733.80,1733.90,1731.80,1732.10,56280
2026-04-27T12:40:00+05:30,1732.20,1732.90,1730.80,1731.70,75761
2026-04-27T12:45:00+05:30,1731.60,1733.70,1731.60,1733.20,71299
2026-04-27T12:50:00+05:30,1733.10,1738.00,1730.80,1737.00,447866
2026-04-27T12:55:00+05:30,1736.30,1737.50,1735.60,1736.70,257707
2026-04-27T13:00:00+05:30,1736.60,1737.30,1735.10,1735.90,89239
2026-04-27T13:05:00+05:30,1735.70,1737.00,1733.00,1736.50,77978
2026-04-27T13:10:00+05:30,1736.40,1737.40,1736.30,1736.80,212069
2026-04-27T13:15:00+05:30,1736.80,1737.50,1735.20,1736.60,84486
2026-04-27T13:20:00+05:30,1736.60,1737.60,1735.30,1737.00,333049
2026-04-27T13:25:00+05:30,1736.80,1746.40,1733.00,1741.50,795517
2026-04-27T13:30:00+05:30,1741.60,1743.50,1735.10,1736.60,181434
2026-04-27T13:35:00+05:30,1736.80,1738.80,1736.20,1737.00,83908
2026-04-27T13:40:00+05:30,1737.00,1739.00,1736.70,1738.20,72490
2026-04-27T13:45:00+05:30,1738.20,1740.00,1736.20,1737.20,1159109
2026-04-27T13:50:00+05:30,1736.90,1737.70,1735.80,1736.30,75374
2026-04-27T13:55:00+05:30,1736.30,1738.10,1736.20,1737.50,94355
2026-04-27T14:00:00+05:30,1737.50,1738.00,1733.40,1735.80,117682
2026-04-27T14:05:00+05:30,1736.00,1736.50,1731.60,1733.00,105175
2026-04-27T14:10:00+05:30,1732.70,1734.10,1731.80,1731.90,93032
2026-04-27T14:15:00+05:30,1732.80,1733.40,1730.00,1730.00,162846
2026-04-27T14:20:00+05:30,1730.00,1733.00,1730.00,1731.30,97037
2026-04-27T14:25:00+05:30,1731.20,1732.30,1730.00,1731.50,116784
2026-04-27T14:30:00+05:30,1731.10,1733.00,1727.80,1732.60,141495
2026-04-27T14:35:00+05:30,1732.60,1733.30,1731.90,1732.80,83662
2026-04-27T14:40:00+05:30,1732.70,1733.80,1732.00,1732.30,94672
2026-04-27T14:45:00+05:30,1732.00,1733.20,1732.00,1733.10,77844
2026-04-27T14:50:00+05:30,1733.10,1733.70,1732.30,1733.10,186743
2026-04-27T14:55:00+05:30,1733.00,1735.50,1732.80,1735.40,236040
2026-04-27T15:00:00+05:30,1735.40,1736.40,1733.40,1733.40,338765
2026-04-27T15:05:00+05:30,1733.40,1736.20,1732.30,1733.20,405659
2026-04-27T15:10:00+05:30,1732.60,1733.90,1732.40,1732.40,322219
2026-04-27T15:15:00+05:30,1733.30,1734.20,1732.20,1732.40,555433
2026-04-27T15:20:00+05:30,1733.20,1734.10,1732.00,1732.60,474207
2026-04-27T15:25:00+05:30,1732.60,1733.30,1731.00,1732.20,201935
2026-04-28T09:15:00+05:30,1724.00,1727.20,1714.90,1726.60,0
2026-04-28T09:20:00+05:30,1726.60,1731.50,1726.50,1730.60,694728
2026-04-28T09:25:00+05:30,1732.50,1735.50,1729.00,1729.70,555778
2026-04-28T09:30:00+05:30,1729.90,1731.10,1728.90,1730.60,213733
2026-04-28T09:35:00+05:30,1730.70,1731.40,1730.40,1730.70,611890
2026-04-28T09:40:00+05:30,1730.70,1737.00,1729.30,1736.00,1359268
2026-04-28T09:45:00+05:30,1736.00,1745.60,1735.30,1739.20,889393
2026-04-28T09:50:00+05:30,1739.50,1740.20,1736.30,1738.50,252010
2026-04-28T09:55:00+05:30,1738.50,1740.00,1735.20,1735.90,118767
2026-04-28T10:00:00+05:30,1735.90,1738.00,1735.60,1737.80,131955
2026-04-28T10:05:00+05:30,1737.90,1738.70,1737.70,1738.20,389398
2026-04-28T10:10:00+05:30,1738.50,1739.90,1738.10,1739.70,430387
2026-04-28T10:15:00+05:30,1739.60,1740.00,1738.40,1739.70,219447
2026-04-28T10:20:00+05:30,1739.70,1739.70,1738.30,1739.70,216367
2026-04-28T10:25:00+05:30,1739.70,1753.70,1739.70,1753.60,671771
2026-04-28T10:30:00+05:30,1753.60,1758.60,1749.70,1752.90,317962
2026-04-28T10:35:00+05:30,1753.00,1754.80,1752.00,1752.50,337599
2026-04-28T10:40:00+05:30,1753.00,1756.20,1752.40,1754.00,429648
2026-04-28T10:45:00+05:30,1754.00,1754.20,1753.50,1753.70,236810
2026-04-28T10:50:00+05:30,1753.80,1763.00,1753.50,1760.20,603576
2026-04-28T10:55:00+05:30,1760.90,1761.40,1757.50,1760.70,515400
2026-04-28T11:00:00+05:30,1761.00,1763.50,1760.40,1763.40,447230
2026-04-28T11:05:00+05:30,1763.00,1763.80,1754.90,1756.00,176039
2026-04-28T11:10:00+05:30,1756.20,1758.50,1755.00,1757.80,80994
2026-04-28T11:15:00+05:30,1757.80,1758.00,1753.80,1757.50,73388
2026-04-28T11:20:00+05:30,1758.00,1758.00,1752.00,1753.00,75173
2026-04-28T11:25:00+05:30,1753.00,1755.70,1751.70,1754.90,74797
2026-04-28T11:30:00+05:30,1754.80,1755.80,1753.20,1754.90,64969
2026-04-28T11:35:00+05:30,1755.00,1755.50,1754.30,1755.20,48200
2026-04-28T11:40:00+05:30,1755.00,1755.80,1754.60,1755.80,52019
2026-04-28T11:45:00+05:30,1755.80,1755.80,1753.80,1755.80,47328
2026-04-28T11:50:00+05:30,1755.80,1755.80,1755.20,1755.80,99631
2026-04-28T11:55:00+05:30,1755.80,1755.80,1754.80,1755.80,122433
2026-04-28T12:00:00+05:30,1755.80,1755.80,1754.30,1755.80,128898
2026-04-28T12:05:00+05:30,1755.80,1755.80,1754.50,1755.70,45589
2026-04-28T12:10:00+05:30,1755.80,1755.80,1753.60,1753.80,47438
2026-04-28T12:15:00+05:30,1753.80,1754.00,1750.70,1750.70,64979
2026-04-28T12:20:00+05:30,1751.00,1751.00,1747.20,1750.00,79915
2026-04-28T12:25:00+05:30,1749.80,1752.30,1749.80,1752.00,25470
2026-04-28T12:30:00+05:30,1752.00,1752.20,1746.90,1747.40,47156
2026-04-28T12:35:00+05:30,1747.90,1747.90,1744.80,1745.90,49908
2026-04-28T12:40:00+05:30,1746.10,1746.80,1745.40,1746.00,25850
2026-04-28T12:45:00+05:30,1746.00,1747.80,1744.80,1747.50,36999
2026-04-28T12:50:00+05:30,1747.30,1749.90,1747.00,1748.00,47681
2026-04-28T12:55:00+05:30,1748.00,1749.50,1745.20,1745.90,41555
2026-04-28T13:00:00+05:30,1746.60,1749.90,1746.00,1748.70,54961
2026-04-28T13:05:00+05:30,1748.70,1750.00,1748.30,1750.00,523032
2026-04-28T13:10:00+05:30,1749.30,1752.30,1748.50,1750.00,611901
2026-04-28T13:15:00+05:30,1751.00,1752.70,1749.90,1751.70,168491
2026-04-28T13:20:00+05:30,1751.70,1752.00,1750.20,1751.70,50382
2026-04-28T13:25:00+05:30,1751.50,1752.10,1751.00,1751.20,138158
2026-04-28T13:30:00+05:30,1751.20,1751.70,1746.80,1747.20,58509
2026-04-28T13:35:00+05:30,1747.70,1747.70,1744.80,1747.70,54282
2026-04-28T13:40:00+05:30,1747.70,1749.50,1746.00,1746.30,53965
2026-04-28T13:45:00+05:30,1746.30,1747.20,1745.00,1745.60,40963
2026-04-28T13:50:00+05:30,1745.60,1745.80,1744.90,1745.60,37644
2026-04-28T13:55:00+05:30,1745.60,1746.10,1743.40,1744.10,55270
2026-04-28T14:00:00+05:30,1744.30,1745.50,1744.30,1745.20,32115
2026-04-28T14:05:00+05:30,1745.20,1745.20,1744.40,1745.20,29158
2026-04-28T14:10:00+05:30,1745.20,1745.20,1743.80,1745.00,43604
2026-04-28T14:15:00+05:30,1745.20,1747.30,1744.00,1747.20,62565
2026-04-28T14:20:00+05:30,1747.20,1748.60,1746.70,1747.90,39899
2026-04-28T14:25:00+05:30,1747.90,1748.40,1747.10,1748.40,32014
2026-04-28T14:30:00+05:30,1748.40,1748.40,1747.50,1748.10,35592
2026-04-28T14:35:00+05:30,1748.40,1750.20,1748.30,1749.70,155685
2026-04-28T14:40:00+05:30,1749.70,1750.50,1749.60,1749.70,129884
2026-04-28T14:45:00+05:30,1749.70,1750.80,1749.60,1750.30,120944
2026-04-28T14:50:00+05:30,1750.30,1750.80,1749.60,1750.30,151457
2026-04-28T14:55:00+05:30,1750.30,1750.80,1747.70,1749.20,192871
2026-04-28T15:00:00+05:30,1749.20,1750.20,1746.00,1746.20,152933
2026-04-28T15:05:00+05:30,1746.70,1746.70,1744.30,1745.20,138184
2026-04-28T15:10:00+05:30,1745.20,1747.60,1745.10,1747.30,197857
2026-04-28T15:15:00+05:30,1747.40,1748.60,1745.70,1747.10,217537
2026-04-28T15:20:00+05:30,1746.90,1750.00,1745.60,1747.70,250097
2026-04-28T15:25:00+05:30,1747.70,1751.50,1746.50,1749.00,232483
2026-04-29T09:15:00+05:30,1756.40,1764.60,1755.00,1759.70,0
2026-04-29T09:20:00+05:30,1760.50,1760.50,1754.90,1756.50,82085
2026-04-29T09:25:00+05:30,1756.90,1760.50,1756.30,1758.70,357474
2026-04-29T09:30:00+05:30,1758.80,1759.60,1757.30,1757.80,78944
2026-04-29T09:35:00+05:30,1758.00,1760.20,1756.50,1759.60,173142
2026-04-29T09:40:00+05:30,1759.90,1759.90,1758.50,1759.00,47916
2026-04-29T09:45:00+05:30,1758.90,1758.90,1756.70,1758.10,33821
2026-04-29T09:50:00+05:30,1757.60,1759.00,1755.30,1756.70,493020
2026-04-29T09:55:00+05:30,1756.70,1757.40,1753.90,1755.70,47006
2026-04-29T10:00:00+05:30,1755.60,1757.00,1755.50,1756.80,30727
2026-04-29T10:05:00+05:30,1756.60,1756.70,1753.30,1753.80,33571
2026-04-29T10:10:00+05:30,1753.50,1754.10,1751.20,1751.60,68592
2026-04-29T10:15:00+05:30,1751.60,1756.00,1750.60,1755.40,41157
2026-04-29T10:20:00+05:30,1755.80,1755.90,1754.80,1754.90,218150
2026-04-29T10:25:00+05:30,1754.90,1755.20,1754.30,1755.10,42226
2026-04-29T10:30:00+05:30,1755.00,1755.70,1754.90,1755.60,62253
2026-04-29T10:35:00+05:30,1755.60,1755.70,1753.60,1754.70,42491
2026-04-29T10:40:00+05:30,1754.70,1754.80,1753.30,1754.10,66886
2026-04-29T10:45:00+05:30,1754.10,1755.20,1752.50,1755.20,114535
2026-04-29T10:50:00+05:30,1755.20,1755.60,1755.10,1755.50,88985
2026-04-29T10:55:00+05:30,1755.50,1756.80,1755.30,1756.00,235118
