ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,698.80,703.20,698.60,702.75,0
2026-04-27T09:20:00+05:30,702.50,707.50,702.50,704.50,16518
2026-04-27T09:25:00+05:30,705.00,707.80,705.00,707.80,21636
2026-04-27T09:30:00+05:30,707.20,712.40,706.25,710.50,21587
2026-04-27T09:35:00+05:30,710.45,711.70,708.15,709.20,23467
2026-04-27T09:40:00+05:30,708.65,713.90,708.65,713.90,23792
2026-04-27T09:45:00+05:30,713.55,714.30,712.75,714.10,13712
2026-04-27T09:50:00+05:30,713.95,715.95,713.50,715.90,21097
2026-04-27T09:55:00+05:30,715.20,715.80,713.95,713.95,10997
2026-04-27T10:00:00+05:30,714.50,716.20,713.60,715.50,24169
2026-04-27T10:05:00+05:30,714.70,715.00,713.30,714.10,7534
2026-04-27T10:10:00+05:30,714.40,714.40,712.40,712.80,6452
2026-04-27T10:15:00+05:30,712.50,718.95,712.50,717.55,42153
2026-04-27T10:20:00+05:30,717.20,717.90,717.05,717.30,8509
2026-04-27T10:25:00+05:30,717.50,723.55,717.45,722.30,42628
2026-04-27T10:30:00+05:30,722.20,723.60,719.50,722.80,38004
2026-04-27T10:35:00+05:30,723.10,723.40,721.00,721.00,10058
2026-04-27T10:40:00+05:30,721.00,721.85,720.50,721.20,15388
2026-04-27T10:45:00+05:30,720.50,721.75,719.10,721.10,9894
2026-04-27T10:50:00+05:30,721.05,721.95,721.00,721.70,5991
2026-04-27T10:55:00+05:30,721.70,721.70,718.20,718.35,4346
2026-04-27T11:00:00+05:30,718.30,718.95,717.55,718.80,6380
2026-04-27T11:05:00+05:30,718.80,718.80,716.50,716.50,8868
2026-04-27T11:10:00+05:30,716.50,717.00,716.45,717.00,2114
2026-04-27T11:15:00+05:30,717.00,717.05,716.70,717.05,1515
2026-04-27T11:20:00+05:30,716.70,717.05,716.30,716.85,2037
2026-04-27T11:25:00+05:30,716.55,716.55,715.25,715.50,4787
2026-04-27T11:30:00+05:30,715.95,715.95,715.00,715.05,3107
2026-04-27T11:35:00+05:30,715.40,715.55,714.20,714.50,10396
2026-04-27T11:40:00+05:30,715.00,715.80,714.50,715.00,5856
2026-04-27T11:45:00+05:30,715.00,715.50,714.50,715.50,858
2026-04-27T11:50:00+05:30,715.00,716.40,715.00,715.50,4687
2026-04-27T11:55:00+05:30,715.55,716.50,715.55,716.20,1269
2026-04-27T12:00:00+05:30,716.00,716.45,715.75,716.05,2189
2026-04-27T12:05:00+05:30,716.10,716.65,716.00,716.00,1689
2026-04-27T12:10:00+05:30,716.15,716.40,715.20,715.85,1262
2026-04-27T12:15:00+05:30,715.50,715.95,715.25,715.80,1071
2026-04-27T12:20:00+05:30,715.40,718.50,715.10,717.75,7215
2026-04-27T12:25:00+05:30,719.00,719.00,717.65,718.20,11409
2026-04-27T12:30:00+05:30,718.15,718.80,718.00,718.15,5566
2026-04-27T12:35:00+05:30,718.15,718.75,717.60,717.60,1538
2026-04-27T12:40:00+05:30,717.60,717.60,716.20,716.95,4086
