ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,1528.70,1536.00,1523.70,1525.60,0
2026-04-27T09:20:00+05:30,1527.50,1535.30,1526.20,1533.30,7073
2026-04-27T09:25:00+05:30,1533.50,1544.60,1530.20,1543.40,10939
2026-04-27T09:30:00+05:30,1544.60,1546.40,1538.20,1539.40,8256
2026-04-27T09:35:00+05:30,1539.20,1545.30,1537.10,1537.70,6253
2026-04-27T09:40:00+05:30,1539.00,1539.00,1531.50,1537.70,9721
2026-04-27T09:45:00+05:30,1537.30,1537.70,1534.20,1536.90,2505
2026-04-27T09:50:00+05:30,1536.40,1537.80,1534.80,1535.70,3482
2026-04-27T09:55:00+05:30,1535.30,1536.30,1532.40,1535.80,3532
2026-04-27T10:00:00+05:30,1535.30,1536.20,1531.00,1531.10,2919
2026-04-27T10:05:00+05:30,1531.10,1531.90,1529.20,1530.70,3259
2026-04-27T10:10:00+05:30,1530.70,1531.40,1528.00,1528.40,3503
2026-04-27T10:15:00+05:30,1531.70,1533.80,1530.40,1531.40,3370
2026-04-27T10:20:00+05:30,1532.50,1533.00,1531.10,1532.60,1421
2026-04-27T10:25:00+05:30,1533.00,1534.00,1531.50,1531.50,7409
2026-04-27T10:30:00+05:30,1532.10,1532.60,1530.40,1531.90,1530
2026-04-27T10:35:00+05:30,1532.20,1532.30,1530.40,1531.40,1715
2026-04-27T10:40:00+05:30,1531.50,1534.10,1530.10,1533.90,1655
2026-04-27T10:45:00+05:30,1534.10,1538.30,1534.10,1538.20,3660
2026-04-27T10:50:00+05:30,1539.00,1539.00,1537.10,1537.40,2817
2026-04-27T10:55:00+05:30,1537.40,1537.40,1534.50,1535.00,2986
2026-04-27T11:00:00+05:30,1535.40,1535.60,1530.50,1534.20,4199
2026-04-27T11:05:00+05:30,1534.20,1534.60,1533.20,1534.00,1308
2026-04-27T11:10:00+05:30,1534.10,1534.60,1533.60,1534.40,1063
2026-04-27T11:15:00+05:30,1534.40,1535.00,1534.00,1534.90,1028
2026-04-27T11:20:00+05:30,1534.90,1534.90,1532.90,1533.30,1684
2026-04-27T11:25:00+05:30,1533.10,1533.70,1532.50,1533.50,1760
2026-04-27T11:30:00+05:30,1533.70,1534.30,1526.00,1526.80,5785
2026-04-27T11:35:00+05:30,1528.10,1528.10,1525.30,1527.00,1569
2026-04-27T11:40:00+05:30,1527.10,1527.40,1526.60,1527.00,1530
2026-04-27T11:45:00+05:30,1526.60,1527.40,1526.00,1527.40,1388
2026-04-27T11:50:00+05:30,1527.40,1528.20,1526.10,1526.80,1123
2026-04-27T11:55:00+05:30,1527.00,1528.50,1526.30,1528.50,1131
2026-04-27T12:00:00+05:30,1527.70,1528.20,1526.10,1526.60,1501
2026-04-27T12:05:00+05:30,1526.50,1527.20,1526.10,1526.10,1273
2026-04-27T12:10:00+05:30,1526.60,1527.20,1526.10,1526.90,721
2026-04-27T12:15:00+05:30,1526.90,1527.20,1526.10,1526.80,938
2026-04-27T12:20:00+05:30,1526.60,1530.00,1525.40,1529.50,1985
2026-04-27T12:25:00+05:30,1529.50,1530.00,1528.90,1529.70,867
2026-04-27T12:30:00+05:30,1529.30,1531.00,1529.00,1530.90,2709
2026-04-27T12:35:00+05:30,1531.00,1531.80,1530.00,1530.80,3428
2026-04-27T12:40:00+05:30,1532.70,1534.50,1526.20,1526.20,9508
2026-04-27T12:45:00+05:30,1527.10,1528.70,1526.00,1528.70,1416
2026-04-27T12:50:00+05:30,1528.30,1528.70,1521.10,1522.40,5810
2026-04-27T12:55:00+05:30,1522.40,1523.80,1518.80,1518.80,4849
2026-04-27T13:00:00+05:30,1519.60,1524.10,1518.80,1520.40,36910
2026-04-27T13:05:00+05:30,1521.70,1523.00,1520.10,1523.00,13041
2026-04-27T13:10:00+05:30,1522.60,1526.50,1520.00,1526.50,15182
