ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,1167.70,1180.80,1167.70,1175.70,0
2026-04-27T09:20:00+05:30,1178.50,1179.00,1175.00,1176.90,19389
2026-04-27T09:25:00+05:30,1177.10,1179.90,1177.10,1179.80,15212
2026-04-27T09:30:00+05:30,1180.30,1183.90,1178.20,1178.80,18297
2026-04-27T09:35:00+05:30,1178.90,1181.90,1178.80,1178.80,13742
2026-04-27T09:40:00+05:30,1179.00,1179.10,1176.60,1178.50,15179
2026-04-27T09:45:00+05:30,1178.90,1181.50,1178.90,1180.40,8364
2026-04-27T09:50:00+05:30,1180.00,1181.90,1178.50,1179.80,6310
2026-04-27T09:55:00+05:30,1180.20,1181.00,1179.00,1179.00,6080
2026-04-27T10:00:00+05:30,1179.30,1180.10,1177.00,1177.40,5684
2026-04-27T10:05:00+05:30,1177.00,1177.40,1172.40,1174.20,18414
2026-04-27T10:10:00+05:30,1174.00,1176.40,1174.00,1175.50,6392
2026-04-27T10:15:00+05:30,1176.30,1178.70,1176.20,1177.00,3839
2026-04-27T10:20:00+05:30,1176.70,1176.90,1174.20,1175.10,3782
2026-04-27T10:25:00+05:30,1174.90,1175.20,1171.30,1173.00,9101
2026-04-27T10:30:00+05:30,1172.80,1173.60,1171.10,1171.90,12162
2026-04-27T10:35:00+05:30,1171.30,1172.50,1171.00,1172.50,6331
2026-04-27T10:40:00+05:30,1172.70,1174.30,1172.30,1174.20,6142
2026-04-27T10:45:00+05:30,1174.40,1175.50,1172.00,1175.50,6451
2026-04-27T10:50:00+05:30,1175.20,1177.40,1175.20,1176.70,5842
2026-04-27T10:55:00+05:30,1176.80,1177.20,1173.80,1174.00,8081
2026-04-27T11:00:00+05:30,1174.00,1174.60,1173.10,1174.60,6187
2026-04-27T11:05:00+05:30,1174.40,1174.50,1170.60,1171.00,7634
2026-04-27T11:10:00+05:30,1170.90,1172.80,1170.90,1171.90,4654
2026-04-27T11:15:00+05:30,1171.20,1172.50,1170.20,1170.30,6664
2026-04-27T11:20:00+05:30,1170.60,1170.60,1169.00,1170.00,6273
2026-04-27T11:25:00+05:30,1170.00,1170.20,1168.30,1168.50,8484
2026-04-27T11:30:00+05:30,1168.50,1168.50,1165.80,1166.70,13679
2026-04-27T11:35:00+05:30,1166.70,1168.10,1165.70,1166.70,14500
2026-04-27T11:40:00+05:30,1166.70,1168.10,1166.70,1167.30,9503
2026-04-27T11:45:00+05:30,1167.10,1167.50,1165.80,1167.50,6712
2026-04-27T11:50:00+05:30,1167.50,1168.70,1166.00,1168.70,5185
2026-04-27T11:55:00+05:30,1168.40,1168.70,1166.50,1167.90,4883
2026-04-27T12:00:00+05:30,1167.70,1169.30,1167.30,1167.70,6987
2026-04-27T12:05:00+05:30,1167.70,1168.80,1166.10,1166.30,5354
2026-04-27T12:10:00+05:30,1166.30,1166.60,1165.70,1165.70,5622
2026-04-27T12:15:00+05:30,1165.70,1166.20,1165.30,1165.60,6427
2026-04-27T12:20:00+05:30,1165.60,1165.60,1163.00,1165.00,9436
2026-04-27T12:25:00+05:30,1164.80,1167.40,1164.70,1166.50,6377
2026-04-27T12:30:00+05:30,1166.50,1168.00,1166.50,1167.50,5983
2026-04-27T12:35:00+05:30,1167.50,1168.10,1166.80,1167.00,6497
2026-04-27T12:40:00+05:30,1167.00,1167.60,1166.40,1166.90,10652
2026-04-27T12:45:00+05:30,1166.80,1166.90,1166.00,1166.90,5502
2026-04-27T12:50:00+05:30,1166.60,1166.90,1165.10,1166.00,9160
2026-04-27T12:55:00+05:30,1165.90,1167.50,1165.40,1166.40,6703
2026-04-27T13:00:00+05:30,1166.10,1166.30,1164.90,1165.30,8789
2026-04-27T13:05:00+05:30,1164.90,1165.20,1163.00,1164.10,9004
2026-04-27T13:10:00+05:30,1164.00,1166.10,1163.80,1165.60,8125
2026-04-27T13:15:00+05:30,1165.70,1167.30,1165.70,1166.60,10874
2026-04-27T13:20:00+05:30,1166.60,1167.00,1166.00,1166.30,5186
2026-04-27T13:25:00+05:30,1166.20,1166.90,1165.30,1165.30,10872
2026-04-27T13:30:00+05:30,1165.30,1165.70,1163.20,1163.40,7557
2026-04-27T13:35:00+05:30,1163.50,1164.00,1163.30,1163.90,6158
2026-04-27T13:40:00+05:30,1163.90,1164.10,1163.20,1163.60,5039
2026-04-27T13:45:00+05:30,1165.50,1166.50,1163.00,1163.00,20643
2026-04-27T13:50:00+05:30,1163.00,1164.10,1162.00,1162.90,15453
2026-04-27T13:55:00+05:30,1162.80,1164.20,1162.80,1163.80,10907
2026-04-27T14:00:00+05:30,1163.60,1164.20,1162.40,1163.30,20075
2026-04-27T14:05:00+05:30,1163.30,1163.90,1163.00,1163.30,6655
2026-04-27T14:10:00+05:30,1163.40,1163.90,1162.50,1163.40,19755
2026-04-27T14:15:00+05:30,1163.20,1164.80,1162.90,1163.90,9475
2026-04-27T14:20:00+05:30,1163.30,1163.40,1162.10,1162.40,7264
2026-04-27T14:25:00+05:30,1162.10,1163.70,1161.70,1163.60,12721
2026-04-27T14:30:00+05:30,1163.30,1164.00,1161.40,1161.80,11970
2026-04-27T14:35:00+05:30,1161.70,1164.00,1161.20,1163.00,13422
2026-04-27T14:40:00+05:30,1162.90,1164.00,1162.30,1163.50,8586
