ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,211.00,213.50,211.00,213.15,0
2026-04-27T09:20:00+05:30,213.10,213.90,213.10,213.60,1004828
2026-04-27T09:25:00+05:30,213.50,214.00,213.50,213.95,948622
2026-04-27T09:30:00+05:30,214.20,214.20,213.40,213.45,814341
2026-04-27T09:35:00+05:30,213.50,213.70,213.30,213.40,368985
2026-04-27T09:40:00+05:30,213.45,213.55,213.10,213.50,246274
2026-04-27T09:45:00+05:30,213.50,213.90,213.50,213.80,219559
2026-04-27T09:50:00+05:30,213.75,214.00,213.75,213.85,590443
2026-04-27T09:55:00+05:30,213.85,213.95,213.75,213.80,165945
2026-04-27T10:00:00+05:30,213.80,213.80,213.55,213.60,152229
2026-04-27T10:05:00+05:30,213.55,213.85,213.55,213.80,168666
2026-04-27T10:10:00+05:30,213.70,213.80,213.50,213.50,202607
2026-04-27T10:15:00+05:30,213.55,214.15,213.55,214.15,526891
2026-04-27T10:20:00+05:30,214.15,214.30,213.95,214.20,476042
2026-04-27T10:25:00+05:30,214.20,214.40,213.95,214.40,521085
2026-04-27T10:30:00+05:30,214.40,214.45,213.85,213.90,270659
2026-04-27T10:35:00+05:30,213.90,213.90,213.55,213.90,232616
2026-04-27T10:40:00+05:30,213.90,214.75,213.85,214.75,521900
2026-04-27T10:45:00+05:30,214.75,214.90,214.60,214.80,374012
2026-04-27T10:50:00+05:30,214.80,214.85,214.45,214.45,155381
2026-04-27T10:55:00+05:30,214.50,214.50,214.15,214.35,201910
2026-04-27T11:00:00+05:30,214.35,214.35,214.15,214.30,88791
2026-04-27T11:05:00+05:30,214.30,214.60,214.25,214.50,433233
2026-04-27T11:10:00+05:30,214.50,214.75,214.50,214.55,616721
2026-04-27T11:15:00+05:30,214.50,214.80,214.50,214.75,275379
2026-04-27T11:20:00+05:30,214.75,214.90,214.55,214.85,586083
2026-04-27T11:25:00+05:30,214.85,214.85,214.60,214.65,99580
2026-04-27T11:30:00+05:30,214.65,214.65,213.70,213.75,276104
2026-04-27T11:35:00+05:30,213.80,213.80,213.45,213.55,674885
2026-04-27T11:40:00+05:30,213.55,213.60,212.85,212.90,1038385
2026-04-27T11:45:00+05:30,212.90,213.10,212.55,213.00,341130
2026-04-27T11:50:00+05:30,213.00,213.30,212.80,213.25,198611
2026-04-27T11:55:00+05:30,213.20,213.55,213.15,213.45,164841
2026-04-27T12:00:00+05:30,213.50,213.50,212.90,213.05,267325
2026-04-27T12:05:00+05:30,213.05,213.30,212.90,213.25,128597
2026-04-27T12:10:00+05:30,213.25,213.40,213.20,213.35,142438
2026-04-27T12:15:00+05:30,213.35,213.75,213.30,213.75,147123
2026-04-27T12:20:00+05:30,213.75,213.75,213.45,213.45,175157
2026-04-27T12:25:00+05:30,213.55,214.00,213.45,213.85,437607
2026-04-27T12:30:00+05:30,213.80,214.10,213.80,214.00,407709
2026-04-27T12:35:00+05:30,214.00,214.00,213.70,213.70,224268
2026-04-27T12:40:00+05:30,213.80,214.05,213.70,214.05,147977
2026-04-27T12:45:00+05:30,214.00,214.00,213.85,213.95,87310
2026-04-27T12:50:00+05:30,213.95,214.10,213.90,213.90,170623
2026-04-27T12:55:00+05:30,214.00,214.00,213.80,213.85,156340
2026-04-27T13:00:00+05:30,213.90,213.90,213.80,213.85,84354
2026-04-27T13:05:00+05:30,213.85,213.95,213.80,213.95,94501
2026-04-27T13:10:00+05:30,213.95,214.00,213.90,214.00,229935
2026-04-27T13:15:00+05:30,214.00,214.00,213.90,213.95,124498
2026-04-27T13:20:00+05:30,213.95,214.05,213.85,214.05,299996
2026-04-27T13:25:00+05:30,214.05,214.20,214.00,214.15,991992
2026-04-27T13:30:00+05:30,214.20,214.20,213.95,214.05,186609
2026-04-27T13:35:00+05:30,214.10,214.25,214.05,214.10,295272
2026-04-27T13:40:00+05:30,214.20,214.35,214.10,214.25,658600
2026-04-27T13:45:00+05:30,214.25,214.30,213.90,213.95,266753
2026-04-27T13:50:00+05:30,213.95,213.95,213.60,213.95,694776
2026-04-27T13:55:00+05:30,213.95,214.00,213.85,213.90,160764
2026-04-27T14:00:00+05:30,213.90,214.05,213.85,214.00,194363
2026-04-27T14:05:00+05:30,214.00,214.15,213.90,214.00,128477
2026-04-27T14:10:00+05:30,214.00,214.20,213.95,213.95,236248
2026-04-27T14:15:00+05:30,214.00,214.10,213.90,214.00,339340
2026-04-27T14:20:00+05:30,214.00,214.10,213.95,214.05,164912
2026-04-27T14:25:00+05:30,213.95,214.10,213.90,213.95,356599
2026-04-27T14:30:00+05:30,213.95,214.05,213.90,213.90,345481
2026-04-27T14:35:00+05:30,214.00,214.00,213.85,213.95,412142
2026-04-27T14:40:00+05:30,213.90,214.00,213.60,213.95,1270735
2026-04-27T14:45:00+05:30,213.95,214.00,213.90,214.00,324089
2026-04-27T14:50:00+05:30,214.00,214.05,213.80,213.95,690705
2026-04-27T14:55:00+05:30,214.00,214.05,213.90,213.95,565542
