ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,2398.00,2420.00,2398.00,2415.40,0
2026-04-27T09:20:00+05:30,2415.40,2427.70,2415.00,2424.50,192200
2026-04-27T09:25:00+05:30,2424.20,2427.60,2422.00,2423.20,106307
2026-04-27T09:30:00+05:30,2423.10,2428.00,2419.00,2419.70,91944
2026-04-27T09:35:00+05:30,2419.60,2422.70,2415.50,2416.40,91941
2026-04-27T09:40:00+05:30,2416.70,2429.90,2416.70,2428.80,89001
2026-04-27T09:45:00+05:30,2428.80,2435.00,2428.60,2434.90,106230
2026-04-27T09:50:00+05:30,2434.90,2438.80,2431.10,2435.70,85894
2026-04-27T09:55:00+05:30,2435.90,2437.20,2430.00,2430.20,61385
2026-04-27T10:00:00+05:30,2430.00,2430.20,2426.50,2426.60,56047
2026-04-27T10:05:00+05:30,2425.70,2426.50,2424.20,2424.30,46479
2026-04-27T10:10:00+05:30,2424.30,2429.40,2424.30,2427.50,49375
2026-04-27T10:15:00+05:30,2427.50,2436.30,2427.10,2434.80,53033
2026-04-27T10:20:00+05:30,2434.40,2436.50,2433.10,2436.50,46195
2026-04-27T10:25:00+05:30,2436.30,2438.30,2435.20,2436.60,36246
2026-04-27T10:30:00+05:30,2436.60,2437.50,2432.10,2433.90,36159
2026-04-27T10:35:00+05:30,2434.20,2439.90,2433.90,2435.30,61500
2026-04-27T10:40:00+05:30,2435.30,2435.90,2431.40,2434.80,65429
2026-04-27T10:45:00+05:30,2434.80,2437.00,2434.30,2437.00,42456
2026-04-27T10:50:00+05:30,2436.70,2438.90,2435.40,2436.50,40534
2026-04-27T10:55:00+05:30,2436.50,2437.00,2434.90,2436.30,33709
2026-04-27T11:00:00+05:30,2435.60,2445.80,2435.60,2442.20,96006
2026-04-27T11:05:00+05:30,2442.20,2442.20,2435.00,2436.90,55235
2026-04-27T11:10:00+05:30,2437.00,2442.00,2435.90,2440.00,42075
2026-04-27T11:15:00+05:30,2440.00,2442.80,2439.60,2441.30,51845
2026-04-27T11:20:00+05:30,2441.50,2441.50,2435.20,2438.50,61002
2026-04-27T11:25:00+05:30,2438.50,2438.50,2434.20,2435.20,53776
2026-04-27T11:30:00+05:30,2435.40,2436.60,2433.00,2435.10,73095
2026-04-27T11:35:00+05:30,2435.00,2435.10,2430.80,2432.60,75430
2026-04-27T11:40:00+05:30,2432.80,2439.00,2431.70,2438.40,154701
2026-04-27T11:45:00+05:30,2438.40,2439.90,2434.00,2438.70,48898
2026-04-27T11:50:00+05:30,2438.70,2441.90,2437.10,2441.90,56378
2026-04-27T11:55:00+05:30,2441.90,2443.80,2441.80,2443.10,48455
2026-04-27T12:00:00+05:30,2443.10,2445.00,2442.80,2443.10,57045
2026-04-27T12:05:00+05:30,2443.20,2448.70,2443.20,2448.50,69078
2026-04-27T12:10:00+05:30,2448.40,2450.90,2448.30,2449.40,82015
2026-04-27T12:15:00+05:30,2449.90,2450.00,2448.80,2449.90,48828
2026-04-27T12:20:00+05:30,2449.90,2452.00,2446.50,2451.20,77167
2026-04-27T12:25:00+05:30,2450.90,2450.90,2449.10,2450.40,39673
2026-04-27T12:30:00+05:30,2450.50,2451.40,2448.40,2448.40,64471
2026-04-27T12:35:00+05:30,2447.70,2450.40,2446.90,2448.40,55621
2026-04-27T12:40:00+05:30,2448.00,2449.00,2444.70,2448.70,37359
2026-04-27T12:45:00+05:30,2448.70,2450.90,2448.10,2449.00,45744
2026-04-27T12:50:00+05:30,2449.10,2451.40,2448.70,2449.30,50872
2026-04-27T12:55:00+05:30,2449.40,2450.20,2448.30,2448.90,40962
2026-04-27T13:00:00+05:30,2448.90,2450.90,2448.80,2450.10,70989
2026-04-27T13:05:00+05:30,2450.10,2450.10,2447.00,2449.30,45955
2026-04-27T13:10:00+05:30,2449.20,2449.90,2446.20,2448.60,47894
2026-04-27T13:15:00+05:30,2448.80,2450.00,2443.60,2444.20,72398
2026-04-27T13:20:00+05:30,2444.40,2446.00,2442.60,2444.60,52480
2026-04-27T13:25:00+05:30,2444.50,2446.50,2444.30,2445.20,59075
2026-04-27T13:30:00+05:30,2445.40,2446.90,2444.70,2446.10,53990
2026-04-27T13:35:00+05:30,2446.00,2447.90,2445.00,2447.30,62378
2026-04-27T13:40:00+05:30,2447.50,2449.20,2444.30,2444.70,54006
2026-04-27T13:45:00+05:30,2444.80,2447.60,2443.00,2443.40,57151
2026-04-27T13:50:00+05:30,2443.20,2446.20,2442.40,2446.10,41429
2026-04-27T13:55:00+05:30,2446.10,2447.00,2444.50,2446.40,49019
2026-04-27T14:00:00+05:30,2446.40,2448.00,2445.90,2447.50,47563
2026-04-27T14:05:00+05:30,2447.50,2448.40,2444.80,2447.70,46055
2026-04-27T14:10:00+05:30,2447.70,2448.90,2446.10,2447.70,74316
2026-04-27T14:15:00+05:30,2447.60,2448.00,2445.40,2447.00,47676
2026-04-27T14:20:00+05:30,2446.80,2446.80,2443.20,2443.20,35287
2026-04-27T14:25:00+05:30,2442.70,2444.20,2440.90,2443.70,58975
2026-04-27T14:30:00+05:30,2443.70,2445.70,2442.60,2444.20,161880
2026-04-27T14:35:00+05:30,2444.00,2457.20,2443.30,2454.60,149861
2026-04-27T14:40:00+05:30,2454.90,2459.00,2453.30,2454.60,157645
2026-04-27T14:45:00+05:30,2454.50,2457.00,2450.80,2451.20,84188
2026-04-27T14:50:00+05:30,2451.20,2452.00,2449.20,2450.20,121535
2026-04-27T14:55:00+05:30,2450.20,2451.00,2448.50,2450.10,50833
