ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,1362.00,1376.40,1362.00,1373.60,0
2026-04-27T09:20:00+05:30,1373.60,1382.00,1373.60,1379.10,37432
2026-04-27T09:25:00+05:30,1378.90,1384.20,1378.30,1379.50,39815
2026-04-27T09:30:00+05:30,1379.70,1382.00,1376.50,1377.30,23106
2026-04-27T09:35:00+05:30,1377.70,1380.10,1375.50,1378.90,18648
2026-04-27T09:40:00+05:30,1379.40,1387.00,1379.10,1387.00,33618
2026-04-27T09:45:00+05:30,1387.90,1389.70,1385.50,1386.70,26972
2026-04-27T09:50:00+05:30,1386.90,1389.80,1384.50,1386.20,27988
2026-04-27T09:55:00+05:30,1386.20,1386.50,1382.60,1384.70,32681
2026-04-27T10:00:00+05:30,1384.30,1385.20,1380.10,1382.50,60436
2026-04-27T10:05:00+05:30,1382.30,1385.20,1381.00,1381.00,26585
2026-04-27T10:10:00+05:30,1381.50,1387.40,1380.80,1387.40,26233
2026-04-27T10:15:00+05:30,1388.70,1392.60,1388.60,1391.20,32345
2026-04-27T10:20:00+05:30,1390.60,1391.80,1389.10,1390.50,21866
2026-04-27T10:25:00+05:30,1390.20,1391.50,1389.20,1389.90,17350
2026-04-27T10:30:00+05:30,1389.80,1391.00,1387.60,1390.90,25866
2026-04-27T10:35:00+05:30,1390.50,1393.40,1390.50,1391.20,24099
2026-04-27T10:40:00+05:30,1391.20,1394.40,1389.70,1391.00,22359
2026-04-27T10:45:00+05:30,1390.80,1391.90,1389.00,1391.90,15736
2026-04-27T10:50:00+05:30,1391.70,1395.00,1391.70,1395.00,13185
2026-04-27T10:55:00+05:30,1395.00,1395.90,1393.60,1394.60,13940
2026-04-27T11:00:00+05:30,1394.50,1395.70,1391.00,1391.30,21484
2026-04-27T11:05:00+05:30,1391.30,1391.30,1386.10,1387.60,26174
2026-04-27T11:10:00+05:30,1387.60,1393.00,1387.60,1391.80,15577
2026-04-27T11:15:00+05:30,1391.80,1393.60,1391.80,1393.60,9043
2026-04-27T11:20:00+05:30,1393.60,1393.60,1389.60,1391.20,25780
2026-04-27T11:25:00+05:30,1391.00,1392.10,1389.70,1391.10,17045
2026-04-27T11:30:00+05:30,1391.10,1391.60,1385.40,1386.50,34622
2026-04-27T11:35:00+05:30,1386.30,1387.10,1384.80,1385.10,33974
2026-04-27T11:40:00+05:30,1385.10,1386.10,1382.60,1385.20,43143
2026-04-27T11:45:00+05:30,1385.20,1386.00,1382.60,1383.00,17769
2026-04-27T11:50:00+05:30,1383.00,1383.70,1381.20,1383.70,12976
2026-04-27T11:55:00+05:30,1384.00,1387.70,1384.00,1386.60,14731
2026-04-27T12:00:00+05:30,1386.60,1386.80,1380.60,1382.10,116517
2026-04-27T12:05:00+05:30,1382.50,1386.00,1382.50,1385.80,12898
2026-04-27T12:10:00+05:30,1385.80,1387.30,1385.80,1387.30,8937
2026-04-27T12:15:00+05:30,1387.20,1388.70,1387.10,1388.70,10777
2026-04-27T12:20:00+05:30,1388.70,1389.20,1386.80,1388.60,12943
2026-04-27T12:25:00+05:30,1388.60,1388.90,1386.70,1386.70,7865
2026-04-27T12:30:00+05:30,1387.00,1388.50,1386.10,1387.50,9328
2026-04-27T12:35:00+05:30,1387.50,1389.30,1387.30,1387.40,9064
2026-04-27T12:40:00+05:30,1387.50,1388.90,1387.00,1388.40,8000
2026-04-27T12:45:00+05:30,1388.60,1388.60,1383.90,1385.00,8561
2026-04-27T12:50:00+05:30,1384.80,1386.40,1383.70,1386.40,11898
2026-04-27T12:55:00+05:30,1386.40,1389.00,1386.20,1388.40,9258
2026-04-27T13:00:00+05:30,1388.30,1389.50,1388.00,1389.20,6858
2026-04-27T13:05:00+05:30,1389.20,1389.80,1386.40,1386.60,10953
2026-04-27T13:10:00+05:30,1386.80,1388.50,1386.60,1388.30,9104
2026-04-27T13:15:00+05:30,1387.60,1390.10,1387.60,1388.20,10893
2026-04-27T13:20:00+05:30,1388.00,1389.60,1387.70,1388.70,8238
2026-04-27T13:25:00+05:30,1388.60,1389.90,1388.40,1389.00,9610
2026-04-27T13:30:00+05:30,1388.80,1392.00,1388.80,1392.00,24324
2026-04-27T13:35:00+05:30,1391.80,1392.90,1391.40,1391.90,12538
2026-04-27T13:40:00+05:30,1392.00,1392.60,1391.30,1391.70,12030
2026-04-27T13:45:00+05:30,1391.70,1392.60,1390.50,1391.40,8947
2026-04-27T13:50:00+05:30,1391.20,1391.50,1387.50,1388.00,28359
2026-04-27T13:55:00+05:30,1388.00,1390.40,1388.00,1389.80,12830
2026-04-27T14:00:00+05:30,1389.60,1393.50,1389.60,1393.50,26589
2026-04-27T14:05:00+05:30,1393.30,1396.40,1393.20,1396.30,22240
2026-04-27T14:10:00+05:30,1396.50,1398.50,1396.50,1397.70,27022
2026-04-27T14:15:00+05:30,1397.70,1397.90,1396.00,1396.10,18327
2026-04-27T14:20:00+05:30,1396.30,1397.00,1395.90,1396.50,21716
2026-04-27T14:25:00+05:30,1396.40,1396.90,1395.70,1396.90,17776
2026-04-27T14:30:00+05:30,1396.60,1397.70,1395.80,1396.00,18179
2026-04-27T14:35:00+05:30,1396.00,1400.50,1396.00,1398.50,30161
2026-04-27T14:40:00+05:30,1398.50,1399.30,1397.30,1398.70,15644
2026-04-27T14:45:00+05:30,1398.40,1398.60,1395.50,1396.80,18752
2026-04-27T14:50:00+05:30,1396.80,1397.20,1396.40,1396.40,13113
2026-04-27T14:55:00+05:30,1396.40,1396.60,1395.90,1396.00,14500
2026-04-27T15:00:00+05:30,1396.00,1397.40,1395.60,1397.20,37186
2026-04-27T15:05:00+05:30,1397.10,1397.30,1396.20,1396.70,28334
2026-04-27T15:10:00+05:30,1396.70,1397.30,1395.20,1397.00,38551
2026-04-27T15:15:00+05:30,1397.30,1397.80,1395.40,1395.70,38983
2026-04-27T15:20:00+05:30,1395.80,1396.90,1395.00,1395.50,69275
2026-04-27T15:25:00+05:30,1395.70,1398.00,1395.00,1396.10,58772
2026-04-28T09:15:00+05:30,1392.00,1401.00,1384.80,1399.50,0
2026-04-28T09:20:00+05:30,1399.50,1401.40,1397.90,1400.70,79982
2026-04-28T09:25:00+05:30,1400.70,1405.00,1400.70,1403.50,30017
2026-04-28T09:30:00+05:30,1403.10,1403.10,1395.00,1395.00,21064
2026-04-28T09:35:00+05:30,1395.30,1397.50,1395.10,1395.80,12542
2026-04-28T09:40:00+05:30,1395.00,1397.00,1394.40,1395.40,14242
2026-04-28T09:45:00+05:30,1396.00,1397.50,1391.40,1391.40,25513
2026-04-28T09:50:00+05:30,1392.10,1395.00,1392.10,1394.00,14960
