ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,4431.00,4461.50,4431.00,4453.80,0
2026-04-27T09:20:00+05:30,4454.90,4462.90,4450.00,4452.20,14543
2026-04-27T09:25:00+05:30,4451.40,4453.60,4442.80,4446.90,8087
2026-04-27T09:30:00+05:30,4446.50,4449.90,4430.00,4431.00,5383
2026-04-27T09:35:00+05:30,4431.80,4436.60,4425.00,4427.20,5261
2026-04-27T09:40:00+05:30,4430.90,4433.90,4425.30,4433.10,7048
2026-04-27T09:45:00+05:30,4432.00,4435.40,4429.30,4434.20,3977
2026-04-27T09:50:00+05:30,4434.00,4436.10,4428.20,4428.20,3467
2026-04-27T09:55:00+05:30,4428.20,4429.30,4420.00,4425.00,6116
2026-04-27T10:00:00+05:30,4425.00,4425.50,4417.10,4417.10,3054
2026-04-27T10:05:00+05:30,4417.10,4421.40,4415.20,4417.10,3689
2026-04-27T10:10:00+05:30,4413.60,4413.60,4396.50,4399.00,18158
2026-04-27T10:15:00+05:30,4399.00,4412.00,4399.00,4411.90,4440
2026-04-27T10:20:00+05:30,4412.00,4412.50,4394.30,4403.30,5484
2026-04-27T10:25:00+05:30,4403.40,4404.70,4400.00,4401.00,2686
2026-04-27T10:30:00+05:30,4401.00,4402.10,4388.40,4396.10,12681
2026-04-27T10:35:00+05:30,4396.50,4396.50,4390.00,4391.50,3687
2026-04-27T10:40:00+05:30,4392.00,4399.90,4392.00,4397.10,5091
2026-04-27T10:45:00+05:30,4398.80,4405.60,4395.30,4403.40,4326
2026-04-27T10:50:00+05:30,4403.80,4413.50,4402.20,4407.00,5865
2026-04-27T10:55:00+05:30,4407.00,4410.80,4404.40,4404.40,3569
2026-04-27T11:00:00+05:30,4406.00,4408.40,4403.20,4407.20,4249
2026-04-27T11:05:00+05:30,4407.00,4410.00,4402.90,4404.20,4005
2026-04-27T11:10:00+05:30,4404.60,4411.00,4404.50,4408.80,5629
2026-04-27T11:15:00+05:30,4408.80,4415.00,4406.70,4410.20,12742
2026-04-27T11:20:00+05:30,4411.60,4420.00,4410.00,4417.80,7312
2026-04-27T11:25:00+05:30,4417.30,4419.50,4416.00,4419.50,2366
2026-04-27T11:30:00+05:30,4419.50,4420.00,4407.00,4408.30,4846
2026-04-27T11:35:00+05:30,4407.40,4412.00,4401.20,4409.80,10071
2026-04-27T11:40:00+05:30,4409.90,4410.00,4405.80,4409.80,6531
2026-04-27T11:45:00+05:30,4409.00,4415.20,4405.40,4415.20,13704
2026-04-27T11:50:00+05:30,4414.80,4419.00,4413.00,4418.60,3797
2026-04-27T11:55:00+05:30,4418.60,4427.30,4413.20,4426.60,8229
2026-04-27T12:00:00+05:30,4426.60,4426.80,4423.10,4424.20,3759
2026-04-27T12:05:00+05:30,4424.20,4424.70,4420.60,4422.50,2866
2026-04-27T12:10:00+05:30,4422.40,4426.00,4421.90,4426.00,3275
2026-04-27T12:15:00+05:30,4425.90,4426.00,4421.00,4423.60,4430
2026-04-27T12:20:00+05:30,4422.50,4423.50,4419.80,4422.70,3058
2026-04-27T12:25:00+05:30,4422.70,4435.90,4421.40,4434.00,9041
2026-04-27T12:30:00+05:30,4434.00,4441.20,4433.10,4441.00,5683
