ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,4125.00,4167.40,4124.90,4157.20,0
2026-04-27T09:20:00+05:30,4163.20,4174.40,4163.20,4167.30,5024
2026-04-27T09:25:00+05:30,4166.50,4166.50,4150.10,4153.20,4234
2026-04-27T09:30:00+05:30,4154.30,4158.80,4149.30,4149.30,2661
2026-04-27T09:35:00+05:30,4149.80,4174.80,4149.80,4174.20,3194
2026-04-27T09:40:00+05:30,4174.50,4197.70,4174.50,4195.00,19265
2026-04-27T09:45:00+05:30,4195.70,4205.00,4193.30,4201.50,8727
2026-04-27T09:50:00+05:30,4198.10,4199.30,4188.00,4195.10,7620
2026-04-27T09:55:00+05:30,4194.30,4198.50,4185.60,4187.30,3058
2026-04-27T10:00:00+05:30,4186.80,4193.50,4185.00,4191.00,1667
2026-04-27T10:05:00+05:30,4191.00,4191.30,4181.60,4181.80,4925
2026-04-27T10:10:00+05:30,4181.70,4185.70,4172.60,4177.80,4548
2026-04-27T10:15:00+05:30,4176.00,4188.30,4176.00,4182.90,3009
2026-04-27T10:20:00+05:30,4182.90,4182.90,4175.00,4178.10,2437
2026-04-27T10:25:00+05:30,4177.20,4186.00,4177.20,4186.00,2674
2026-04-27T10:30:00+05:30,4186.00,4186.00,4181.90,4182.40,804
2026-04-27T10:35:00+05:30,4184.00,4185.00,4178.30,4183.60,4788
2026-04-27T10:40:00+05:30,4185.00,4189.90,4183.80,4187.90,2106
2026-04-27T10:45:00+05:30,4187.80,4195.00,4187.80,4193.80,4281
2026-04-27T10:50:00+05:30,4195.00,4197.20,4193.20,4197.20,1539
2026-04-27T10:55:00+05:30,4197.00,4197.80,4192.40,4195.60,2775
2026-04-27T11:00:00+05:30,4195.00,4209.20,4194.90,4206.20,6919
2026-04-27T11:05:00+05:30,4206.20,4209.60,4204.30,4208.50,7162
2026-04-27T11:10:00+05:30,4209.50,4210.00,4202.30,4210.00,3458
2026-04-27T11:15:00+05:30,4208.10,4212.90,4207.50,4207.70,3756
2026-04-27T11:20:00+05:30,4208.80,4211.90,4206.70,4211.60,2068
2026-04-27T11:25:00+05:30,4212.50,4219.40,4212.50,4215.50,4997
2026-04-27T11:30:00+05:30,4215.70,4218.30,4211.60,4211.60,3780
2026-04-27T11:35:00+05:30,4212.90,4215.00,4210.50,4213.70,3120
2026-04-27T11:40:00+05:30,4213.70,4216.20,4210.70,4212.10,2337
2026-04-27T11:45:00+05:30,4212.10,4219.00,4211.20,4217.70,2997
