ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,12137.00,12187.00,12122.00,12130.00,0
2026-04-27T09:20:00+05:30,12138.00,12140.00,12085.00,12140.00,7363
2026-04-27T09:25:00+05:30,12133.00,12155.00,12125.00,12141.00,4219
2026-04-27T09:30:00+05:30,12150.00,12238.00,12146.00,12164.00,9095
2026-04-27T09:35:00+05:30,12164.00,12211.00,12160.00,12194.00,3082
2026-04-27T09:40:00+05:30,12192.00,12213.00,12181.00,12213.00,2546
2026-04-27T09:45:00+05:30,12210.00,12233.00,12210.00,12221.00,3644
2026-04-27T09:50:00+05:30,12225.00,12234.00,12196.00,12208.00,3255
2026-04-27T09:55:00+05:30,12208.00,12215.00,12163.00,12163.00,3952
2026-04-27T10:00:00+05:30,12155.00,12163.00,12131.00,12140.00,2841
2026-04-27T10:05:00+05:30,12138.00,12141.00,12112.00,12129.00,1971
2026-04-27T10:10:00+05:30,12127.00,12144.00,12091.00,12096.00,7141
2026-04-27T10:15:00+05:30,12106.00,12126.00,12098.00,12117.00,3446
2026-04-27T10:20:00+05:30,12117.00,12135.00,12100.00,12133.00,3877
2026-04-27T10:25:00+05:30,12132.00,12134.00,12108.00,12127.00,2452
2026-04-27T10:30:00+05:30,12128.00,12136.00,12119.00,12135.00,1581
2026-04-27T10:35:00+05:30,12139.00,12139.00,12120.00,12138.00,1426
2026-04-27T10:40:00+05:30,12133.00,12149.00,12129.00,12130.00,1499
2026-04-27T10:45:00+05:30,12134.00,12145.00,12122.00,12145.00,3344
2026-04-27T10:50:00+05:30,12141.00,12155.00,12130.00,12155.00,1561
2026-04-27T10:55:00+05:30,12155.00,12169.00,12150.00,12155.00,1156
2026-04-27T11:00:00+05:30,12154.00,12155.00,12120.00,12136.00,2338
2026-04-27T11:05:00+05:30,12134.00,12141.00,12110.00,12110.00,4606
2026-04-27T11:10:00+05:30,12110.00,12138.00,12110.00,12136.00,1390
2026-04-27T11:15:00+05:30,12132.00,12154.00,12129.00,12151.00,992
2026-04-27T11:20:00+05:30,12151.00,12152.00,12132.00,12136.00,1190
2026-04-27T11:25:00+05:30,12136.00,12145.00,12121.00,12130.00,1177
2026-04-27T11:30:00+05:30,12130.00,12132.00,12110.00,12113.00,962
2026-04-27T11:35:00+05:30,12114.00,12115.00,12091.00,12099.00,2329
