ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,493.70,497.85,492.05,494.55,0
2026-04-27T09:20:00+05:30,494.55,498.00,494.50,497.20,295312
2026-04-27T09:25:00+05:30,497.20,497.20,492.75,493.85,471097
2026-04-27T09:30:00+05:30,494.15,495.85,493.90,495.20,110785
2026-04-27T09:35:00+05:30,495.00,497.30,495.00,496.80,204159
2026-04-27T09:40:00+05:30,496.75,497.65,496.45,497.35,244850
2026-04-27T09:45:00+05:30,497.75,500.00,497.10,498.10,405097
2026-04-27T09:50:00+05:30,498.05,499.55,497.65,499.00,237453
2026-04-27T09:55:00+05:30,498.20,498.55,497.20,497.70,107472
2026-04-27T10:00:00+05:30,497.75,497.75,496.15,496.65,115697
2026-04-27T10:05:00+05:30,496.55,496.80,494.65,495.85,137276
2026-04-27T10:10:00+05:30,496.00,496.55,495.20,495.90,53349
2026-04-27T10:15:00+05:30,495.80,496.95,495.80,496.45,49114
2026-04-27T10:20:00+05:30,496.30,496.40,495.50,495.70,55237
2026-04-27T10:25:00+05:30,495.55,495.65,495.10,495.15,68055
2026-04-27T10:30:00+05:30,495.05,495.25,493.70,494.60,85211
2026-04-27T10:35:00+05:30,494.60,494.60,493.50,494.20,56501
2026-04-27T10:40:00+05:30,494.05,495.15,494.00,494.90,41192
2026-04-27T10:45:00+05:30,494.90,496.15,494.75,496.00,44986
2026-04-27T10:50:00+05:30,496.00,496.60,495.80,496.40,58868
2026-04-27T10:55:00+05:30,496.35,498.10,496.05,497.80,85124
2026-04-27T11:00:00+05:30,497.90,498.40,496.80,497.00,76322
2026-04-27T11:05:00+05:30,497.00,497.40,496.80,497.35,42794
2026-04-27T11:10:00+05:30,497.35,497.60,496.70,496.90,26581
2026-04-27T11:15:00+05:30,496.90,497.40,496.55,496.80,62458
2026-04-27T11:20:00+05:30,496.75,497.10,495.90,497.00,58499
2026-04-27T11:25:00+05:30,497.00,497.10,496.25,496.60,45957
2026-04-27T11:30:00+05:30,496.80,497.15,496.60,496.90,81858
2026-04-27T11:35:00+05:30,496.80,498.35,496.55,498.05,100529
2026-04-27T11:40:00+05:30,497.95,498.00,496.60,497.00,70249
2026-04-27T11:45:00+05:30,496.90,497.25,496.50,497.10,45167
2026-04-27T11:50:00+05:30,497.10,497.15,495.85,496.90,101992
2026-04-27T11:55:00+05:30,497.30,497.65,496.95,497.35,61482
2026-04-27T12:00:00+05:30,497.15,500.45,489.50,492.25,2100166
2026-04-27T12:05:00+05:30,491.15,498.05,486.10,489.15,1612222
2026-04-27T12:10:00+05:30,489.65,495.00,488.70,490.60,1160772
2026-04-27T12:15:00+05:30,490.35,492.55,483.45,483.45,1178670
2026-04-27T12:20:00+05:30,483.30,488.15,480.10,487.00,980226
2026-04-27T12:25:00+05:30,487.00,497.00,487.00,496.70,1556592
2026-04-27T12:30:00+05:30,496.80,497.75,494.05,495.80,627287
2026-04-27T12:35:00+05:30,495.80,504.40,495.50,502.25,1448875
2026-04-27T12:40:00+05:30,501.95,504.90,499.00,504.05,1147520
2026-04-27T12:45:00+05:30,504.05,505.95,501.15,501.50,874632
2026-04-27T12:50:00+05:30,501.50,501.65,496.20,499.45,872760
2026-04-27T12:55:00+05:30,499.45,502.30,499.15,500.10,513459
2026-04-27T13:00:00+05:30,500.10,501.50,496.20,497.60,708102
2026-04-27T13:05:00+05:30,497.85,498.30,494.55,497.35,430939
2026-04-27T13:10:00+05:30,497.35,502.70,496.50,501.70,544302
2026-04-27T13:15:00+05:30,501.45,503.70,501.30,503.25,526559
2026-04-27T13:20:00+05:30,503.00,507.65,502.50,507.20,998995
2026-04-27T13:25:00+05:30,507.00,507.35,504.15,505.90,726904
2026-04-27T13:30:00+05:30,505.60,506.75,502.20,502.80,394637
2026-04-27T13:35:00+05:30,502.80,505.10,502.35,505.05,171871
2026-04-27T13:40:00+05:30,505.15,507.40,505.00,505.95,248504
2026-04-27T13:45:00+05:30,505.65,508.55,505.45,508.50,572036
2026-04-27T13:50:00+05:30,508.30,509.70,507.25,509.00,515676
2026-04-27T13:55:00+05:30,509.00,509.35,506.80,507.00,389789
2026-04-27T14:00:00+05:30,507.30,508.25,506.65,508.00,254724
2026-04-27T14:05:00+05:30,507.80,508.35,506.65,508.10,263059
2026-04-27T14:10:00+05:30,508.20,508.20,506.00,506.85,164476
2026-04-27T14:15:00+05:30,506.90,510.50,506.60,509.70,612477
2026-04-27T14:20:00+05:30,509.30,509.60,507.20,509.00,245455
2026-04-27T14:25:00+05:30,508.80,510.45,508.35,508.80,244258
2026-04-27T14:30:00+05:30,508.45,509.50,506.00,506.90,404460
2026-04-27T14:35:00+05:30,507.05,508.55,505.95,508.30,243873
2026-04-27T14:40:00+05:30,508.15,508.25,506.00,506.05,177747
2026-04-27T14:45:00+05:30,506.10,515.05,506.10,515.00,982115
2026-04-27T14:50:00+05:30,514.95,519.50,514.95,517.85,1028937
2026-04-27T14:55:00+05:30,518.15,518.95,516.80,518.05,535416
2026-04-27T15:00:00+05:30,517.90,519.80,515.50,518.95,1014373
2026-04-27T15:05:00+05:30,519.05,520.40,517.65,519.70,1933787
2026-04-27T15:10:00+05:30,520.00,521.70,518.65,520.50,1010081
2026-04-27T15:15:00+05:30,520.30,520.60,516.75,516.80,978588
2026-04-27T15:20:00+05:30,517.10,520.00,516.35,519.90,899543
2026-04-27T15:25:00+05:30,520.00,520.50,518.20,518.85,581713
2026-04-28T09:15:00+05:30,524.55,528.45,524.00,526.40,0
2026-04-28T09:20:00+05:30,527.00,527.50,524.60,526.65,607080
2026-04-28T09:25:00+05:30,526.45,528.40,523.00,523.60,465300
2026-04-28T09:30:00+05:30,523.95,524.95,515.30,518.10,1081383
2026-04-28T09:35:00+05:30,518.20,524.40,517.50,522.45,612400
2026-04-28T09:40:00+05:30,522.25,524.55,522.10,524.00,361304
2026-04-28T09:45:00+05:30,524.00,525.20,523.25,524.40,335495
2026-04-28T09:50:00+05:30,524.10,524.90,523.80,524.10,149495
2026-04-28T09:55:00+05:30,524.00,524.10,523.00,524.05,391295
2026-04-28T10:00:00+05:30,523.95,524.50,523.45,524.00,87342
2026-04-28T10:05:00+05:30,523.70,524.00,521.00,523.10,634893
2026-04-28T10:10:00+05:30,523.20,523.50,519.75,520.35,266748
2026-04-28T10:15:00+05:30,520.35,521.70,519.05,521.65,225142
2026-04-28T10:20:00+05:30,521.40,521.65,519.00,520.00,186678
2026-04-28T10:25:00+05:30,520.40,521.50,520.20,521.00,150587
2026-04-28T10:30:00+05:30,521.20,522.30,520.65,522.10,133652
2026-04-28T10:35:00+05:30,521.90,525.10,521.85,524.30,267225
2026-04-28T10:40:00+05:30,524.40,524.95,523.20,523.95,135275
2026-04-28T10:45:00+05:30,523.70,524.10,522.70,523.25,87219
2026-04-28T10:50:00+05:30,523.10,524.40,523.00,524.30,89250
2026-04-28T10:55:00+05:30,524.40,524.50,523.20,523.30,88821
2026-04-28T11:00:00+05:30,523.05,523.40,521.00,521.30,162125
2026-04-28T11:05:00+05:30,521.25,521.80,520.60,521.60,105505
2026-04-28T11:10:00+05:30,521.60,522.25,521.50,522.00,84465
2026-04-28T11:15:00+05:30,522.00,522.40,520.75,521.15,94399
2026-04-28T11:20:00+05:30,520.95,521.95,520.95,521.00,82946
2026-04-28T11:25:00+05:30,521.00,521.25,518.40,518.40,152950
2026-04-28T11:30:00+05:30,518.20,518.90,518.00,518.70,107548
2026-04-28T11:35:00+05:30,518.70,518.95,517.05,518.40,235303
2026-04-28T11:40:00+05:30,518.35,518.50,516.25,516.35,131868
2026-04-28T11:45:00+05:30,516.50,517.50,515.85,515.95,173091
2026-04-28T11:50:00+05:30,516.30,516.95,515.85,516.65,75775
2026-04-28T11:55:00+05:30,516.65,517.90,515.10,517.60,139725
2026-04-28T12:00:00+05:30,517.50,517.80,516.15,516.35,82657
2026-04-28T12:05:00+05:30,516.45,516.80,516.10,516.20,46263
2026-04-28T12:10:00+05:30,516.20,517.95,516.20,517.65,124676
2026-04-28T12:15:00+05:30,517.70,520.05,517.45,519.85,148737
2026-04-28T12:20:00+05:30,519.75,520.65,519.10,520.65,163979
2026-04-28T12:25:00+05:30,520.35,522.85,520.35,521.75,190416
2026-04-28T12:30:00+05:30,521.75,522.00,520.05,520.05,89200
2026-04-28T12:35:00+05:30,520.05,521.20,520.05,520.95,58963
2026-04-28T12:40:00+05:30,520.90,521.00,519.90,520.75,114904
2026-04-28T12:45:00+05:30,520.75,521.40,520.65,520.75,58034
2026-04-28T12:50:00+05:30,521.00,521.75,520.20,520.20,96596
2026-04-28T12:55:00+05:30,520.25,520.60,519.40,519.85,73665
2026-04-28T13:00:00+05:30,519.80,520.35,519.00,519.00,108998
2026-04-28T13:05:00+05:30,519.00,519.50,517.65,519.00,133991
2026-04-28T13:10:00+05:30,519.00,519.60,518.60,518.90,97359
2026-04-28T13:15:00+05:30,519.00,519.65,518.75,519.65,140826
2026-04-28T13:20:00+05:30,519.70,519.85,518.50,519.30,120063
2026-04-28T13:25:00+05:30,519.00,519.35,518.60,518.90,73822
2026-04-28T13:30:00+05:30,519.00,519.95,518.65,519.80,159199
2026-04-28T13:35:00+05:30,519.80,522.00,519.50,521.35,112616
2026-04-28T13:40:00+05:30,521.45,522.00,521.25,521.95,73857
2026-04-28T13:45:00+05:30,521.95,522.00,521.10,521.30,66176
2026-04-28T13:50:00+05:30,521.25,521.75,520.70,521.40,69034
2026-04-28T13:55:00+05:30,521.50,521.90,521.20,521.35,64142
2026-04-28T14:00:00+05:30,521.65,521.80,521.15,521.50,56284
2026-04-28T14:05:00+05:30,521.60,521.70,520.80,520.80,65483
2026-04-28T14:10:00+05:30,521.00,521.30,519.50,520.05,82218
2026-04-28T14:15:00+05:30,520.05,520.40,519.35,520.35,48768
2026-04-28T14:20:00+05:30,520.05,520.90,520.00,520.20,61073
2026-04-28T14:25:00+05:30,520.25,520.45,519.55,520.45,48305
2026-04-28T14:30:00+05:30,520.45,521.25,519.75,520.00,92813
2026-04-28T14:35:00+05:30,520.10,520.80,519.15,520.15,96563
2026-04-28T14:40:00+05:30,520.35,521.25,518.85,520.90,211379
2026-04-28T14:45:00+05:30,521.25,522.70,520.85,521.80,144306
2026-04-28T14:50:00+05:30,522.00,522.10,520.60,521.00,67563
2026-04-28T14:55:00+05:30,520.95,521.90,520.30,521.80,132412
2026-04-28T15:00:00+05:30,521.80,521.85,518.60,518.60,238562
2026-04-28T15:05:00+05:30,518.65,519.15,518.20,519.00,67708
2026-04-28T15:10:00+05:30,518.90,519.25,518.05,518.20,105196
2026-04-28T15:15:00+05:30,518.50,518.50,516.80,518.05,271390
2026-04-28T15:20:00+05:30,518.05,518.50,517.00,518.30,205593
2026-04-28T15:25:00+05:30,518.05,520.25,517.70,519.00,237349
2026-04-29T09:15:00+05:30,520.90,523.65,520.05,521.65,0
2026-04-29T09:20:00+05:30,522.40,523.80,522.20,522.40,116841
2026-04-29T09:25:00+05:30,522.05,523.10,521.70,522.55,60166
2026-04-29T09:30:00+05:30,522.50,522.75,521.05,521.35,42108
2026-04-29T09:35:00+05:30,521.15,522.75,521.15,522.20,53241
2026-04-29T09:40:00+05:30,522.20,522.50,521.85,522.05,40662
2026-04-29T09:45:00+05:30,522.25,523.40,522.00,523.30,40714
2026-04-29T09:50:00+05:30,523.25,523.25,521.75,522.05,66881
2026-04-29T09:55:00+05:30,522.10,522.10,521.00,521.70,72825
2026-04-29T10:00:00+05:30,521.50,521.95,521.35,521.70,37127
2026-04-29T10:05:00+05:30,521.75,522.50,521.75,522.00,40135
2026-04-29T10:10:00+05:30,522.15,522.40,521.55,522.15,43992
2026-04-29T10:15:00+05:30,522.00,524.50,522.00,524.35,140268
2026-04-29T10:20:00+05:30,524.35,528.00,523.65,527.35,393498
2026-04-29T10:25:00+05:30,527.45,527.55,526.60,526.60,329098
2026-04-29T10:30:00+05:30,526.20,526.45,525.60,526.05,74247
2026-04-29T10:35:00+05:30,526.10,527.25,525.40,527.20,57898
2026-04-29T10:40:00+05:30,527.40,527.60,526.45,526.50,53162
2026-04-29T10:45:00+05:30,526.55,527.70,526.45,526.55,68022
2026-04-29T10:50:00+05:30,526.90,528.50,526.40,528.00,133036
2026-04-29T10:55:00+05:30,528.00,533.25,528.00,532.75,377685
2026-04-29T11:00:00+05:30,532.65,534.65,532.00,532.90,394404
2026-04-29T11:05:00+05:30,532.70,533.30,532.05,532.55,280041
2026-04-29T11:10:00+05:30,532.80,533.20,530.60,531.60,402334
2026-04-29T11:15:00+05:30,531.55,531.85,530.60,530.85,51884
2026-04-29T11:20:00+05:30,530.85,530.85,529.65,529.90,127501
2026-04-29T11:25:00+05:30,530.00,530.05,528.75,529.60,109584
2026-04-29T11:30:00+05:30,529.30,530.00,528.70,529.65,117215
2026-04-29T11:35:00+05:30,529.45,530.50,529.45,530.00,108061
2026-04-29T11:40:00+05:30,529.90,530.00,529.25,530.00,150225
2026-04-29T11:45:00+05:30,529.80,530.30,529.60,530.00,79569
2026-04-29T11:50:00+05:30,530.00,530.15,529.10,530.00,54408
2026-04-29T11:55:00+05:30,529.85,530.20,529.50,529.80,51855
2026-04-29T12:00:00+05:30,529.80,530.20,529.60,530.00,46932
2026-04-29T12:05:00+05:30,529.90,530.20,529.70,529.90,28082
2026-04-29T12:10:00+05:30,529.95,530.15,529.05,529.50,87690
2026-04-29T12:15:00+05:30,529.50,529.50,528.00,528.55,95884
2026-04-29T12:20:00+05:30,528.55,529.15,528.10,528.70,44929
