ts,open,high,low,close,volume
2026-04-30T09:35:00+05:30,289.50,289.50,289.50,289.50,0
2026-04-30T10:00:00+05:30,285.00,285.00,271.60,272.65,7862961
2026-04-30T10:05:00+05:30,272.55,283.00,272.55,282.95,5840669
2026-04-30T10:10:00+05:30,283.00,285.55,281.60,285.45,4364768
2026-04-30T10:15:00+05:30,285.50,285.70,278.70,278.90,3215680
2026-04-30T10:20:00+05:30,278.80,279.95,278.65,278.85,1741417
2026-04-30T10:25:00+05:30,278.80,278.90,275.25,277.60,2525603
2026-04-30T10:30:00+05:30,277.65,281.80,277.15,280.60,1997361
2026-04-30T10:35:00+05:30,280.55,280.95,278.65,279.00,1236305
2026-04-30T10:40:00+05:30,279.00,279.90,278.75,279.25,889746
2026-04-30T10:45:00+05:30,279.15,279.80,279.05,279.30,647443
2026-04-30T10:50:00+05:30,279.25,279.45,276.45,277.05,1462674
2026-04-30T10:55:00+05:30,277.10,277.75,276.30,277.55,733671
2026-04-30T11:00:00+05:30,277.45,278.25,276.70,276.85,899956
2026-04-30T11:05:00+05:30,276.85,278.10,276.75,277.95,472145
2026-04-30T11:10:00+05:30,278.00,278.35,277.70,277.75,848185
2026-04-30T11:15:00+05:30,277.70,280.20,277.70,279.80,1376009
2026-04-30T11:20:00+05:30,279.80,280.95,279.50,280.65,595354
2026-04-30T11:25:00+05:30,280.65,281.00,280.15,280.90,707228
2026-04-30T11:30:00+05:30,280.90,280.95,278.65,278.90,733207
2026-04-30T11:35:00+05:30,278.90,280.55,278.90,280.45,345777
2026-04-30T11:40:00+05:30,280.45,281.00,280.20,280.65,396242
2026-04-30T11:45:00+05:30,280.60,280.70,278.85,279.00,660403
2026-04-30T11:50:00+05:30,279.00,279.00,278.80,278.90,394449
2026-04-30T11:55:00+05:30,278.90,279.05,278.80,278.95,400027
2026-04-30T12:00:00+05:30,278.95,279.00,278.80,279.00,405670
2026-04-30T12:05:00+05:30,279.00,279.00,278.85,278.95,335749
2026-04-30T12:10:00+05:30,278.95,279.00,278.60,278.75,535753
2026-04-30T12:15:00+05:30,278.75,279.00,278.65,278.95,301307
2026-04-30T12:20:00+05:30,278.95,279.00,278.90,279.00,517746
2026-04-30T12:25:00+05:30,279.00,279.00,278.70,278.80,427402
2026-04-30T12:30:00+05:30,278.80,279.00,278.80,278.90,217811
2026-04-30T12:35:00+05:30,278.95,279.00,278.80,278.95,301284
2026-04-30T12:40:00+05:30,278.90,279.00,278.80,278.90,305165
2026-04-30T12:45:00+05:30,278.90,279.00,278.75,278.95,359999
2026-04-30T12:50:00+05:30,278.90,278.95,278.20,278.30,374740
2026-04-30T12:55:00+05:30,278.25,278.40,277.55,277.90,685686
2026-04-30T13:00:00+05:30,277.90,278.00,277.60,277.90,342855
2026-04-30T13:05:00+05:30,277.85,278.85,277.55,277.65,848813
2026-04-30T13:10:00+05:30,277.65,278.00,277.20,277.95,342949
2026-04-30T13:15:00+05:30,277.90,278.00,277.50,277.65,247680
2026-04-30T13:20:00+05:30,277.60,279.15,277.50,277.70,943332
2026-04-30T13:25:00+05:30,277.70,278.40,277.30,277.55,618801
2026-04-30T13:30:00+05:30,277.50,277.80,277.30,277.70,279741
2026-04-30T13:35:00+05:30,277.70,278.00,277.00,277.25,564077
2026-04-30T13:40:00+05:30,277.25,277.55,276.45,276.95,1011607
2026-04-30T13:45:00+05:30,276.90,276.95,276.30,276.35,528641
2026-04-30T13:50:00+05:30,276.35,276.50,274.40,274.50,1575330
2026-04-30T13:55:00+05:30,274.50,275.25,274.30,274.95,790797
2026-04-30T14:00:00+05:30,275.00,275.00,274.75,274.90,440693
2026-04-30T14:05:00+05:30,274.85,275.00,274.80,275.00,464878
2026-04-30T14:10:00+05:30,274.90,275.00,273.75,273.95,846366
2026-04-30T14:15:00+05:30,274.00,274.00,271.65,271.90,2005142
2026-04-30T14:20:00+05:30,271.80,271.80,268.70,269.20,3524188
2026-04-30T14:25:00+05:30,269.15,273.95,269.00,273.15,2392071
2026-04-30T14:30:00+05:30,273.25,273.40,270.60,271.00,1109740
2026-04-30T14:35:00+05:30,271.05,272.30,270.90,272.25,561363
2026-04-30T14:40:00+05:30,272.25,273.00,272.00,272.95,489500
2026-04-30T14:45:00+05:30,272.90,273.05,272.00,272.15,580397
2026-04-30T14:50:00+05:30,272.10,272.30,271.45,271.70,507944
2026-04-30T14:55:00+05:30,271.75,272.00,271.30,271.70,464162
2026-04-30T15:00:00+05:30,271.70,271.90,271.05,271.15,725098
2026-04-30T15:05:00+05:30,271.15,272.75,271.10,272.20,1240153
2026-04-30T15:10:00+05:30,272.10,272.20,271.10,271.35,946864
2026-04-30T15:15:00+05:30,271.40,271.60,271.00,271.20,1285681
2026-04-30T15:20:00+05:30,271.25,271.50,271.10,271.35,1116001
2026-04-30T15:25:00+05:30,271.40,273.10,271.00,273.10,1338410
