ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,1481.40,1495.80,1480.10,1492.00,0
2026-04-27T09:20:00+05:30,1492.90,1508.60,1491.40,1498.10,82695
2026-04-27T09:25:00+05:30,1499.00,1506.00,1498.20,1500.60,52526
2026-04-27T09:30:00+05:30,1501.00,1508.00,1496.80,1504.50,27926
2026-04-27T09:35:00+05:30,1504.20,1513.80,1504.20,1507.70,53292
2026-04-27T09:40:00+05:30,1507.70,1513.40,1507.50,1511.90,26213
2026-04-27T09:45:00+05:30,1512.60,1512.60,1509.10,1511.00,13796
2026-04-27T09:50:00+05:30,1510.70,1518.80,1510.70,1517.10,38938
2026-04-27T09:55:00+05:30,1517.40,1517.40,1507.90,1508.20,24226
2026-04-27T10:00:00+05:30,1508.80,1509.60,1504.60,1505.80,15306
2026-04-27T10:05:00+05:30,1505.40,1508.80,1497.50,1498.20,74203
2026-04-27T10:10:00+05:30,1498.00,1498.80,1490.40,1493.90,31323
2026-04-27T10:15:00+05:30,1494.60,1499.80,1494.60,1497.20,12059
2026-04-27T10:20:00+05:30,1498.50,1498.70,1496.20,1497.70,6507
2026-04-27T10:25:00+05:30,1498.00,1507.80,1498.00,1507.00,10773
2026-04-27T10:30:00+05:30,1506.90,1515.70,1505.40,1515.50,25986
2026-04-27T10:35:00+05:30,1515.50,1515.50,1510.40,1512.90,19349
2026-04-27T10:40:00+05:30,1513.30,1517.70,1512.30,1516.70,10996
2026-04-27T10:45:00+05:30,1516.70,1518.60,1515.00,1517.80,11976
2026-04-27T10:50:00+05:30,1517.60,1519.60,1515.40,1515.40,11148
2026-04-27T10:55:00+05:30,1515.90,1518.90,1513.20,1518.50,12820
2026-04-27T11:00:00+05:30,1518.30,1523.60,1518.00,1523.00,26313
2026-04-27T11:05:00+05:30,1523.20,1524.00,1520.00,1520.50,8159
2026-04-27T11:10:00+05:30,1521.60,1521.60,1519.00,1521.20,8925
2026-04-27T11:15:00+05:30,1521.20,1523.40,1520.60,1523.10,8596
2026-04-27T11:20:00+05:30,1523.20,1527.50,1522.00,1524.90,23591
2026-04-27T11:25:00+05:30,1524.50,1526.00,1523.30,1525.10,8443
2026-04-27T11:30:00+05:30,1525.10,1527.70,1524.60,1524.70,9974
2026-04-27T11:35:00+05:30,1524.80,1525.20,1520.00,1524.50,18136
2026-04-27T11:40:00+05:30,1524.50,1527.40,1522.60,1525.50,12819
2026-04-27T11:45:00+05:30,1525.70,1529.00,1525.00,1525.70,20175
2026-04-27T11:50:00+05:30,1525.70,1528.00,1524.40,1527.90,8302
2026-04-27T11:55:00+05:30,1527.70,1529.00,1525.00,1528.20,17612
2026-04-27T12:00:00+05:30,1528.30,1528.30,1522.70,1524.50,7499
2026-04-27T12:05:00+05:30,1525.00,1525.50,1518.90,1518.90,13514
2026-04-27T12:10:00+05:30,1519.70,1520.00,1516.20,1517.70,16186
2026-04-27T12:15:00+05:30,1517.60,1520.00,1517.60,1518.80,5305
2026-04-27T12:20:00+05:30,1518.60,1520.00,1516.10,1519.60,6164
2026-04-27T12:25:00+05:30,1519.70,1520.00,1515.50,1515.70,14698
2026-04-27T12:30:00+05:30,1515.00,1517.30,1513.70,1515.00,39637
2026-04-27T12:35:00+05:30,1515.00,1518.40,1515.00,1518.30,17006
2026-04-27T12:40:00+05:30,1518.30,1519.00,1518.00,1518.80,4833
2026-04-27T12:45:00+05:30,1517.80,1519.60,1516.80,1518.20,5306
2026-04-27T12:50:00+05:30,1518.20,1520.00,1517.50,1518.80,7787
2026-04-27T12:55:00+05:30,1518.80,1520.50,1518.80,1520.50,16266
2026-04-27T13:00:00+05:30,1520.50,1524.10,1519.00,1524.10,35624
2026-04-27T13:05:00+05:30,1523.00,1524.10,1520.70,1523.20,6578
2026-04-27T13:10:00+05:30,1523.20,1524.70,1521.40,1522.40,4046
2026-04-27T13:15:00+05:30,1522.30,1523.90,1521.50,1522.90,4722
2026-04-27T13:20:00+05:30,1522.90,1522.90,1521.30,1522.90,3097
2026-04-27T13:25:00+05:30,1522.80,1524.80,1521.80,1522.20,4107
2026-04-27T13:30:00+05:30,1518.60,1522.30,1509.50,1513.50,173846
2026-04-27T13:35:00+05:30,1513.60,1517.50,1513.60,1516.90,9047
2026-04-27T13:40:00+05:30,1516.90,1519.40,1516.90,1518.00,10770
2026-04-27T13:45:00+05:30,1518.10,1519.30,1514.00,1514.60,10418
2026-04-27T13:50:00+05:30,1514.50,1518.30,1513.20,1517.10,12218
2026-04-27T13:55:00+05:30,1517.00,1519.00,1515.50,1518.80,9202
2026-04-27T14:00:00+05:30,1518.50,1519.80,1517.20,1518.50,8531
2026-04-27T14:05:00+05:30,1518.60,1518.80,1516.90,1517.00,7312
2026-04-27T14:10:00+05:30,1517.60,1519.00,1517.60,1518.80,9372
2026-04-27T14:15:00+05:30,1518.80,1520.00,1518.10,1519.20,10266
2026-04-27T14:20:00+05:30,1519.20,1521.10,1518.90,1520.40,10391
2026-04-27T14:25:00+05:30,1520.40,1520.40,1518.60,1518.70,6399
2026-04-27T14:30:00+05:30,1518.70,1519.20,1515.30,1516.10,7869
2026-04-27T14:35:00+05:30,1516.10,1519.50,1515.20,1518.80,9974
2026-04-27T14:40:00+05:30,1518.70,1519.30,1514.80,1517.60,36298
2026-04-27T14:45:00+05:30,1518.00,1524.60,1517.60,1522.00,99337
2026-04-27T14:50:00+05:30,1522.00,1523.70,1521.00,1522.70,23676
2026-04-27T14:55:00+05:30,1524.00,1524.30,1518.20,1519.60,25357
2026-04-27T15:00:00+05:30,1518.60,1518.60,1516.50,1517.90,32375
2026-04-27T15:05:00+05:30,1517.80,1517.80,1511.40,1515.80,72633
2026-04-27T15:10:00+05:30,1515.40,1515.40,1512.70,1514.40,54930
2026-04-27T15:15:00+05:30,1514.00,1516.90,1513.70,1515.40,68104
2026-04-27T15:20:00+05:30,1516.40,1517.00,1513.60,1516.20,72172
2026-04-27T15:25:00+05:30,1516.10,1517.80,1513.90,1515.00,61084
2026-04-28T09:15:00+05:30,1521.70,1530.90,1519.30,1523.20,0
2026-04-28T09:20:00+05:30,1522.40,1529.60,1521.10,1521.50,23563
2026-04-28T09:25:00+05:30,1522.10,1526.00,1518.90,1519.80,13104
2026-04-28T09:30:00+05:30,1519.60,1520.20,1517.30,1517.30,12517
2026-04-28T09:35:00+05:30,1517.10,1520.60,1515.00,1518.00,12607
2026-04-28T09:40:00+05:30,1518.20,1521.10,1514.90,1514.90,10126
2026-04-28T09:45:00+05:30,1515.80,1520.80,1514.70,1516.00,20429
2026-04-28T09:50:00+05:30,1516.50,1519.10,1515.80,1518.50,30063
2026-04-28T09:55:00+05:30,1518.90,1520.40,1516.90,1517.80,35331
2026-04-28T10:00:00+05:30,1517.50,1519.10,1513.90,1514.40,38151
2026-04-28T10:05:00+05:30,1513.40,1517.70,1513.40,1517.00,18998
2026-04-28T10:10:00+05:30,1516.20,1517.70,1516.00,1517.70,4057
2026-04-28T10:15:00+05:30,1517.60,1518.50,1516.60,1517.70,8522
2026-04-28T10:20:00+05:30,1517.20,1517.70,1513.80,1514.60,13245
2026-04-28T10:25:00+05:30,1514.30,1517.00,1514.30,1516.50,4257
2026-04-28T10:30:00+05:30,1516.40,1516.90,1514.50,1515.10,4272
2026-04-28T10:35:00+05:30,1515.20,1515.40,1513.90,1514.70,9397
2026-04-28T10:40:00+05:30,1514.70,1514.80,1508.80,1510.60,10310
2026-04-28T10:45:00+05:30,1509.80,1512.60,1509.80,1511.80,3836
2026-04-28T10:50:00+05:30,1511.80,1514.50,1511.30,1513.70,3868
2026-04-28T10:55:00+05:30,1513.70,1514.10,1512.00,1513.10,4111
2026-04-28T11:00:00+05:30,1512.50,1513.30,1511.40,1511.50,3212
2026-04-28T11:05:00+05:30,1512.20,1513.00,1507.50,1509.00,13151
2026-04-28T11:10:00+05:30,1508.60,1509.20,1505.10,1506.10,7652
2026-04-28T11:15:00+05:30,1505.30,1506.70,1503.20,1504.00,10079
2026-04-28T11:20:00+05:30,1504.50,1505.80,1503.20,1504.80,9985
2026-04-28T11:25:00+05:30,1504.80,1504.80,1499.10,1499.80,12425
2026-04-28T11:30:00+05:30,1499.30,1502.20,1499.20,1502.20,8173
2026-04-28T11:35:00+05:30,1501.60,1504.80,1501.60,1504.50,4633
2026-04-28T11:40:00+05:30,1503.20,1504.60,1501.60,1504.50,3376
2026-04-28T11:45:00+05:30,1504.60,1506.00,1504.10,1506.00,5942
2026-04-28T11:50:00+05:30,1506.00,1506.40,1503.40,1504.00,5348
2026-04-28T11:55:00+05:30,1504.00,1508.00,1504.00,1506.80,3891
2026-04-28T12:00:00+05:30,1507.40,1507.40,1501.30,1505.00,3998
2026-04-28T12:05:00+05:30,1504.50,1509.40,1502.20,1506.00,13216
2026-04-28T12:10:00+05:30,1506.60,1510.00,1505.10,1507.40,6773
2026-04-28T12:15:00+05:30,1508.70,1510.00,1505.60,1506.90,11916
2026-04-28T12:20:00+05:30,1506.40,1507.70,1505.90,1506.50,1957
2026-04-28T12:25:00+05:30,1506.10,1508.40,1506.00,1506.80,3160
2026-04-28T12:30:00+05:30,1507.40,1507.80,1506.10,1507.00,2031
2026-04-28T12:35:00+05:30,1507.00,1508.90,1506.00,1506.20,2004
2026-04-28T12:40:00+05:30,1506.60,1507.20,1505.70,1506.80,2654
2026-04-28T12:45:00+05:30,1506.00,1509.50,1506.00,1508.30,2992
2026-04-28T12:50:00+05:30,1508.80,1509.70,1508.30,1509.70,3283
2026-04-28T12:55:00+05:30,1509.80,1509.80,1507.00,1508.00,4329
2026-04-28T13:00:00+05:30,1508.00,1508.80,1506.60,1508.70,4489
2026-04-28T13:05:00+05:30,1508.70,1509.40,1506.70,1507.70,3457
2026-04-28T13:10:00+05:30,1507.80,1509.90,1507.20,1507.20,4109
2026-04-28T13:15:00+05:30,1507.80,1509.10,1507.80,1509.10,4427
2026-04-28T13:20:00+05:30,1508.50,1510.00,1508.20,1510.00,2543
2026-04-28T13:25:00+05:30,1510.00,1510.00,1507.30,1507.50,9031
2026-04-28T13:30:00+05:30,1508.00,1508.10,1505.50,1506.80,11282
2026-04-28T13:35:00+05:30,1507.50,1507.50,1503.90,1505.40,10546
2026-04-28T13:40:00+05:30,1505.10,1506.50,1504.90,1505.40,5489
2026-04-28T13:45:00+05:30,1505.30,1505.90,1501.80,1502.70,6470
2026-04-28T13:50:00+05:30,1502.60,1505.80,1501.90,1505.80,2986
2026-04-28T13:55:00+05:30,1505.30,1506.90,1504.60,1506.00,2505
2026-04-28T14:00:00+05:30,1504.30,1505.00,1502.00,1504.20,7075
2026-04-28T14:05:00+05:30,1504.10,1504.60,1501.80,1503.20,5383
2026-04-28T14:10:00+05:30,1503.90,1506.30,1503.50,1503.80,11304
2026-04-28T14:15:00+05:30,1503.70,1507.60,1503.50,1507.00,6778
2026-04-28T14:20:00+05:30,1507.60,1510.00,1507.00,1509.60,7452
2026-04-28T14:25:00+05:30,1509.80,1510.00,1508.20,1510.00,21366
2026-04-28T14:30:00+05:30,1513.60,1520.00,1512.80,1520.00,32843
2026-04-28T14:35:00+05:30,1520.00,1520.90,1517.00,1517.40,17896
2026-04-28T14:40:00+05:30,1517.10,1518.60,1513.40,1517.60,55547
2026-04-28T14:45:00+05:30,1518.20,1518.40,1516.00,1516.80,20476
2026-04-28T14:50:00+05:30,1516.70,1520.00,1516.30,1519.90,44312
2026-04-28T14:55:00+05:30,1519.90,1520.00,1515.40,1515.40,22625
2026-04-28T15:00:00+05:30,1517.00,1517.00,1511.00,1511.60,26231
2026-04-28T15:05:00+05:30,1510.60,1510.80,1508.90,1509.90,32410
2026-04-28T15:10:00+05:30,1510.00,1513.70,1508.10,1510.70,51692
2026-04-28T15:15:00+05:30,1511.30,1512.00,1508.10,1510.10,62803
2026-04-28T15:20:00+05:30,1510.30,1511.30,1510.00,1510.00,53223
2026-04-28T15:25:00+05:30,1511.00,1516.00,1510.00,1511.10,63241
2026-04-29T09:15:00+05:30,1528.00,1535.90,1527.60,1532.00,0
2026-04-29T09:20:00+05:30,1533.90,1537.90,1528.00,1533.70,24595
2026-04-29T09:25:00+05:30,1533.00,1537.00,1528.50,1530.70,20420
2026-04-29T09:30:00+05:30,1530.90,1532.90,1526.00,1529.30,11814
2026-04-29T09:35:00+05:30,1529.20,1529.60,1520.20,1520.60,15503
2026-04-29T09:40:00+05:30,1521.40,1522.00,1519.00,1521.10,13068
2026-04-29T09:45:00+05:30,1521.50,1523.00,1516.30,1517.40,10073
2026-04-29T09:50:00+05:30,1517.00,1520.00,1515.70,1517.10,5477
2026-04-29T09:55:00+05:30,1517.10,1517.60,1514.80,1516.80,5414
2026-04-29T10:00:00+05:30,1516.80,1519.70,1516.80,1518.50,3205
2026-04-29T10:05:00+05:30,1518.60,1521.00,1517.40,1519.30,7480
2026-04-29T10:10:00+05:30,1519.80,1520.90,1516.70,1516.70,3591
2026-04-29T10:15:00+05:30,1516.70,1519.40,1516.60,1518.10,2794
2026-04-29T10:20:00+05:30,1518.20,1519.90,1517.30,1517.50,2419
2026-04-29T10:25:00+05:30,1518.20,1520.00,1517.20,1519.80,9869
2026-04-29T10:30:00+05:30,1519.80,1519.80,1508.50,1510.10,36893
2026-04-29T10:35:00+05:30,1510.20,1510.70,1505.00,1506.20,9027
2026-04-29T10:40:00+05:30,1507.20,1510.20,1507.00,1508.40,5589
2026-04-29T10:45:00+05:30,1507.70,1508.60,1505.00,1506.60,3628
2026-04-29T10:50:00+05:30,1507.20,1507.90,1505.00,1505.60,3815
2026-04-29T10:55:00+05:30,1505.90,1506.00,1504.00,1505.90,3040
2026-04-29T11:00:00+05:30,1505.90,1506.00,1504.30,1504.80,2980
2026-04-29T11:05:00+05:30,1504.30,1505.70,1503.40,1505.00,3280
2026-04-29T11:10:00+05:30,1505.60,1506.00,1504.50,1506.00,3193
2026-04-29T11:15:00+05:30,1506.00,1506.00,1504.00,1505.10,5546
2026-04-29T11:20:00+05:30,1505.00,1506.00,1504.30,1506.00,2203
2026-04-29T11:25:00+05:30,1505.70,1506.00,1505.20,1505.20,5583
2026-04-29T11:30:00+05:30,1505.60,1505.60,1502.00,1503.40,6258
2026-04-29T11:35:00+05:30,1503.50,1504.40,1500.50,1501.10,4849
2026-04-29T11:40:00+05:30,1501.10,1504.80,1501.10,1502.50,2269
2026-04-29T11:45:00+05:30,1502.50,1502.60,1499.30,1499.30,6926
2026-04-29T11:50:00+05:30,1498.70,1498.70,1487.70,1488.30,25346
2026-04-29T11:55:00+05:30,1488.90,1494.40,1488.70,1494.00,11053
2026-04-29T12:00:00+05:30,1492.50,1493.50,1490.90,1492.40,4620
2026-04-29T12:05:00+05:30,1492.40,1492.40,1489.10,1490.00,16871
2026-04-29T12:10:00+05:30,1490.00,1490.30,1486.00,1489.60,7777
2026-04-29T12:15:00+05:30,1489.90,1491.40,1489.10,1490.70,6141
2026-04-29T12:20:00+05:30,1491.60,1492.10,1490.80,1492.00,3283
2026-04-29T12:25:00+05:30,1491.40,1491.70,1488.90,1489.20,7530
2026-04-29T12:30:00+05:30,1489.20,1489.90,1486.30,1487.50,6684
2026-04-29T12:35:00+05:30,1487.30,1488.60,1485.00,1487.90,3822
2026-04-29T12:40:00+05:30,1487.80,1490.80,1487.80,1489.60,4805
2026-04-29T12:45:00+05:30,1489.60,1493.90,1489.60,1493.90,2959
2026-04-29T12:50:00+05:30,1493.80,1493.90,1492.10,1493.00,3758
2026-04-29T12:55:00+05:30,1493.00,1497.50,1491.20,1496.00,10478
2026-04-29T13:00:00+05:30,1496.40,1496.80,1491.20,1495.20,12603
2026-04-29T13:05:00+05:30,1496.00,1499.50,1495.90,1497.30,6054
2026-04-29T13:10:00+05:30,1497.60,1499.50,1497.30,1497.30,1616
2026-04-29T13:15:00+05:30,1497.30,1498.60,1496.00,1498.20,2124
2026-04-29T13:20:00+05:30,1497.20,1497.70,1495.10,1495.80,1161
2026-04-29T13:25:00+05:30,1496.30,1496.50,1494.20,1494.80,2389
2026-04-29T13:30:00+05:30,1495.20,1496.30,1494.90,1495.80,1230
