ts,open,high,low,close,volume
2026-04-27T09:15:00+05:30,199.90,202.30,199.90,202.25,0
2026-04-27T09:20:00+05:30,202.20,203.40,202.10,203.35,802353
2026-04-27T09:25:00+05:30,203.40,203.90,202.85,202.90,2408288
2026-04-27T09:30:00+05:30,202.95,203.00,202.35,202.55,480018
2026-04-27T09:35:00+05:30,202.60,202.75,202.35,202.60,246868
2026-04-27T09:40:00+05:30,202.65,203.40,202.65,203.40,764253
2026-04-27T09:45:00+05:30,203.40,203.50,202.85,203.00,1434481
2026-04-27T09:50:00+05:30,203.05,203.50,202.90,203.30,662185
2026-04-27T09:55:00+05:30,203.30,203.65,203.10,203.10,348802
2026-04-27T10:00:00+05:30,203.15,203.40,202.90,203.15,173922
2026-04-27T10:05:00+05:30,203.10,203.45,203.00,203.35,239023
2026-04-27T10:10:00+05:30,203.30,203.70,203.30,203.65,190597
2026-04-27T10:15:00+05:30,203.70,204.00,203.70,203.95,264037
2026-04-27T10:20:00+05:30,203.95,204.15,203.80,203.85,401726
2026-04-27T10:25:00+05:30,203.90,204.00,203.75,203.85,146142
2026-04-27T10:30:00+05:30,203.85,204.00,203.55,203.80,211514
2026-04-27T10:35:00+05:30,203.70,203.90,203.65,203.75,165720
2026-04-27T10:40:00+05:30,203.75,203.80,203.55,203.70,123433
2026-04-27T10:45:00+05:30,203.70,203.90,203.65,203.90,86804
2026-04-27T10:50:00+05:30,203.90,204.00,203.60,203.70,120770
2026-04-27T10:55:00+05:30,203.70,203.80,203.50,203.75,110417
2026-04-27T11:00:00+05:30,203.70,203.90,203.50,203.50,143484
2026-04-27T11:05:00+05:30,203.60,203.60,202.95,203.20,239722
2026-04-27T11:10:00+05:30,203.20,203.50,203.15,203.30,90882
2026-04-27T11:15:00+05:30,203.30,203.35,203.15,203.15,64909
2026-04-27T11:20:00+05:30,203.20,203.25,202.95,203.20,162855
2026-04-27T11:25:00+05:30,203.25,203.25,202.85,202.90,855552
2026-04-27T11:30:00+05:30,202.95,203.05,202.80,202.85,519267
2026-04-27T11:35:00+05:30,202.90,202.90,202.50,202.65,842074
2026-04-27T11:40:00+05:30,202.60,203.10,202.60,203.05,910610
2026-04-27T11:45:00+05:30,203.05,203.10,202.80,202.90,626205
2026-04-27T11:50:00+05:30,202.85,202.95,202.60,202.80,1087490
2026-04-27T11:55:00+05:30,202.80,203.05,202.75,202.95,1246203
2026-04-27T12:00:00+05:30,202.95,203.00,202.65,202.75,556441
2026-04-27T12:05:00+05:30,202.75,203.00,202.70,202.90,818697
2026-04-27T12:10:00+05:30,202.90,203.10,202.85,203.00,1126093
2026-04-27T12:15:00+05:30,202.95,203.40,202.90,203.30,972492
2026-04-27T12:20:00+05:30,203.30,203.80,203.05,203.75,337089
2026-04-27T12:25:00+05:30,203.70,204.00,203.50,203.65,953695
2026-04-27T12:30:00+05:30,203.60,203.65,203.30,203.40,993976
2026-04-27T12:35:00+05:30,203.40,203.50,203.25,203.40,1075825
2026-04-27T12:40:00+05:30,203.40,203.50,203.20,203.40,880287
2026-04-27T12:45:00+05:30,203.50,203.70,203.25,203.40,526443
2026-04-27T12:50:00+05:30,203.40,203.60,203.30,203.50,1183665
2026-04-27T12:55:00+05:30,203.45,203.70,203.35,203.65,1006561
2026-04-27T13:00:00+05:30,203.55,203.95,203.50,203.90,968401
2026-04-27T13:05:00+05:30,203.85,204.70,203.85,204.60,934045
2026-04-27T13:10:00+05:30,204.65,205.10,204.55,204.75,684675
2026-04-27T13:15:00+05:30,204.80,205.00,204.75,204.90,286797
2026-04-27T13:20:00+05:30,204.90,205.00,204.70,204.70,526665
2026-04-27T13:25:00+05:30,204.75,204.80,204.50,204.50,511932
2026-04-27T13:30:00+05:30,204.55,204.90,204.40,204.60,1337904
2026-04-27T13:35:00+05:30,204.65,204.80,204.50,204.80,344386
2026-04-27T13:40:00+05:30,204.75,204.85,204.70,204.80,163228
2026-04-27T13:45:00+05:30,204.80,204.90,204.55,204.60,198903
2026-04-27T13:50:00+05:30,204.60,204.80,204.50,204.75,229313
2026-04-27T13:55:00+05:30,204.75,204.80,204.40,204.40,178267
2026-04-27T14:00:00+05:30,204.35,204.55,204.35,204.45,196253
2026-04-27T14:05:00+05:30,204.45,204.55,204.40,204.45,217984
2026-04-27T14:10:00+05:30,204.50,204.60,204.30,204.55,231604
2026-04-27T14:15:00+05:30,204.55,204.60,204.40,204.45,182109
2026-04-27T14:20:00+05:30,204.45,204.60,204.20,204.20,235694
2026-04-27T14:25:00+05:30,204.20,204.20,203.85,204.15,411226
2026-04-27T14:30:00+05:30,204.15,204.45,204.05,204.40,339677
2026-04-27T14:35:00+05:30,204.45,204.85,204.40,204.70,507426
2026-04-27T14:40:00+05:30,204.75,204.80,204.55,204.60,544019
2026-04-27T14:45:00+05:30,204.65,204.80,204.45,204.80,1366477
2026-04-27T14:50:00+05:30,204.75,205.10,204.65,205.00,694812
2026-04-27T14:55:00+05:30,205.00,205.00,204.80,205.00,248025
2026-04-27T15:00:00+05:30,204.80,205.20,204.75,205.20,807247
2026-04-27T15:05:00+05:30,205.20,205.25,205.05,205.15,351850
2026-04-27T15:10:00+05:30,205.00,205.25,205.00,205.20,435400
2026-04-27T15:15:00+05:30,205.15,205.20,204.95,205.05,476488
2026-04-27T15:20:00+05:30,205.05,205.15,204.85,205.00,562423
2026-04-27T15:25:00+05:30,205.00,205.10,204.80,204.85,544071
2026-04-28T09:15:00+05:30,204.70,205.05,204.15,204.90,0
2026-04-28T09:20:00+05:30,204.90,205.00,204.20,204.45,457454
2026-04-28T09:25:00+05:30,204.50,205.35,204.40,205.25,842847
2026-04-28T09:30:00+05:30,205.25,205.30,204.80,204.80,570594
2026-04-28T09:35:00+05:30,204.80,205.20,204.80,205.00,306557
2026-04-28T09:40:00+05:30,205.00,205.20,204.95,205.00,413535
2026-04-28T09:45:00+05:30,205.05,205.20,204.85,204.85,452846
2026-04-28T09:50:00+05:30,204.85,205.15,204.80,205.15,458373
2026-04-28T09:55:00+05:30,205.10,205.45,205.00,205.40,294547
2026-04-28T10:00:00+05:30,205.40,205.70,205.30,205.35,407767
2026-04-28T10:05:00+05:30,205.35,205.60,205.25,205.35,308557
2026-04-28T10:10:00+05:30,205.50,205.50,205.35,205.35,221945
2026-04-28T10:15:00+05:30,205.35,205.40,205.15,205.25,262369
2026-04-28T10:20:00+05:30,205.25,205.35,205.20,205.30,197177
2026-04-28T10:25:00+05:30,205.25,205.30,204.90,204.95,285657
2026-04-28T10:30:00+05:30,205.00,205.05,204.55,204.85,326297
2026-04-28T10:35:00+05:30,204.85,204.95,204.60,204.90,283225
2026-04-28T10:40:00+05:30,204.90,205.05,204.70,204.90,350322
2026-04-28T10:45:00+05:30,204.90,205.15,204.85,204.90,249282
2026-04-28T10:50:00+05:30,204.90,205.00,204.75,204.85,216337
2026-04-28T10:55:00+05:30,204.90,205.05,204.90,205.00,180362
2026-04-28T11:00:00+05:30,204.90,205.00,204.85,204.85,162270
2026-04-28T11:05:00+05:30,204.85,204.85,204.50,204.65,447183
2026-04-28T11:10:00+05:30,204.60,204.70,204.50,204.65,191284
2026-04-28T11:15:00+05:30,204.65,204.75,204.40,204.60,248674
2026-04-28T11:20:00+05:30,204.50,204.60,204.35,204.35,214507
