ts,open,high,low,close,volume
2026-06-19T09:15:00+05:30,2743.90,2748.80,2735.90,2736.20,0
2026-06-19T09:16:00+05:30,2736.60,2736.80,2732.40,2733.70,3629
2026-06-19T09:17:00+05:30,2733.70,2734.80,2732.10,2734.80,1842
2026-06-19T09:18:00+05:30,2735.20,2735.20,2727.80,2732.70,11330
2026-06-19T09:19:00+05:30,2733.20,2733.20,2731.00,2732.30,2491
2026-06-19T09:20:00+05:30,2731.60,2732.20,2730.00,2732.20,1104
2026-06-19T09:21:00+05:30,2732.20,2732.80,2730.60,2732.80,1598
2026-06-19T09:22:00+05:30,2732.60,2732.60,2731.50,2731.50,2126
2026-06-19T09:23:00+05:30,2732.60,2733.10,2730.60,2732.80,2932
2026-06-19T09:24:00+05:30,2732.10,2734.00,2732.00,2733.20,1794
2026-06-19T09:25:00+05:30,2733.20,2733.20,2730.90,2730.90,1527
2026-06-19T09:26:00+05:30,2731.20,2732.40,2731.00,2731.60,1948
2026-06-19T09:27:00+05:30,2734.20,2734.20,2732.80,2733.00,3835
2026-06-19T09:28:00+05:30,2733.00,2738.90,2733.00,2736.80,1540
2026-06-19T09:29:00+05:30,2736.50,2736.90,2734.20,2735.50,3180
2026-06-19T09:30:00+05:30,2736.00,2736.00,2735.30,2735.50,490
2026-06-19T09:31:00+05:30,2735.50,2739.00,2734.00,2734.00,2852
2026-06-19T09:32:00+05:30,2734.80,2734.80,2731.50,2734.00,2407
2026-06-19T09:33:00+05:30,2734.00,2734.30,2733.40,2733.80,633
2026-06-19T09:34:00+05:30,2733.80,2734.10,2733.60,2733.80,760
2026-06-19T09:35:00+05:30,2733.70,2733.70,2732.00,2732.20,2011
2026-06-19T09:36:00+05:30,2732.20,2734.60,2732.20,2733.80,542
2026-06-19T09:37:00+05:30,2733.80,2733.80,2732.30,2732.80,1136
2026-06-19T09:38:00+05:30,2732.20,2732.30,2732.00,2732.30,502
2026-06-19T09:39:00+05:30,2732.10,2732.30,2732.00,2732.00,1055
2026-06-19T09:40:00+05:30,2732.40,2732.80,2732.00,2732.00,1687
2026-06-19T09:41:00+05:30,2732.00,2732.00,2730.50,2731.00,1486
2026-06-19T09:42:00+05:30,2731.90,2735.00,2731.40,2734.20,1043
2026-06-19T09:43:00+05:30,2734.20,2734.50,2733.70,2734.40,1131
2026-06-19T09:44:00+05:30,2733.80,2733.80,2733.10,2733.10,324
2026-06-19T09:45:00+05:30,2733.10,2734.50,2733.00,2733.00,1004
2026-06-19T09:46:00+05:30,2732.90,2733.90,2732.00,2733.80,1608
2026-06-19T09:47:00+05:30,2732.90,2734.60,2731.70,2733.50,7913
2026-06-19T09:48:00+05:30,2733.40,2735.80,2733.40,2735.40,1105
2026-06-19T09:49:00+05:30,2736.20,2736.60,2735.40,2736.60,396
2026-06-19T09:50:00+05:30,2736.20,2736.20,2734.60,2736.20,915
2026-06-19T09:51:00+05:30,2736.20,2736.90,2735.90,2736.90,906
2026-06-19T09:52:00+05:30,2736.80,2737.00,2736.00,2737.00,821
2026-06-19T09:53:00+05:30,2736.10,2737.20,2736.00,2737.20,843
2026-06-19T09:54:00+05:30,2737.30,2739.00,2735.00,2739.00,1484
2026-06-19T09:55:00+05:30,2735.00,2735.10,2733.50,2735.00,2095
2026-06-19T09:56:00+05:30,2734.90,2735.50,2734.60,2735.50,1061
2026-06-19T09:57:00+05:30,2735.80,2735.80,2735.00,2735.00,812
2026-06-19T09:58:00+05:30,2735.30,2735.30,2735.10,2735.10,304
2026-06-19T09:59:00+05:30,2735.20,2736.00,2735.10,2735.80,1201
2026-06-19T10:00:00+05:30,2735.90,2736.00,2735.90,2735.90,217
2026-06-19T10:01:00+05:30,2736.00,2736.00,2733.90,2736.00,14220
2026-06-19T10:02:00+05:30,2735.90,2736.00,2733.00,2733.00,1757
2026-06-19T10:03:00+05:30,2733.40,2733.40,2730.10,2732.60,2072
2026-06-19T10:04:00+05:30,2733.10,2735.40,2733.10,2735.00,830
2026-06-19T10:05:00+05:30,2735.00,2736.00,2734.20,2736.00,3316
2026-06-19T10:06:00+05:30,2736.50,2736.50,2734.20,2734.20,821
2026-06-19T10:07:00+05:30,2734.20,2734.90,2734.20,2734.50,459
2026-06-19T10:08:00+05:30,2734.90,2735.20,2734.90,2734.90,602
2026-06-19T10:09:00+05:30,2736.20,2742.00,2736.20,2739.90,2877
2026-06-19T10:10:00+05:30,2740.20,2741.90,2739.90,2740.10,1121
2026-06-19T10:11:00+05:30,2740.20,2740.70,2740.20,2740.70,130
2026-06-19T10:12:00+05:30,2742.10,2742.10,2741.10,2741.10,810
2026-06-19T10:13:00+05:30,2741.10,2742.00,2741.10,2742.00,706
2026-06-19T10:14:00+05:30,2742.00,2742.00,2740.30,2741.70,2065
2026-06-19T10:15:00+05:30,2741.70,2741.70,2741.20,2741.40,1101
2026-06-19T10:16:00+05:30,2741.50,2741.50,2738.90,2739.00,1911
2026-06-19T10:17:00+05:30,2739.00,2739.00,2737.30,2737.60,904
2026-06-19T10:18:00+05:30,2738.10,2740.00,2737.60,2739.20,1173
2026-06-19T10:19:00+05:30,2739.20,2739.20,2737.00,2737.00,561
2026-06-19T10:20:00+05:30,2737.00,2739.00,2736.00,2736.00,2069
2026-06-19T10:21:00+05:30,2736.00,2736.60,2733.10,2733.10,3683
2026-06-19T10:22:00+05:30,2733.10,2735.10,2732.50,2735.00,811
2026-06-19T10:23:00+05:30,2735.00,2735.10,2732.30,2732.30,800
2026-06-19T10:24:00+05:30,2732.00,2732.00,2731.30,2731.30,487
2026-06-19T10:25:00+05:30,2731.70,2734.10,2731.70,2733.00,1480
2026-06-19T10:26:00+05:30,2733.80,2733.80,2731.00,2731.10,1502
2026-06-19T10:27:00+05:30,2731.90,2733.60,2731.50,2732.60,1105
2026-06-19T10:28:00+05:30,2733.30,2733.80,2731.40,2733.00,920
2026-06-19T10:29:00+05:30,2733.80,2734.30,2733.00,2734.30,416
2026-06-19T10:30:00+05:30,2733.30,2734.90,2733.30,2733.90,277
2026-06-19T10:31:00+05:30,2734.00,2734.60,2733.90,2733.90,711
2026-06-19T10:32:00+05:30,2733.90,2733.90,2731.10,2731.60,1626
2026-06-19T10:33:00+05:30,2731.70,2732.90,2731.60,2731.80,807
2026-06-19T10:34:00+05:30,2731.80,2733.40,2731.80,2733.40,318
2026-06-19T10:35:00+05:30,2733.90,2734.30,2733.40,2733.90,573
2026-06-19T10:36:00+05:30,2734.00,2734.30,2734.00,2734.20,653
2026-06-19T10:37:00+05:30,2734.30,2736.00,2734.20,2735.40,1337
2026-06-19T10:38:00+05:30,2735.50,2735.90,2734.00,2735.10,4302
2026-06-19T10:39:00+05:30,2735.70,2735.70,2735.10,2735.10,513
2026-06-19T10:40:00+05:30,2735.30,2736.00,2735.30,2736.00,1262
2026-06-19T10:41:00+05:30,2735.40,2738.90,2735.40,2738.90,4455
2026-06-19T10:42:00+05:30,2738.90,2739.20,2735.30,2735.30,1948
2026-06-19T10:43:00+05:30,2735.30,2736.20,2735.30,2736.20,2614
2026-06-19T10:44:00+05:30,2736.20,2739.10,2736.00,2738.30,1799
2026-06-19T10:45:00+05:30,2738.40,2738.90,2738.40,2738.40,282
2026-06-19T10:46:00+05:30,2738.40,2738.80,2737.20,2737.20,649
2026-06-19T10:47:00+05:30,2738.00,2740.50,2737.00,2740.50,2120
2026-06-19T10:48:00+05:30,2739.80,2742.00,2739.80,2740.60,1101
2026-06-19T10:49:00+05:30,2740.70,2740.80,2740.60,2740.60,293
2026-06-19T10:50:00+05:30,2740.60,2740.60,2739.50,2740.10,1275
2026-06-19T10:51:00+05:30,2740.10,2740.60,2740.10,2740.10,385
2026-06-19T10:52:00+05:30,2740.10,2740.40,2740.10,2740.40,91
2026-06-19T10:53:00+05:30,2741.00,2741.00,2740.00,2740.00,660
2026-06-19T10:54:00+05:30,2740.00,2740.10,2740.00,2740.00,319
2026-06-19T10:55:00+05:30,2740.00,2740.70,2739.90,2739.90,742
2026-06-19T10:56:00+05:30,2739.90,2740.00,2739.60,2739.90,271
2026-06-19T10:57:00+05:30,2739.90,2739.90,2738.10,2738.20,2425
2026-06-19T10:58:00+05:30,2738.50,2740.30,2738.20,2739.30,2809
2026-06-19T10:59:00+05:30,2740.30,2740.90,2739.50,2740.60,216
2026-06-19T11:00:00+05:30,2740.00,2740.00,2739.10,2739.10,854
2026-06-19T11:01:00+05:30,2739.20,2741.20,2739.20,2739.70,1599
2026-06-19T11:02:00+05:30,2740.80,2740.80,2739.80,2739.90,155
2026-06-19T11:03:00+05:30,2739.90,2740.20,2737.00,2737.00,1899
2026-06-19T11:04:00+05:30,2737.90,2737.90,2737.00,2737.40,106
2026-06-19T11:05:00+05:30,2737.40,2737.60,2737.40,2737.60,521
2026-06-19T11:06:00+05:30,2737.60,2739.50,2737.50,2738.40,4815
2026-06-19T11:07:00+05:30,2738.60,2739.80,2738.40,2739.10,1688
2026-06-19T11:08:00+05:30,2739.10,2739.20,2739.10,2739.20,66
2026-06-19T11:09:00+05:30,2739.30,2740.00,2739.30,2739.50,356
2026-06-19T11:10:00+05:30,2739.50,2739.60,2739.50,2739.50,1343
2026-06-19T11:11:00+05:30,2739.50,2739.50,2737.90,2737.90,663
2026-06-19T11:12:00+05:30,2737.90,2737.90,2737.00,2737.90,1513
2026-06-19T11:13:00+05:30,2738.00,2739.00,2738.00,2738.00,479
2026-06-19T11:14:00+05:30,2738.70,2738.70,2733.30,2734.00,3474
2026-06-19T11:15:00+05:30,2734.00,2734.20,2733.00,2733.00,1643
2026-06-19T11:16:00+05:30,2732.90,2733.10,2732.00,2732.40,1272
2026-06-19T11:17:00+05:30,2732.40,2734.50,2732.40,2733.20,504
2026-06-19T11:18:00+05:30,2733.20,2733.90,2733.20,2733.30,715
2026-06-19T11:19:00+05:30,2733.80,2735.00,2733.30,2734.00,567
2026-06-19T11:20:00+05:30,2735.00,2735.00,2733.30,2733.30,2024
2026-06-19T11:21:00+05:30,2733.40,2733.50,2733.40,2733.50,517
2026-06-19T11:22:00+05:30,2733.50,2733.50,2733.50,2733.50,406
2026-06-19T11:23:00+05:30,2733.50,2733.50,2733.20,2733.20,576
2026-06-19T11:24:00+05:30,2733.20,2733.20,2733.20,2733.20,278
2026-06-19T11:25:00+05:30,2733.30,2733.30,2733.20,2733.20,163
2026-06-19T11:26:00+05:30,2733.00,2733.00,2732.40,2732.40,978
2026-06-19T11:27:00+05:30,2732.40,2733.00,2732.40,2732.50,200
2026-06-19T11:28:00+05:30,2732.50,2733.00,2732.50,2733.00,746
2026-06-19T11:29:00+05:30,2733.10,2733.10,2733.10,2733.10,363
2026-06-19T11:30:00+05:30,2733.50,2734.40,2733.50,2733.50,1161
2026-06-19T11:31:00+05:30,2734.00,2735.00,2733.90,2734.10,782
