ts,open,high,low,close,volume
2026-06-19T09:15:00+05:30,787.40,789.00,785.00,785.65,0
2026-06-19T09:16:00+05:30,785.60,785.60,784.20,785.20,462912
2026-06-19T09:17:00+05:30,785.35,785.80,784.40,785.35,386682
2026-06-19T09:18:00+05:30,785.40,786.30,785.10,786.30,381117
2026-06-19T09:19:00+05:30,786.10,787.50,786.10,786.75,269986
2026-06-19T09:20:00+05:30,787.00,787.00,785.70,786.20,212464
2026-06-19T09:21:00+05:30,786.20,786.25,785.25,785.70,269228
2026-06-19T09:22:00+05:30,785.45,785.70,784.70,785.25,235017
2026-06-19T09:23:00+05:30,785.25,785.60,784.95,785.15,180197
2026-06-19T09:24:00+05:30,785.20,785.25,784.30,784.30,201995
2026-06-19T09:25:00+05:30,784.20,784.50,783.55,784.00,223862
2026-06-19T09:26:00+05:30,784.00,784.25,783.20,783.45,178348
2026-06-19T09:27:00+05:30,783.20,783.35,782.20,782.60,326162
2026-06-19T09:28:00+05:30,782.60,782.85,782.00,782.15,171723
2026-06-19T09:29:00+05:30,782.20,782.65,781.60,781.80,178238
2026-06-19T09:30:00+05:30,781.80,781.95,781.50,781.60,105251
2026-06-19T09:31:00+05:30,781.85,781.85,781.00,781.15,129437
2026-06-19T09:32:00+05:30,781.05,781.35,781.00,781.25,135818
2026-06-19T09:33:00+05:30,781.40,782.00,781.20,781.55,133442
2026-06-19T09:34:00+05:30,781.55,781.85,781.05,781.80,191855
2026-06-19T09:35:00+05:30,781.80,781.90,781.40,781.80,95368
2026-06-19T09:36:00+05:30,781.80,782.60,781.65,782.25,134967
2026-06-19T09:37:00+05:30,782.30,782.40,781.90,782.05,160666
2026-06-19T09:38:00+05:30,782.00,782.25,781.60,782.10,149965
2026-06-19T09:39:00+05:30,782.10,782.90,782.05,782.60,67276
2026-06-19T09:40:00+05:30,782.75,783.00,782.60,782.90,75909
2026-06-19T09:41:00+05:30,783.00,783.00,782.35,782.50,117500
2026-06-19T09:42:00+05:30,782.40,782.70,782.30,782.45,54464
2026-06-19T09:43:00+05:30,782.45,782.95,782.45,782.55,53433
2026-06-19T09:44:00+05:30,782.50,782.80,782.25,782.80,55468
2026-06-19T09:45:00+05:30,782.80,782.80,782.05,782.05,75789
2026-06-19T09:46:00+05:30,782.15,782.25,782.00,782.05,48920
2026-06-19T09:47:00+05:30,782.15,782.60,782.00,782.60,84414
2026-06-19T09:48:00+05:30,782.50,782.55,782.05,782.15,44882
2026-06-19T09:49:00+05:30,782.10,783.50,782.10,783.10,300313
2026-06-19T09:50:00+05:30,783.00,783.10,782.50,782.80,210582
2026-06-19T09:51:00+05:30,782.90,782.90,782.00,782.20,68266
2026-06-19T09:52:00+05:30,782.00,782.60,781.75,782.35,119350
2026-06-19T09:53:00+05:30,782.35,782.55,782.10,782.35,63054
2026-06-19T09:54:00+05:30,782.25,782.55,782.15,782.55,47272
2026-06-19T09:55:00+05:30,782.55,782.70,782.35,782.50,48886
2026-06-19T09:56:00+05:30,782.45,782.60,782.30,782.40,41042
2026-06-19T09:57:00+05:30,782.40,782.60,782.20,782.20,54526
2026-06-19T09:58:00+05:30,782.35,782.75,782.20,782.40,61427
2026-06-19T09:59:00+05:30,782.50,782.75,782.35,782.70,32039
2026-06-19T10:00:00+05:30,782.70,782.75,782.30,782.30,47095
2026-06-19T10:01:00+05:30,782.30,782.30,781.20,781.45,144697
2026-06-19T10:02:00+05:30,781.35,781.80,781.20,781.40,60913
2026-06-19T10:03:00+05:30,781.35,781.40,781.10,781.25,44621
2026-06-19T10:04:00+05:30,781.10,781.65,781.10,781.45,44540
2026-06-19T10:05:00+05:30,781.40,781.70,781.30,781.35,41817
2026-06-19T10:06:00+05:30,781.30,781.85,781.25,781.85,111330
2026-06-19T10:07:00+05:30,781.85,782.20,781.50,781.75,89917
2026-06-19T10:08:00+05:30,781.85,782.40,781.65,782.10,154842
2026-06-19T10:09:00+05:30,782.05,782.50,782.00,782.25,195334
2026-06-19T10:10:00+05:30,782.25,782.55,782.05,782.50,80714
2026-06-19T10:11:00+05:30,782.30,782.60,782.05,782.05,72351
