ts,open,high,low,close,volume
2026-06-19T09:15:00+05:30,402.90,403.20,402.90,402.95,0
2026-06-19T09:16:00+05:30,403.15,403.15,402.60,402.95,32472
2026-06-19T09:17:00+05:30,402.95,403.35,402.80,403.35,34603
2026-06-19T09:18:00+05:30,403.35,403.35,402.90,403.00,27011
2026-06-19T09:19:00+05:30,402.75,402.90,402.45,402.45,12224
2026-06-19T09:20:00+05:30,402.25,402.25,402.00,402.00,25182
2026-06-19T09:21:00+05:30,402.15,402.25,401.80,401.80,26521
2026-06-19T09:22:00+05:30,401.70,401.75,401.40,401.45,5576
2026-06-19T09:23:00+05:30,401.50,401.70,401.50,401.60,23388
2026-06-19T09:24:00+05:30,401.45,401.55,401.45,401.55,11219
2026-06-19T09:25:00+05:30,401.30,401.30,401.00,401.00,5469
2026-06-19T09:26:00+05:30,401.05,401.60,400.90,401.60,20594
2026-06-19T09:27:00+05:30,401.65,401.65,401.30,401.30,9552
2026-06-19T09:28:00+05:30,401.30,401.70,401.10,401.60,28859
2026-06-19T09:29:00+05:30,401.75,401.80,400.75,400.75,65108
2026-06-19T09:30:00+05:30,400.70,400.80,400.55,400.75,14196
2026-06-19T09:31:00+05:30,400.75,400.75,400.50,400.55,35221
2026-06-19T09:32:00+05:30,400.45,400.90,400.25,400.80,35702
2026-06-19T09:33:00+05:30,400.80,400.95,400.80,400.95,13154
2026-06-19T09:34:00+05:30,401.05,401.05,400.60,400.85,13178
2026-06-19T09:35:00+05:30,400.80,400.80,400.65,400.65,5305
2026-06-19T09:36:00+05:30,400.70,401.00,400.70,401.00,23646
2026-06-19T09:37:00+05:30,401.05,401.05,400.85,401.00,8576
2026-06-19T09:38:00+05:30,401.00,401.00,400.90,400.90,5866
2026-06-19T09:39:00+05:30,401.00,401.25,401.00,401.10,15466
2026-06-19T09:40:00+05:30,401.10,401.30,401.10,401.15,5948
2026-06-19T09:41:00+05:30,401.10,401.10,400.30,400.30,91014
2026-06-19T09:42:00+05:30,400.35,400.35,400.25,400.30,23407
2026-06-19T09:43:00+05:30,400.30,400.55,400.30,400.30,86469
2026-06-19T09:44:00+05:30,400.35,400.45,400.30,400.45,13532
2026-06-19T09:45:00+05:30,400.50,400.55,400.40,400.40,9587
2026-06-19T09:46:00+05:30,400.40,400.70,400.40,400.70,14939
2026-06-19T09:47:00+05:30,400.65,400.70,400.60,400.70,12655
2026-06-19T09:48:00+05:30,400.80,400.90,400.70,400.90,4417
2026-06-19T09:49:00+05:30,400.85,400.85,400.80,400.80,6088
2026-06-19T09:50:00+05:30,400.80,400.95,400.80,400.90,4564
2026-06-19T09:51:00+05:30,400.90,400.90,400.70,400.75,7668
2026-06-19T09:52:00+05:30,400.60,400.75,400.50,400.55,8682
2026-06-19T09:53:00+05:30,400.75,400.75,400.50,400.50,15183
2026-06-19T09:54:00+05:30,400.75,400.75,400.50,400.60,4633
2026-06-19T09:55:00+05:30,400.60,400.80,400.55,400.60,7800
2026-06-19T09:56:00+05:30,400.60,400.80,400.60,400.80,6123
2026-06-19T09:57:00+05:30,400.65,400.75,400.60,400.65,7017
2026-06-19T09:58:00+05:30,400.70,400.85,400.70,400.70,4694
2026-06-19T09:59:00+05:30,400.70,400.90,400.70,400.80,4093
2026-06-19T10:00:00+05:30,400.90,400.90,400.60,400.60,17342
2026-06-19T10:01:00+05:30,400.40,400.65,400.40,400.65,16932
2026-06-19T10:02:00+05:30,400.45,400.65,400.40,400.45,5658
2026-06-19T10:03:00+05:30,400.45,400.60,400.40,400.45,6277
2026-06-19T10:04:00+05:30,400.45,400.65,400.45,400.50,9774
2026-06-19T10:05:00+05:30,400.50,400.65,400.40,400.40,24677
2026-06-19T10:06:00+05:30,400.60,400.70,400.45,400.55,5844
2026-06-19T10:07:00+05:30,400.60,400.80,400.60,400.75,14417
2026-06-19T10:08:00+05:30,400.60,400.80,400.50,400.50,17698
2026-06-19T10:09:00+05:30,400.60,400.80,400.55,400.65,18254
2026-06-19T10:10:00+05:30,400.75,400.75,400.70,400.75,47653
2026-06-19T10:11:00+05:30,400.65,400.90,400.65,400.80,7328
2026-06-19T10:12:00+05:30,400.80,400.95,400.70,400.70,6529
2026-06-19T10:13:00+05:30,400.70,400.95,400.65,400.80,9959
2026-06-19T10:14:00+05:30,400.75,400.95,400.70,400.85,18940
2026-06-19T10:15:00+05:30,400.95,400.95,400.80,400.80,11198
2026-06-19T10:16:00+05:30,401.00,401.00,400.75,400.80,7329
2026-06-19T10:17:00+05:30,401.00,401.00,400.80,400.80,17826
2026-06-19T10:18:00+05:30,400.90,401.00,400.80,400.80,7728
2026-06-19T10:19:00+05:30,400.85,400.95,400.80,400.80,6500
2026-06-19T10:20:00+05:30,400.95,400.95,400.75,400.95,11901
2026-06-19T10:21:00+05:30,400.75,400.95,400.55,400.70,15035
2026-06-19T10:22:00+05:30,400.90,400.90,400.65,400.75,9982
2026-06-19T10:23:00+05:30,400.80,400.95,400.65,400.65,6530
2026-06-19T10:24:00+05:30,400.55,400.65,400.50,400.50,13145
2026-06-19T10:25:00+05:30,400.50,400.75,400.50,400.75,7308
2026-06-19T10:26:00+05:30,400.70,400.75,400.50,400.50,5824
2026-06-19T10:27:00+05:30,400.60,400.60,400.40,400.45,7539
2026-06-19T10:28:00+05:30,400.45,400.65,400.40,400.60,9263
2026-06-19T10:29:00+05:30,400.45,400.50,400.40,400.40,6737
2026-06-19T10:30:00+05:30,400.55,400.55,400.35,400.35,11346
2026-06-19T10:31:00+05:30,400.45,400.55,400.35,400.35,7036
2026-06-19T10:32:00+05:30,400.35,400.60,400.35,400.40,10067
2026-06-19T10:33:00+05:30,400.60,400.60,400.40,400.50,4544
2026-06-19T10:34:00+05:30,400.45,400.45,400.40,400.45,11436
2026-06-19T10:35:00+05:30,400.45,400.60,400.40,400.40,11000
2026-06-19T10:36:00+05:30,400.40,400.55,400.35,400.40,8921
2026-06-19T10:37:00+05:30,400.40,400.60,400.40,400.40,9042
2026-06-19T10:38:00+05:30,400.45,400.45,400.30,400.30,11104
2026-06-19T10:39:00+05:30,400.30,400.45,400.25,400.40,5212
2026-06-19T10:40:00+05:30,400.50,400.50,400.25,400.25,18137
2026-06-19T10:41:00+05:30,400.30,400.35,400.15,400.20,10100
2026-06-19T10:42:00+05:30,400.35,400.50,400.10,400.50,37158
2026-06-19T10:43:00+05:30,400.20,400.45,400.20,400.30,10775
2026-06-19T10:44:00+05:30,400.30,400.65,400.30,400.35,10087
