ts,open,high,low,close,volume
2026-06-19T09:15:00+05:30,23991.20,23991.20,23951.60,23959.20,0
2026-06-19T09:16:00+05:30,23959.55,23971.65,23940.45,23970.95,0
2026-06-19T09:17:00+05:30,23971.30,23980.70,23962.55,23980.00,0
2026-06-19T09:18:00+05:30,23980.70,23980.85,23962.35,23977.45,0
2026-06-19T09:19:00+05:30,23977.15,23983.80,23970.60,23980.90,0
2026-06-19T09:20:00+05:30,23980.80,23981.20,23969.25,23975.85,0
2026-06-19T09:21:00+05:30,23976.35,23977.80,23969.90,23975.60,0
2026-06-19T09:22:00+05:30,23975.70,23977.50,23968.80,23971.90,0
2026-06-19T09:23:00+05:30,23972.25,23975.10,23967.75,23967.80,0
2026-06-19T09:24:00+05:30,23967.00,23968.70,23961.20,23962.85,0
2026-06-19T09:25:00+05:30,23963.05,23964.70,23945.65,23948.95,0
2026-06-19T09:26:00+05:30,23949.80,23960.35,23945.05,23959.00,0
2026-06-19T09:27:00+05:30,23959.85,23960.70,23953.15,23954.30,0
2026-06-19T09:28:00+05:30,23955.10,23959.75,23949.70,23957.60,0
2026-06-19T09:29:00+05:30,23957.50,23960.75,23953.50,23955.95,0
2026-06-19T09:30:00+05:30,23955.55,23957.00,23938.75,23942.65,0
2026-06-19T09:31:00+05:30,23946.10,23955.10,23943.20,23947.30,0
2026-06-19T09:32:00+05:30,23947.05,23954.90,23940.45,23954.90,0
2026-06-19T09:33:00+05:30,23954.85,23958.40,23952.55,23954.65,0
2026-06-19T09:34:00+05:30,23955.05,23956.15,23948.15,23950.35,0
2026-06-19T09:35:00+05:30,23950.05,23953.90,23946.15,23952.25,0
2026-06-19T09:36:00+05:30,23952.00,23969.40,23952.00,23968.10,0
2026-06-19T09:37:00+05:30,23968.05,23968.05,23958.20,23960.55,0
2026-06-19T09:38:00+05:30,23960.55,23962.55,23957.45,23958.85,0
2026-06-19T09:39:00+05:30,23959.90,23970.65,23958.40,23970.15,0
2026-06-19T09:40:00+05:30,23970.40,23981.85,23970.40,23979.65,0
2026-06-19T09:41:00+05:30,23979.20,23981.35,23967.90,23969.20,0
2026-06-19T09:42:00+05:30,23968.60,23974.75,23966.40,23971.35,0
2026-06-19T09:43:00+05:30,23971.60,23978.90,23971.15,23975.25,0
2026-06-19T09:44:00+05:30,23975.25,23977.80,23972.30,23974.10,0
2026-06-19T09:45:00+05:30,23975.20,23976.80,23963.90,23964.25,0
2026-06-19T09:46:00+05:30,23964.00,23971.40,23961.80,23969.40,0
2026-06-19T09:47:00+05:30,23969.45,23974.50,23965.75,23973.55,0
2026-06-19T09:48:00+05:30,23975.40,23976.50,23972.05,23973.35,0
2026-06-19T09:49:00+05:30,23972.50,23979.60,23972.15,23976.55,0
2026-06-19T09:50:00+05:30,23977.45,23978.60,23969.15,23971.45,0
2026-06-19T09:51:00+05:30,23971.70,23973.15,23966.40,23967.05,0
2026-06-19T09:52:00+05:30,23965.00,23973.45,23961.80,23972.90,0
2026-06-19T09:53:00+05:30,23973.40,23979.70,23970.15,23978.90,0
2026-06-19T09:54:00+05:30,23978.80,23986.70,23978.80,23986.25,0
2026-06-19T09:55:00+05:30,23985.10,23990.05,23984.90,23985.90,0
2026-06-19T09:56:00+05:30,23984.75,23989.40,23983.35,23984.05,0
2026-06-19T09:57:00+05:30,23983.70,23988.60,23982.40,23985.50,0
2026-06-19T09:58:00+05:30,23984.70,23987.75,23983.05,23987.00,0
2026-06-19T09:59:00+05:30,23987.75,23989.45,23986.45,23987.90,0
2026-06-19T10:00:00+05:30,23987.70,23989.05,23974.10,23975.90,0
2026-06-19T10:01:00+05:30,23975.60,23975.60,23967.35,23967.85,0
2026-06-19T10:02:00+05:30,23967.95,23971.35,23966.25,23967.50,0
2026-06-19T10:03:00+05:30,23967.20,23970.35,23963.60,23966.25,0
2026-06-19T10:04:00+05:30,23966.00,23973.50,23965.20,23973.50,0
2026-06-19T10:05:00+05:30,23973.55,23975.60,23970.20,23975.60,0
2026-06-19T10:06:00+05:30,23975.20,23983.00,23974.20,23982.90,0
2026-06-19T10:07:00+05:30,23982.65,23990.65,23980.75,23984.50,0
2026-06-19T10:08:00+05:30,23984.05,23989.30,23981.30,23987.15,0
2026-06-19T10:09:00+05:30,23987.15,23993.80,23986.60,23991.55,0
2026-06-19T10:10:00+05:30,23991.55,23996.50,23987.95,23995.45,0
2026-06-19T10:11:00+05:30,23995.35,23997.30,23992.75,23995.05,0
2026-06-19T10:12:00+05:30,23995.90,23998.30,23994.00,23998.00,0
2026-06-19T10:13:00+05:30,23997.30,24005.85,23996.05,24005.85,0
2026-06-19T10:14:00+05:30,24005.55,24011.10,24003.40,24009.95,0
2026-06-19T10:15:00+05:30,24010.35,24010.55,24005.20,24005.45,0
2026-06-19T10:16:00+05:30,24005.30,24006.50,23997.65,23999.00,0
2026-06-19T10:17:00+05:30,23998.80,24001.00,23992.30,23994.30,0
2026-06-19T10:18:00+05:30,23994.30,23997.20,23991.85,23997.20,0
2026-06-19T10:19:00+05:30,23996.45,24000.55,23991.65,23992.40,0
2026-06-19T10:20:00+05:30,23993.35,23997.00,23991.55,23992.55,0
2026-06-19T10:21:00+05:30,23992.65,23993.60,23985.65,23987.75,0
2026-06-19T10:22:00+05:30,23988.10,23989.40,23982.90,23989.20,0
2026-06-19T10:23:00+05:30,23989.15,23995.35,23987.35,23987.55,0
2026-06-19T10:24:00+05:30,23987.15,23988.40,23978.35,23983.00,0
2026-06-19T10:25:00+05:30,23981.95,23984.50,23979.85,23982.70,0
2026-06-19T10:26:00+05:30,23982.20,23984.25,23971.65,23973.55,0
2026-06-19T10:27:00+05:30,23974.00,23975.85,23969.65,23970.30,0
2026-06-19T10:28:00+05:30,23970.15,23972.85,23968.05,23969.20,0
2026-06-19T10:29:00+05:30,23968.80,23970.55,23965.25,23966.85,0
2026-06-19T10:30:00+05:30,23966.75,23972.05,23966.75,23969.75,0
2026-06-19T10:31:00+05:30,23969.85,23970.45,23963.85,23964.15,0
2026-06-19T10:32:00+05:30,23963.85,23964.65,23958.20,23959.25,0
2026-06-19T10:33:00+05:30,23960.35,23961.80,23954.70,23955.85,0
2026-06-19T10:34:00+05:30,23955.15,23961.80,23953.90,23960.95,0
2026-06-19T10:35:00+05:30,23960.75,23962.85,23958.75,23962.00,0
2026-06-19T10:36:00+05:30,23962.05,23967.25,23958.55,23959.15,0
