ts,open,high,low,close,volume
2026-06-19T09:15:00+05:30,1823.40,1830.70,1823.40,1828.50,0
2026-06-19T09:16:00+05:30,1830.90,1834.70,1830.80,1833.70,15010
2026-06-19T09:17:00+05:30,1833.00,1835.60,1832.90,1834.70,12631
2026-06-19T09:18:00+05:30,1833.40,1835.70,1832.00,1835.00,7798
2026-06-19T09:19:00+05:30,1835.00,1838.50,1835.00,1836.70,18008
2026-06-19T09:20:00+05:30,1836.40,1838.70,1836.40,1837.10,12636
2026-06-19T09:21:00+05:30,1837.10,1838.20,1835.90,1838.20,6598
2026-06-19T09:22:00+05:30,1837.10,1837.90,1836.70,1837.00,8364
2026-06-19T09:23:00+05:30,1836.60,1836.60,1833.80,1835.30,15746
2026-06-19T09:24:00+05:30,1834.60,1835.00,1834.20,1835.00,2563
2026-06-19T09:25:00+05:30,1835.00,1835.70,1834.90,1834.90,13020
2026-06-19T09:26:00+05:30,1835.00,1835.10,1833.80,1834.60,8862
2026-06-19T09:27:00+05:30,1834.40,1834.50,1833.50,1834.40,2811
2026-06-19T09:28:00+05:30,1834.10,1834.70,1833.40,1834.60,2303
2026-06-19T09:29:00+05:30,1834.20,1834.90,1834.00,1834.60,3308
2026-06-19T09:30:00+05:30,1834.50,1835.50,1834.50,1835.50,3366
2026-06-19T09:31:00+05:30,1835.50,1835.50,1835.10,1835.10,3034
2026-06-19T09:32:00+05:30,1835.20,1835.20,1834.20,1834.30,1700
2026-06-19T09:33:00+05:30,1834.30,1834.50,1832.40,1832.80,3567
2026-06-19T09:34:00+05:30,1832.80,1832.90,1832.00,1832.90,2522
2026-06-19T09:35:00+05:30,1833.50,1833.50,1832.10,1832.10,1290
2026-06-19T09:36:00+05:30,1831.80,1833.80,1831.80,1832.90,3945
2026-06-19T09:37:00+05:30,1832.40,1832.90,1832.10,1832.60,1635
2026-06-19T09:38:00+05:30,1832.40,1832.60,1831.10,1832.30,2187
2026-06-19T09:39:00+05:30,1832.20,1833.00,1831.70,1833.00,2201
2026-06-19T09:40:00+05:30,1832.80,1833.60,1832.50,1833.10,1966
2026-06-19T09:41:00+05:30,1833.60,1833.90,1832.00,1832.00,1987
2026-06-19T09:42:00+05:30,1832.10,1832.70,1831.30,1831.30,2985
2026-06-19T09:43:00+05:30,1831.40,1832.00,1831.40,1831.80,3047
2026-06-19T09:44:00+05:30,1831.10,1831.70,1831.10,1831.20,1818
2026-06-19T09:45:00+05:30,1831.10,1831.10,1830.70,1830.80,1800
2026-06-19T09:46:00+05:30,1830.60,1831.60,1830.60,1831.60,3049
2026-06-19T09:47:00+05:30,1831.90,1832.00,1831.30,1831.90,1632
2026-06-19T09:48:00+05:30,1831.70,1831.90,1830.80,1830.80,779
2026-06-19T09:49:00+05:30,1831.60,1831.90,1830.80,1831.90,1961
2026-06-19T09:50:00+05:30,1831.80,1832.30,1831.60,1832.00,1733
2026-06-19T09:51:00+05:30,1832.00,1832.80,1831.70,1832.10,2383
2026-06-19T09:52:00+05:30,1831.90,1832.30,1831.70,1831.80,606
2026-06-19T09:53:00+05:30,1831.80,1832.70,1831.80,1832.70,1796
2026-06-19T09:54:00+05:30,1832.70,1832.70,1832.00,1832.00,2206
2026-06-19T09:55:00+05:30,1832.90,1833.40,1832.90,1833.00,1157
2026-06-19T09:56:00+05:30,1833.30,1834.60,1833.30,1834.60,3480
2026-06-19T09:57:00+05:30,1834.70,1834.70,1834.30,1834.40,2167
2026-06-19T09:58:00+05:30,1834.20,1834.20,1833.00,1833.30,1179
2026-06-19T09:59:00+05:30,1833.30,1833.90,1833.30,1833.60,2214
2026-06-19T10:00:00+05:30,1833.90,1833.90,1833.00,1833.00,845
2026-06-19T10:01:00+05:30,1833.30,1833.30,1832.60,1832.90,1080
2026-06-19T10:02:00+05:30,1832.80,1833.50,1832.10,1833.50,10955
2026-06-19T10:03:00+05:30,1833.10,1833.10,1832.50,1832.70,1263
2026-06-19T10:04:00+05:30,1832.60,1832.60,1832.00,1832.00,556
2026-06-19T10:05:00+05:30,1832.30,1832.30,1831.60,1832.30,2331
2026-06-19T10:06:00+05:30,1832.10,1832.80,1831.80,1832.70,1386
2026-06-19T10:07:00+05:30,1832.60,1833.20,1832.60,1832.80,1624
2026-06-19T10:08:00+05:30,1832.70,1833.00,1832.10,1832.20,1475
2026-06-19T10:09:00+05:30,1832.10,1832.90,1831.30,1831.30,13434
2026-06-19T10:10:00+05:30,1831.30,1832.50,1831.30,1832.40,1873
2026-06-19T10:11:00+05:30,1832.30,1833.00,1832.10,1833.00,1723
2026-06-19T10:12:00+05:30,1833.90,1835.50,1833.90,1835.10,14995
2026-06-19T10:13:00+05:30,1834.70,1835.50,1834.40,1835.50,1700
2026-06-19T10:14:00+05:30,1835.50,1836.10,1835.50,1836.10,4297
2026-06-19T10:15:00+05:30,1836.00,1836.00,1834.00,1834.00,2451
2026-06-19T10:16:00+05:30,1833.20,1833.20,1831.10,1831.80,2487
2026-06-19T10:17:00+05:30,1831.80,1832.00,1831.30,1831.30,4772
2026-06-19T10:18:00+05:30,1830.80,1830.80,1829.90,1830.40,4464
2026-06-19T10:19:00+05:30,1830.70,1830.80,1829.30,1829.30,5905
2026-06-19T10:20:00+05:30,1829.30,1829.90,1829.00,1829.80,958
2026-06-19T10:21:00+05:30,1829.80,1829.90,1829.50,1829.50,928
2026-06-19T10:22:00+05:30,1829.50,1829.50,1828.20,1828.60,1110
2026-06-19T10:23:00+05:30,1828.70,1828.70,1827.70,1827.80,3325
2026-06-19T10:24:00+05:30,1827.70,1828.40,1827.10,1828.40,1505
2026-06-19T10:25:00+05:30,1828.90,1828.90,1828.40,1828.40,853
2026-06-19T10:26:00+05:30,1828.30,1828.40,1827.90,1827.90,1990
2026-06-19T10:27:00+05:30,1827.80,1827.80,1827.40,1827.40,2005
2026-06-19T10:28:00+05:30,1827.30,1827.50,1827.10,1827.10,852
2026-06-19T10:29:00+05:30,1827.00,1827.30,1826.80,1827.30,4682
2026-06-19T10:30:00+05:30,1828.10,1828.20,1828.00,1828.00,1629
2026-06-19T10:31:00+05:30,1828.10,1828.10,1827.70,1828.10,386
2026-06-19T10:32:00+05:30,1828.00,1829.50,1828.00,1829.50,652
2026-06-19T10:33:00+05:30,1829.40,1829.50,1829.20,1829.20,1161
2026-06-19T10:34:00+05:30,1829.60,1829.60,1828.90,1829.50,968
2026-06-19T10:35:00+05:30,1829.40,1831.00,1829.40,1830.70,537
2026-06-19T10:36:00+05:30,1830.80,1832.20,1830.30,1831.30,2849
2026-06-19T10:37:00+05:30,1831.30,1831.40,1830.60,1831.10,729
2026-06-19T10:38:00+05:30,1831.20,1832.30,1830.30,1832.30,2555
2026-06-19T10:39:00+05:30,1832.20,1832.50,1831.60,1831.60,494
2026-06-19T10:40:00+05:30,1832.00,1832.00,1830.40,1830.60,7415
2026-06-19T10:41:00+05:30,1830.60,1830.60,1829.90,1829.90,734
2026-06-19T10:42:00+05:30,1830.90,1831.00,1830.70,1830.90,1173
2026-06-19T10:43:00+05:30,1831.00,1831.00,1829.80,1830.00,6579
2026-06-19T10:44:00+05:30,1829.80,1831.00,1829.80,1830.80,1053
2026-06-19T10:45:00+05:30,1830.30,1830.80,1830.30,1830.50,1196
2026-06-19T10:46:00+05:30,1830.50,1830.50,1829.80,1829.90,211
2026-06-19T10:47:00+05:30,1829.60,1830.00,1829.40,1829.90,613
2026-06-19T10:48:00+05:30,1830.00,1830.00,1828.40,1828.40,7288
2026-06-19T10:49:00+05:30,1828.40,1828.40,1828.10,1828.30,460
2026-06-19T10:50:00+05:30,1828.30,1828.30,1827.70,1827.70,1938
2026-06-19T10:51:00+05:30,1827.40,1828.60,1827.10,1828.40,1924
2026-06-19T10:52:00+05:30,1828.30,1828.40,1828.10,1828.10,774
2026-06-19T10:53:00+05:30,1828.10,1828.60,1827.80,1828.40,612
2026-06-19T10:54:00+05:30,1828.20,1828.90,1827.70,1828.90,597
2026-06-19T10:55:00+05:30,1828.90,1829.00,1828.60,1828.80,352
2026-06-19T10:56:00+05:30,1829.00,1829.00,1828.30,1828.50,858
2026-06-19T10:57:00+05:30,1828.20,1828.40,1828.20,1828.20,436
2026-06-19T10:58:00+05:30,1828.20,1828.20,1827.20,1827.20,860
2026-06-19T10:59:00+05:30,1827.20,1827.70,1826.70,1826.70,688
2026-06-19T11:00:00+05:30,1826.70,1827.10,1826.00,1826.20,1979
2026-06-19T11:01:00+05:30,1826.10,1826.60,1826.00,1826.50,890
2026-06-19T11:02:00+05:30,1826.40,1826.60,1826.30,1826.30,372
