ts,open,high,low,close,volume
2026-06-19T09:15:00+05:30,199.25,199.25,197.15,197.60,0
2026-06-19T09:16:00+05:30,197.60,198.35,197.55,198.20,162087
2026-06-19T09:17:00+05:30,198.30,198.30,197.90,198.30,267607
2026-06-19T09:18:00+05:30,198.35,198.75,198.30,198.70,110347
2026-06-19T09:19:00+05:30,198.70,199.25,198.50,199.20,131385
2026-06-19T09:20:00+05:30,199.20,199.20,198.55,198.85,103088
2026-06-19T09:21:00+05:30,198.85,199.00,198.60,198.95,110456
2026-06-19T09:22:00+05:30,198.95,198.95,198.85,198.95,91554
2026-06-19T09:23:00+05:30,198.95,198.95,198.70,198.90,86337
2026-06-19T09:24:00+05:30,198.90,199.00,198.80,199.00,177594
2026-06-19T09:25:00+05:30,198.95,199.15,198.80,198.80,85433
2026-06-19T09:26:00+05:30,198.85,199.10,198.85,199.00,105114
2026-06-19T09:27:00+05:30,199.00,199.10,198.75,198.80,67809
2026-06-19T09:28:00+05:30,198.80,198.90,198.75,198.75,42745
2026-06-19T09:29:00+05:30,198.70,198.80,198.65,198.75,86420
2026-06-19T09:30:00+05:30,198.85,198.85,198.60,198.60,37251
2026-06-19T09:31:00+05:30,198.60,198.70,198.50,198.55,44515
2026-06-19T09:32:00+05:30,198.55,198.55,198.30,198.35,84593
2026-06-19T09:33:00+05:30,198.50,198.50,198.35,198.35,51070
2026-06-19T09:34:00+05:30,198.40,198.40,198.25,198.35,80378
2026-06-19T09:35:00+05:30,198.30,198.35,198.15,198.30,41313
2026-06-19T09:36:00+05:30,198.25,198.35,198.20,198.35,75839
2026-06-19T09:37:00+05:30,198.35,198.45,198.25,198.30,50955
2026-06-19T09:38:00+05:30,198.30,198.40,198.10,198.40,114027
2026-06-19T09:39:00+05:30,198.35,198.50,198.35,198.50,126803
2026-06-19T09:40:00+05:30,198.45,198.75,198.45,198.70,59247
2026-06-19T09:41:00+05:30,198.85,198.85,198.55,198.55,95397
2026-06-19T09:42:00+05:30,198.55,198.60,198.50,198.60,31787
2026-06-19T09:43:00+05:30,198.60,198.85,198.60,198.85,61504
2026-06-19T09:44:00+05:30,198.80,198.80,198.60,198.65,51649
2026-06-19T09:45:00+05:30,198.65,198.65,198.30,198.30,93286
2026-06-19T09:46:00+05:30,198.30,198.45,198.25,198.45,58704
2026-06-19T09:47:00+05:30,198.45,198.50,198.45,198.50,28899
2026-06-19T09:48:00+05:30,198.50,198.70,198.50,198.55,70848
2026-06-19T09:49:00+05:30,198.60,198.75,198.10,198.10,119036
2026-06-19T09:50:00+05:30,198.15,198.15,197.75,197.75,205514
2026-06-19T09:51:00+05:30,197.70,198.00,197.55,197.90,165426
2026-06-19T09:52:00+05:30,197.90,198.00,197.85,198.00,85107
2026-06-19T09:53:00+05:30,198.00,198.10,197.95,198.10,131340
2026-06-19T09:54:00+05:30,198.10,198.10,198.05,198.10,30782
2026-06-19T09:55:00+05:30,198.15,198.15,198.05,198.10,117916
2026-06-19T09:56:00+05:30,198.10,198.15,198.05,198.05,108428
2026-06-19T09:57:00+05:30,198.05,198.05,197.95,198.00,86223
2026-06-19T09:58:00+05:30,198.00,198.05,198.00,198.05,61617
2026-06-19T09:59:00+05:30,198.05,198.10,198.05,198.10,38310
2026-06-19T10:00:00+05:30,198.15,198.15,198.00,198.00,41174
2026-06-19T10:01:00+05:30,198.00,198.05,197.95,198.00,128588
