ts,open,high,low,close,volume
2026-06-19T09:15:00+05:30,2111.90,2111.90,2068.50,2073.20,0
2026-06-19T09:16:00+05:30,2069.00,2078.60,2062.20,2076.50,379477
2026-06-19T09:17:00+05:30,2077.10,2081.50,2069.90,2073.30,321708
2026-06-19T09:18:00+05:30,2075.70,2075.70,2063.00,2065.90,219177
2026-06-19T09:19:00+05:30,2066.30,2073.00,2064.20,2071.90,133650
2026-06-19T09:20:00+05:30,2072.30,2072.40,2068.70,2071.00,95499
2026-06-19T09:21:00+05:30,2071.80,2073.30,2065.10,2068.40,148410
2026-06-19T09:22:00+05:30,2067.70,2072.00,2067.60,2071.60,106231
2026-06-19T09:23:00+05:30,2071.70,2075.50,2070.90,2074.30,80160
2026-06-19T09:24:00+05:30,2073.90,2075.10,2072.70,2074.10,73003
2026-06-19T09:25:00+05:30,2074.60,2075.00,2067.60,2068.80,136345
2026-06-19T09:26:00+05:30,2067.80,2070.00,2064.90,2068.20,114652
2026-06-19T09:27:00+05:30,2067.70,2070.00,2066.60,2067.00,61226
2026-06-19T09:28:00+05:30,2066.90,2070.00,2065.80,2070.00,99800
2026-06-19T09:29:00+05:30,2070.00,2070.00,2066.60,2069.10,60794
2026-06-19T09:30:00+05:30,2068.60,2069.00,2065.60,2068.20,56935
2026-06-19T09:31:00+05:30,2068.40,2073.00,2067.90,2071.80,110278
2026-06-19T09:32:00+05:30,2072.20,2075.00,2070.20,2073.30,75207
2026-06-19T09:33:00+05:30,2072.40,2075.00,2072.40,2074.70,53853
2026-06-19T09:34:00+05:30,2074.30,2076.00,2070.10,2070.90,53789
2026-06-19T09:35:00+05:30,2070.60,2072.30,2070.30,2071.20,35227
2026-06-19T09:36:00+05:30,2071.70,2073.10,2070.50,2073.10,42028
2026-06-19T09:37:00+05:30,2073.20,2073.70,2070.70,2072.70,30206
2026-06-19T09:38:00+05:30,2074.40,2077.30,2074.10,2074.60,70719
2026-06-19T09:39:00+05:30,2074.50,2078.30,2072.60,2078.20,56628
2026-06-19T09:40:00+05:30,2078.20,2079.90,2077.60,2079.40,77109
2026-06-19T09:41:00+05:30,2079.30,2080.00,2079.20,2079.80,94313
2026-06-19T09:42:00+05:30,2079.10,2079.90,2075.90,2076.50,114148
2026-06-19T09:43:00+05:30,2075.80,2076.90,2072.90,2072.90,66951
2026-06-19T09:44:00+05:30,2073.70,2074.50,2072.70,2074.50,34646
2026-06-19T09:45:00+05:30,2074.50,2075.00,2072.40,2072.60,34125
2026-06-19T09:46:00+05:30,2071.70,2073.50,2069.40,2071.10,142420
2026-06-19T09:47:00+05:30,2071.10,2072.00,2069.70,2070.70,44557
2026-06-19T09:48:00+05:30,2070.70,2071.60,2070.00,2071.20,31934
2026-06-19T09:49:00+05:30,2071.30,2071.90,2070.80,2071.90,26166
2026-06-19T09:50:00+05:30,2072.40,2072.60,2070.50,2070.50,51703
2026-06-19T09:51:00+05:30,2070.00,2071.20,2069.10,2070.10,41838
2026-06-19T09:52:00+05:30,2070.10,2072.60,2069.80,2072.50,58412
2026-06-19T09:53:00+05:30,2072.60,2077.00,2072.50,2077.00,50556
2026-06-19T09:54:00+05:30,2077.20,2082.50,2076.70,2082.50,50126
2026-06-19T09:55:00+05:30,2082.40,2084.90,2082.10,2083.00,70955
2026-06-19T09:56:00+05:30,2083.40,2084.00,2082.60,2082.70,40514
2026-06-19T09:57:00+05:30,2083.00,2083.70,2081.50,2082.80,56111
2026-06-19T09:58:00+05:30,2082.20,2083.20,2081.80,2083.00,34996
2026-06-19T09:59:00+05:30,2083.80,2085.00,2082.90,2084.00,46946
2026-06-19T10:00:00+05:30,2084.30,2084.30,2082.30,2083.00,24367
2026-06-19T10:01:00+05:30,2082.50,2083.70,2082.10,2082.30,19430
2026-06-19T10:02:00+05:30,2082.90,2086.60,2082.30,2083.00,49045
2026-06-19T10:03:00+05:30,2083.00,2083.00,2079.70,2080.70,38259
2026-06-19T10:04:00+05:30,2080.60,2082.60,2079.30,2080.80,44589
2026-06-19T10:05:00+05:30,2080.80,2081.00,2077.90,2078.10,36264
2026-06-19T10:06:00+05:30,2078.00,2079.20,2077.10,2078.10,29513
2026-06-19T10:07:00+05:30,2077.90,2079.10,2077.00,2078.20,37448
