ts,open,high,low,close,volume
2026-06-19T09:15:00+05:30,4360.00,4383.00,4360.00,4375.50,0
2026-06-19T09:16:00+05:30,4374.10,4374.10,4367.00,4370.00,1330
2026-06-19T09:17:00+05:30,4369.80,4372.20,4367.00,4367.00,890
2026-06-19T09:18:00+05:30,4366.00,4367.10,4361.40,4363.20,1606
2026-06-19T09:19:00+05:30,4364.00,4372.10,4364.00,4370.00,733
2026-06-19T09:20:00+05:30,4371.40,4374.00,4368.20,4373.10,482
2026-06-19T09:21:00+05:30,4373.10,4374.60,4371.80,4374.60,626
2026-06-19T09:22:00+05:30,4376.10,4378.80,4375.40,4376.00,352
2026-06-19T09:23:00+05:30,4375.30,4377.50,4373.60,4376.90,1261
2026-06-19T09:24:00+05:30,4377.00,4378.00,4375.90,4377.30,575
2026-06-19T09:25:00+05:30,4375.90,4380.60,4375.60,4379.10,1636
2026-06-19T09:26:00+05:30,4379.10,4382.40,4379.10,4380.90,1269
2026-06-19T09:27:00+05:30,4382.30,4386.90,4382.30,4385.30,492
2026-06-19T09:28:00+05:30,4385.30,4389.80,4385.00,4387.40,1584
2026-06-19T09:29:00+05:30,4386.90,4389.40,4383.90,4383.90,2972
2026-06-19T09:30:00+05:30,4384.30,4387.20,4382.30,4384.10,2337
2026-06-19T09:31:00+05:30,4384.60,4391.40,4384.60,4390.00,1208
2026-06-19T09:32:00+05:30,4389.00,4390.20,4388.00,4388.90,596
2026-06-19T09:33:00+05:30,4391.00,4391.00,4388.60,4389.70,905
2026-06-19T09:34:00+05:30,4390.50,4390.90,4388.10,4390.90,605
2026-06-19T09:35:00+05:30,4391.00,4391.00,4389.00,4389.60,916
2026-06-19T09:36:00+05:30,4390.00,4399.00,4390.00,4398.00,5239
2026-06-19T09:37:00+05:30,4398.10,4398.10,4393.30,4395.70,1659
2026-06-19T09:38:00+05:30,4395.70,4396.40,4392.20,4393.30,2949
2026-06-19T09:39:00+05:30,4393.00,4397.40,4391.50,4397.30,2801
2026-06-19T09:40:00+05:30,4397.30,4404.90,4397.00,4404.90,2503
2026-06-19T09:41:00+05:30,4408.30,4408.30,4403.30,4405.00,3179
2026-06-19T09:42:00+05:30,4405.00,4406.00,4403.00,4405.90,1388
2026-06-19T09:43:00+05:30,4409.60,4410.80,4405.60,4407.80,3102
2026-06-19T09:44:00+05:30,4409.30,4409.70,4404.40,4407.90,2866
2026-06-19T09:45:00+05:30,4409.70,4409.70,4404.10,4407.50,1958
2026-06-19T09:46:00+05:30,4407.10,4407.10,4404.10,4405.10,735
2026-06-19T09:47:00+05:30,4406.40,4424.00,4405.10,4423.90,7005
2026-06-19T09:48:00+05:30,4423.70,4424.50,4420.10,4422.00,4926
2026-06-19T09:49:00+05:30,4422.40,4424.00,4418.10,4422.50,3297
2026-06-19T09:50:00+05:30,4424.00,4424.00,4420.40,4422.50,4245
2026-06-19T09:51:00+05:30,4422.00,4423.00,4419.00,4422.00,5348
2026-06-19T09:52:00+05:30,4421.00,4425.00,4421.00,4423.20,4228
2026-06-19T09:53:00+05:30,4422.60,4423.60,4422.40,4423.60,4159
2026-06-19T09:54:00+05:30,4424.30,4428.00,4423.70,4428.00,4013
2026-06-19T09:55:00+05:30,4423.70,4423.70,4418.10,4418.90,17673
2026-06-19T09:56:00+05:30,4418.20,4420.00,4416.80,4416.80,1838
2026-06-19T09:57:00+05:30,4416.80,4418.00,4415.20,4418.00,1049
2026-06-19T09:58:00+05:30,4418.00,4418.00,4405.00,4406.70,11418
2026-06-19T09:59:00+05:30,4406.60,4407.70,4400.10,4402.40,2695
2026-06-19T10:00:00+05:30,4401.00,4403.30,4396.30,4398.80,4650
2026-06-19T10:01:00+05:30,4399.20,4401.80,4395.50,4396.20,4041
2026-06-19T10:02:00+05:30,4398.20,4398.80,4393.50,4395.50,2053
2026-06-19T10:03:00+05:30,4397.00,4397.00,4386.90,4393.00,11781
2026-06-19T10:04:00+05:30,4391.90,4395.50,4391.70,4395.50,699
2026-06-19T10:05:00+05:30,4395.50,4398.30,4395.40,4395.70,1092
2026-06-19T10:06:00+05:30,4395.90,4396.20,4395.00,4396.00,380
2026-06-19T10:07:00+05:30,4395.70,4396.70,4394.40,4394.40,1447
2026-06-19T10:08:00+05:30,4394.60,4405.00,4394.00,4404.40,6110
2026-06-19T10:09:00+05:30,4405.30,4405.90,4403.80,4403.80,1616
2026-06-19T10:10:00+05:30,4403.90,4405.00,4402.70,4403.50,957
2026-06-19T10:11:00+05:30,4405.00,4405.00,4402.00,4404.30,749
2026-06-19T10:12:00+05:30,4404.60,4404.80,4403.20,4404.00,424
2026-06-19T10:13:00+05:30,4403.30,4404.40,4402.70,4403.90,724
2026-06-19T10:14:00+05:30,4403.70,4406.00,4403.70,4406.00,684
2026-06-19T10:15:00+05:30,4405.90,4405.90,4403.50,4405.10,1110
2026-06-19T10:16:00+05:30,4403.20,4404.20,4401.90,4402.30,409
2026-06-19T10:17:00+05:30,4402.50,4402.50,4400.00,4402.20,1213
