ts,open,high,low,close,volume
2026-06-24T09:15:00+05:30,2987.10,3000.40,2987.10,2998.60,0
2026-06-24T09:16:00+05:30,2997.80,3005.60,2996.30,3005.60,38336
2026-06-24T09:17:00+05:30,3005.50,3017.60,3005.50,3015.30,48344
2026-06-24T09:18:00+05:30,3015.00,3017.00,3008.80,3014.00,28020
2026-06-24T09:19:00+05:30,3014.90,3017.60,3009.80,3014.10,22367
2026-06-24T09:20:00+05:30,3013.20,3018.50,3010.60,3012.90,25767
2026-06-24T09:21:00+05:30,3011.10,3013.50,3006.70,3013.50,10102
2026-06-24T09:22:00+05:30,3013.70,3013.90,3005.20,3008.60,20508
2026-06-24T09:23:00+05:30,3008.50,3011.90,3006.50,3008.10,9334
2026-06-24T09:24:00+05:30,3009.20,3009.30,2998.10,2999.00,26944
2026-06-24T09:25:00+05:30,2998.90,3002.90,2996.50,2999.20,14080
2026-06-24T09:26:00+05:30,2998.50,3003.00,2992.50,2996.40,23344
2026-06-24T09:27:00+05:30,2995.50,2996.00,2990.20,2993.00,14477
2026-06-24T09:28:00+05:30,2993.00,2999.80,2992.40,2999.80,8749
2026-06-24T09:29:00+05:30,3000.00,3004.40,2996.50,3004.00,9689
2026-06-24T09:30:00+05:30,3004.40,3004.40,2996.00,2997.90,7696
2026-06-24T09:31:00+05:30,2996.30,2998.30,2995.30,2995.70,6900
2026-06-24T09:32:00+05:30,2997.00,2999.60,2995.90,2998.20,3317
2026-06-24T09:33:00+05:30,2999.10,2999.10,2995.70,2996.00,4039
2026-06-24T09:34:00+05:30,2997.00,2997.00,2992.00,2993.20,4314
2026-06-24T09:35:00+05:30,2993.60,2996.90,2992.50,2996.50,3471
2026-06-24T09:36:00+05:30,2996.50,2998.80,2994.90,2995.00,3130
2026-06-24T09:37:00+05:30,2994.00,2994.30,2985.60,2987.00,16820
2026-06-24T09:38:00+05:30,2987.80,2990.00,2985.10,2985.10,3882
2026-06-24T09:39:00+05:30,2985.70,2988.80,2983.20,2986.60,6987
2026-06-24T09:40:00+05:30,2986.40,2992.10,2986.40,2989.60,7058
2026-06-24T09:41:00+05:30,2989.60,2989.60,2981.70,2981.70,5137
2026-06-24T09:42:00+05:30,2982.10,2986.20,2981.30,2986.00,7003
2026-06-24T09:43:00+05:30,2985.00,2985.70,2980.00,2980.60,6562
2026-06-24T09:44:00+05:30,2982.00,2983.70,2980.60,2982.50,3264
2026-06-24T09:45:00+05:30,2982.50,2984.00,2980.70,2982.90,3987
2026-06-24T09:46:00+05:30,2982.00,2984.80,2982.00,2984.80,5143
2026-06-24T09:47:00+05:30,2982.60,2982.60,2978.10,2978.40,5916
2026-06-24T09:48:00+05:30,2979.00,2979.00,2975.00,2976.30,6133
2026-06-24T09:49:00+05:30,2976.00,2976.50,2971.80,2972.90,9556
2026-06-24T09:50:00+05:30,2972.70,2976.00,2971.80,2975.60,6503
2026-06-24T09:51:00+05:30,2975.60,2978.00,2975.00,2975.10,6966
2026-06-24T09:52:00+05:30,2974.70,2977.10,2971.00,2975.40,10779
2026-06-24T09:53:00+05:30,2975.40,2978.80,2975.00,2978.80,6150
2026-06-24T09:54:00+05:30,2978.80,2983.00,2978.30,2982.00,5846
2026-06-24T09:55:00+05:30,2982.70,2986.00,2982.30,2986.00,9773
2026-06-24T09:56:00+05:30,2986.00,2990.50,2986.00,2989.10,12183
2026-06-24T09:57:00+05:30,2990.00,2992.00,2986.30,2987.30,6065
2026-06-24T09:58:00+05:30,2987.10,2987.50,2986.00,2986.80,2138
2026-06-24T09:59:00+05:30,2986.80,2988.00,2986.20,2987.00,2109
2026-06-24T10:00:00+05:30,2987.00,2994.90,2987.00,2994.80,7083
2026-06-24T10:01:00+05:30,2995.00,3002.00,2991.80,3000.70,14398
2026-06-24T10:02:00+05:30,3000.20,3002.40,2999.70,3000.70,10554
2026-06-24T10:03:00+05:30,3000.70,3005.00,3000.70,3002.60,17151
2026-06-24T10:04:00+05:30,3001.80,3004.80,2998.20,3004.20,10294
2026-06-24T10:05:00+05:30,3004.10,3005.30,3000.00,3003.20,11723
2026-06-24T10:06:00+05:30,3002.70,3004.10,2998.10,2998.50,3768
2026-06-24T10:07:00+05:30,2998.50,2999.90,2996.20,2998.20,3081
2026-06-24T10:08:00+05:30,2999.10,3000.00,2997.40,2998.70,2766
2026-06-24T10:09:00+05:30,2998.70,3004.00,2998.70,3002.50,6257
2026-06-24T10:10:00+05:30,3003.60,3003.60,3000.40,3000.80,3218
2026-06-24T10:11:00+05:30,3001.80,3003.90,3000.90,3001.30,2004
2026-06-24T10:12:00+05:30,3001.90,3003.90,3001.30,3003.70,2361
2026-06-24T10:13:00+05:30,3003.80,3005.70,3002.20,3004.00,11656
2026-06-24T10:14:00+05:30,3004.00,3005.20,3001.70,3001.70,7289
2026-06-24T10:15:00+05:30,3002.60,3004.60,3001.10,3002.00,3442
2026-06-24T10:16:00+05:30,3002.10,3005.90,3001.10,3005.90,5180
2026-06-24T10:17:00+05:30,3005.90,3009.80,3005.10,3008.80,6660
2026-06-24T10:18:00+05:30,3009.40,3009.90,3007.20,3008.80,4811
2026-06-24T10:19:00+05:30,3008.80,3009.90,3007.30,3008.00,3597
2026-06-24T10:20:00+05:30,3007.30,3009.00,3005.00,3005.10,4251
2026-06-24T10:21:00+05:30,3005.10,3006.50,3005.00,3006.00,3095
2026-06-24T10:22:00+05:30,3006.00,3006.40,3005.00,3005.20,1281
2026-06-24T10:23:00+05:30,3005.60,3007.00,3005.60,3006.60,1166
2026-06-24T10:24:00+05:30,3006.20,3007.90,3005.40,3007.90,2138
2026-06-24T10:25:00+05:30,3007.50,3009.00,3007.50,3008.00,2233
2026-06-24T10:26:00+05:30,3008.00,3018.10,3008.00,3018.10,32347
2026-06-24T10:27:00+05:30,3016.60,3023.90,3014.70,3023.50,21637
2026-06-24T10:28:00+05:30,3021.60,3022.40,3015.00,3015.10,14125
2026-06-24T10:29:00+05:30,3014.60,3015.00,3007.00,3010.00,21091
2026-06-24T10:30:00+05:30,3010.70,3011.00,3008.00,3008.00,4638
2026-06-24T10:31:00+05:30,3008.30,3009.10,3005.80,3006.90,8315
2026-06-24T10:32:00+05:30,3007.40,3009.70,3005.90,3009.30,5655
2026-06-24T10:33:00+05:30,3009.80,3009.80,3007.50,3008.90,3418
2026-06-24T10:34:00+05:30,3009.20,3011.70,3009.20,3009.90,3489
2026-06-24T10:35:00+05:30,3009.90,3010.00,3007.80,3010.00,3616
2026-06-24T10:36:00+05:30,3010.00,3011.90,3009.10,3011.00,2174
2026-06-24T10:37:00+05:30,3011.10,3012.00,3009.30,3011.00,3190
2026-06-24T10:38:00+05:30,3010.80,3018.00,3010.70,3017.80,4564
2026-06-24T10:39:00+05:30,3017.80,3021.90,3017.10,3019.00,18043
2026-06-24T10:40:00+05:30,3019.10,3019.90,3017.00,3018.10,4677
2026-06-24T10:41:00+05:30,3019.00,3019.00,3015.00,3015.80,3717
2026-06-24T10:42:00+05:30,3015.80,3018.60,3013.50,3018.40,13369
2026-06-24T10:43:00+05:30,3018.80,3020.00,3017.60,3019.70,6875
2026-06-24T10:44:00+05:30,3019.70,3019.70,3017.00,3019.50,6246
2026-06-24T10:45:00+05:30,3019.10,3025.00,3018.80,3024.70,14508
2026-06-24T10:46:00+05:30,3024.70,3033.60,3023.00,3033.00,28986
2026-06-24T10:47:00+05:30,3032.80,3032.80,3025.10,3025.20,8282
2026-06-24T10:48:00+05:30,3025.20,3026.00,3020.10,3020.60,8917
2026-06-24T10:49:00+05:30,3020.10,3022.20,3017.30,3017.30,10811
2026-06-24T10:50:00+05:30,3019.10,3020.00,3015.00,3017.90,2745
2026-06-24T10:51:00+05:30,3018.00,3018.20,3016.00,3017.10,1757
2026-06-24T10:52:00+05:30,3016.70,3016.90,3013.20,3013.20,5638
2026-06-24T10:53:00+05:30,3010.60,3014.50,3010.60,3012.00,5447
2026-06-24T10:54:00+05:30,3012.90,3013.30,3010.60,3011.20,5849
2026-06-24T10:55:00+05:30,3012.70,3014.10,3011.20,3013.20,2025
2026-06-24T10:56:00+05:30,3013.00,3013.70,3010.60,3010.80,2469
2026-06-24T10:57:00+05:30,3011.00,3012.00,3008.10,3009.50,12750
2026-06-24T10:58:00+05:30,3009.50,3013.60,3009.50,3013.30,2549
2026-06-24T10:59:00+05:30,3013.50,3013.50,3010.60,3011.50,1046
2026-06-24T11:00:00+05:30,3011.50,3012.60,3010.30,3010.30,2677
2026-06-24T11:01:00+05:30,3011.60,3012.30,3010.00,3012.30,2164
2026-06-24T11:02:00+05:30,3012.40,3013.10,3011.40,3012.10,2028
2026-06-24T11:03:00+05:30,3013.00,3013.10,3010.10,3010.50,2175
2026-06-24T11:04:00+05:30,3010.60,3011.00,3008.70,3008.70,2357
2026-06-24T11:05:00+05:30,3009.50,3012.40,3008.40,3011.70,3069
2026-06-24T11:06:00+05:30,3012.80,3014.00,3012.80,3014.00,2175
2026-06-24T11:07:00+05:30,3014.70,3016.50,3011.90,3015.10,6070
2026-06-24T11:08:00+05:30,3015.00,3015.00,3013.00,3014.60,939
2026-06-24T11:09:00+05:30,3014.70,3018.30,3014.00,3018.00,6332
2026-06-24T11:10:00+05:30,3018.00,3019.70,3013.00,3013.80,7488
