ts,open,high,low,close,volume
2026-06-24T09:15:00+05:30,1755.60,1760.90,1754.60,1760.90,0
2026-06-24T09:16:00+05:30,1761.70,1763.60,1761.70,1763.00,4629
2026-06-24T09:17:00+05:30,1763.00,1763.80,1760.00,1760.00,5325
2026-06-24T09:18:00+05:30,1760.20,1760.20,1757.30,1757.30,4586
2026-06-24T09:19:00+05:30,1758.00,1759.10,1757.50,1757.60,4216
2026-06-24T09:20:00+05:30,1758.00,1759.60,1757.20,1757.20,2987
2026-06-24T09:21:00+05:30,1757.70,1760.80,1757.70,1760.80,3154
2026-06-24T09:22:00+05:30,1761.60,1762.30,1760.90,1761.90,4393
2026-06-24T09:23:00+05:30,1761.70,1762.60,1761.60,1761.90,4500
2026-06-24T09:24:00+05:30,1761.70,1762.10,1760.70,1762.10,2422
2026-06-24T09:25:00+05:30,1762.00,1763.20,1761.10,1762.70,3783
2026-06-24T09:26:00+05:30,1762.90,1765.00,1762.90,1765.00,2122
2026-06-24T09:27:00+05:30,1764.10,1764.90,1764.10,1764.90,2162
2026-06-24T09:28:00+05:30,1764.90,1765.30,1764.10,1765.00,2143
2026-06-24T09:29:00+05:30,1764.20,1765.00,1762.70,1763.50,4605
2026-06-24T09:30:00+05:30,1764.50,1765.00,1762.50,1763.50,2907
2026-06-24T09:31:00+05:30,1763.50,1763.50,1761.20,1761.20,1047
2026-06-24T09:32:00+05:30,1762.00,1762.20,1760.70,1762.00,727
2026-06-24T09:33:00+05:30,1761.50,1763.00,1761.50,1762.10,1329
2026-06-24T09:34:00+05:30,1761.90,1762.30,1760.60,1761.70,5371
2026-06-24T09:35:00+05:30,1760.70,1761.20,1760.60,1760.80,850
2026-06-24T09:36:00+05:30,1760.80,1763.50,1760.80,1761.40,1574
2026-06-24T09:37:00+05:30,1761.00,1761.20,1760.30,1761.20,1423
2026-06-24T09:38:00+05:30,1760.70,1760.70,1759.60,1760.30,1047
2026-06-24T09:39:00+05:30,1760.80,1763.80,1760.80,1763.50,559
2026-06-24T09:40:00+05:30,1762.40,1765.00,1762.40,1764.20,1859
2026-06-24T09:41:00+05:30,1764.60,1764.60,1762.70,1762.70,2611
2026-06-24T09:42:00+05:30,1762.50,1762.90,1761.60,1762.90,558
2026-06-24T09:43:00+05:30,1762.90,1762.90,1762.10,1762.10,4701
2026-06-24T09:44:00+05:30,1761.20,1762.30,1760.60,1761.70,415
2026-06-24T09:45:00+05:30,1761.90,1762.00,1761.70,1761.70,1138
2026-06-24T09:46:00+05:30,1761.70,1761.80,1761.70,1761.80,35
2026-06-24T09:47:00+05:30,1761.80,1761.80,1759.10,1759.10,1547
2026-06-24T09:48:00+05:30,1759.20,1759.20,1756.20,1756.40,2156
2026-06-24T09:49:00+05:30,1756.40,1756.40,1754.30,1754.50,1457
2026-06-24T09:50:00+05:30,1754.00,1755.00,1753.90,1754.90,4300
2026-06-24T09:51:00+05:30,1754.30,1754.50,1754.20,1754.20,1284
2026-06-24T09:52:00+05:30,1754.30,1754.30,1753.50,1754.00,1971
2026-06-24T09:53:00+05:30,1754.40,1756.20,1754.40,1755.20,2066
2026-06-24T09:54:00+05:30,1755.40,1756.80,1755.40,1756.80,487
2026-06-24T09:55:00+05:30,1756.20,1757.00,1756.20,1756.50,675
2026-06-24T09:56:00+05:30,1757.40,1757.50,1757.00,1757.50,2012
2026-06-24T09:57:00+05:30,1758.20,1758.30,1756.60,1756.80,714
2026-06-24T09:58:00+05:30,1756.80,1756.80,1756.70,1756.70,1093
2026-06-24T09:59:00+05:30,1757.30,1757.30,1756.70,1756.90,144
2026-06-24T10:00:00+05:30,1757.30,1758.00,1757.20,1757.30,733
2026-06-24T10:01:00+05:30,1757.20,1758.00,1757.20,1758.00,528
2026-06-24T10:02:00+05:30,1758.10,1759.70,1758.10,1759.70,2356
2026-06-24T10:03:00+05:30,1759.80,1760.80,1759.60,1760.20,1131
2026-06-24T10:04:00+05:30,1760.20,1760.60,1759.50,1760.10,419
2026-06-24T10:05:00+05:30,1760.60,1760.80,1759.40,1759.90,1394
2026-06-24T10:06:00+05:30,1759.20,1760.10,1759.20,1760.10,656
2026-06-24T10:07:00+05:30,1761.10,1761.50,1759.90,1761.50,1448
2026-06-24T10:08:00+05:30,1762.10,1762.70,1762.10,1762.40,4220
2026-06-24T10:09:00+05:30,1762.70,1764.20,1761.70,1764.20,706
2026-06-24T10:10:00+05:30,1763.00,1764.00,1763.00,1763.40,832
2026-06-24T10:11:00+05:30,1763.40,1763.70,1763.00,1763.30,272
2026-06-24T10:12:00+05:30,1764.20,1764.60,1764.20,1764.60,655
2026-06-24T10:13:00+05:30,1765.20,1765.50,1764.60,1764.90,2995
2026-06-24T10:14:00+05:30,1764.80,1765.30,1764.80,1765.30,3132
2026-06-24T10:15:00+05:30,1765.20,1765.90,1765.00,1765.40,891
2026-06-24T10:16:00+05:30,1766.00,1766.00,1763.70,1765.60,1665
2026-06-24T10:17:00+05:30,1764.70,1765.10,1764.50,1765.10,2032
2026-06-24T10:18:00+05:30,1765.10,1765.70,1765.10,1765.30,2088
2026-06-24T10:19:00+05:30,1765.30,1766.00,1764.80,1766.00,2895
2026-06-24T10:20:00+05:30,1766.20,1768.00,1766.10,1766.60,7537
2026-06-24T10:21:00+05:30,1766.70,1768.80,1766.30,1767.00,8004
2026-06-24T10:22:00+05:30,1767.00,1768.40,1766.70,1768.00,1336
2026-06-24T10:23:00+05:30,1768.10,1769.40,1768.10,1768.90,1548
2026-06-24T10:24:00+05:30,1768.90,1769.60,1768.90,1769.20,318
2026-06-24T10:25:00+05:30,1769.70,1770.60,1769.70,1770.10,1288
2026-06-24T10:26:00+05:30,1770.10,1770.80,1769.90,1770.10,1966
2026-06-24T10:27:00+05:30,1770.80,1772.00,1770.30,1771.90,1665
2026-06-24T10:28:00+05:30,1771.30,1771.40,1770.40,1771.20,3157
2026-06-24T10:29:00+05:30,1771.40,1773.00,1771.40,1772.70,2095
2026-06-24T10:30:00+05:30,1773.40,1775.10,1773.40,1774.10,2440
2026-06-24T10:31:00+05:30,1774.20,1774.70,1773.10,1773.10,2950
2026-06-24T10:32:00+05:30,1773.10,1773.80,1772.10,1772.30,1116
2026-06-24T10:33:00+05:30,1773.10,1773.90,1772.10,1772.30,807
2026-06-24T10:34:00+05:30,1772.90,1775.10,1772.70,1775.00,3950
2026-06-24T10:35:00+05:30,1774.30,1776.00,1774.20,1776.00,5686
2026-06-24T10:36:00+05:30,1775.30,1776.20,1774.10,1775.40,1477
2026-06-24T10:37:00+05:30,1775.40,1775.40,1774.30,1774.50,1403
2026-06-24T10:38:00+05:30,1775.10,1775.10,1774.10,1774.90,815
2026-06-24T10:39:00+05:30,1774.30,1775.40,1774.30,1775.10,2848
2026-06-24T10:40:00+05:30,1775.60,1775.90,1775.20,1775.70,1975
2026-06-24T10:41:00+05:30,1776.30,1776.30,1775.00,1776.20,971
2026-06-24T10:42:00+05:30,1775.40,1776.50,1774.10,1775.70,922
2026-06-24T10:43:00+05:30,1776.50,1776.50,1774.80,1775.10,2093
2026-06-24T10:44:00+05:30,1775.60,1776.60,1774.20,1774.20,997
2026-06-24T10:45:00+05:30,1774.70,1777.00,1774.70,1776.80,794
2026-06-24T10:46:00+05:30,1777.50,1777.50,1776.70,1777.20,1824
2026-06-24T10:47:00+05:30,1777.10,1778.30,1777.00,1777.40,922
2026-06-24T10:48:00+05:30,1778.20,1779.90,1777.60,1778.10,2314
2026-06-24T10:49:00+05:30,1777.70,1778.00,1776.80,1777.90,2376
2026-06-24T10:50:00+05:30,1778.40,1778.70,1775.20,1775.30,2067
2026-06-24T10:51:00+05:30,1775.60,1775.70,1774.70,1775.70,811
2026-06-24T10:52:00+05:30,1776.40,1776.40,1774.40,1774.40,1904
2026-06-24T10:53:00+05:30,1775.00,1776.10,1774.50,1776.10,905
2026-06-24T10:54:00+05:30,1776.60,1776.60,1774.90,1774.90,1463
2026-06-24T10:55:00+05:30,1775.50,1775.50,1774.10,1774.50,1207
2026-06-24T10:56:00+05:30,1775.40,1775.40,1774.30,1775.10,267
2026-06-24T10:57:00+05:30,1775.50,1776.00,1775.10,1775.50,559
2026-06-24T10:58:00+05:30,1775.50,1777.30,1775.50,1776.90,1671
2026-06-24T10:59:00+05:30,1776.90,1777.90,1776.90,1777.50,1150
2026-06-24T11:00:00+05:30,1777.50,1778.00,1777.00,1777.90,1627
2026-06-24T11:01:00+05:30,1777.50,1779.10,1777.50,1779.10,883
2026-06-24T11:02:00+05:30,1778.90,1779.90,1778.80,1779.90,3008
2026-06-24T11:03:00+05:30,1780.10,1783.80,1780.10,1783.10,2347
2026-06-24T11:04:00+05:30,1783.90,1785.00,1783.10,1784.50,2756
