ts,open,high,low,close,volume
2026-06-19T09:15:00+05:30,1873.50,1873.80,1871.40,1873.30,0
2026-06-19T09:16:00+05:30,1873.90,1874.30,1871.10,1874.10,41589
2026-06-19T09:17:00+05:30,1876.30,1884.30,1876.00,1883.10,46240
2026-06-19T09:18:00+05:30,1883.20,1884.90,1878.90,1878.90,26025
2026-06-19T09:19:00+05:30,1878.80,1878.80,1874.00,1876.30,15120
2026-06-19T09:20:00+05:30,1877.00,1877.00,1874.10,1875.10,13622
2026-06-19T09:21:00+05:30,1874.70,1881.40,1874.70,1881.10,15389
2026-06-19T09:22:00+05:30,1880.80,1881.60,1880.10,1880.80,8574
2026-06-19T09:23:00+05:30,1880.80,1883.30,1880.10,1883.10,19732
2026-06-19T09:24:00+05:30,1883.10,1883.10,1881.30,1881.90,10302
2026-06-19T09:25:00+05:30,1882.70,1882.70,1881.40,1882.20,6040
2026-06-19T09:26:00+05:30,1883.30,1886.00,1882.20,1884.50,41234
2026-06-19T09:27:00+05:30,1884.50,1888.00,1884.10,1886.20,20112
2026-06-19T09:28:00+05:30,1886.50,1886.60,1884.10,1885.50,12918
2026-06-19T09:29:00+05:30,1885.00,1889.00,1885.00,1888.30,25947
2026-06-19T09:30:00+05:30,1888.30,1888.30,1883.80,1887.30,52375
2026-06-19T09:31:00+05:30,1887.10,1888.00,1885.80,1887.00,12819
2026-06-19T09:32:00+05:30,1887.00,1888.60,1886.50,1887.90,18709
2026-06-19T09:33:00+05:30,1888.00,1888.20,1886.50,1887.60,7764
2026-06-19T09:34:00+05:30,1887.10,1887.10,1885.80,1886.60,7876
2026-06-19T09:35:00+05:30,1887.20,1887.20,1885.70,1885.80,3992
2026-06-19T09:36:00+05:30,1885.30,1887.00,1885.20,1886.00,3070
2026-06-19T09:37:00+05:30,1885.10,1886.00,1885.00,1885.00,7542
2026-06-19T09:38:00+05:30,1885.00,1886.70,1885.00,1885.70,4682
2026-06-19T09:39:00+05:30,1885.90,1888.90,1885.80,1888.40,10578
2026-06-19T09:40:00+05:30,1888.90,1889.00,1887.90,1887.90,6273
2026-06-19T09:41:00+05:30,1888.00,1888.60,1886.50,1887.00,10481
2026-06-19T09:42:00+05:30,1887.00,1887.00,1886.40,1886.40,2913
2026-06-19T09:43:00+05:30,1886.40,1886.40,1885.00,1885.00,6097
2026-06-19T09:44:00+05:30,1885.30,1885.70,1882.50,1882.50,3776
2026-06-19T09:45:00+05:30,1882.80,1883.80,1882.70,1882.80,6585
2026-06-19T09:46:00+05:30,1883.50,1885.20,1882.80,1884.90,2216
2026-06-19T09:47:00+05:30,1884.40,1884.90,1884.40,1884.90,3947
2026-06-19T09:48:00+05:30,1884.80,1885.80,1884.40,1884.40,5168
2026-06-19T09:49:00+05:30,1884.90,1885.50,1884.30,1884.30,2744
2026-06-19T09:50:00+05:30,1885.00,1885.00,1883.20,1884.40,4746
2026-06-19T09:51:00+05:30,1883.30,1885.70,1883.30,1885.70,4015
2026-06-19T09:52:00+05:30,1885.00,1886.70,1885.00,1886.70,4333
2026-06-19T09:53:00+05:30,1886.60,1888.10,1886.30,1888.10,10570
2026-06-19T09:54:00+05:30,1887.40,1888.20,1887.30,1888.00,4798
2026-06-19T09:55:00+05:30,1888.00,1888.20,1887.00,1887.50,5395
2026-06-19T09:56:00+05:30,1887.00,1888.20,1887.00,1887.90,7192
2026-06-19T09:57:00+05:30,1888.20,1890.00,1886.40,1888.30,55420
2026-06-19T09:58:00+05:30,1888.90,1890.00,1888.20,1889.60,4446
2026-06-19T09:59:00+05:30,1890.00,1890.20,1889.50,1890.20,10646
2026-06-19T10:00:00+05:30,1890.30,1890.30,1889.00,1889.70,12393
