ts,open,high,low,close,volume
2026-06-24T09:15:00+05:30,309.35,309.55,308.30,308.55,0
2026-06-24T09:16:00+05:30,308.40,309.00,308.40,309.00,40714
2026-06-24T09:17:00+05:30,309.00,309.00,308.65,308.65,30081
2026-06-24T09:18:00+05:30,308.90,308.90,308.75,308.80,17535
2026-06-24T09:19:00+05:30,308.65,309.05,308.45,308.55,30610
2026-06-24T09:20:00+05:30,309.15,310.20,309.15,309.50,54853
2026-06-24T09:21:00+05:30,309.75,309.85,309.65,309.75,20232
2026-06-24T09:22:00+05:30,309.50,309.80,309.05,309.80,22760
2026-06-24T09:23:00+05:30,309.80,309.80,309.35,309.35,18161
2026-06-24T09:24:00+05:30,309.55,309.55,309.40,309.55,6044
2026-06-24T09:25:00+05:30,309.45,309.70,309.25,309.55,20308
2026-06-24T09:26:00+05:30,309.55,309.60,309.40,309.40,9100
2026-06-24T09:27:00+05:30,309.30,309.80,309.30,309.65,11125
2026-06-24T09:28:00+05:30,309.80,309.90,309.75,309.75,6055
2026-06-24T09:29:00+05:30,309.75,310.60,309.75,310.45,37127
2026-06-24T09:30:00+05:30,310.50,310.65,310.20,310.20,27715
2026-06-24T09:31:00+05:30,310.15,310.25,309.85,309.85,7192
2026-06-24T09:32:00+05:30,309.85,310.00,309.85,310.00,12686
2026-06-24T09:33:00+05:30,310.05,310.05,309.90,309.95,7499
2026-06-24T09:34:00+05:30,309.70,309.80,309.60,309.60,9614
2026-06-24T09:35:00+05:30,309.60,309.70,309.60,309.65,7174
2026-06-24T09:36:00+05:30,309.65,310.10,309.65,309.95,24265
2026-06-24T09:37:00+05:30,309.90,309.90,309.55,309.70,13428
2026-06-24T09:38:00+05:30,309.50,309.75,309.50,309.75,10751
2026-06-24T09:39:00+05:30,309.95,310.30,309.90,310.30,18686
2026-06-24T09:40:00+05:30,310.25,310.35,310.20,310.35,23553
2026-06-24T09:41:00+05:30,310.35,310.35,310.10,310.15,11286
2026-06-24T09:42:00+05:30,310.10,310.15,310.00,310.10,13142
2026-06-24T09:43:00+05:30,310.10,310.15,310.00,310.15,2022
2026-06-24T09:44:00+05:30,310.60,310.60,310.35,310.35,42525
2026-06-24T09:45:00+05:30,310.35,310.40,310.15,310.40,21602
2026-06-24T09:46:00+05:30,310.45,310.70,310.05,310.05,29554
2026-06-24T09:47:00+05:30,309.90,310.00,309.85,309.90,2972
2026-06-24T09:48:00+05:30,310.00,310.25,309.95,310.00,19853
2026-06-24T09:49:00+05:30,310.05,310.10,309.90,309.90,13805
2026-06-24T09:50:00+05:30,309.90,310.05,309.75,310.00,26062
2026-06-24T09:51:00+05:30,309.95,309.95,309.65,309.65,8889
2026-06-24T09:52:00+05:30,309.50,309.50,309.15,309.25,28453
2026-06-24T09:53:00+05:30,309.45,309.55,309.45,309.55,14606
2026-06-24T09:54:00+05:30,309.60,309.80,309.60,309.70,10275
2026-06-24T09:55:00+05:30,309.75,309.95,309.75,309.80,9982
2026-06-24T09:56:00+05:30,309.90,310.15,309.85,310.00,17097
2026-06-24T09:57:00+05:30,310.00,310.10,309.95,310.10,16543
2026-06-24T09:58:00+05:30,309.95,310.15,309.95,310.10,12476
2026-06-24T09:59:00+05:30,310.15,310.40,310.15,310.25,13561
2026-06-24T10:00:00+05:30,310.25,310.95,310.25,310.95,46846
2026-06-24T10:01:00+05:30,310.95,311.10,310.85,311.10,57388
2026-06-24T10:02:00+05:30,311.10,311.25,311.10,311.20,25174
2026-06-24T10:03:00+05:30,311.15,311.55,311.15,311.55,28977
2026-06-24T10:04:00+05:30,311.35,311.50,311.25,311.40,27668
2026-06-24T10:05:00+05:30,311.35,311.70,311.30,311.70,37682
2026-06-24T10:06:00+05:30,311.70,311.85,311.70,311.85,41987
2026-06-24T10:07:00+05:30,311.80,311.95,311.80,311.95,13602
2026-06-24T10:08:00+05:30,311.80,312.00,311.80,311.85,18123
2026-06-24T10:09:00+05:30,311.85,312.50,311.85,312.50,77214
2026-06-24T10:10:00+05:30,312.50,312.50,312.10,312.20,19847
2026-06-24T10:11:00+05:30,312.10,312.15,311.90,312.00,24232
2026-06-24T10:12:00+05:30,311.85,312.00,311.85,311.90,19242
2026-06-24T10:13:00+05:30,311.90,312.05,311.90,312.00,5081
2026-06-24T10:14:00+05:30,312.10,312.10,312.00,312.00,15141
2026-06-24T10:15:00+05:30,312.10,312.15,311.90,312.00,19769
2026-06-24T10:16:00+05:30,312.00,312.00,311.95,311.95,13867
2026-06-24T10:17:00+05:30,312.00,312.10,312.00,312.05,5666
2026-06-24T10:18:00+05:30,312.00,312.00,311.25,311.40,99955
2026-06-24T10:19:00+05:30,311.40,311.65,311.30,311.40,26649
2026-06-24T10:20:00+05:30,311.40,311.60,311.40,311.60,9761
2026-06-24T10:21:00+05:30,311.50,311.70,311.50,311.65,14578
2026-06-24T10:22:00+05:30,311.60,311.75,311.50,311.60,9725
2026-06-24T10:23:00+05:30,311.70,311.85,311.70,311.80,6047
2026-06-24T10:24:00+05:30,311.80,311.80,311.45,311.45,17324
2026-06-24T10:25:00+05:30,311.45,311.45,311.20,311.25,21812
2026-06-24T10:26:00+05:30,311.20,311.35,311.20,311.35,13772
2026-06-24T10:27:00+05:30,311.30,311.45,311.25,311.30,42968
