ts,open,high,low,close,volume
2026-06-24T09:15:00+05:30,5241.50,5245.00,5236.50,5245.00,0
2026-06-24T09:16:00+05:30,5260.00,5264.00,5256.50,5263.00,1903
2026-06-24T09:17:00+05:30,5262.00,5262.00,5252.50,5252.50,448
2026-06-24T09:18:00+05:30,5250.00,5256.00,5250.00,5256.00,559
2026-06-24T09:19:00+05:30,5256.00,5256.00,5250.00,5252.00,1090
2026-06-24T09:20:00+05:30,5255.00,5260.00,5252.00,5254.50,761
2026-06-24T09:21:00+05:30,5257.50,5260.00,5255.00,5259.00,223
2026-06-24T09:22:00+05:30,5265.00,5267.00,5263.00,5267.00,1178
2026-06-24T09:23:00+05:30,5267.00,5267.00,5264.50,5264.50,352
2026-06-24T09:24:00+05:30,5264.50,5268.00,5261.50,5268.00,963
2026-06-24T09:25:00+05:30,5264.00,5266.00,5263.50,5266.00,662
2026-06-24T09:26:00+05:30,5266.00,5277.50,5266.00,5277.50,1337
2026-06-24T09:27:00+05:30,5278.00,5291.00,5278.00,5289.50,2842
2026-06-24T09:28:00+05:30,5287.50,5287.50,5278.00,5278.00,645
2026-06-24T09:29:00+05:30,5275.50,5281.00,5274.50,5281.00,1043
2026-06-24T09:30:00+05:30,5284.50,5284.50,5281.00,5284.00,760
2026-06-24T09:31:00+05:30,5283.50,5283.50,5278.00,5278.50,1931
2026-06-24T09:32:00+05:30,5278.50,5278.50,5268.00,5269.50,270
2026-06-24T09:33:00+05:30,5269.00,5269.00,5262.50,5262.50,326
2026-06-24T09:34:00+05:30,5261.50,5265.50,5261.50,5262.50,525
2026-06-24T09:35:00+05:30,5262.50,5262.50,5256.50,5256.50,490
2026-06-24T09:36:00+05:30,5259.50,5262.50,5259.50,5260.00,407
2026-06-24T09:37:00+05:30,5259.50,5259.50,5253.00,5253.00,482
2026-06-24T09:38:00+05:30,5252.50,5252.50,5248.50,5250.50,542
2026-06-24T09:39:00+05:30,5251.00,5254.00,5249.00,5251.50,629
2026-06-24T09:40:00+05:30,5252.00,5256.00,5252.00,5252.00,400
2026-06-24T09:41:00+05:30,5254.00,5254.00,5251.00,5251.00,336
2026-06-24T09:42:00+05:30,5251.00,5252.00,5249.00,5252.00,1199
2026-06-24T09:43:00+05:30,5252.00,5253.50,5248.50,5250.00,212
2026-06-24T09:44:00+05:30,5247.50,5247.50,5245.50,5247.00,305
2026-06-24T09:45:00+05:30,5246.50,5247.00,5242.50,5245.50,442
2026-06-24T09:46:00+05:30,5245.50,5248.50,5245.00,5246.50,302
2026-06-24T09:47:00+05:30,5246.00,5246.00,5244.50,5245.00,1143
2026-06-24T09:48:00+05:30,5243.50,5244.50,5241.00,5241.00,887
2026-06-24T09:49:00+05:30,5240.50,5240.50,5238.50,5238.50,436
2026-06-24T09:50:00+05:30,5238.50,5240.00,5236.50,5240.00,235
2026-06-24T09:51:00+05:30,5240.00,5240.00,5237.50,5237.50,246
2026-06-24T09:52:00+05:30,5236.50,5236.50,5231.50,5232.00,1080
2026-06-24T09:53:00+05:30,5232.00,5234.50,5230.00,5234.00,289
2026-06-24T09:54:00+05:30,5233.00,5233.00,5231.00,5231.00,122
2026-06-24T09:55:00+05:30,5232.50,5233.50,5232.00,5232.50,150
2026-06-24T09:56:00+05:30,5232.50,5233.00,5232.50,5233.00,190
2026-06-24T09:57:00+05:30,5234.00,5234.00,5231.50,5231.50,1009
2026-06-24T09:58:00+05:30,5231.50,5231.50,5231.00,5231.50,560
2026-06-24T09:59:00+05:30,5229.00,5230.50,5229.00,5229.50,172
2026-06-24T10:00:00+05:30,5230.50,5237.00,5230.00,5237.00,747
2026-06-24T10:01:00+05:30,5237.00,5242.50,5237.00,5239.00,1826
2026-06-24T10:02:00+05:30,5236.00,5240.50,5236.00,5240.50,321
2026-06-24T10:03:00+05:30,5241.00,5241.00,5240.00,5240.00,98
2026-06-24T10:04:00+05:30,5239.00,5239.50,5238.50,5238.50,152
2026-06-24T10:05:00+05:30,5238.00,5240.00,5237.50,5238.00,216
2026-06-24T10:06:00+05:30,5238.00,5257.50,5238.00,5254.00,822
2026-06-24T10:07:00+05:30,5252.50,5258.00,5252.50,5258.00,259
2026-06-24T10:08:00+05:30,5263.00,5263.00,5259.50,5259.50,366
2026-06-24T10:09:00+05:30,5260.00,5261.00,5259.00,5260.00,432
