ts,open,high,low,close,volume
2026-06-24T09:15:00+05:30,1308.00,1316.50,1306.20,1316.50,0
2026-06-24T09:16:00+05:30,1316.50,1320.80,1315.00,1320.40,23351
2026-06-24T09:17:00+05:30,1320.70,1321.80,1314.40,1321.70,29105
2026-06-24T09:18:00+05:30,1322.80,1325.90,1321.60,1325.90,49247
2026-06-24T09:19:00+05:30,1325.80,1328.50,1324.10,1328.10,33909
2026-06-24T09:20:00+05:30,1328.40,1329.00,1326.70,1327.80,24320
2026-06-24T09:21:00+05:30,1327.40,1330.50,1327.40,1329.10,41210
2026-06-24T09:22:00+05:30,1328.30,1330.40,1326.90,1330.40,35224
2026-06-24T09:23:00+05:30,1330.40,1331.40,1328.90,1329.90,28041
2026-06-24T09:24:00+05:30,1330.50,1333.80,1328.00,1332.30,52353
2026-06-24T09:25:00+05:30,1332.20,1335.00,1330.70,1334.60,36213
2026-06-24T09:26:00+05:30,1334.70,1336.00,1334.10,1335.30,49119
2026-06-24T09:27:00+05:30,1335.70,1336.00,1334.10,1334.10,24047
2026-06-24T09:28:00+05:30,1333.30,1336.00,1333.10,1334.50,28639
2026-06-24T09:29:00+05:30,1334.50,1336.50,1333.40,1333.40,30441
2026-06-24T09:30:00+05:30,1333.60,1335.50,1333.60,1334.90,19859
2026-06-24T09:31:00+05:30,1334.90,1338.40,1334.40,1338.40,23975
2026-06-24T09:32:00+05:30,1337.90,1339.90,1335.60,1338.50,45640
2026-06-24T09:33:00+05:30,1339.00,1339.80,1336.80,1336.80,36031
2026-06-24T09:34:00+05:30,1337.00,1339.80,1336.20,1338.70,26038
2026-06-24T09:35:00+05:30,1339.20,1340.00,1338.50,1339.00,27578
2026-06-24T09:36:00+05:30,1339.00,1339.50,1338.30,1338.30,21297
2026-06-24T09:37:00+05:30,1338.20,1341.00,1337.90,1340.40,50843
2026-06-24T09:38:00+05:30,1340.70,1341.90,1340.30,1341.70,29899
2026-06-24T09:39:00+05:30,1341.70,1342.60,1340.60,1340.90,51798
2026-06-24T09:40:00+05:30,1340.90,1343.00,1336.70,1337.20,50647
2026-06-24T09:41:00+05:30,1337.90,1338.00,1336.60,1337.60,16917
2026-06-24T09:42:00+05:30,1337.70,1338.50,1337.10,1338.50,8828
2026-06-24T09:43:00+05:30,1338.30,1338.30,1334.20,1335.60,56980
2026-06-24T09:44:00+05:30,1335.00,1335.00,1333.20,1334.80,21161
2026-06-24T09:45:00+05:30,1335.00,1335.80,1331.10,1331.80,40216
2026-06-24T09:46:00+05:30,1332.00,1333.20,1330.20,1332.50,23452
2026-06-24T09:47:00+05:30,1332.60,1333.00,1331.30,1332.00,11854
2026-06-24T09:48:00+05:30,1332.20,1333.00,1331.50,1332.60,9522
2026-06-24T09:49:00+05:30,1333.00,1333.00,1332.30,1332.40,9932
2026-06-24T09:50:00+05:30,1331.70,1331.70,1330.60,1330.80,7857
