ts,open,high,low,close,volume
2026-06-24T09:15:00+05:30,7530.00,7546.00,7505.00,7518.00,0
2026-06-24T09:16:00+05:30,7518.00,7546.50,7516.00,7538.50,6516
2026-06-24T09:17:00+05:30,7536.00,7550.00,7520.00,7550.00,7946
2026-06-24T09:18:00+05:30,7546.50,7549.50,7542.00,7543.00,2857
2026-06-24T09:19:00+05:30,7549.50,7550.00,7535.00,7535.00,954
2026-06-24T09:20:00+05:30,7535.00,7543.00,7535.00,7535.50,1559
2026-06-24T09:21:00+05:30,7542.00,7542.50,7537.50,7542.50,997
2026-06-24T09:22:00+05:30,7542.50,7543.50,7537.00,7539.50,2077
2026-06-24T09:23:00+05:30,7540.00,7544.00,7539.50,7543.50,1029
2026-06-24T09:24:00+05:30,7541.00,7544.50,7541.00,7544.50,1183
2026-06-24T09:25:00+05:30,7544.00,7544.00,7539.50,7542.00,1556
2026-06-24T09:26:00+05:30,7540.00,7548.50,7540.00,7546.00,617
2026-06-24T09:27:00+05:30,7546.00,7547.00,7544.50,7545.50,923
2026-06-24T09:28:00+05:30,7545.00,7546.00,7543.50,7544.50,1248
2026-06-24T09:29:00+05:30,7543.50,7543.50,7538.50,7542.50,1721
2026-06-24T09:30:00+05:30,7557.50,7564.50,7557.50,7563.50,2667
2026-06-24T09:31:00+05:30,7563.00,7563.00,7552.00,7553.00,771
2026-06-24T09:32:00+05:30,7554.50,7557.00,7554.50,7555.00,328
2026-06-24T09:33:00+05:30,7555.50,7562.00,7555.00,7562.00,2321
2026-06-24T09:34:00+05:30,7561.50,7561.50,7553.00,7553.00,894
2026-06-24T09:35:00+05:30,7555.00,7556.50,7552.00,7556.50,426
2026-06-24T09:36:00+05:30,7557.00,7561.50,7557.00,7557.00,540
2026-06-24T09:37:00+05:30,7566.50,7567.00,7558.50,7559.50,924
2026-06-24T09:38:00+05:30,7557.50,7558.00,7550.00,7550.00,986
2026-06-24T09:39:00+05:30,7547.00,7551.00,7547.00,7548.00,1336
2026-06-24T09:40:00+05:30,7545.00,7550.50,7545.00,7550.50,0
2026-06-24T09:41:00+05:30,7549.50,7549.50,7547.00,7548.00,377
2026-06-24T09:42:00+05:30,7548.00,7549.50,7543.00,7543.00,880
2026-06-24T09:43:00+05:30,7539.50,7543.00,7537.00,7537.00,947
2026-06-24T09:44:00+05:30,7535.00,7536.50,7533.00,7536.50,462
2026-06-24T09:45:00+05:30,7536.50,7538.00,7521.00,7521.00,1137
2026-06-24T09:46:00+05:30,7521.00,7525.00,7521.00,7523.50,465
2026-06-24T09:47:00+05:30,7518.00,7518.00,7510.00,7510.00,877
2026-06-24T09:48:00+05:30,7510.00,7510.00,7507.50,7509.50,233
2026-06-24T09:49:00+05:30,7510.50,7510.50,7489.00,7489.00,2047
2026-06-24T09:50:00+05:30,7490.50,7502.00,7490.50,7502.00,346
2026-06-24T09:51:00+05:30,7501.00,7501.00,7498.00,7498.00,345
2026-06-24T09:52:00+05:30,7499.00,7501.00,7495.50,7501.00,644
