ts,open,high,low,close,volume
2026-06-24T09:15:00+05:30,973.00,976.00,973.00,975.90,0
2026-06-24T09:16:00+05:30,975.90,979.60,975.50,977.40,78137
2026-06-24T09:17:00+05:30,977.70,980.00,976.50,978.20,66695
2026-06-24T09:18:00+05:30,978.20,978.20,977.10,977.10,26918
2026-06-24T09:19:00+05:30,977.60,979.20,977.30,977.60,40698
2026-06-24T09:20:00+05:30,977.20,977.20,975.60,975.60,38250
2026-06-24T09:21:00+05:30,975.10,975.90,974.90,975.90,61946
2026-06-24T09:22:00+05:30,976.00,976.10,975.70,976.10,20818
2026-06-24T09:23:00+05:30,976.10,976.50,976.10,976.50,16721
2026-06-24T09:24:00+05:30,976.60,977.20,976.60,977.20,24836
2026-06-24T09:25:00+05:30,977.80,978.10,977.40,978.10,20776
2026-06-24T09:26:00+05:30,978.10,979.00,978.10,978.50,15768
2026-06-24T09:27:00+05:30,978.70,978.70,978.10,978.40,10821
2026-06-24T09:28:00+05:30,978.20,978.40,978.20,978.30,16538
2026-06-24T09:29:00+05:30,978.10,978.80,978.10,978.80,11430
2026-06-24T09:30:00+05:30,978.80,979.40,978.70,978.80,28013
2026-06-24T09:31:00+05:30,978.90,979.00,978.80,979.00,7417
2026-06-24T09:32:00+05:30,978.80,978.80,978.50,978.70,13598
2026-06-24T09:33:00+05:30,978.70,979.00,978.50,978.60,22578
2026-06-24T09:34:00+05:30,978.50,978.50,978.10,978.10,15320
2026-06-24T09:35:00+05:30,978.10,978.10,977.80,977.80,12014
2026-06-24T09:36:00+05:30,978.00,978.00,976.50,976.50,15593
2026-06-24T09:37:00+05:30,976.90,976.90,976.00,976.30,11139
2026-06-24T09:38:00+05:30,976.40,976.40,975.90,975.90,9568
2026-06-24T09:39:00+05:30,975.90,976.10,975.90,975.90,9326
2026-06-24T09:40:00+05:30,975.90,976.20,975.80,976.20,14017
2026-06-24T09:41:00+05:30,975.90,975.90,974.20,974.20,24331
2026-06-24T09:42:00+05:30,974.50,974.70,974.40,974.60,12170
2026-06-24T09:43:00+05:30,974.10,974.40,974.00,974.00,21678
2026-06-24T09:44:00+05:30,974.10,974.10,973.00,973.00,13688
2026-06-24T09:45:00+05:30,973.10,973.30,972.60,972.60,14323
2026-06-24T09:46:00+05:30,972.70,972.90,971.50,971.50,24026
2026-06-24T09:47:00+05:30,970.90,971.00,970.30,971.00,34340
2026-06-24T09:48:00+05:30,970.90,971.90,970.90,971.90,19039
2026-06-24T09:49:00+05:30,971.90,971.90,970.50,970.70,16375
2026-06-24T09:50:00+05:30,970.50,971.00,970.50,971.00,6147
2026-06-24T09:51:00+05:30,970.90,971.20,970.70,970.80,13167
2026-06-24T09:52:00+05:30,971.00,971.30,970.80,971.10,7540
2026-06-24T09:53:00+05:30,971.30,971.40,971.20,971.40,5445
2026-06-24T09:54:00+05:30,971.40,972.30,971.40,972.30,12212
2026-06-24T09:55:00+05:30,972.30,972.40,971.90,972.00,17112
2026-06-24T09:56:00+05:30,972.00,972.20,971.70,972.20,10476
2026-06-24T09:57:00+05:30,972.00,972.00,971.30,971.70,10153
2026-06-24T09:58:00+05:30,971.20,972.00,971.20,971.80,9948
2026-06-24T09:59:00+05:30,972.00,972.30,971.70,971.70,11904
2026-06-24T10:00:00+05:30,971.70,972.40,971.70,972.40,10745
2026-06-24T10:01:00+05:30,972.80,973.70,972.80,973.70,14496
2026-06-24T10:02:00+05:30,973.60,973.90,973.50,973.70,10985
2026-06-24T10:03:00+05:30,973.70,974.40,973.70,974.30,8463
2026-06-24T10:04:00+05:30,974.30,974.50,974.20,974.50,15501
2026-06-24T10:05:00+05:30,974.60,974.70,974.30,974.40,14526
2026-06-24T10:06:00+05:30,974.40,974.50,974.20,974.50,7874
2026-06-24T10:07:00+05:30,974.60,976.30,974.60,976.10,25254
2026-06-24T10:08:00+05:30,976.10,976.70,976.00,976.60,15994
