ts,open,high,low,close,volume
2026-06-19T09:15:00+05:30,2208.00,2208.00,2202.80,2202.80,0
2026-06-19T09:16:00+05:30,2201.50,2201.50,2198.10,2199.00,3754
2026-06-19T09:17:00+05:30,2199.00,2202.30,2199.00,2202.30,1792
2026-06-19T09:18:00+05:30,2200.00,2201.80,2200.00,2201.40,2487
2026-06-19T09:19:00+05:30,2201.80,2203.30,2201.50,2202.00,1990
2026-06-19T09:20:00+05:30,2203.40,2204.20,2203.00,2203.10,4266
2026-06-19T09:21:00+05:30,2202.80,2202.80,2200.20,2200.60,1158
2026-06-19T09:22:00+05:30,2201.00,2201.90,2201.00,2201.90,2219
2026-06-19T09:23:00+05:30,2201.90,2201.90,2200.70,2201.20,1945
2026-06-19T09:24:00+05:30,2201.00,2201.00,2198.30,2200.20,2070
2026-06-19T09:25:00+05:30,2199.30,2200.10,2198.00,2198.50,2310
2026-06-19T09:26:00+05:30,2198.70,2198.70,2197.70,2198.20,3530
2026-06-19T09:27:00+05:30,2198.60,2198.80,2197.80,2197.80,1187
2026-06-19T09:28:00+05:30,2198.60,2199.40,2198.40,2199.40,2619
2026-06-19T09:29:00+05:30,2198.40,2198.40,2197.00,2197.00,1979
2026-06-19T09:30:00+05:30,2197.80,2199.50,2197.40,2198.10,9201
2026-06-19T09:31:00+05:30,2198.10,2199.60,2198.10,2199.30,2348
2026-06-19T09:32:00+05:30,2198.20,2198.20,2197.00,2197.20,1673
2026-06-19T09:33:00+05:30,2197.80,2198.80,2197.10,2198.80,1005
2026-06-19T09:34:00+05:30,2198.50,2198.60,2197.10,2197.70,548
2026-06-19T09:35:00+05:30,2197.80,2197.80,2195.00,2196.80,6212
2026-06-19T09:36:00+05:30,2196.70,2197.90,2196.70,2197.90,2066
2026-06-19T09:37:00+05:30,2197.30,2197.40,2197.20,2197.40,705
2026-06-19T09:38:00+05:30,2197.90,2198.70,2197.60,2197.70,1603
2026-06-19T09:39:00+05:30,2197.80,2198.50,2197.30,2197.50,3725
2026-06-19T09:40:00+05:30,2197.60,2197.70,2197.50,2197.60,1328
2026-06-19T09:41:00+05:30,2197.40,2197.80,2196.10,2196.10,1116
2026-06-19T09:42:00+05:30,2196.40,2196.70,2195.50,2195.50,2127
2026-06-19T09:43:00+05:30,2196.30,2196.40,2195.70,2196.40,1547
2026-06-19T09:44:00+05:30,2196.20,2197.10,2196.20,2196.20,2211
2026-06-19T09:45:00+05:30,2196.60,2196.60,2196.20,2196.40,878
2026-06-19T09:46:00+05:30,2196.50,2197.10,2196.40,2196.90,795
2026-06-19T09:47:00+05:30,2196.90,2196.90,2194.30,2194.30,2533
2026-06-19T09:48:00+05:30,2194.60,2195.30,2194.40,2194.70,868
2026-06-19T09:49:00+05:30,2194.70,2196.70,2194.70,2196.70,2057
2026-06-19T09:50:00+05:30,2196.00,2196.00,2195.60,2195.80,495
2026-06-19T09:51:00+05:30,2196.00,2196.00,2195.30,2195.50,1501
2026-06-19T09:52:00+05:30,2195.50,2199.10,2195.20,2199.10,2738
2026-06-19T09:53:00+05:30,2199.70,2201.90,2199.10,2201.50,4872
2026-06-19T09:54:00+05:30,2202.10,2203.50,2201.20,2201.30,4212
2026-06-19T09:55:00+05:30,2201.30,2201.90,2200.50,2200.90,1894
2026-06-19T09:56:00+05:30,2200.50,2202.10,2200.20,2202.00,1343
2026-06-19T09:57:00+05:30,2202.00,2203.30,2202.00,2202.40,2301
2026-06-19T09:58:00+05:30,2202.70,2203.40,2202.00,2202.80,989
2026-06-19T09:59:00+05:30,2202.00,2202.90,2201.50,2201.80,840
2026-06-19T10:00:00+05:30,2202.20,2202.20,2201.40,2201.40,1979
2026-06-19T10:01:00+05:30,2201.40,2201.40,2199.10,2199.10,4125
2026-06-19T10:02:00+05:30,2199.30,2201.10,2199.30,2199.60,2127
2026-06-19T10:03:00+05:30,2199.60,2200.00,2198.60,2199.60,986
2026-06-19T10:04:00+05:30,2199.90,2199.90,2198.60,2198.60,992
2026-06-19T10:05:00+05:30,2199.00,2199.20,2199.00,2199.10,407
2026-06-19T10:06:00+05:30,2199.00,2200.00,2199.00,2199.70,1014
2026-06-19T10:07:00+05:30,2199.60,2200.30,2198.70,2199.80,3361
2026-06-19T10:08:00+05:30,2200.00,2202.10,2200.00,2201.60,2771
2026-06-19T10:09:00+05:30,2202.00,2203.70,2202.00,2202.70,3503
2026-06-19T10:10:00+05:30,2203.20,2203.70,2199.60,2201.80,2108
2026-06-19T10:11:00+05:30,2201.40,2202.20,2200.30,2201.40,3080
2026-06-19T10:12:00+05:30,2201.60,2203.30,2201.40,2203.30,520
2026-06-19T10:13:00+05:30,2203.00,2204.20,2203.00,2204.00,1612
2026-06-19T10:14:00+05:30,2204.10,2206.00,2204.10,2206.00,1921
2026-06-19T10:15:00+05:30,2205.40,2205.40,2203.80,2204.50,1026
