ts,open,high,low,close,volume
2026-06-24T09:15:00+05:30,903.70,905.95,903.70,905.95,0
2026-06-24T09:16:00+05:30,905.80,906.00,905.30,905.40,10699
2026-06-24T09:17:00+05:30,905.90,906.05,905.30,906.05,6523
2026-06-24T09:18:00+05:30,907.00,908.00,906.30,906.70,5970
2026-06-24T09:19:00+05:30,906.05,906.10,905.35,906.10,13599
2026-06-24T09:20:00+05:30,906.20,907.65,906.20,907.00,4504
2026-06-24T09:21:00+05:30,907.45,907.50,907.00,907.50,1651
2026-06-24T09:22:00+05:30,907.55,907.60,906.60,906.65,3620
2026-06-24T09:23:00+05:30,906.60,906.60,906.15,906.15,7485
2026-06-24T09:24:00+05:30,906.00,907.15,906.00,906.75,4329
2026-06-24T09:25:00+05:30,907.00,907.65,906.50,907.55,4922
2026-06-24T09:26:00+05:30,907.40,908.00,907.40,908.00,2630
2026-06-24T09:27:00+05:30,907.95,907.95,907.35,907.40,3737
2026-06-24T09:28:00+05:30,907.00,907.60,906.75,906.90,2460
2026-06-24T09:29:00+05:30,906.90,907.50,906.50,907.50,3450
2026-06-24T09:30:00+05:30,906.90,907.40,906.90,906.95,3636
2026-06-24T09:31:00+05:30,906.95,906.95,906.35,906.65,3893
2026-06-24T09:32:00+05:30,906.60,906.70,906.05,906.25,1997
2026-06-24T09:33:00+05:30,906.20,906.20,905.55,905.55,3746
2026-06-24T09:34:00+05:30,904.95,905.40,904.80,905.00,4307
2026-06-24T09:35:00+05:30,904.55,905.30,904.55,904.80,1871
2026-06-24T09:36:00+05:30,905.05,905.65,904.60,904.60,2791
2026-06-24T09:37:00+05:30,904.90,905.05,903.10,904.25,5011
2026-06-24T09:38:00+05:30,903.90,903.90,903.25,903.25,1933
2026-06-24T09:39:00+05:30,903.25,904.90,903.15,904.70,3678
2026-06-24T09:40:00+05:30,904.60,904.65,904.45,904.60,1030
2026-06-24T09:41:00+05:30,904.30,904.35,903.15,903.30,2843
2026-06-24T09:42:00+05:30,903.35,904.00,902.80,903.25,6040
2026-06-24T09:43:00+05:30,902.75,902.75,902.20,902.40,3366
2026-06-24T09:44:00+05:30,902.55,902.55,901.40,901.40,14759
2026-06-24T09:45:00+05:30,901.85,902.20,901.45,902.20,2166
2026-06-24T09:46:00+05:30,902.75,903.00,902.45,902.95,3256
2026-06-24T09:47:00+05:30,902.95,904.80,902.85,903.90,12322
2026-06-24T09:48:00+05:30,903.70,903.90,903.45,903.80,1943
2026-06-24T09:49:00+05:30,903.80,903.80,902.25,902.25,6510
2026-06-24T09:50:00+05:30,902.25,903.00,902.05,902.05,1434
2026-06-24T09:51:00+05:30,902.05,902.20,901.75,901.75,2209
2026-06-24T09:52:00+05:30,901.80,901.80,900.30,900.30,7235
2026-06-24T09:53:00+05:30,900.60,901.25,900.60,901.25,2418
2026-06-24T09:54:00+05:30,901.15,901.15,900.50,901.05,989
2026-06-24T09:55:00+05:30,900.70,901.20,900.30,900.35,3866
2026-06-24T09:56:00+05:30,900.40,901.30,900.15,901.30,1464
2026-06-24T09:57:00+05:30,901.35,901.35,900.90,901.05,1484
2026-06-24T09:58:00+05:30,901.05,901.35,901.05,901.10,1579
2026-06-24T09:59:00+05:30,901.30,901.35,900.95,901.15,3390
2026-06-24T10:00:00+05:30,900.80,901.45,900.80,901.10,4263
2026-06-24T10:01:00+05:30,900.75,901.90,900.60,901.80,2358
2026-06-24T10:02:00+05:30,901.70,902.85,901.70,902.35,1758
2026-06-24T10:03:00+05:30,903.30,904.50,903.15,903.45,3905
2026-06-24T10:04:00+05:30,903.45,904.25,903.45,904.25,2338
2026-06-24T10:05:00+05:30,904.30,904.30,903.65,903.80,1782
2026-06-24T10:06:00+05:30,903.80,904.20,903.60,904.20,2608
2026-06-24T10:07:00+05:30,904.20,904.20,903.55,904.15,879
2026-06-24T10:08:00+05:30,904.15,904.25,904.10,904.10,1481
2026-06-24T10:09:00+05:30,904.25,904.50,903.90,904.20,1102
2026-06-24T10:10:00+05:30,904.50,904.50,903.85,904.40,2313
2026-06-24T10:11:00+05:30,904.05,904.40,903.65,904.35,5142
2026-06-24T10:12:00+05:30,904.50,905.55,904.50,905.20,5717
2026-06-24T10:13:00+05:30,905.60,906.00,905.60,905.65,2724
2026-06-24T10:14:00+05:30,905.60,905.60,905.00,905.15,1472
2026-06-24T10:15:00+05:30,905.05,905.45,904.95,905.00,610
2026-06-24T10:16:00+05:30,905.00,905.35,904.95,905.35,1594
2026-06-24T10:17:00+05:30,905.40,906.50,905.30,905.30,2759
2026-06-24T10:18:00+05:30,905.55,905.75,905.00,905.35,1662
2026-06-24T10:19:00+05:30,905.50,905.50,904.40,904.45,1630
2026-06-24T10:20:00+05:30,904.65,905.15,904.35,904.35,4498
2026-06-24T10:21:00+05:30,905.00,905.70,905.00,905.15,1435
2026-06-24T10:22:00+05:30,905.50,908.10,905.50,907.90,8719
2026-06-24T10:23:00+05:30,908.00,908.60,907.65,908.60,5180
2026-06-24T10:24:00+05:30,908.25,908.60,908.25,908.25,1103
2026-06-24T10:25:00+05:30,908.50,908.55,907.85,908.20,1544
2026-06-24T10:26:00+05:30,908.60,909.80,908.50,909.25,5153
2026-06-24T10:27:00+05:30,909.60,910.00,908.40,909.50,4972
2026-06-24T10:28:00+05:30,909.95,910.20,909.00,909.15,9072
2026-06-24T10:29:00+05:30,909.35,909.35,907.30,908.00,8032
2026-06-24T10:30:00+05:30,908.00,908.30,908.00,908.00,2867
2026-06-24T10:31:00+05:30,908.00,909.00,908.00,908.75,4209
2026-06-24T10:32:00+05:30,908.50,908.50,906.85,908.15,3700
2026-06-24T10:33:00+05:30,908.10,908.10,907.70,908.00,1017
2026-06-24T10:34:00+05:30,908.90,908.90,908.25,908.30,1458
2026-06-24T10:35:00+05:30,908.20,908.60,907.90,908.25,5375
2026-06-24T10:36:00+05:30,908.90,909.20,908.20,909.20,2650
2026-06-24T10:37:00+05:30,908.90,909.20,908.90,909.00,2702
2026-06-24T10:38:00+05:30,909.30,909.80,908.90,909.60,3507
2026-06-24T10:39:00+05:30,909.60,909.75,908.65,908.65,6291
2026-06-24T10:40:00+05:30,909.10,909.85,908.60,909.85,1235
2026-06-24T10:41:00+05:30,909.45,910.00,909.00,910.00,960
2026-06-24T10:42:00+05:30,909.70,910.80,909.70,910.80,3329
2026-06-24T10:43:00+05:30,911.00,911.00,910.70,910.80,1672
2026-06-24T10:44:00+05:30,910.80,910.80,910.30,910.70,1954
2026-06-24T10:45:00+05:30,911.00,912.30,910.70,912.20,4752
2026-06-24T10:46:00+05:30,912.20,912.75,911.20,912.05,5472
2026-06-24T10:47:00+05:30,911.95,912.40,911.15,911.55,2762
2026-06-24T10:48:00+05:30,911.80,912.25,911.15,911.90,2105
2026-06-24T10:49:00+05:30,911.90,912.10,911.60,911.65,2261
2026-06-24T10:50:00+05:30,912.40,913.15,912.15,913.15,7125
2026-06-24T10:51:00+05:30,912.95,913.35,911.90,913.30,3976
2026-06-24T10:52:00+05:30,913.10,914.95,913.10,914.95,9430
2026-06-24T10:53:00+05:30,915.30,916.00,914.60,914.60,8117
2026-06-24T10:54:00+05:30,914.35,914.65,913.20,913.60,3263
2026-06-24T10:55:00+05:30,913.80,914.20,913.45,913.90,2636
2026-06-24T10:56:00+05:30,914.05,914.35,913.50,913.80,2092
2026-06-24T10:57:00+05:30,913.80,914.00,913.30,913.30,1828
2026-06-24T10:58:00+05:30,914.00,914.00,913.70,913.70,6367
2026-06-24T10:59:00+05:30,913.70,913.95,912.65,912.95,5163
2026-06-24T11:00:00+05:30,913.45,914.20,913.05,914.20,1826
2026-06-24T11:01:00+05:30,914.10,915.50,914.05,915.50,4855
2026-06-24T11:02:00+05:30,914.05,914.30,913.15,914.30,6732
2026-06-24T11:03:00+05:30,914.25,914.30,913.55,914.30,1398
2026-06-24T11:04:00+05:30,914.05,914.05,913.25,913.75,2618
2026-06-24T11:05:00+05:30,913.55,914.30,913.20,914.30,629
2026-06-24T11:06:00+05:30,914.30,914.85,913.25,914.85,4109
2026-06-24T11:07:00+05:30,914.85,915.00,914.35,915.00,4952
2026-06-24T11:08:00+05:30,915.00,915.20,914.90,914.90,1869
2026-06-24T11:09:00+05:30,914.85,915.70,914.85,915.40,2117
2026-06-24T11:10:00+05:30,915.00,915.60,914.60,914.95,2593
2026-06-24T11:11:00+05:30,914.70,915.65,914.30,915.20,4368
2026-06-24T11:12:00+05:30,915.35,915.75,915.20,915.70,2794
2026-06-24T11:13:00+05:30,915.25,915.75,915.10,915.30,3594
2026-06-24T11:14:00+05:30,915.10,915.85,915.00,915.15,3226
2026-06-24T11:15:00+05:30,915.05,915.55,914.85,915.45,4977
2026-06-24T11:16:00+05:30,915.50,915.60,915.35,915.60,499
2026-06-24T11:17:00+05:30,915.60,915.70,915.45,915.60,1569
2026-06-24T11:18:00+05:30,915.70,915.85,915.65,915.85,1595
2026-06-24T11:19:00+05:30,915.85,915.85,915.20,915.30,4853
2026-06-24T11:20:00+05:30,915.55,915.60,915.35,915.40,2924
2026-06-24T11:21:00+05:30,915.60,915.90,915.20,915.70,7211
2026-06-24T11:22:00+05:30,915.55,915.90,915.15,915.35,3504
2026-06-24T11:23:00+05:30,915.30,915.70,915.30,915.70,1095
2026-06-24T11:24:00+05:30,915.65,916.80,915.65,916.55,10324
2026-06-24T11:25:00+05:30,916.55,916.55,914.25,915.00,5971
