ts,open,high,low,close,volume
2026-06-19T09:15:00+05:30,289.80,290.30,289.35,289.85,0
2026-06-19T09:16:00+05:30,289.85,289.85,289.30,289.30,41250
2026-06-19T09:17:00+05:30,289.35,289.75,289.20,289.75,64624
2026-06-19T09:18:00+05:30,289.75,289.75,289.60,289.70,25812
2026-06-19T09:19:00+05:30,289.60,289.70,289.10,289.50,428549
2026-06-19T09:20:00+05:30,289.60,289.60,289.15,289.20,61238
2026-06-19T09:21:00+05:30,289.20,289.20,288.50,288.90,112176
2026-06-19T09:22:00+05:30,289.05,289.05,288.80,288.80,42429
2026-06-19T09:23:00+05:30,289.05,289.25,289.05,289.10,93029
2026-06-19T09:24:00+05:30,289.05,289.05,288.85,289.00,28437
2026-06-19T09:25:00+05:30,289.00,289.00,288.75,288.75,51884
2026-06-19T09:26:00+05:30,288.90,289.35,288.75,289.15,63040
2026-06-19T09:27:00+05:30,289.30,289.50,289.15,289.45,32764
2026-06-19T09:28:00+05:30,289.45,289.75,289.45,289.55,40058
2026-06-19T09:29:00+05:30,289.50,289.60,289.35,289.35,21548
2026-06-19T09:30:00+05:30,289.40,289.45,289.20,289.30,48948
2026-06-19T09:31:00+05:30,289.35,289.50,289.30,289.40,21346
2026-06-19T09:32:00+05:30,289.45,289.55,289.25,289.50,39529
2026-06-19T09:33:00+05:30,289.50,289.60,289.50,289.60,19458
2026-06-19T09:34:00+05:30,289.50,289.60,289.50,289.60,11788
2026-06-19T09:35:00+05:30,289.60,289.60,289.40,289.55,21972
2026-06-19T09:36:00+05:30,289.70,289.90,289.70,289.90,47596
2026-06-19T09:37:00+05:30,289.70,289.80,289.60,289.65,42216
2026-06-19T09:38:00+05:30,289.80,289.80,289.65,289.75,15121
2026-06-19T09:39:00+05:30,289.65,289.90,289.60,289.80,40285
2026-06-19T09:40:00+05:30,289.90,290.00,289.80,290.00,31356
2026-06-19T09:41:00+05:30,290.00,290.10,289.95,289.95,12218
2026-06-19T09:42:00+05:30,289.90,290.00,289.85,290.00,11275
2026-06-19T09:43:00+05:30,290.00,290.00,289.85,289.90,10038
2026-06-19T09:44:00+05:30,289.95,289.95,289.85,289.95,7698
2026-06-19T09:45:00+05:30,289.95,289.95,289.75,289.75,12650
2026-06-19T09:46:00+05:30,289.85,289.90,289.75,289.90,9794
2026-06-19T09:47:00+05:30,289.90,289.90,289.70,289.85,6544
2026-06-19T09:48:00+05:30,289.85,289.90,289.80,289.80,6017
2026-06-19T09:49:00+05:30,289.90,289.95,289.75,289.95,10279
2026-06-19T09:50:00+05:30,289.85,289.90,289.75,289.80,8196
2026-06-19T09:51:00+05:30,289.80,289.90,289.75,289.90,10874
2026-06-19T09:52:00+05:30,289.90,289.90,289.75,289.90,14280
2026-06-19T09:53:00+05:30,289.90,289.95,289.80,289.90,10028
2026-06-19T09:54:00+05:30,290.00,290.10,289.95,290.10,26901
2026-06-19T09:55:00+05:30,290.15,290.15,289.95,290.10,13462
2026-06-19T09:56:00+05:30,290.10,290.15,289.95,290.05,12322
2026-06-19T09:57:00+05:30,290.05,290.10,290.00,290.10,8601
2026-06-19T09:58:00+05:30,290.15,290.15,290.00,290.05,9473
2026-06-19T09:59:00+05:30,290.05,290.15,290.05,290.05,5809
2026-06-19T10:00:00+05:30,290.05,290.05,289.90,289.90,22083
2026-06-19T10:01:00+05:30,289.90,290.00,289.85,289.85,20973
2026-06-19T10:02:00+05:30,289.90,290.00,289.85,290.00,6900
2026-06-19T10:03:00+05:30,290.00,290.00,289.80,289.80,8991
2026-06-19T10:04:00+05:30,289.80,289.85,289.75,289.85,9347
2026-06-19T10:05:00+05:30,289.90,289.90,289.75,289.80,8829
2026-06-19T10:06:00+05:30,289.80,290.00,289.75,289.85,14265
2026-06-19T10:07:00+05:30,289.85,290.00,289.85,289.90,11783
2026-06-19T10:08:00+05:30,289.85,290.00,289.80,289.85,13843
2026-06-19T10:09:00+05:30,289.85,290.10,289.85,290.00,16675
2026-06-19T10:10:00+05:30,290.10,290.15,289.95,290.15,12270
2026-06-19T10:11:00+05:30,290.20,290.20,290.00,290.15,7914
2026-06-19T10:12:00+05:30,290.10,290.20,290.00,290.15,6944
2026-06-19T10:13:00+05:30,290.50,290.55,290.35,290.55,38474
2026-06-19T10:14:00+05:30,290.50,290.55,290.30,290.40,13015
2026-06-19T10:15:00+05:30,290.45,290.45,290.30,290.35,7278
2026-06-19T10:16:00+05:30,290.35,290.45,290.25,290.30,8866
2026-06-19T10:17:00+05:30,290.40,290.40,290.15,290.30,21177
2026-06-19T10:18:00+05:30,290.35,290.40,290.20,290.30,8806
2026-06-19T10:19:00+05:30,290.35,290.40,290.25,290.35,6344
2026-06-19T10:20:00+05:30,290.35,290.35,290.20,290.20,6699
2026-06-19T10:21:00+05:30,290.25,290.35,290.20,290.20,16000
2026-06-19T10:22:00+05:30,290.20,290.20,290.00,290.20,8566
2026-06-19T10:23:00+05:30,290.10,290.20,290.00,290.00,15151
2026-06-19T10:24:00+05:30,290.00,290.10,289.85,290.10,15574
2026-06-19T10:25:00+05:30,290.05,290.20,290.00,290.20,5922
2026-06-19T10:26:00+05:30,290.10,290.20,289.95,290.05,30914
2026-06-19T10:27:00+05:30,290.10,290.10,289.95,290.05,5476
2026-06-19T10:28:00+05:30,290.05,290.10,289.95,290.00,8637
2026-06-19T10:29:00+05:30,290.05,290.10,289.90,290.00,5611
2026-06-19T10:30:00+05:30,290.10,290.10,289.95,290.00,19150
2026-06-19T10:31:00+05:30,290.00,290.10,290.00,290.05,3254
2026-06-19T10:32:00+05:30,290.00,290.00,289.85,289.85,5885
2026-06-19T10:33:00+05:30,290.00,290.00,289.85,289.85,5086
2026-06-19T10:34:00+05:30,290.00,290.00,289.90,290.00,7838
2026-06-19T10:35:00+05:30,289.95,290.00,289.95,290.00,4830
2026-06-19T10:36:00+05:30,289.95,290.05,289.90,289.90,6035
2026-06-19T10:37:00+05:30,290.00,290.00,289.90,290.00,4735
2026-06-19T10:38:00+05:30,290.00,290.15,289.90,290.00,11713
2026-06-19T10:39:00+05:30,290.10,290.15,290.00,290.15,3690
2026-06-19T10:40:00+05:30,290.00,290.15,289.95,290.05,9272
2026-06-19T10:41:00+05:30,289.95,290.00,289.85,289.85,3815
2026-06-19T10:42:00+05:30,289.95,290.10,289.90,290.00,12219
2026-06-19T10:43:00+05:30,290.00,290.15,289.95,289.95,32969
2026-06-19T10:44:00+05:30,289.95,290.00,289.90,290.00,4956
2026-06-19T10:45:00+05:30,290.00,290.00,289.85,289.85,7679
2026-06-19T10:46:00+05:30,290.00,290.00,289.90,290.00,6987
2026-06-19T10:47:00+05:30,289.85,290.00,289.85,289.90,4592
2026-06-19T10:48:00+05:30,289.90,290.00,289.85,289.85,6700
2026-06-19T10:49:00+05:30,289.95,290.00,289.90,289.90,3657
2026-06-19T10:50:00+05:30,289.90,290.00,289.85,289.95,7397
2026-06-19T10:51:00+05:30,289.85,290.00,289.75,289.80,22420
2026-06-19T10:52:00+05:30,289.80,289.95,289.80,289.90,5649
2026-06-19T10:53:00+05:30,289.85,289.95,289.80,289.80,5833
2026-06-19T10:54:00+05:30,289.80,289.95,289.80,289.90,9049
2026-06-19T10:55:00+05:30,289.80,289.95,289.80,289.80,30314
2026-06-19T10:56:00+05:30,289.95,290.00,289.80,289.95,6397
2026-06-19T10:57:00+05:30,289.80,290.00,289.80,289.95,3684
2026-06-19T10:58:00+05:30,289.95,290.20,289.80,290.20,26452
2026-06-19T10:59:00+05:30,290.20,290.20,290.10,290.10,9309
2026-06-19T11:00:00+05:30,290.10,290.20,290.00,290.20,5262
2026-06-19T11:01:00+05:30,290.15,290.20,290.05,290.10,3644
2026-06-19T11:02:00+05:30,290.10,290.15,290.05,290.10,7924
2026-06-19T11:03:00+05:30,290.00,290.10,289.80,290.10,23393
2026-06-19T11:04:00+05:30,290.05,290.15,289.90,289.90,4489
2026-06-19T11:05:00+05:30,290.05,290.05,289.85,289.85,7262
2026-06-19T11:06:00+05:30,289.95,290.05,289.85,290.05,6008
2026-06-19T11:07:00+05:30,289.85,289.90,289.75,289.85,24173
2026-06-19T11:08:00+05:30,289.80,289.80,289.60,289.60,60294
2026-06-19T11:09:00+05:30,289.65,289.65,289.60,289.65,9814
2026-06-19T11:10:00+05:30,289.65,289.70,289.65,289.65,9540
2026-06-19T11:11:00+05:30,289.65,289.75,289.65,289.75,12470
2026-06-19T11:12:00+05:30,289.80,289.85,289.70,289.80,34391
2026-06-19T11:13:00+05:30,289.70,289.80,289.70,289.70,13249
2026-06-19T11:14:00+05:30,289.75,289.80,289.65,289.65,26127
2026-06-19T11:15:00+05:30,289.60,289.75,289.50,289.50,47562
2026-06-19T11:16:00+05:30,289.45,289.45,289.20,289.45,48383
2026-06-19T11:17:00+05:30,289.30,289.45,289.30,289.30,17395
2026-06-19T11:18:00+05:30,289.35,289.40,289.25,289.30,59092
2026-06-19T11:19:00+05:30,289.35,289.65,289.25,289.65,78408
2026-06-19T11:20:00+05:30,289.60,289.65,289.55,289.55,3879
2026-06-19T11:21:00+05:30,289.55,289.65,289.55,289.55,3235
2026-06-19T11:22:00+05:30,289.60,289.65,289.50,289.60,19772
2026-06-19T11:23:00+05:30,289.60,289.65,289.55,289.55,12096
2026-06-19T11:24:00+05:30,289.60,289.65,289.50,289.60,29326
2026-06-19T11:25:00+05:30,289.50,289.60,289.50,289.50,59781
2026-06-19T11:26:00+05:30,289.60,289.65,289.55,289.55,9656
2026-06-19T11:27:00+05:30,289.60,289.60,289.55,289.60,9247
2026-06-19T11:28:00+05:30,289.55,289.60,289.50,289.50,8037
2026-06-19T11:29:00+05:30,289.60,289.60,289.50,289.60,18459
2026-06-19T11:30:00+05:30,289.60,289.60,289.45,289.55,16004
2026-06-19T11:31:00+05:30,289.55,289.60,289.45,289.45,11412
2026-06-19T11:32:00+05:30,289.40,289.55,289.40,289.50,16292
2026-06-19T11:33:00+05:30,289.40,289.55,289.35,289.50,13911
2026-06-19T11:34:00+05:30,289.50,289.55,289.35,289.45,11799
2026-06-19T11:35:00+05:30,289.50,289.55,289.45,289.45,12399
2026-06-19T11:36:00+05:30,289.50,289.50,289.35,289.35,13789
2026-06-19T11:37:00+05:30,289.45,289.50,289.35,289.40,10210
2026-06-19T11:38:00+05:30,289.40,289.45,289.35,289.40,9280
2026-06-19T11:39:00+05:30,289.35,289.50,289.35,289.50,29670
2026-06-19T11:40:00+05:30,289.50,289.65,289.45,289.55,18484
2026-06-19T11:41:00+05:30,289.55,289.60,289.45,289.50,7899
2026-06-19T11:42:00+05:30,289.60,289.60,289.40,289.50,13078
2026-06-19T11:43:00+05:30,289.50,289.50,289.35,289.50,10095
2026-06-19T11:44:00+05:30,289.30,289.45,289.20,289.40,16073
2026-06-19T11:45:00+05:30,289.45,289.50,289.35,289.50,13085
2026-06-19T11:46:00+05:30,289.50,289.50,289.35,289.40,8955
2026-06-19T11:47:00+05:30,289.50,289.50,289.35,289.35,17616
2026-06-19T11:48:00+05:30,289.45,289.50,289.30,289.30,11068
2026-06-19T11:49:00+05:30,289.45,289.45,289.30,289.40,11015
2026-06-19T11:50:00+05:30,289.30,289.40,289.30,289.40,13857
2026-06-19T11:51:00+05:30,289.40,289.45,289.35,289.40,17495
2026-06-19T11:52:00+05:30,289.45,289.45,289.35,289.40,10845
2026-06-19T11:53:00+05:30,289.45,289.45,289.30,289.35,13161
2026-06-19T11:54:00+05:30,289.30,289.40,289.30,289.35,28487
2026-06-19T11:55:00+05:30,289.35,289.45,289.35,289.40,9136
2026-06-19T11:56:00+05:30,289.45,289.45,289.40,289.40,9162
2026-06-19T11:57:00+05:30,289.45,289.50,289.40,289.40,12009
2026-06-19T11:58:00+05:30,289.35,289.50,289.35,289.40,11902
2026-06-19T11:59:00+05:30,289.45,289.50,289.30,289.50,16119
2026-06-19T12:00:00+05:30,289.50,289.50,289.35,289.40,9879
2026-06-19T12:01:00+05:30,289.45,289.45,289.30,289.45,17158
2026-06-19T12:02:00+05:30,289.45,289.50,289.35,289.50,11176
2026-06-19T12:03:00+05:30,289.45,289.55,289.45,289.50,9493
2026-06-19T12:04:00+05:30,289.50,289.55,289.40,289.40,21765
2026-06-19T12:05:00+05:30,289.45,289.45,289.30,289.30,16536
2026-06-19T12:06:00+05:30,289.45,289.45,289.25,289.35,7472
2026-06-19T12:07:00+05:30,289.40,289.40,289.25,289.30,10881
2026-06-19T12:08:00+05:30,289.40,289.40,289.25,289.25,14550
2026-06-19T12:09:00+05:30,289.35,289.45,289.35,289.40,8646
2026-06-19T12:10:00+05:30,289.35,289.50,289.35,289.45,13793
2026-06-19T12:11:00+05:30,289.35,289.50,289.35,289.45,3081
2026-06-19T12:12:00+05:30,289.45,289.55,289.35,289.40,18376
2026-06-19T12:13:00+05:30,289.45,289.55,289.40,289.55,10748
2026-06-19T12:14:00+05:30,289.50,289.55,289.40,289.45,10879
2026-06-19T12:15:00+05:30,289.50,289.50,289.35,289.45,15868
2026-06-19T12:16:00+05:30,289.50,289.50,289.35,289.40,8052
2026-06-19T12:17:00+05:30,289.40,289.50,289.30,289.35,17605
2026-06-19T12:18:00+05:30,289.40,289.40,289.25,289.30,12961
2026-06-19T12:19:00+05:30,289.40,289.40,289.20,289.35,7925
2026-06-19T12:20:00+05:30,289.25,289.40,289.20,289.20,9206
2026-06-19T12:21:00+05:30,289.25,289.30,289.15,289.15,14776
2026-06-19T12:22:00+05:30,289.15,289.75,289.15,289.75,87892
2026-06-19T12:23:00+05:30,289.60,289.75,289.60,289.65,10182
2026-06-19T12:24:00+05:30,289.75,289.75,289.55,289.55,19016
2026-06-19T12:25:00+05:30,289.55,289.65,289.55,289.55,8760
2026-06-19T12:26:00+05:30,289.60,289.65,289.55,289.55,10575
2026-06-19T12:27:00+05:30,289.60,289.65,289.60,289.60,14271
2026-06-19T12:28:00+05:30,289.65,289.65,289.50,289.50,11425
2026-06-19T12:29:00+05:30,289.60,289.65,289.55,289.60,9807
2026-06-19T12:30:00+05:30,289.60,289.65,289.50,289.60,9854
2026-06-19T12:31:00+05:30,289.60,289.60,289.45,289.60,55975
2026-06-19T12:32:00+05:30,289.50,289.60,289.50,289.50,40131
2026-06-19T12:33:00+05:30,289.60,289.60,289.50,289.60,13384
2026-06-19T12:34:00+05:30,289.50,289.60,289.50,289.55,13793
2026-06-19T12:35:00+05:30,289.55,289.60,289.50,289.50,9264
2026-06-19T12:36:00+05:30,289.50,289.60,289.50,289.60,14053
2026-06-19T12:37:00+05:30,289.60,289.60,289.50,289.50,15309
2026-06-19T12:38:00+05:30,289.60,289.60,289.50,289.55,11847
2026-06-19T12:39:00+05:30,289.55,289.55,289.50,289.55,10776
2026-06-19T12:40:00+05:30,289.55,289.60,289.45,289.50,17574
2026-06-19T12:41:00+05:30,289.55,289.70,289.50,289.70,37889
2026-06-19T12:42:00+05:30,289.60,289.70,289.60,289.60,8792
2026-06-19T12:43:00+05:30,289.70,289.70,289.50,289.70,72172
2026-06-19T12:44:00+05:30,289.55,289.85,289.55,289.80,167772
2026-06-19T12:45:00+05:30,290.05,290.10,290.00,290.05,24321
2026-06-19T12:46:00+05:30,290.10,290.10,290.00,290.10,12182
2026-06-19T12:47:00+05:30,290.10,290.15,290.00,290.15,6810
2026-06-19T12:48:00+05:30,290.15,290.15,290.05,290.05,19169
2026-06-19T12:49:00+05:30,290.15,290.15,290.00,290.00,16734
2026-06-19T12:50:00+05:30,290.00,290.15,290.00,290.15,23683
2026-06-19T12:51:00+05:30,290.05,290.15,290.00,290.15,14476
2026-06-19T12:52:00+05:30,290.15,290.15,290.00,290.15,13723
2026-06-19T12:53:00+05:30,290.00,290.15,290.00,290.15,10962
2026-06-19T12:54:00+05:30,290.00,290.15,290.00,290.10,11749
2026-06-19T12:55:00+05:30,290.15,290.15,290.00,290.10,17448
2026-06-19T12:56:00+05:30,290.10,290.10,290.00,290.10,8611
2026-06-19T12:57:00+05:30,290.10,290.15,290.00,290.15,13441
2026-06-19T12:58:00+05:30,290.00,290.15,290.00,290.05,15807
2026-06-19T12:59:00+05:30,290.05,290.10,290.00,290.10,11649
2026-06-19T13:00:00+05:30,290.00,290.10,290.00,290.00,8307
2026-06-19T13:01:00+05:30,290.05,290.05,289.60,289.60,47114
2026-06-19T13:02:00+05:30,289.65,289.80,289.60,289.75,19571
2026-06-19T13:03:00+05:30,289.75,289.75,289.65,289.65,12036
2026-06-19T13:04:00+05:30,289.70,290.00,289.55,289.85,123179
2026-06-19T13:05:00+05:30,289.95,289.95,289.65,289.65,6071
2026-06-19T13:06:00+05:30,289.65,289.90,289.65,289.75,4763
2026-06-19T13:07:00+05:30,289.90,290.00,289.80,290.00,6631
2026-06-19T13:08:00+05:30,290.00,290.00,289.80,289.80,6931
2026-06-19T13:09:00+05:30,289.80,290.00,289.80,289.95,16506
2026-06-19T13:10:00+05:30,289.95,289.95,289.75,289.75,9397
2026-06-19T13:11:00+05:30,289.90,289.90,289.80,289.90,9193
2026-06-19T13:12:00+05:30,289.90,289.95,289.75,289.80,15732
2026-06-19T13:13:00+05:30,289.95,289.95,289.80,289.80,11203
2026-06-19T13:14:00+05:30,289.80,289.95,289.75,289.95,32934
2026-06-19T13:15:00+05:30,289.90,290.00,289.90,289.95,5750
2026-06-19T13:16:00+05:30,289.95,290.00,289.85,289.85,10115
2026-06-19T13:17:00+05:30,289.95,290.00,289.85,289.85,13205
2026-06-19T13:18:00+05:30,290.00,290.00,289.75,289.75,8940
2026-06-19T13:19:00+05:30,289.75,289.90,289.75,289.90,24451
2026-06-19T13:20:00+05:30,289.75,289.90,289.75,289.90,10793
2026-06-19T13:21:00+05:30,289.80,289.80,289.60,289.70,9238
2026-06-19T13:22:00+05:30,289.70,289.75,289.60,289.60,13759
2026-06-19T13:23:00+05:30,289.70,289.80,289.60,289.70,13172
2026-06-19T13:24:00+05:30,289.60,289.85,289.60,289.85,121110
2026-06-19T13:25:00+05:30,289.85,289.85,289.70,289.70,4733
2026-06-19T13:26:00+05:30,289.80,289.80,289.70,289.75,6132
2026-06-19T13:27:00+05:30,289.70,290.00,289.70,289.95,126295
2026-06-19T13:28:00+05:30,290.00,290.00,289.85,289.95,2989
2026-06-19T13:29:00+05:30,289.95,289.95,289.80,289.85,7723
2026-06-19T13:30:00+05:30,289.95,290.00,289.85,290.00,12816
2026-06-19T13:31:00+05:30,289.85,290.00,289.85,289.85,10973
2026-06-19T13:32:00+05:30,289.95,289.95,289.85,289.95,12550
2026-06-19T13:33:00+05:30,289.90,290.00,289.85,289.85,16708
2026-06-19T13:34:00+05:30,290.00,290.00,289.85,290.00,18390
2026-06-19T13:35:00+05:30,290.00,290.00,289.80,289.80,15363
2026-06-19T13:36:00+05:30,289.90,289.90,289.70,289.90,9744
2026-06-19T13:37:00+05:30,289.90,290.00,289.80,290.00,111788
2026-06-19T13:38:00+05:30,290.00,290.00,289.85,289.90,8880
2026-06-19T13:39:00+05:30,289.90,290.00,289.80,289.85,112414
2026-06-19T13:40:00+05:30,289.85,289.95,289.75,289.75,9266
2026-06-19T13:41:00+05:30,289.85,289.90,289.75,289.80,8906
2026-06-19T13:42:00+05:30,289.90,289.90,289.80,289.90,13409
2026-06-19T13:43:00+05:30,289.80,289.95,289.80,289.95,17431
2026-06-19T13:44:00+05:30,289.95,289.95,289.85,289.90,16245
2026-06-19T13:45:00+05:30,289.90,289.90,289.80,289.90,12167
2026-06-19T13:46:00+05:30,289.90,289.90,289.75,289.85,32797
2026-06-19T13:47:00+05:30,289.75,289.85,289.75,289.80,14471
2026-06-19T13:48:00+05:30,289.85,289.90,289.80,289.80,21937
2026-06-19T13:49:00+05:30,289.90,289.95,289.85,289.90,17901
2026-06-19T13:50:00+05:30,289.95,289.95,289.80,289.90,22518
2026-06-19T13:51:00+05:30,289.90,289.90,289.70,289.75,28091
2026-06-19T13:52:00+05:30,289.80,290.00,289.65,289.95,127674
2026-06-19T13:53:00+05:30,289.95,289.95,289.80,289.80,8924
2026-06-19T13:54:00+05:30,289.90,289.90,289.75,289.85,21069
2026-06-19T13:55:00+05:30,289.75,289.95,289.75,289.90,25282
2026-06-19T13:56:00+05:30,289.85,289.95,289.85,289.95,9327
2026-06-19T13:57:00+05:30,289.95,289.95,289.70,289.85,23277
2026-06-19T13:58:00+05:30,289.70,289.95,289.70,289.75,19960
2026-06-19T13:59:00+05:30,289.85,289.90,289.65,289.85,17058
2026-06-19T14:00:00+05:30,289.75,290.00,289.75,289.75,60774
2026-06-19T14:01:00+05:30,289.75,290.00,289.75,289.80,80601
2026-06-19T14:02:00+05:30,289.80,289.95,289.80,289.80,12071
2026-06-19T14:03:00+05:30,289.95,289.95,289.80,289.90,13125
2026-06-19T14:04:00+05:30,289.90,289.95,289.75,289.95,21719
2026-06-19T14:05:00+05:30,289.80,290.00,289.80,289.85,27422
2026-06-19T14:06:00+05:30,289.80,289.85,289.65,289.70,28569
2026-06-19T14:07:00+05:30,289.80,289.85,289.70,289.70,41484
2026-06-19T14:08:00+05:30,289.70,289.90,289.65,289.75,53006
2026-06-19T14:09:00+05:30,289.75,289.95,289.70,289.95,38901
2026-06-19T14:10:00+05:30,289.95,289.95,289.75,289.75,16991
2026-06-19T14:11:00+05:30,289.85,289.85,289.70,289.85,14950
2026-06-19T14:12:00+05:30,289.70,289.90,289.70,289.90,15359
2026-06-19T14:13:00+05:30,289.90,289.90,289.70,289.85,14807
2026-06-19T14:14:00+05:30,289.90,289.90,289.70,289.75,22383
2026-06-19T14:15:00+05:30,289.90,289.90,289.70,289.85,9743
