ts,open,high,low,close,volume
2026-06-24T09:15:00+05:30,362.70,362.95,361.85,362.95,0
2026-06-24T09:16:00+05:30,363.15,363.30,362.70,362.70,62669
2026-06-24T09:17:00+05:30,363.10,363.80,363.10,363.70,58777
2026-06-24T09:18:00+05:30,363.75,363.90,363.70,363.70,41440
2026-06-24T09:19:00+05:30,363.55,363.55,363.20,363.20,31230
2026-06-24T09:20:00+05:30,363.20,363.20,362.95,363.05,18673
2026-06-24T09:21:00+05:30,363.15,363.55,363.15,363.30,11912
2026-06-24T09:22:00+05:30,363.35,363.35,363.00,363.30,13160
2026-06-24T09:23:00+05:30,363.30,363.55,363.25,363.45,6024
2026-06-24T09:24:00+05:30,363.35,363.45,363.10,363.15,10915
2026-06-24T09:25:00+05:30,363.20,363.45,363.15,363.30,10723
2026-06-24T09:26:00+05:30,363.40,363.40,362.85,363.10,12341
2026-06-24T09:27:00+05:30,363.15,363.15,362.90,362.90,4789
2026-06-24T09:28:00+05:30,362.95,363.20,362.90,363.20,9117
2026-06-24T09:29:00+05:30,363.00,363.50,363.00,363.50,11349
2026-06-24T09:30:00+05:30,363.35,363.35,363.15,363.15,7206
2026-06-24T09:31:00+05:30,363.05,363.15,362.70,362.90,21656
2026-06-24T09:32:00+05:30,362.90,363.00,362.80,362.85,9109
2026-06-24T09:33:00+05:30,363.00,363.05,362.85,363.00,7979
2026-06-24T09:34:00+05:30,362.95,362.95,362.85,362.85,12297
2026-06-24T09:35:00+05:30,362.85,362.85,362.60,362.70,7372
2026-06-24T09:36:00+05:30,362.85,362.90,362.75,362.75,13074
2026-06-24T09:37:00+05:30,362.60,362.65,362.30,362.40,14333
2026-06-24T09:38:00+05:30,362.40,362.40,362.15,362.15,11112
2026-06-24T09:39:00+05:30,362.15,362.15,361.60,361.90,28844
2026-06-24T09:40:00+05:30,361.90,362.10,361.90,361.90,14023
2026-06-24T09:41:00+05:30,361.80,361.80,361.35,361.35,23305
2026-06-24T09:42:00+05:30,361.40,362.20,361.40,362.20,37383
2026-06-24T09:43:00+05:30,362.15,362.15,361.95,361.95,8026
2026-06-24T09:44:00+05:30,361.85,361.85,361.75,361.75,8914
2026-06-24T09:45:00+05:30,361.60,361.75,361.25,361.25,10791
2026-06-24T09:46:00+05:30,361.35,361.85,361.35,361.70,10216
2026-06-24T09:47:00+05:30,361.65,361.65,361.25,361.25,10199
2026-06-24T09:48:00+05:30,361.25,361.35,361.10,361.35,13715
2026-06-24T09:49:00+05:30,361.40,361.40,361.10,361.15,10091
2026-06-24T09:50:00+05:30,361.10,361.25,361.00,361.20,14343
2026-06-24T09:51:00+05:30,361.15,361.15,360.70,360.70,25769
2026-06-24T09:52:00+05:30,360.70,360.95,360.70,360.95,11386
2026-06-24T09:53:00+05:30,361.00,361.00,360.70,360.95,11301
2026-06-24T09:54:00+05:30,360.95,361.15,360.95,361.00,10243
2026-06-24T09:55:00+05:30,361.15,361.25,361.10,361.20,11653
2026-06-24T09:56:00+05:30,361.20,361.95,361.20,361.70,10011
2026-06-24T09:57:00+05:30,361.80,361.80,361.50,361.55,7592
2026-06-24T09:58:00+05:30,361.65,361.70,361.60,361.60,5578
2026-06-24T09:59:00+05:30,361.60,361.70,361.60,361.70,1225
2026-06-24T10:00:00+05:30,361.70,361.80,361.60,361.80,5036
2026-06-24T10:01:00+05:30,362.10,362.20,361.80,361.80,65406
2026-06-24T10:02:00+05:30,361.60,361.90,361.40,361.90,27383
2026-06-24T10:03:00+05:30,361.95,362.15,361.90,362.00,8797
2026-06-24T10:04:00+05:30,361.85,361.85,361.60,361.60,19914
2026-06-24T10:05:00+05:30,361.70,361.70,361.55,361.65,5508
2026-06-24T10:06:00+05:30,361.65,361.70,361.60,361.60,6855
2026-06-24T10:07:00+05:30,361.60,361.65,361.40,361.40,13118
2026-06-24T10:08:00+05:30,361.35,361.65,361.35,361.55,8007
2026-06-24T10:09:00+05:30,361.45,361.65,361.45,361.65,1035
2026-06-24T10:10:00+05:30,361.65,361.65,361.45,361.45,16001
2026-06-24T10:11:00+05:30,361.45,361.45,361.20,361.35,13501
2026-06-24T10:12:00+05:30,361.30,361.35,361.20,361.20,5088
2026-06-24T10:13:00+05:30,361.25,361.65,361.25,361.50,7862
2026-06-24T10:14:00+05:30,361.45,361.45,361.15,361.35,7467
2026-06-24T10:15:00+05:30,361.35,361.35,361.10,361.20,5642
2026-06-24T10:16:00+05:30,361.10,361.20,361.00,361.00,8216
2026-06-24T10:17:00+05:30,361.15,361.15,361.00,361.00,8802
2026-06-24T10:18:00+05:30,361.05,361.05,361.00,361.05,3638
2026-06-24T10:19:00+05:30,361.00,361.00,360.70,360.70,15953
2026-06-24T10:20:00+05:30,360.70,360.95,360.65,360.95,12620
2026-06-24T10:21:00+05:30,360.95,360.95,360.75,360.80,11965
2026-06-24T10:22:00+05:30,360.90,360.95,360.90,360.95,3055
