ts,open,high,low,close,volume
2026-06-24T09:15:00+05:30,1426.70,1446.50,1426.70,1446.50,0
2026-06-24T09:16:00+05:30,1446.30,1451.90,1439.20,1447.00,40222
2026-06-24T09:17:00+05:30,1447.40,1450.60,1444.00,1450.50,35346
2026-06-24T09:18:00+05:30,1449.80,1457.30,1449.00,1456.10,44682
2026-06-24T09:19:00+05:30,1456.30,1459.00,1452.50,1453.00,34854
2026-06-24T09:20:00+05:30,1453.00,1455.80,1452.70,1454.50,20319
2026-06-24T09:21:00+05:30,1454.10,1456.10,1451.50,1452.00,24267
2026-06-24T09:22:00+05:30,1452.80,1452.80,1447.10,1449.40,29524
2026-06-24T09:23:00+05:30,1450.40,1450.90,1447.10,1449.30,14852
2026-06-24T09:24:00+05:30,1450.00,1452.90,1450.00,1450.80,14447
2026-06-24T09:25:00+05:30,1451.00,1453.00,1450.00,1451.50,14417
2026-06-24T09:26:00+05:30,1451.50,1455.00,1451.20,1452.00,19560
2026-06-24T09:27:00+05:30,1452.10,1453.50,1446.90,1446.90,20610
2026-06-24T09:28:00+05:30,1447.30,1448.50,1445.40,1447.00,14240
2026-06-24T09:29:00+05:30,1447.50,1449.60,1446.40,1449.00,12157
2026-06-24T09:30:00+05:30,1448.70,1451.60,1446.50,1447.30,17804
2026-06-24T09:31:00+05:30,1447.60,1449.70,1446.70,1449.00,6536
2026-06-24T09:32:00+05:30,1449.30,1449.30,1448.40,1449.00,3091
2026-06-24T09:33:00+05:30,1448.80,1449.80,1448.40,1448.40,8590
2026-06-24T09:34:00+05:30,1447.80,1448.00,1446.50,1447.20,6528
2026-06-24T09:35:00+05:30,1447.90,1449.70,1447.30,1447.30,20540
2026-06-24T09:36:00+05:30,1447.00,1451.00,1447.00,1450.70,11372
2026-06-24T09:37:00+05:30,1450.50,1451.00,1449.70,1450.60,9242
2026-06-24T09:38:00+05:30,1450.60,1451.10,1450.20,1451.10,7021
2026-06-24T09:39:00+05:30,1453.40,1453.40,1452.20,1452.90,21645
2026-06-24T09:40:00+05:30,1452.30,1453.90,1451.10,1453.90,14234
2026-06-24T09:41:00+05:30,1454.50,1454.80,1452.80,1454.20,21159
2026-06-24T09:42:00+05:30,1455.00,1455.00,1453.60,1454.00,7869
2026-06-24T09:43:00+05:30,1454.00,1454.60,1453.10,1454.60,10435
2026-06-24T09:44:00+05:30,1454.90,1454.90,1454.20,1454.90,19547
2026-06-24T09:45:00+05:30,1455.50,1461.00,1455.50,1457.00,56535
2026-06-24T09:46:00+05:30,1457.40,1459.60,1456.50,1459.60,24991
2026-06-24T09:47:00+05:30,1459.50,1460.00,1457.10,1457.90,18626
2026-06-24T09:48:00+05:30,1457.10,1459.50,1457.00,1457.90,24466
2026-06-24T09:49:00+05:30,1457.90,1458.20,1455.00,1455.40,18354
2026-06-24T09:50:00+05:30,1455.10,1456.80,1454.50,1454.50,11678
2026-06-24T09:51:00+05:30,1454.40,1454.50,1451.70,1452.50,26098
2026-06-24T09:52:00+05:30,1452.00,1454.80,1451.30,1453.90,10312
2026-06-24T09:53:00+05:30,1454.30,1454.30,1452.70,1453.10,12191
2026-06-24T09:54:00+05:30,1453.00,1454.50,1453.00,1454.00,4367
2026-06-24T09:55:00+05:30,1454.20,1456.10,1454.20,1455.70,8783
2026-06-24T09:56:00+05:30,1455.70,1458.10,1455.70,1457.10,14621
2026-06-24T09:57:00+05:30,1457.50,1457.60,1456.00,1457.00,3976
2026-06-24T09:58:00+05:30,1457.40,1457.40,1455.40,1457.40,11364
2026-06-24T09:59:00+05:30,1456.80,1458.00,1456.80,1457.40,9422
2026-06-24T10:00:00+05:30,1457.40,1460.10,1457.40,1458.70,31615
2026-06-24T10:01:00+05:30,1459.50,1460.50,1458.80,1459.40,8335
2026-06-24T10:02:00+05:30,1459.00,1459.30,1457.30,1457.60,9741
2026-06-24T10:03:00+05:30,1457.60,1458.00,1456.30,1457.00,9770
2026-06-24T10:04:00+05:30,1456.70,1456.90,1455.50,1456.70,5152
2026-06-24T10:05:00+05:30,1457.40,1458.80,1457.00,1458.70,5690
2026-06-24T10:06:00+05:30,1458.70,1459.40,1456.40,1456.40,17613
2026-06-24T10:07:00+05:30,1456.50,1457.70,1456.00,1456.70,4685
2026-06-24T10:08:00+05:30,1457.00,1457.00,1453.70,1454.50,13433
2026-06-24T10:09:00+05:30,1454.00,1455.70,1453.20,1453.50,9237
2026-06-24T10:10:00+05:30,1453.80,1455.20,1453.10,1455.20,5051
2026-06-24T10:11:00+05:30,1455.00,1455.00,1453.00,1453.00,5590
2026-06-24T10:12:00+05:30,1452.00,1452.90,1451.80,1452.50,12181
2026-06-24T10:13:00+05:30,1452.00,1454.70,1452.00,1454.50,6309
2026-06-24T10:14:00+05:30,1454.50,1456.00,1454.00,1455.90,6120
2026-06-24T10:15:00+05:30,1455.90,1456.40,1455.00,1456.00,6131
2026-06-24T10:16:00+05:30,1456.40,1458.40,1455.40,1458.00,5175
2026-06-24T10:17:00+05:30,1457.50,1459.00,1457.10,1458.50,12043
2026-06-24T10:18:00+05:30,1457.90,1459.30,1456.80,1458.70,13776
2026-06-24T10:19:00+05:30,1459.00,1459.20,1457.90,1458.10,7974
2026-06-24T10:20:00+05:30,1458.30,1458.90,1457.20,1457.40,6330
2026-06-24T10:21:00+05:30,1457.30,1458.90,1457.00,1458.90,9129
2026-06-24T10:22:00+05:30,1459.80,1460.50,1458.80,1459.30,17233
2026-06-24T10:23:00+05:30,1459.00,1460.00,1458.30,1460.00,3852
2026-06-24T10:24:00+05:30,1460.00,1463.70,1459.80,1462.60,32504
2026-06-24T10:25:00+05:30,1462.60,1463.50,1462.00,1462.70,16452
2026-06-24T10:26:00+05:30,1462.60,1462.70,1461.80,1462.20,5636
2026-06-24T10:27:00+05:30,1462.40,1463.00,1462.30,1462.70,10398
2026-06-24T10:28:00+05:30,1462.30,1462.60,1462.00,1462.10,7529
2026-06-24T10:29:00+05:30,1462.10,1463.60,1461.40,1461.40,18448
2026-06-24T10:30:00+05:30,1461.30,1462.00,1460.00,1460.00,5814
2026-06-24T10:31:00+05:30,1460.00,1460.00,1458.60,1459.60,10121
2026-06-24T10:32:00+05:30,1459.60,1460.00,1458.40,1459.10,5373
2026-06-24T10:33:00+05:30,1459.70,1459.70,1458.60,1458.70,5021
2026-06-24T10:34:00+05:30,1458.70,1459.20,1458.50,1458.90,1374
2026-06-24T10:35:00+05:30,1458.90,1459.50,1457.70,1459.50,16196
2026-06-24T10:36:00+05:30,1459.70,1459.80,1458.20,1458.80,2855
2026-06-24T10:37:00+05:30,1458.80,1459.40,1458.00,1458.00,2829
2026-06-24T10:38:00+05:30,1458.10,1458.30,1457.60,1458.20,4275
2026-06-24T10:39:00+05:30,1458.10,1458.10,1457.10,1457.10,3108
2026-06-24T10:40:00+05:30,1457.50,1458.00,1457.10,1457.70,6475
2026-06-24T10:41:00+05:30,1457.20,1457.70,1455.20,1455.60,11039
2026-06-24T10:42:00+05:30,1455.40,1455.50,1453.30,1453.30,12756
2026-06-24T10:43:00+05:30,1453.80,1454.70,1453.30,1453.40,6360
2026-06-24T10:44:00+05:30,1453.80,1454.10,1452.10,1452.20,7313
2026-06-24T10:45:00+05:30,1452.60,1454.10,1452.60,1453.80,7137
2026-06-24T10:46:00+05:30,1453.60,1454.00,1453.00,1453.80,3006
2026-06-24T10:47:00+05:30,1453.50,1453.80,1453.00,1453.10,4733
2026-06-24T10:48:00+05:30,1453.00,1453.00,1452.20,1453.00,8582
2026-06-24T10:49:00+05:30,1453.10,1453.10,1452.20,1452.70,5086
2026-06-24T10:50:00+05:30,1453.10,1453.60,1452.90,1453.00,1808
2026-06-24T10:51:00+05:30,1453.50,1453.60,1451.40,1451.40,8300
2026-06-24T10:52:00+05:30,1452.00,1452.00,1451.40,1451.60,5166
2026-06-24T10:53:00+05:30,1451.70,1451.90,1450.40,1450.50,12135
2026-06-24T10:54:00+05:30,1451.00,1451.00,1450.10,1450.20,11315
2026-06-24T10:55:00+05:30,1450.50,1451.00,1450.00,1450.00,6444
2026-06-24T10:56:00+05:30,1449.00,1449.40,1448.30,1448.70,14509
2026-06-24T10:57:00+05:30,1448.90,1448.90,1448.30,1448.70,7613
2026-06-24T10:58:00+05:30,1448.80,1450.10,1448.80,1450.10,7127
2026-06-24T10:59:00+05:30,1449.50,1450.30,1449.00,1449.30,2790
2026-06-24T11:00:00+05:30,1449.30,1449.70,1448.50,1448.50,5101
2026-06-24T11:01:00+05:30,1449.00,1449.00,1448.40,1448.80,4286
2026-06-24T11:02:00+05:30,1449.40,1449.50,1448.50,1449.50,2032
2026-06-24T11:03:00+05:30,1449.00,1449.30,1448.10,1448.10,3166
2026-06-24T11:04:00+05:30,1447.60,1448.20,1446.80,1447.20,9621
2026-06-24T11:05:00+05:30,1447.70,1448.30,1446.80,1447.90,5402
2026-06-24T11:06:00+05:30,1448.60,1449.40,1447.90,1448.10,4867
2026-06-24T11:07:00+05:30,1449.20,1449.80,1448.50,1449.20,2873
2026-06-24T11:08:00+05:30,1449.20,1450.00,1448.40,1448.40,6500
2026-06-24T11:09:00+05:30,1448.80,1449.70,1448.00,1449.10,11258
2026-06-24T11:10:00+05:30,1449.70,1450.50,1449.30,1449.90,4662
2026-06-24T11:11:00+05:30,1449.90,1449.90,1448.50,1448.50,4665
2026-06-24T11:12:00+05:30,1449.00,1449.00,1448.50,1448.60,1604
2026-06-24T11:13:00+05:30,1448.90,1450.30,1448.50,1450.10,3977
2026-06-24T11:14:00+05:30,1450.70,1452.90,1450.00,1452.20,4547
2026-06-24T11:15:00+05:30,1452.30,1453.00,1451.20,1452.40,6914
2026-06-24T11:16:00+05:30,1453.00,1454.70,1452.30,1454.50,7378
2026-06-24T11:17:00+05:30,1454.50,1454.60,1453.30,1453.60,3731
2026-06-24T11:18:00+05:30,1453.60,1454.50,1453.60,1454.10,4858
2026-06-24T11:19:00+05:30,1453.90,1454.60,1453.20,1454.00,3960
2026-06-24T11:20:00+05:30,1454.00,1454.50,1454.00,1454.50,2567
2026-06-24T11:21:00+05:30,1454.50,1454.50,1453.20,1453.20,3574
2026-06-24T11:22:00+05:30,1453.20,1453.20,1452.60,1452.60,6852
2026-06-24T11:23:00+05:30,1453.20,1453.70,1452.30,1452.30,4141
2026-06-24T11:24:00+05:30,1452.40,1452.50,1452.00,1452.10,3420
2026-06-24T11:25:00+05:30,1452.10,1453.30,1452.00,1452.20,2053
2026-06-24T11:26:00+05:30,1452.40,1452.40,1450.70,1450.80,4980
2026-06-24T11:27:00+05:30,1450.80,1452.00,1449.80,1450.60,3488
2026-06-24T11:28:00+05:30,1451.20,1451.80,1450.20,1450.20,2816
2026-06-24T11:29:00+05:30,1450.90,1450.90,1450.00,1450.30,1124
2026-06-24T11:30:00+05:30,1450.30,1450.50,1446.10,1446.20,16441
2026-06-24T11:31:00+05:30,1446.10,1447.20,1445.80,1446.30,10974
2026-06-24T11:32:00+05:30,1446.30,1446.30,1445.50,1446.30,4737
2026-06-24T11:33:00+05:30,1446.80,1447.20,1446.10,1447.10,3278
2026-06-24T11:34:00+05:30,1447.50,1447.50,1446.60,1446.60,3793
2026-06-24T11:35:00+05:30,1446.70,1447.00,1446.60,1447.00,3211
2026-06-24T11:36:00+05:30,1447.00,1447.50,1446.70,1446.90,5078
2026-06-24T11:37:00+05:30,1447.20,1448.00,1446.80,1446.90,5247
