ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,7015.50,7015.50,6996.50,6997.50,0
2026-06-25T09:16:00+05:30,6981.00,6983.50,6975.00,6983.50,1959
2026-06-25T09:17:00+05:30,6984.00,6992.00,6983.00,6989.50,1497
2026-06-25T09:18:00+05:30,6992.50,7005.00,6991.50,7005.00,723
2026-06-25T09:19:00+05:30,7009.50,7009.50,7002.50,7004.00,2633
2026-06-25T09:20:00+05:30,7006.50,7011.50,7006.50,7009.00,987
2026-06-25T09:21:00+05:30,7009.50,7011.50,7002.00,7002.00,771
2026-06-25T09:22:00+05:30,7004.00,7004.50,6996.00,6996.00,1558
2026-06-25T09:23:00+05:30,7006.50,7009.50,7000.50,7001.00,1917
2026-06-25T09:24:00+05:30,7001.00,7004.50,6998.00,7004.00,516
2026-06-25T09:25:00+05:30,7004.50,7027.00,7000.50,7025.00,1235
2026-06-25T09:26:00+05:30,7018.50,7025.00,7017.50,7017.50,958
2026-06-25T09:27:00+05:30,7023.00,7027.50,7021.00,7027.50,393
2026-06-25T09:28:00+05:30,7030.00,7030.00,7023.00,7023.00,232
2026-06-25T09:29:00+05:30,7023.00,7023.00,7019.50,7020.00,261
2026-06-25T09:30:00+05:30,7022.50,7024.50,7002.50,7007.50,2654
2026-06-25T09:31:00+05:30,7007.50,7010.00,6997.50,6999.00,651
2026-06-25T09:32:00+05:30,7001.00,7008.00,6999.00,7003.00,395
2026-06-25T09:33:00+05:30,7006.50,7008.00,7003.50,7008.00,272
2026-06-25T09:34:00+05:30,7007.00,7012.00,7005.50,7010.00,357
2026-06-25T09:35:00+05:30,7010.00,7010.50,7006.50,7010.50,201
2026-06-25T09:36:00+05:30,7009.50,7010.00,7009.50,7010.00,324
2026-06-25T09:37:00+05:30,7006.00,7006.00,6999.50,6999.50,869
2026-06-25T09:38:00+05:30,7000.50,7009.00,6996.00,7001.50,1184
2026-06-25T09:39:00+05:30,7003.00,7004.50,7000.50,7002.00,244
2026-06-25T09:40:00+05:30,7002.00,7005.00,7001.50,7002.00,515
2026-06-25T09:41:00+05:30,7005.00,7015.50,7002.00,7007.00,986
2026-06-25T09:42:00+05:30,7007.00,7013.00,7007.00,7013.00,639
2026-06-25T09:43:00+05:30,7009.00,7015.00,7009.00,7011.00,549
2026-06-25T09:44:00+05:30,7013.00,7013.00,7007.50,7008.00,141
2026-06-25T09:45:00+05:30,7008.00,7010.50,7007.50,7010.00,228
2026-06-25T09:46:00+05:30,7012.50,7013.00,7001.50,7002.00,443
2026-06-25T09:47:00+05:30,7005.00,7005.00,7000.50,7001.00,156
2026-06-25T09:48:00+05:30,7001.00,7014.00,7001.00,7005.00,878
2026-06-25T09:49:00+05:30,7008.50,7012.50,7005.50,7012.50,239
2026-06-25T09:50:00+05:30,7014.50,7017.50,7008.50,7008.50,283
2026-06-25T09:51:00+05:30,7014.50,7019.00,7011.00,7019.00,156
