ts,open,high,low,close,volume
2026-06-25T09:15:00+05:30,62.10,62.10,61.65,61.80,0
2026-06-25T09:16:00+05:30,61.75,61.85,61.60,61.85,113954
2026-06-25T09:17:00+05:30,61.85,61.85,61.60,61.65,33001
2026-06-25T09:18:00+05:30,61.70,61.80,61.60,61.80,18786
2026-06-25T09:19:00+05:30,61.75,61.75,61.65,61.65,43199
2026-06-25T09:20:00+05:30,61.70,61.80,61.70,61.80,30829
2026-06-25T09:21:00+05:30,61.80,61.95,61.80,61.85,22789
2026-06-25T09:22:00+05:30,61.95,62.00,61.80,61.85,24695
2026-06-25T09:23:00+05:30,61.85,61.90,61.70,61.70,28236
2026-06-25T09:24:00+05:30,61.70,61.75,61.65,61.70,22725
2026-06-25T09:25:00+05:30,61.70,61.75,61.65,61.70,13050
2026-06-25T09:26:00+05:30,61.75,61.75,61.70,61.75,6542
2026-06-25T09:27:00+05:30,61.65,61.70,61.50,61.50,55668
2026-06-25T09:28:00+05:30,61.55,61.60,61.55,61.55,12493
2026-06-25T09:29:00+05:30,61.55,61.65,61.55,61.65,24105
2026-06-25T09:30:00+05:30,61.65,61.75,61.65,61.75,2911
2026-06-25T09:31:00+05:30,61.70,61.70,61.40,61.55,37511
2026-06-25T09:32:00+05:30,61.50,61.50,61.45,61.45,6491
2026-06-25T09:33:00+05:30,61.50,61.50,61.35,61.35,17906
2026-06-25T09:34:00+05:30,61.40,61.45,61.40,61.45,2589
2026-06-25T09:35:00+05:30,61.45,61.50,61.40,61.40,10521
2026-06-25T09:36:00+05:30,61.35,61.40,61.35,61.40,10438
2026-06-25T09:37:00+05:30,61.45,61.45,61.30,61.30,40317
2026-06-25T09:38:00+05:30,61.45,61.50,61.40,61.45,22696
2026-06-25T09:39:00+05:30,61.50,61.50,61.50,61.50,0
2026-06-25T09:40:00+05:30,61.50,61.50,61.35,61.40,1696
2026-06-25T09:41:00+05:30,61.40,61.45,61.35,61.40,316
2026-06-25T09:42:00+05:30,61.35,61.40,61.20,61.30,86198
2026-06-25T09:43:00+05:30,61.30,61.35,61.20,61.35,143313
2026-06-25T09:44:00+05:30,61.35,61.35,61.20,61.30,9594
2026-06-25T09:45:00+05:30,61.25,61.30,61.25,61.30,6086
2026-06-25T09:46:00+05:30,61.30,61.35,61.30,61.30,11844
2026-06-25T09:47:00+05:30,61.40,61.40,61.30,61.40,26660
2026-06-25T09:48:00+05:30,61.35,61.40,61.25,61.25,48944
2026-06-25T09:49:00+05:30,61.30,61.35,61.20,61.25,36061
2026-06-25T09:50:00+05:30,61.20,61.25,61.15,61.25,4520
2026-06-25T09:51:00+05:30,61.15,61.30,61.15,61.30,3702
2026-06-25T09:52:00+05:30,61.35,61.35,61.25,61.25,3369
2026-06-25T09:53:00+05:30,61.30,61.30,61.20,61.25,21698
2026-06-25T09:54:00+05:30,61.25,61.25,61.20,61.25,7888
2026-06-25T09:55:00+05:30,61.30,61.30,61.25,61.30,4577
2026-06-25T09:56:00+05:30,61.25,61.30,61.25,61.30,7418
2026-06-25T09:57:00+05:30,61.35,61.35,61.25,61.35,29335
2026-06-25T09:58:00+05:30,61.35,61.35,61.25,61.25,7966
2026-06-25T09:59:00+05:30,61.25,61.25,61.20,61.20,8319
2026-06-25T10:00:00+05:30,61.25,61.25,61.20,61.25,7330
2026-06-25T10:01:00+05:30,61.20,61.25,61.20,61.20,0
2026-06-25T10:02:00+05:30,61.20,61.25,61.15,61.20,17622
2026-06-25T10:03:00+05:30,61.20,61.20,61.10,61.15,11644
2026-06-25T10:04:00+05:30,61.20,61.25,61.20,61.25,1065
2026-06-25T10:05:00+05:30,61.25,61.25,61.15,61.15,8983
2026-06-25T10:06:00+05:30,61.15,61.20,61.15,61.20,2859
2026-06-25T10:07:00+05:30,61.15,61.15,61.15,61.15,1829
2026-06-25T10:08:00+05:30,61.20,61.20,61.15,61.15,5655
2026-06-25T10:09:00+05:30,61.15,61.20,61.15,61.20,1993
2026-06-25T10:10:00+05:30,61.20,61.20,61.20,61.20,1080
2026-06-25T10:11:00+05:30,61.25,61.25,61.15,61.15,3049
2026-06-25T10:12:00+05:30,61.20,61.20,61.20,61.20,7529
2026-06-25T10:13:00+05:30,61.20,61.25,61.20,61.20,4145
2026-06-25T10:14:00+05:30,61.25,61.25,61.20,61.20,1698
2026-06-25T10:15:00+05:30,61.20,61.25,61.20,61.25,14623
2026-06-25T10:16:00+05:30,61.30,61.30,61.30,61.30,0
2026-06-25T10:17:00+05:30,61.30,61.30,61.25,61.30,309
2026-06-25T10:18:00+05:30,61.30,61.30,61.15,61.15,4994
2026-06-25T10:19:00+05:30,61.20,61.25,61.20,61.25,2997
2026-06-25T10:20:00+05:30,61.25,61.30,61.25,61.30,2961
2026-06-25T10:21:00+05:30,61.20,61.25,61.20,61.20,11922
2026-06-25T10:22:00+05:30,61.20,61.25,61.20,61.20,2023
2026-06-25T10:23:00+05:30,61.20,61.20,61.15,61.20,2748
2026-06-25T10:24:00+05:30,61.15,61.20,61.15,61.15,3088
2026-06-25T10:25:00+05:30,61.10,61.10,61.05,61.10,27925
