ts,open,high,low,close,volume
2026-06-24T09:15:00+05:30,1786.00,1787.00,1782.80,1787.00,0
2026-06-24T09:16:00+05:30,1784.60,1786.10,1782.00,1782.00,31697
2026-06-24T09:17:00+05:30,1784.90,1795.40,1784.90,1792.50,32525
2026-06-24T09:18:00+05:30,1792.30,1792.50,1789.10,1791.70,22332
2026-06-24T09:19:00+05:30,1791.90,1793.00,1788.90,1788.90,17788
2026-06-24T09:20:00+05:30,1789.40,1791.30,1789.40,1791.30,16689
2026-06-24T09:21:00+05:30,1792.90,1797.90,1792.90,1797.90,12298
2026-06-24T09:22:00+05:30,1798.00,1799.00,1796.00,1799.00,13348
2026-06-24T09:23:00+05:30,1798.90,1800.30,1798.00,1798.20,12684
2026-06-24T09:24:00+05:30,1797.40,1797.90,1791.40,1791.40,14150
2026-06-24T09:25:00+05:30,1791.30,1792.00,1790.00,1790.50,7698
2026-06-24T09:26:00+05:30,1790.50,1791.20,1788.20,1788.80,8772
2026-06-24T09:27:00+05:30,1788.20,1788.20,1785.70,1785.70,6279
2026-06-24T09:28:00+05:30,1786.40,1786.40,1785.40,1785.70,7705
2026-06-24T09:29:00+05:30,1785.40,1785.50,1784.30,1785.50,8725
2026-06-24T09:30:00+05:30,1785.90,1786.10,1783.70,1784.80,9450
2026-06-24T09:31:00+05:30,1784.50,1784.50,1782.40,1782.90,6248
2026-06-24T09:32:00+05:30,1783.00,1784.90,1782.90,1784.30,5777
2026-06-24T09:33:00+05:30,1784.80,1786.70,1784.30,1786.50,7665
2026-06-24T09:34:00+05:30,1786.10,1786.10,1782.70,1783.20,10281
2026-06-24T09:35:00+05:30,1782.80,1784.30,1782.80,1784.30,9819
2026-06-24T09:36:00+05:30,1783.80,1786.70,1783.80,1786.30,9293
2026-06-24T09:37:00+05:30,1785.90,1786.30,1785.30,1785.90,3534
2026-06-24T09:38:00+05:30,1785.90,1785.90,1784.80,1784.80,2776
2026-06-24T09:39:00+05:30,1784.30,1784.80,1783.70,1784.30,5904
2026-06-24T09:40:00+05:30,1785.40,1785.40,1784.70,1785.40,3581
2026-06-24T09:41:00+05:30,1784.80,1784.80,1781.00,1781.00,6973
2026-06-24T09:42:00+05:30,1781.20,1783.80,1781.20,1783.80,4935
2026-06-24T09:43:00+05:30,1783.20,1783.20,1782.50,1782.50,3135
2026-06-24T09:44:00+05:30,1782.30,1782.30,1781.30,1781.50,2587
2026-06-24T09:45:00+05:30,1781.70,1781.80,1781.00,1781.20,6105
2026-06-24T09:46:00+05:30,1781.60,1782.00,1780.80,1780.80,5327
2026-06-24T09:47:00+05:30,1780.10,1780.10,1777.80,1778.40,14160
2026-06-24T09:48:00+05:30,1778.00,1778.50,1777.80,1778.20,2866
2026-06-24T09:49:00+05:30,1778.00,1778.00,1776.30,1776.30,4610
2026-06-24T09:50:00+05:30,1775.80,1777.10,1775.30,1777.00,8469
2026-06-24T09:51:00+05:30,1777.00,1778.00,1777.00,1777.30,2763
2026-06-24T09:52:00+05:30,1777.20,1778.00,1776.80,1777.90,4604
2026-06-24T09:53:00+05:30,1777.80,1778.10,1777.40,1778.10,3068
2026-06-24T09:54:00+05:30,1778.50,1779.60,1778.30,1779.30,3678
2026-06-24T09:55:00+05:30,1780.00,1781.00,1780.00,1780.20,2998
2026-06-24T09:56:00+05:30,1781.00,1782.80,1781.00,1782.80,4340
2026-06-24T09:57:00+05:30,1782.90,1784.00,1781.10,1782.50,8645
2026-06-24T09:58:00+05:30,1782.40,1782.90,1781.20,1781.40,2894
2026-06-24T09:59:00+05:30,1781.00,1782.50,1781.00,1782.00,1732
2026-06-24T10:00:00+05:30,1781.70,1784.30,1781.70,1784.30,2823
2026-06-24T10:01:00+05:30,1785.00,1786.00,1784.00,1785.90,5004
2026-06-24T10:02:00+05:30,1785.90,1786.50,1785.70,1786.50,2079
2026-06-24T10:03:00+05:30,1786.60,1787.50,1786.00,1786.00,6189
2026-06-24T10:04:00+05:30,1785.40,1786.10,1785.40,1785.40,1715
2026-06-24T10:05:00+05:30,1785.60,1785.70,1783.90,1784.70,4388
2026-06-24T10:06:00+05:30,1785.30,1785.30,1784.00,1784.70,3250
2026-06-24T10:07:00+05:30,1784.70,1785.40,1783.40,1784.70,3784
2026-06-24T10:08:00+05:30,1785.20,1786.10,1785.20,1785.50,1379
2026-06-24T10:09:00+05:30,1786.20,1786.80,1786.00,1786.60,2383
2026-06-24T10:10:00+05:30,1786.80,1786.80,1785.40,1785.40,2678
2026-06-24T10:11:00+05:30,1786.00,1787.40,1786.00,1786.80,3879
2026-06-24T10:12:00+05:30,1786.80,1789.60,1786.80,1789.20,4655
2026-06-24T10:13:00+05:30,1789.20,1789.30,1789.00,1789.30,1255
2026-06-24T10:14:00+05:30,1789.30,1790.20,1789.00,1789.30,3690
2026-06-24T10:15:00+05:30,1789.60,1790.00,1788.50,1790.00,2897
2026-06-24T10:16:00+05:30,1789.80,1789.80,1788.70,1789.00,1737
2026-06-24T10:17:00+05:30,1789.50,1792.00,1789.30,1792.00,5165
2026-06-24T10:18:00+05:30,1791.60,1792.50,1791.60,1792.00,2710
2026-06-24T10:19:00+05:30,1792.40,1792.40,1791.00,1791.40,5201
2026-06-24T10:20:00+05:30,1791.40,1792.70,1791.40,1791.50,2706
2026-06-24T10:21:00+05:30,1791.70,1791.80,1791.20,1791.80,1997
2026-06-24T10:22:00+05:30,1792.00,1792.60,1792.00,1792.30,2728
2026-06-24T10:23:00+05:30,1792.40,1793.00,1792.40,1792.90,3487
2026-06-24T10:24:00+05:30,1792.90,1793.50,1792.90,1793.50,2220
2026-06-24T10:25:00+05:30,1793.50,1794.50,1792.90,1794.00,4996
2026-06-24T10:26:00+05:30,1794.00,1796.60,1794.00,1796.60,5291
2026-06-24T10:27:00+05:30,1796.00,1797.90,1795.80,1797.60,4410
2026-06-24T10:28:00+05:30,1797.50,1797.50,1795.60,1795.80,3448
2026-06-24T10:29:00+05:30,1795.40,1795.40,1793.30,1794.70,6507
2026-06-24T10:30:00+05:30,1796.00,1796.50,1795.10,1795.20,3138
